frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.257088e+00;-4.767011e+00;-7.028844e-01;1.856100e+00;1.125969e+01;9.161162e+00;3.699769e+00;-7.426353e+00;-5.559327e+00;-5.328903e+00;-2.516592e+00;-3.920213e+00;1.908293e+00;-2.797325e+00
1;0.010000;1.639967e+00;-6.932622e+00;-1.847373e+00;-1.557879e+00;1.061518e+01;6.713869e+00;3.732789e+00;-8.937955e+00;-6.596900e+00;-7.103778e+00;-3.513948e+00;-6.398155e+00;3.538942e-01;3.170090e-01
2;0.020000;3.315557e+00;-9.501275e+00;-1.580146e+00;-3.985954e+00;1.026743e+01;4.662395e+00;2.554002e+00;-7.302773e+00;-7.591644e+00;-8.508371e+00;1.172295e-01;-8.661631e+00;6.286645e-01;2.364922e+00
3;0.030000;3.594929e+00;-1.295907e+01;1.664326e-01;-5.611644e+00;8.672435e+00;5.146329e+00;-2.664632e-01;-3.407259e+00;-9.500127e+00;-8.189749e+00;5.916708e-01;-8.156013e+00;2.822628e+00;4.119530e+00
4;0.040000;3.284426e+00;-1.369866e+01;-5.436213e-01;-6.315486e+00;8.931855e+00;4.192375e+00;5.550237e-01;-1.796278e+00;-9.737296e+00;-6.313601e+00;-9.188724e-01;-4.627207e+00;3.876247e-01;4.941925e+00
5;0.050000;3.414883e+00;-1.239467e+01;1.973765e-01;-4.045663e+00;8.203929e+00;1.802882e+00;3.170225e+00;7.816688e-01;-9.264421e+00;-5.320734e+00;-1.541517e+00;-3.215916e+00;-1.141788e+00;5.037727e+00
6;0.060000;2.748438e+00;-1.126429e+01;1.171971e+00;-4.542392e+00;7.057616e+00;-1.129049e+00;1.637196e+00;3.997663e+00;-8.856988e+00;-5.558281e+00;-1.299443e-01;-6.956385e+00;-2.539886e+00;5.505257e+00
7;0.070000;2.864397e+00;-8.871503e+00;8.432095e-01;-2.578691e+00;5.571280e+00;-3.460877e+00;1.500082e-01;7.351507e+00;-5.778834e+00;-4.392005e+00;7.118249e-01;-1.065209e+01;-3.130013e+00;5.214058e+00
8;0.080000;3.954385e+00;-5.858872e+00;1.873620e-01;9.128437e-01;5.892024e+00;-2.453802e+00;-1.021576e+00;8.944131e+00;-3.523541e+00;-3.570073e+00;1.968153e+00;-1.154751e+01;-8.006725e-01;2.751389e+00
9;0.090000;4.463863e+00;-3.792776e+00;-1.154085e+00;5.790448e+00;8.085585e+00;2.825993e+00;-3.258506e+00;4.496724e+00;-1.938204e+00;-1.163006e+00;1.741312e+00;-1.013500e+01;2.489926e+00;-1.762932e+00
10;0.100000;3.764284e+00;-2.865264e+00;-5.202717e+00;7.803596e+00;1.110487e+01;4.171197e+00;-4.211947e+00;3.371691e+00;-3.083486e+00;2.665663e-01;2.783237e-01;-9.939155e+00;2.395453e+00;-6.017609e+00
11;0.110000;2.951711e+00;-2.519376e+00;-7.607347e+00;6.966232e+00;8.307814e+00;1.880917e+00;-7.025089e+00;3.488775e+00;-3.501383e+00;-2.637471e+00;1.394414e+00;-6.060235e+00;4.460121e+00;-8.513618e+00
12;0.120000;1.867702e+00;-6.843376e-01;-5.760712e+00;1.044907e+01;5.184017e+00;1.754792e+00;-9.463296e+00;-5.060705e-01;-3.330544e+00;-8.018278e+00;-1.024732e+00;-8.393878e+00;4.334485e+00;-8.941978e+00
13;0.130000;-7.212830e-01;5.695992e-01;-5.860947e+00;1.494830e+01;4.680614e+00;3.112160e+00;-9.264059e+00;-1.937038e+00;-3.585330e+00;-1.006985e+01;-1.657564e+00;-6.437469e+00;5.396000e+00;-9.041351e+00
14;0.140000;-1.857813e+00;5.878620e-01;-5.931307e+00;1.557681e+01;2.765577e+00;4.020537e+00;-6.265935e+00;2.703095e+00;-6.850882e-01;-7.521333e+00;-9.995637e-01;-6.202529e+00;3.232121e+00;-9.452797e+00
15;0.150000;-6.993904e-01;6.595278e-01;-5.211169e+00;1.480222e+01;1.456378e+00;4.913070e+00;-6.023632e+00;5.186650e+00;1.671691e+00;-3.810715e+00;-2.934170e+00;-7.110244e+00;2.563021e+00;-1.022190e+01
16;0.160000;-4.894533e-01;1.434772e+00;-5.368524e+00;1.302330e+01;-4.978571e-01;3.774819e+00;-7.702113e+00;4.256911e+00;4.502802e+00;-2.252313e+00;-4.601946e-01;-3.915682e+00;4.898011e+00;-1.128811e+01
17;0.170000;-1.970053e+00;-2.395561e+00;-8.767269e+00;9.780396e+00;5.401306e-01;-4.096595e+00;-7.078800e+00;9.226006e-01;5.259117e+00;4.679561e-01;-1.872929e+00;4.410864e+00;7.299016e+00;-9.914062e+00
18;0.180000;-4.708415e+00;-5.384360e+00;-1.117931e+01;8.294312e+00;-2.059717e-01;-1.154945e+01;-8.416791e+00;-8.315575e-02;3.739612e-01;-5.402093e-01;-6.026344e+00;6.932353e+00;6.500563e+00;-4.786057e+00
19;0.190000;-6.466344e+00;-5.546350e+00;-1.051705e+01;1.032010e+01;-2.804165e-01;-1.029042e+01;-6.690936e+00;2.541902e+00;1.372278e-01;2.313760e+00;-5.013460e+00;5.677830e+00;7.084219e+00;-1.286232e+00
20;0.200000;-6.125865e+00;-4.287101e+00;-8.592709e+00;1.132367e+01;-7.069921e-01;-8.040113e+00;-4.585499e+00;4.017744e+00;7.389588e-01;3.354611e+00;-6.359551e+00;1.178047e+00;3.577568e+00;-3.088531e-01
21;0.210000;-5.982552e-01;-1.826228e+00;-6.400098e+00;9.759501e+00;-2.150727e+00;-4.045867e+00;1.818218e+00;7.120352e+00;-2.345939e+00;-8.240800e-01;-7.884346e+00;-3.459586e+00;1.414124e+00;5.880432e-01
22;0.220000;5.055734e+00;-8.004817e+00;-2.926131e+00;4.763571e+00;-4.767851e+00;-2.611059e+00;1.436869e+00;6.212699e+00;-2.671729e+00;-6.636435e+00;-4.844447e+00;-7.243834e+00;-1.882859e+00;3.233566e+00
