frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.711641e+00;1.781746e+00;2.073400e+00;5.742550e-02;-7.638133e+00;3.689546e+00;-1.993614e+01;3.529509e+00;-1.481995e+01;5.128826e+00;1.048914e+01;-1.998803e+01;5.779130e+00;5.046852e+00
1;0.010000;-6.682224e-01;3.656532e+00;3.624521e+00;-2.001903e+00;-8.875151e+00;4.999029e+00;-1.749322e+01;1.776394e+00;-1.793497e+01;4.373530e+00;1.017831e+01;-1.368489e+01;8.171969e+00;6.026894e+00
2;0.020000;3.530731e+00;3.064792e+00;4.958623e+00;2.490568e+00;-4.792605e+00;2.566356e+00;-1.247977e+01;4.394418e+00;-1.228214e+01;-3.158066e-01;9.622386e+00;-7.487123e+00;9.096666e+00;9.231903e+00
3;0.030000;4.630816e+00;1.092537e+00;2.848536e+00;7.229694e+00;-3.716540e+00;-9.261937e-01;-7.233215e+00;3.581801e+00;-6.117877e+00;-5.484850e+00;9.451538e+00;-6.290975e+00;7.815049e+00;1.195044e+01
4;0.040000;4.729664e+00;8.433493e-01;1.310583e+00;1.079572e+01;-3.631426e+00;-1.561267e+00;-3.182137e+00;2.247379e+00;-4.242978e+00;-8.003957e+00;6.218821e+00;-6.533635e+00;5.620616e+00;1.136988e+01
5;0.050000;6.379030e+00;2.850332e+00;1.767866e+00;1.364858e+01;-2.633495e+00;-5.489361e-01;2.390517e+00;4.718816e+00;-5.323610e-01;-6.728658e+00;4.388617e+00;-4.463623e+00;6.216275e+00;6.903183e+00
6;0.060000;1.018466e+01;6.303928e+00;5.011473e+00;1.379017e+01;-2.959662e+00;-2.929937e+00;5.089336e+00;1.184795e+01;4.790746e+00;-5.263038e+00;2.844082e+00;-3.865060e+00;9.609365e+00;-2.141472e+00
7;0.070000;1.143550e+01;8.107725e+00;1.370501e+01;1.274831e+01;-1.043848e+00;2.503927e+00;1.190023e+00;1.665835e+01;3.761778e-01;1.888283e+00;2.226808e+00;-8.965798e+00;1.041320e+01;-1.311639e+01
8;0.080000;-4.852932e+00;1.258624e+01;1.082270e+01;1.939944e+01;6.698653e+00;2.421906e+00;1.030487e+01;-4.766261e+00;4.704005e+00;1.334906e+00;4.343038e+00;-3.141513e+00;7.275789e-01;-1.402102e+01
9;0.090000;-6.132855e+00;8.358575e+00;4.495152e+00;1.862901e+01;4.521645e+00;-2.188651e+00;9.983070e+00;-5.274259e+00;3.382835e+00;-5.869370e+00;-1.281875e+00;-1.095128e+00;3.281386e+00;-1.812782e+00
10;0.100000;-1.755565e+00;6.517487e+00;2.863463e+00;1.716561e+01;2.281339e+00;-5.863531e+00;5.599532e+00;-4.396779e+00;5.626173e+00;-6.707254e+00;-3.739208e+00;-3.727090e+00;2.677995e+00;8.484993e+00
11;0.110000;1.335629e+00;7.913432e-01;5.090285e+00;1.708875e+01;-2.634066e+00;-5.333500e+00;5.569069e+00;-4.732097e+00;6.485709e+00;-4.979001e+00;-1.223032e+00;-3.285398e+00;1.858983e-01;1.582378e+01
12;0.120000;2.016942e+00;-3.924087e+00;6.953018e+00;1.558362e+01;-2.450374e+00;-4.995036e+00;2.856553e+00;-5.102260e+00;5.097178e+00;-3.710818e+00;2.055597e-02;-3.749959e+00;-7.389519e-01;1.950069e+01
13;0.130000;1.687706e+00;-6.058514e+00;7.459819e+00;1.400935e+01;-5.875373e-01;-5.260346e+00;1.815561e+00;-5.019965e+00;2.377663e+00;-5.099438e+00;-8.221940e-01;-6.019034e+00;-6.233494e-01;1.942854e+01
14;0.140000;2.811157e+00;-5.874774e+00;6.310584e+00;1.101349e+01;-6.030126e-01;-5.876738e+00;1.690608e+00;-3.595265e+00;2.271889e+00;-3.406292e+00;-1.231655e+00;-8.504397e+00;-1.410626e+00;1.621737e+01
15;0.150000;6.720420e+00;-6.302025e+00;2.640238e+00;9.458525e+00;-3.368397e-01;-9.907671e+00;4.466152e-02;5.802431e-01;3.799026e+00;2.759290e+00;1.176598e+00;-7.420792e+00;-5.228616e+00;1.086100e+01
16;0.160000;7.831131e+00;-1.214482e+01;-9.013348e-01;6.992950e+00;5.211607e+00;-1.551877e+01;4.905461e+00;8.919880e+00;3.064025e+00;1.179949e+01;-1.984422e+00;3.896568e-01;-1.236494e+01;9.280037e+00
17;0.170000;4.449028e+00;-1.723814e+01;-3.679710e+00;1.332425e+00;4.331520e+00;-1.166232e+01;9.769956e+00;8.152536e+00;6.021249e+00;1.339088e+01;-4.954111e+00;-1.903178e+00;-9.127584e+00;1.134534e+01
18;0.180000;2.559644e+00;-1.906207e+01;-4.957846e+00;-1.318547e+00;6.473102e+00;-4.272178e+00;1.217205e+01;4.940259e+00;8.297999e+00;1.110249e+01;-4.584655e+00;-5.536488e+00;-3.879930e+00;1.231657e+01
19;0.190000;1.961508e-01;-1.986030e+01;-7.298237e+00;-2.450196e+00;1.039986e+01;-1.579601e-01;1.488743e+01;-3.590822e-01;9.884484e+00;7.681818e+00;-3.387501e+00;-6.536644e+00;-1.415733e+00;1.196616e+01
20;0.200000;-2.799802e+00;-1.812560e+01;-1.028039e+01;-2.470288e+00;1.191694e+01;-5.343973e-01;1.556772e+01;-6.102263e+00;1.004593e+01;1.249252e+00;-1.701185e+00;-7.783232e+00;-1.008909e+00;1.104448e+01
21;0.210000;-4.202182e+00;-1.445104e+01;-1.076963e+01;-4.342925e+00;1.289264e+01;-1.228848e+00;1.573527e+01;-6.001158e+00;1.015521e+01;-3.535483e+00;4.748820e-01;-6.293749e+00;9.221679e-01;9.914566e+00
22;0.220000;-4.216233e+00;-1.235117e+01;-1.001759e+01;-7.220546e+00;1.331034e+01;-2.972285e+00;1.520620e+01;-4.658481e+00;9.054254e+00;-1.027600e+01;4.101447e-01;-6.459349e+00;2.218223e+00;8.856422e+00
23;0.230000;-3.199104e+00;-1.221380e+01;-7.110305e+00;-7.663243e+00;1.439837e+01;-5.116402e+00;1.653903e+01;-2.734211e+00;9.499295e+00;-1.414789e+01;5.380609e-01;-8.520695e+00;2.978251e+00;8.054039e+00
24;0.240000;-2.190831e+00;-1.130001e+01;-5.705583e+00;-6.848123e+00;1.443513e+01;-8.878040e+00;1.624482e+01;-1.601004e+00;8.452726e+00;-1.588530e+01;-2.094716e+00;-1.027587e+01;1.605459e+00;6.126953e+00
25;0.250000;-1.921094e+00;-5.590972e+00;-4.344061e+00;-2.633906e+00;1.726441e+01;-1.015377e+01;1.760552e+01;1.073071e+00;7.126593e+00;-1.359032e+01;-5.628486e+00;-8.544275e+00;-4.264317e-01;4.644691e+00
26;0.260000;-3.532337e+00;2.323475e+00;8.954387e-01;3.620713e+00;1.638668e+01;-8.609717e+00;1.475938e+01;3.750379e+00;3.986635e+00;-1.195925e+01;-7.119508e+00;-2.329967e+00;-9.887445e-01;4.039421e+00
27;0.270000;-5.769586e+00;8.462565e+00;1.079740e+00;1.107727e+01;9.893312e+00;-6.687703e+00;9.978703e+00;6.852693e+00;5.841408e-01;-6.436499e+00;-1.824077e+00;3.670064e+00;1.159705e+00;4.302872e+00
28;0.280000;-7.371572e+00;1.310715e+01;-1.371311e+00;1.332031e+01;2.198515e+00;-7.679549e+00;1.207695e+01;8.538609e+00;5.014796e+00;-1.119101e+00;-8.945490e-01;3.698555e+00;-9.144552e-01;4.474037e+00
29;0.290000;-8.605210e+00;1.777244e+01;-2.497882e+00;1.406221e+01;-2.273618e+00;-8.778786e+00;1.344518e+01;1.019783e+01;8.160087e+00;2.578358e+00;-3.957202e+00;-2.105533e+00;-3.168892e+00;2.751137e+00
30;0.300000;-1.060849e+01;2.022136e+01;-5.133925e+00;1.425266e+01;-3.212378e+00;-5.931272e+00;1.290015e+01;9.290302e+00;7.368339e+00;2.645094e+00;-2.526871e+00;-4.823786e+00;-3.341055e+00;-1.809639e+00
31;0.310000;-1.522863e+01;1.833530e+01;-4.722124e+00;1.701919e+01;-6.561542e-01;-9.389638e-01;9.454272e+00;3.077003e+00;8.328949e+00;1.574997e+00;2.406235e-01;2.348917e+00;1.977315e+00;-7.235336e+00
32;0.320000;-1.989359e+01;1.428174e+01;-7.863415e+00;1.805984e+01;2.130167e+00;1.980320e+00;1.019856e+01;1.681804e+00;6.555057e+00;8.420389e-01;-3.024339e+00;1.392568e+00;3.077647e+00;-9.966873e+00
33;0.330000;-2.024947e+01;1.406246e+01;-9.236862e+00;2.039337e+01;7.930610e-01;2.839092e-01;1.010170e+01;2.076426e+00;8.982467e+00;2.131516e+00;2.170526e+00;3.036658e+00;2.534194e+00;-9.592834e+00
34;0.340000;-2.097612e+01;1.368036e+01;-7.336599e+00;2.063638e+01;-1.153670e+00;3.775197e-01;1.144273e+01;-1.610968e+00;9.911642e+00;1.472033e+00;1.302086e+00;1.846023e+00;-7.621050e-03;-9.349754e+00
35;0.350000;-2.239356e+01;1.137956e+01;-4.444608e+00;1.809148e+01;-4.626186e+00;-2.930841e+00;1.039123e+01;-5.570560e+00;9.006959e+00;-1.370761e+00;2.764867e-01;1.806135e-01;-1.669755e+00;-9.209099e+00
36;0.360000;-1.955975e+01;1.322259e+01;1.552094e+00;1.836143e+01;-6.105093e+00;-7.557566e+00;5.278568e+00;-1.204785e+01;1.975261e+00;-8.978181e+00;-3.070089e+00;-3.542404e-01;-4.331398e-02;-6.818741e+00
