frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.175926e-01;-6.054616e+00;-3.569180e+00;8.145115e+00;-7.331107e+00;-5.612795e+00;1.131082e+01;-1.816724e+00;3.287294e-01;-2.174676e+00;-9.668537e+00;1.005350e+00;-9.669613e+00;8.762535e+00
1;0.010000;-1.209994e+00;-6.758668e+00;-4.130800e+00;9.525273e+00;-1.035598e+01;-9.145871e+00;1.103405e+01;-1.768869e+00;-1.557385e+00;1.978605e+00;-6.126153e+00;2.926308e+00;-2.417880e+00;8.057625e+00
2;0.020000;-6.357250e-01;-5.998218e+00;-2.512796e+00;1.174115e+01;-1.002788e+01;-7.367708e+00;1.037514e+01;-2.629362e+00;-3.288638e+00;-8.506155e-02;-7.179556e+00;3.788443e+00;8.427901e-01;6.931168e+00
3;0.030000;4.393482e-02;-5.947471e+00;-1.105244e+00;1.226386e+01;-9.160654e+00;-4.656138e+00;8.975941e+00;-1.816736e+00;-4.758124e+00;-4.586567e+00;-1.027732e+01;4.237345e+00;2.480594e+00;5.573921e+00
4;0.040000;7.591143e-01;-5.050544e+00;-2.825615e+00;1.141417e+01;-7.698533e+00;-1.026654e+00;4.805593e+00;-2.540608e+00;-4.088133e+00;-2.776679e+00;-1.159944e+01;5.230829e+00;2.595720e+00;4.543022e+00
5;0.050000;1.282804e+00;-4.600969e+00;-5.128808e+00;1.006644e+01;-6.800609e+00;2.817578e+00;2.706738e+00;-6.836572e+00;-3.164374e+00;2.912887e+00;-1.030316e+01;6.385061e+00;7.872262e-01;4.337997e+00
6;0.060000;1.505527e+00;-4.593904e+00;-6.456910e+00;9.671737e+00;-5.441763e+00;3.025057e+00;2.591775e+00;-1.053769e+01;-6.916796e+00;1.037004e+01;-7.281261e+00;6.586926e+00;-1.305229e+00;4.295425e+00
7;0.070000;2.213878e+00;-3.390342e+00;-6.709996e+00;8.325256e+00;-3.060593e+00;3.163085e+00;3.202113e+00;-8.345464e+00;-8.153641e+00;1.255103e+01;-6.617955e+00;5.605892e+00;-2.989796e+00;4.451019e+00
8;0.080000;2.174652e+00;-2.435814e+00;-7.835223e+00;5.284763e+00;-1.293247e+00;7.772012e-01;-3.046246e-01;-3.652328e+00;-7.383233e+00;1.068631e+01;-4.002439e+00;5.434437e+00;-1.262467e+00;4.127502e+00
9;0.090000;3.628667e+00;-4.490976e-01;-5.840714e+00;5.293131e+00;1.318182e+00;2.084400e+00;-1.697141e+00;-1.803974e+00;-6.480606e+00;1.006222e+01;-2.196440e+00;5.492239e+00;6.980224e-01;3.995537e+00
