frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.922988e+00;3.209687e+00;-6.003237e-02;6.654001e+00;-7.834254e+00;-5.592862e+00;6.382173e+00;5.006089e-01;8.141635e+00;-2.115905e+00;4.008467e+00;2.682318e+00;-2.621518e+00;-2.484589e+00
1;0.010000;-2.522786e+00;4.372292e+00;7.232270e-01;7.450422e+00;-7.587347e+00;-7.118067e+00;4.328938e+00;-9.634438e-01;5.738405e+00;-2.822196e+00;3.830170e+00;1.085466e+00;-2.739388e+00;-2.417274e+00
2;0.020000;-1.919492e+00;5.611712e+00;1.836118e+00;8.335494e+00;-4.725988e+00;-8.780538e+00;3.179480e+00;1.273163e+00;3.350914e+00;-2.294061e+00;3.035332e+00;1.967900e+00;-1.826215e+00;-2.302666e+00
3;0.030000;4.105434e-01;4.420602e+00;-1.059858e+00;6.518934e+00;-2.191949e-01;-1.247122e+00;6.271701e+00;-8.833566e-01;-1.839017e+00;-3.277342e+00;3.984687e+00;2.113118e+00;-2.437705e+00;-1.991150e+00
4;0.040000;3.950109e+00;2.112852e+00;-4.509772e+00;-6.384239e-01;2.250394e+00;5.011364e+00;6.288248e+00;9.451210e-01;-4.380039e+00;2.038953e-01;7.162005e+00;4.578371e-01;-6.587734e+00;-1.238815e+00
5;0.050000;5.135787e+00;-8.293273e-01;-7.082806e+00;-6.580522e+00;1.991724e+00;6.237932e+00;7.959509e-01;4.103240e+00;-5.234795e+00;5.217750e+00;5.441131e+00;-1.556227e+00;-8.328904e+00;-2.190018e-01
6;0.060000;3.879473e+00;-2.578392e+00;-1.077949e+01;-7.737512e+00;1.132475e+00;7.041764e+00;-4.793690e+00;3.573817e+00;-4.172678e+00;1.098942e+01;1.619776e+00;-2.355777e+00;-8.515229e+00;1.269760e+00
7;0.070000;3.447765e+00;-4.023539e+00;-1.191524e+01;-4.492585e+00;5.531209e+00;7.768418e+00;-7.632715e+00;7.804756e+00;9.524517e-01;1.247118e+01;-3.113637e+00;-1.998635e+00;-8.178321e+00;2.779259e+00
8;0.080000;2.952284e+00;-6.364466e+00;-1.078355e+01;9.818172e-02;8.223917e+00;4.910822e+00;-7.902102e+00;1.252286e+01;5.380485e+00;9.716856e+00;-8.463020e+00;-2.192535e+00;-6.853348e+00;3.537819e+00
9;0.090000;2.696653e+00;-7.553711e+00;-7.555285e+00;3.168291e+00;6.703725e+00;-2.938848e+00;-7.623943e+00;1.402342e+01;5.245488e+00;1.254903e+00;-1.163474e+01;-2.062863e+00;-4.641825e+00;3.678467e+00
10;0.100000;9.673824e-01;-7.628989e+00;-3.076995e+00;4.066273e+00;1.676792e+00;-1.009821e+01;-6.409739e+00;1.330827e+01;5.284690e+00;-7.258037e+00;-1.180211e+01;9.886222e-01;-3.218634e+00;3.387718e+00
11;0.110000;1.790648e-01;-6.778369e+00;2.881074e-01;2.036148e+00;-4.513009e+00;-1.300265e+01;-5.298388e+00;1.217626e+01;6.780313e+00;-9.320003e+00;-6.740209e+00;6.973859e+00;-2.737487e+00;3.015335e+00
12;0.120000;2.549950e+00;-5.349270e+00;2.405942e+00;8.241444e-01;-6.459215e+00;-1.163488e+01;-3.714085e+00;7.845799e+00;5.996473e+00;-6.301443e+00;-1.301326e+00;9.220474e+00;-3.756278e+00;2.054047e+00
13;0.130000;5.876959e+00;-3.763279e+00;3.261623e+00;8.543892e-01;-6.724461e+00;-8.149938e+00;-4.304199e-01;6.807995e-01;-1.085012e+00;-1.844138e+00;-3.723430e+00;8.951445e+00;-1.580234e+00;-4.604187e-01
14;0.140000;6.472658e+00;-4.740695e+00;3.680179e+00;4.498026e+00;-6.136717e+00;-6.350360e+00;4.279086e+00;5.544467e-01;-6.286919e+00;-1.232576e+00;-5.647389e+00;5.040336e+00;-1.235737e+00;-1.378448e+00
15;0.150000;2.686073e+00;-5.289077e+00;6.332378e+00;3.205509e+00;-9.191178e+00;-6.483880e+00;9.730786e+00;-3.096189e+00;-3.002910e+00;-2.291152e+00;-3.677431e+00;1.578274e+00;-3.815381e+00;4.214478e-02
16;0.160000;-4.131041e-01;-3.672319e+00;9.787034e+00;1.354187e+00;-1.157998e+01;-5.408524e+00;1.109744e+01;-5.356321e+00;2.512884e-01;6.174852e-01;-2.036752e+00;-1.336452e+00;-2.024548e+00;1.253433e+00
