frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.156038e-01;-1.515819e+01;-6.990644e+00;5.135925e+00;9.126506e+00;4.077124e+00;-1.679163e+00;3.644871e+00;-2.954442e+00;-5.089519e+00;2.645299e+00;-4.010185e+00;2.019052e+00;7.731674e+00
1;0.010000;-8.552828e-01;-1.520689e+01;-6.925215e+00;3.909796e+00;5.975930e+00;9.024792e-01;-3.650262e+00;2.898711e+00;-4.118874e+00;-5.134267e+00;3.984662e+00;-4.523808e+00;-8.543259e-01;7.947960e+00
2;0.020000;-1.454296e-01;-1.243285e+01;-7.071511e+00;5.274447e+00;2.827883e-01;-2.184385e+00;-4.678485e+00;-2.037748e+00;-4.617967e+00;-5.958416e+00;4.024909e+00;-3.901382e+00;-1.444248e+00;6.352783e+00
3;0.030000;6.699839e-01;-8.537678e+00;-6.842424e+00;6.546243e+00;-3.143226e+00;-2.375671e+00;-4.473669e+00;-2.478499e+00;-4.461628e+00;-5.996064e+00;6.655669e-01;-8.900328e-01;-1.161116e+00;3.088120e+00
4;0.040000;1.957492e+00;-4.117983e+00;-4.602861e+00;7.404858e+00;1.295358e+00;1.502218e+00;-4.154745e+00;1.413108e+00;-3.702560e+00;-2.878285e+00;2.994971e+00;1.872123e+00;-1.624464e+00;-1.523071e+00
5;0.050000;5.239584e+00;-4.568970e+00;-5.370902e+00;9.545475e+00;6.471027e+00;3.635018e+00;-4.463011e+00;-6.388779e-01;-3.972141e+00;1.244301e+00;3.429720e+00;7.387156e-01;-4.902273e+00;-5.777672e+00
6;0.060000;2.672957e+00;-6.498222e+00;-4.617933e+00;1.131234e+01;5.245591e+00;3.943582e+00;-7.570747e+00;5.871232e-01;-4.221503e+00;-4.474273e-01;2.999097e+00;3.571825e+00;-6.257205e+00;-6.010086e+00
7;0.070000;-3.265079e+00;-5.789178e+00;-4.568582e-01;1.356685e+01;3.741916e+00;3.337679e+00;-7.649202e+00;3.666276e+00;-3.218809e+00;-1.933954e+00;-1.679996e+00;5.321683e+00;-9.980850e+00;-1.814079e+00
8;0.080000;-6.500141e+00;-3.896428e+00;5.931540e-01;1.167906e+01;6.911433e+00;1.974799e+00;-6.122412e+00;3.214527e+00;-3.007392e+00;-2.004169e+00;-4.283066e+00;4.142179e+00;-1.011452e+01;1.444641e+00
9;0.090000;-7.069084e+00;-1.048418e+00;-5.069556e-01;5.573111e+00;7.675294e+00;1.989283e+00;-1.716661e+00;5.943999e+00;-1.359078e+00;-3.118946e+00;-2.982185e+00;4.135148e+00;-6.287421e+00;3.623558e+00
