frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.007852e+00;-7.187984e+00;-1.330653e+01;1.303048e+00;2.500041e+01;2.256785e+01;2.796379e+00;-3.614522e+00;8.673397e+00;3.394763e+00;-6.944433e-01;1.559959e+01;7.455955e+00;-4.064453e+00
1;0.010000;-7.800156e+00;-8.123958e+00;-1.428106e+01;1.680814e+00;2.240404e+01;1.935276e+01;2.956750e+00;-6.416997e+00;5.641480e+00;3.418837e+00;-9.471239e-01;1.506401e+01;5.809040e+00;2.465004e+00
2;0.020000;-8.688362e+00;-8.709560e+00;-1.403765e+01;1.758742e+00;2.070285e+01;1.731474e+01;2.475618e+00;-7.637584e+00;3.624323e+00;2.177765e+00;-2.391510e+00;1.292770e+01;4.941086e+00;5.125610e+00
3;0.030000;-7.915171e+00;-8.177089e+00;-1.531251e+01;2.842159e-01;1.804998e+01;1.647445e+01;7.601900e-01;-7.707362e+00;1.812214e+00;-3.552890e-01;-4.548662e+00;1.034089e+01;4.153562e+00;5.184418e+00
4;0.040000;-6.553244e+00;-6.127299e+00;-1.629002e+01;-2.111084e+00;1.594365e+01;1.757482e+01;-1.090246e+00;-6.303700e+00;9.686666e-01;-3.856405e+00;-4.993723e+00;7.510757e+00;4.118837e+00;4.345123e+00
5;0.050000;-6.996533e+00;-4.900945e+00;-1.315292e+01;-4.189910e+00;1.696884e+01;1.798334e+01;1.928720e+00;-5.713716e+00;2.384135e+00;-3.731861e+00;-3.157248e+00;7.628657e+00;5.390125e+00;6.058937e+00
6;0.060000;-8.237856e+00;-4.871545e+00;-1.264459e+01;-6.634414e+00;1.524212e+01;1.621009e+01;1.868090e+00;-7.103257e+00;2.737834e+00;-4.276903e+00;-4.609654e+00;5.287497e+00;4.245855e+00;7.111496e+00
7;0.070000;-7.513380e+00;-4.010755e+00;-1.167905e+01;-6.932744e+00;1.404435e+01;1.699763e+01;2.549519e+00;-5.643050e+00;6.082564e+00;-3.264521e+00;-4.467112e+00;2.781408e+00;3.710748e+00;7.388588e+00
8;0.080000;-6.295107e+00;-5.375717e+00;-1.185260e+01;-9.960999e+00;9.250188e+00;1.440906e+01;5.255947e-01;-5.394437e+00;8.227734e+00;-4.750425e+00;-7.524919e+00;-3.098044e+00;7.587168e-01;6.672928e+00
9;0.090000;-3.737251e+00;-5.542547e+00;-7.776433e+00;-1.140091e+01;6.420203e+00;1.240472e+01;2.384870e+00;-3.200534e+00;1.276170e+01;-1.238615e+00;-7.174318e+00;-3.137887e+00;1.168652e+00;6.397430e+00
10;0.100000;-3.632700e+00;-5.931346e+00;-5.995214e+00;-1.472650e+01;1.934087e+00;4.883881e+00;6.037207e-01;-9.898934e+00;1.260621e+01;-2.355914e+00;-7.993865e+00;-4.190452e+00;-6.432650e-01;5.514244e+00
11;0.110000;-2.489393e+00;-2.945701e+00;-3.011728e+00;-1.327067e+01;2.302269e+00;5.942545e-01;-2.947254e+00;-1.672942e+01;1.117113e+01;-1.966693e+00;-5.289824e+00;-1.826784e+00;9.206643e-01;3.557884e+00
12;0.120000;-4.440901e-01;5.560900e-01;-5.148926e-01;-9.244878e+00;5.397688e+00;-6.910057e-01;-6.253361e+00;-1.916097e+01;5.791706e+00;-6.915799e-01;-4.601353e+00;1.825701e+00;1.920126e+00;7.369995e-03
13;0.130000;1.488461e+00;1.412177e+00;-1.264725e+00;-5.714454e+00;9.794988e+00;-1.122904e+00;-6.602878e+00;-1.326682e+01;-2.651978e+00;-4.148458e+00;-1.260814e+01;2.005517e+00;1.235157e+00;-4.113388e+00
14;0.140000;4.126437e+00;3.820477e+00;-7.067013e-02;-1.724380e+00;1.353597e+01;5.562616e+00;1.696045e+00;-1.918404e+00;1.694930e+00;-2.675926e+00;-9.947330e+00;3.148134e+00;1.968532e-01;-7.017502e+00
15;0.150000;5.384447e+00;3.651227e+00;-4.753704e-01;-3.245782e+00;7.930579e+00;4.340430e+00;5.914841e-01;-4.028640e+00;1.766102e+00;-7.507073e-01;-1.050340e+01;5.347919e-01;-1.341690e+00;-8.580620e+00
16;0.160000;5.859262e+00;4.008591e+00;-1.221905e-01;-1.963097e+00;8.005643e+00;5.378898e+00;9.586349e-01;-4.708508e+00;2.792176e+00;1.225347e+00;-1.366554e+01;1.143971e+00;3.479912e-01;-9.605972e+00
17;0.170000;4.828074e+00;4.485208e+00;-5.252399e-01;8.839817e-01;1.037359e+01;6.994355e+00;-2.895947e-01;-3.943139e+00;-5.670663e+00;5.192346e+00;-7.159965e+00;5.778109e+00;1.978262e+00;-8.505569e+00
18;0.180000;2.715509e+00;6.741288e+00;-2.696107e+00;-2.725261e+00;6.133777e+00;4.773032e+00;2.661486e-01;-3.331075e+00;-1.215329e+01;5.570472e+00;8.422438e+00;3.986156e+00;6.733022e+00;-4.186844e+00
19;0.190000;5.158792e-01;7.978494e+00;-2.750402e+00;-6.462943e+00;-1.349745e+00;6.720029e+00;1.195356e+00;-2.815943e+00;-1.022922e+01;6.646946e+00;1.733666e+01;-5.192299e-01;6.904116e+00;-6.591797e-02
20;0.200000;-1.079412e-01;7.280993e+00;-3.025257e+00;-8.746491e+00;-4.924439e+00;1.022421e+01;6.863117e-02;-3.178618e+00;-8.825025e+00;6.845354e+00;1.909698e+01;-5.882470e+00;3.674050e+00;2.126778e+00
21;0.210000;3.679123e-01;4.257689e+00;-5.845244e+00;-9.683089e+00;-5.759833e+00;1.076309e+01;-2.493106e+00;-3.597571e+00;-5.356016e+00;7.016984e+00;1.597827e+01;-1.197567e+01;-7.157142e-01;2.143616e+00
22;0.220000;2.185441e+00;6.700360e-01;-6.907416e+00;-7.663554e+00;-2.392551e+00;9.666603e+00;-2.054533e+00;-2.349333e+00;3.634803e+00;1.017657e+01;1.255012e+01;-1.343239e+01;-4.034873e+00;1.963707e+00
23;0.230000;2.240015e+00;-2.622829e+00;-8.183063e+00;-6.394259e+00;1.211578e+00;6.843028e+00;-8.632889e-01;-5.251780e-01;8.161398e+00;9.746670e+00;7.132306e+00;-1.442088e+01;-4.124440e+00;2.480766e+00
24;0.240000;1.748884e+00;-3.699941e+00;-5.927695e+00;-4.061440e+00;2.985043e+00;6.220577e+00;-3.319712e-01;1.810322e+00;9.969005e+00;9.825457e+00;4.975975e+00;-1.372811e+01;-7.012341e-01;3.351364e+00
25;0.250000;5.221858e-01;-4.027843e+00;-3.765961e+00;-2.836048e+00;2.132673e+00;1.731843e+00;3.211670e-01;3.023785e+00;1.145624e+01;5.993968e+00;2.609061e+00;-1.174930e+01;2.121368e+00;3.976639e+00
26;0.260000;-6.231573e-01;-5.006112e+00;-5.631437e-01;-2.334559e+00;-5.576458e-01;-3.095055e+00;1.639310e+00;6.035447e+00;9.866657e+00;1.246072e+00;1.528142e+00;-8.226039e+00;4.525118e+00;4.659088e+00
