frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.288210e+01;1.453040e+01;-1.280665e+01;1.830801e+01;2.983829e+00;1.081765e+01;1.491083e+01;-2.720819e+00;-4.370176e+00;-2.748251e+00;1.937673e+00;5.808894e+00;7.136822e-03;6.195068e-02
1;0.010000;-1.526245e+01;1.157804e+01;-1.303013e+01;1.852757e+01;1.656428e+00;9.236173e+00;1.502534e+01;-3.226776e+00;-2.236506e+00;-3.761715e+00;-1.257071e+00;1.769191e+00;-2.308204e+00;-1.059280e+00
2;0.020000;-1.634126e+01;9.960952e+00;-1.157714e+01;1.935124e+01;2.113674e+00;1.078289e+01;1.443132e+01;-4.083583e-01;-1.210445e+00;-5.061736e-01;-2.242355e-01;1.181596e+00;-6.319284e-01;-1.141365e+00
3;0.030000;-1.553961e+01;1.201706e+01;-8.448117e+00;2.022509e+01;1.566460e+00;1.117645e+01;1.152988e+01;-6.329929e-01;1.199612e+00;4.122614e+00;3.878088e+00;5.625697e-01;-1.751903e+00;-4.994431e-01
4;0.040000;-1.724795e+01;1.222683e+01;-8.035336e+00;1.734754e+01;-3.295469e-02;1.137562e+01;1.179665e+01;1.193655e-02;1.583711e+00;4.528642e+00;6.187314e+00;-8.628646e-01;-3.331588e+00;-1.358490e+00
5;0.050000;-1.772611e+01;1.261868e+01;-7.505202e+00;1.663330e+01;-2.950527e+00;8.607641e+00;1.235379e+01;-8.228310e-01;-1.310296e-01;3.770812e+00;6.283293e+00;-5.538797e-01;5.568309e-01;-1.998657e+00
6;0.060000;-1.666175e+01;1.423705e+01;-5.685289e+00;1.896577e+01;-2.763913e+00;7.636306e+00;1.332680e+01;-2.611418e+00;-2.093341e+00;3.708949e+00;6.358492e+00;-1.898488e-01;1.227341e+00;-1.719124e+00
7;0.070000;-1.711549e+01;1.352244e+01;-6.761212e+00;1.931194e+01;-2.203929e+00;7.762329e+00;1.299440e+01;-3.533095e-01;-1.345895e+00;1.656325e+00;3.207068e+00;2.925097e+00;2.935256e+00;-1.460976e+00
8;0.080000;-1.804042e+01;1.273474e+01;-8.372514e+00;2.062950e+01;2.522278e-02;5.757933e+00;1.130285e+01;9.125063e-01;1.421602e+00;7.990093e-01;2.349727e+00;6.506442e+00;3.938715e+00;-1.143219e+00
9;0.090000;-1.599638e+01;1.657778e+01;-5.362204e+00;2.083292e+01;6.286287e-01;3.166624e+00;9.962088e+00;4.026110e-01;4.083277e+00;2.998845e+00;3.971407e+00;5.317747e+00;2.593513e+00;-2.419281e-02
10;0.100000;-1.601963e+01;1.651922e+01;-8.155807e+00;1.271922e+01;-2.415546e+00;-7.111621e-01;6.383438e+00;1.643662e+00;4.930020e+00;4.419393e+00;3.072572e+00;5.514920e-01;2.057636e+00;-1.061211e+00
11;0.110000;-6.647969e+00;2.020134e+01;-6.437731e+00;6.611135e+00;-6.220935e+00;-3.857266e+00;-4.104991e+00;-7.563810e+00;-1.280951e+00;4.633033e+00;2.223252e+00;-2.850790e+00;-1.210451e+00;2.233398e+00
12;0.120000;3.027096e-01;1.468681e+01;-3.942666e+00;9.893093e-01;-6.039577e+00;-6.326275e-01;-1.224720e+01;-9.527001e+00;2.497730e+00;9.189776e+00;4.419374e-01;-6.165907e+00;1.310123e+00;5.619194e+00
13;0.130000;4.238717e+00;8.188035e+00;8.806434e-01;-4.292290e+00;-4.231665e+00;8.131580e-01;-1.620197e+01;-5.746039e+00;5.341286e+00;1.207530e+01;-6.930552e-01;-8.814141e+00;4.102983e+00;6.666679e+00
14;0.140000;3.181254e+00;1.998794e+00;7.107997e-01;-1.048986e+01;-6.315351e+00;-2.823222e+00;-2.101816e+01;-4.255329e+00;1.574802e+00;1.158476e+01;-7.783912e+00;-1.317589e+01;-4.102221e-01;6.284927e+00
15;0.150000;3.536494e+00;-3.874955e-01;2.426331e+00;-1.062918e+01;-2.669658e+00;-2.099724e-01;-1.570669e+01;1.058844e+00;4.917044e+00;1.448317e+01;-7.808200e+00;-1.210152e+01;4.642258e-01;6.607933e+00
16;0.160000;4.372958e+00;-3.553703e+00;3.098810e+00;-1.100185e+01;-1.556289e+00;1.739287e-01;-1.325491e+01;4.236471e+00;5.580040e+00;1.516604e+01;-7.825095e+00;-1.197158e+01;-2.946091e-02;6.680183e+00
17;0.170000;4.569374e+00;-5.073223e+00;3.425194e+00;-9.660475e+00;-1.786578e+00;1.428488e+00;-1.300938e+01;5.556640e+00;4.217458e+00;1.329917e+01;-8.409129e+00;-1.247611e+01;-7.535300e-01;6.774094e+00
18;0.180000;5.376991e+00;-3.769009e+00;4.611568e+00;-5.484816e+00;3.901143e-01;4.935061e+00;-1.055182e+01;7.682189e+00;3.537559e+00;1.216089e+01;-5.850946e+00;-9.177670e+00;2.167539e+00;6.364204e+00
19;0.190000;5.062401e+00;-3.116449e+00;2.779339e+00;-4.643799e+00;-6.100907e-01;3.492409e+00;-1.213203e+01;3.922596e+00;-6.814142e-01;6.704665e+00;-7.896392e+00;-9.688846e+00;1.639431e+00;4.052811e+00
20;0.200000;5.710772e+00;6.993399e-01;3.557611e+00;-2.586241e-01;1.975606e+00;3.394242e+00;-1.215026e+01;4.343995e+00;2.233876e+00;5.569160e+00;-6.503798e+00;-9.091644e+00;3.631952e+00;1.102356e+00
21;0.210000;5.597661e+00;3.977421e+00;1.880902e+00;1.538630e+00;2.114783e+00;3.039637e+00;-1.228039e+01;5.466148e+00;5.270092e+00;2.267110e+00;-5.904819e+00;-1.011425e+01;4.573244e+00;-3.251198e+00
22;0.220000;4.079876e+00;4.858258e+00;9.246435e-01;2.257611e+00;1.889353e+00;3.650575e+00;-9.498708e+00;7.597863e+00;6.088196e+00;4.169569e+00;-4.244947e-01;-8.232945e+00;3.971712e+00;-7.491188e+00
23;0.230000;2.089184e+00;1.552801e+00;-3.676176e-01;1.065584e+00;2.435513e-01;2.279708e+00;-8.187068e+00;6.010243e+00;6.176718e+00;9.384038e+00;4.586564e+00;-7.889862e+00;3.268368e+00;-9.377251e+00
24;0.240000;8.148422e-01;-1.071486e-01;-2.947161e+00;-8.069229e-02;-2.260242e+00;2.578603e+00;-7.308465e+00;4.686193e+00;7.050726e+00;1.050162e+01;4.116568e+00;-8.276499e+00;2.969651e+00;-1.095985e+01
25;0.250000;7.406149e-01;7.895808e-01;-2.454577e+00;2.471576e+00;-6.662049e-01;2.913700e+00;-6.301826e+00;5.622442e+00;9.215141e+00;1.146452e+01;3.091872e+00;-9.142239e+00;1.454594e+00;-1.222854e+01
26;0.260000;3.736067e-01;6.281986e-01;-6.739082e-01;3.331043e+00;-1.606403e+00;2.012892e-01;-5.755055e+00;4.757699e+00;7.701738e+00;8.100397e+00;7.246084e-01;-9.150408e+00;1.298271e+00;-1.324734e+01
27;0.270000;4.338608e-01;1.210475e-01;-1.154143e+00;2.501130e+00;9.405570e-01;-7.570152e-01;-3.546161e+00;3.239072e+00;8.193087e+00;5.678070e+00;2.421598e+00;-6.649335e+00;-4.636040e-01;-1.384164e+01
28;0.280000;-3.775101e-01;-9.269347e-01;-2.913231e+00;3.691454e-01;3.518920e+00;-9.746933e-01;-1.025519e+00;3.170647e+00;1.058493e+01;5.603260e+00;4.555628e+00;-2.580138e+00;-1.939330e-01;-1.396291e+01
29;0.290000;-1.099833e+00;-1.946079e+00;-3.744793e+00;-1.442632e+00;2.743954e+00;-1.508806e+00;-1.228142e+00;3.651466e+00;1.106735e+01;3.925677e+00;5.674695e+00;-1.574835e-01;1.961039e+00;-1.397861e+01
30;0.300000;-1.488564e+00;-3.324120e+00;-3.879837e+00;-7.478561e-01;2.971589e+00;-1.667296e+00;-4.856011e+00;2.099743e+00;1.147589e+01;7.250310e-01;3.908855e+00;1.679475e+00;1.714130e+00;-1.372301e+01
31;0.310000;-2.266172e+00;-3.640187e+00;-4.214766e+00;1.482080e+00;4.570958e+00;-1.491915e+00;-4.197457e+00;-7.272016e-01;1.316891e+01;-2.594197e+00;1.649299e+00;3.715336e+00;1.671802e+00;-1.367947e+01
32;0.320000;-2.525072e+00;-3.179331e+00;-4.140981e+00;2.912325e+00;4.279634e+00;-3.076676e+00;-1.793121e+00;-1.267189e+00;1.758371e+01;-2.802659e+00;1.201452e+00;4.072251e+00;7.349410e-01;-1.397210e+01
33;0.330000;-2.129251e+00;-3.216027e+00;-2.991879e+00;3.169501e+00;2.247869e+00;-5.264778e+00;2.237320e-01;-3.145347e+00;1.361189e+01;-5.115017e+00;3.974184e+00;6.593201e+00;2.926483e-01;-1.410159e+01
34;0.340000;-2.248041e+00;-4.241539e+00;-2.254149e+00;6.198673e-01;-1.543765e-01;-3.186899e+00;1.551373e+00;-5.153462e+00;9.343534e+00;-9.348081e+00;2.665085e+00;8.792709e+00;-2.342148e-01;-1.430651e+01
35;0.350000;-2.632160e+00;-4.344806e+00;-1.545682e+00;1.008074e+00;1.912681e+00;1.548459e+00;2.322856e+00;-1.972101e+00;1.024077e+01;-9.079103e+00;-1.483603e-01;9.645745e+00;1.377657e+00;-1.519200e+01
36;0.360000;-2.402674e+00;-3.693484e+00;-3.193675e+00;2.611597e+00;5.963267e+00;6.496899e+00;2.421187e+00;-2.957573e-01;1.051589e+01;-6.875667e+00;1.406997e+00;8.966977e+00;9.860964e-01;-1.623914e+01
37;0.370000;-1.281896e+00;-5.176206e+00;-6.129027e+00;2.766435e+00;6.817258e+00;7.577638e+00;3.110513e+00;-7.409710e-01;1.045936e+01;-5.854663e+00;4.760837e+00;1.056902e+01;1.192274e+00;-1.693262e+01
38;0.380000;1.036947e+00;-5.823971e+00;-6.467319e+00;1.391554e+00;3.650251e+00;4.728210e+00;3.559808e+00;-8.669165e-01;5.895203e+00;-3.479033e+00;5.210999e+00;8.582305e+00;1.399472e+00;-1.764535e+01
39;0.390000;8.813095e-01;-5.531726e+00;-5.452421e+00;2.060180e+00;1.330322e+00;4.761843e+00;5.006764e+00;1.341596e+00;7.092947e+00;-2.370488e+00;4.725578e+00;5.497362e+00;9.443874e-01;-1.894861e+01
40;0.400000;1.393797e+00;1.004725e-01;-1.929655e+00;9.522737e+00;1.959870e+00;9.356735e+00;8.299467e+00;3.028417e+00;5.070087e+00;-4.264220e-01;5.677393e+00;3.825159e+00;2.173511e+00;-1.934649e+01
41;0.410000;6.194367e+00;5.098898e+00;-1.813137e+00;-3.783938e+00;-4.674671e+00;1.364590e+01;7.802057e+00;3.207385e+00;-5.266690e+00;1.464347e+00;6.559246e+00;2.309529e+00;3.881897e+00;-5.458130e+00
42;0.420000;6.340118e+00;2.489079e+00;-3.581314e+00;-1.450722e+01;-3.407506e+00;1.353723e+01;4.149045e+00;-2.859326e+00;-7.579335e+00;-5.639614e-01;2.229479e+00;-1.806963e+00;-3.269416e+00;4.253937e+00
43;0.430000;7.393770e+00;5.952377e-01;-3.601234e+00;-1.841827e+01;-4.979038e-02;1.454459e+01;5.686357e+00;-3.619570e+00;-5.846588e+00;-4.846312e-01;1.202690e+00;-1.698732e+00;-2.810781e+00;8.782021e+00
44;0.440000;8.177597e+00;-1.931928e+00;-4.822536e+00;-2.109095e+01;3.410968e+00;1.515405e+01;6.284984e+00;-5.110649e+00;-4.389275e+00;-1.142139e+00;5.716534e-01;-2.823505e+00;-1.561791e+00;8.861320e+00
