frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.328035e+00;6.672065e+00;-8.230567e+00;-5.051415e+00;-3.486743e+00;7.681791e+00;-8.384485e+00;-2.130431e+00;7.091198e-01;-7.078184e+00;1.172883e+00;-3.156234e+00;-1.763964e+00;1.879807e+00
1;0.010000;2.896910e+00;7.262293e+00;-8.561422e+00;-4.142230e+00;-3.717342e+00;8.993629e+00;-9.271223e+00;-2.065243e+00;2.319721e+00;-6.676502e+00;2.841668e+00;-6.408021e+00;-5.304384e-02;9.148941e-01
2;0.020000;1.019603e+00;7.962899e+00;-7.122824e+00;7.491758e-01;-1.631701e+00;7.547392e+00;-7.163427e+00;9.090346e-01;2.603571e+00;-3.803377e+00;5.088113e+00;-8.004559e+00;-7.558060e-01;-2.095032e+00
3;0.030000;-7.126088e-01;7.701584e+00;-5.700712e+00;5.026196e+00;3.023533e+00;6.489580e+00;-4.970319e+00;6.130245e+00;3.619410e+00;-3.038240e+00;4.125319e+00;-9.084526e+00;-8.353333e-01;-4.986198e+00
4;0.040000;-1.095948e+00;8.063600e+00;-5.972805e+00;4.353903e+00;4.949389e+00;4.422340e+00;-5.983126e+00;5.176236e+00;4.809266e+00;-2.297729e+00;2.530538e+00;-1.037224e+01;-1.761574e+00;-5.974014e+00
5;0.050000;-1.263314e+00;8.735670e+00;-6.255868e+00;3.006728e+00;3.493773e+00;2.114912e+00;-6.119921e+00;4.956254e+00;8.709686e+00;-1.326045e+00;5.317612e+00;-6.017467e+00;2.118159e+00;-6.787323e+00
6;0.060000;-1.220842e+00;8.880442e+00;-5.762035e+00;4.670563e+00;4.874341e+00;5.654842e+00;-2.835994e+00;5.220733e+00;6.985505e+00;-2.725588e+00;7.724303e+00;-3.193130e+00;1.876428e+00;-7.377815e+00
7;0.070000;-2.008167e+00;8.087406e+00;-5.007176e+00;6.906172e+00;1.034233e+01;1.031494e+01;2.390947e-01;5.350666e+00;4.336031e+00;-2.220317e+00;7.099019e+00;-4.661646e+00;9.171689e-01;-7.799454e+00
8;0.080000;-2.453214e+00;8.696383e+00;-3.275833e+00;6.393757e+00;9.423218e+00;1.163642e+01;8.791418e-01;3.611731e+00;1.526417e+00;-1.468370e+00;7.840788e+00;-5.501442e+00;2.869075e+00;-8.903915e+00
9;0.090000;-2.263384e+00;8.939745e+00;-1.869264e+00;7.644002e+00;8.438272e+00;1.444084e+01;3.508555e+00;3.897638e+00;-1.367779e-01;-1.337538e+00;7.142856e+00;-7.571158e+00;-6.084619e-01;-9.857147e+00
