frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.048949e+00;3.706434e-01;-1.550246e+01;-5.333800e-01;7.363824e+00;-2.211764e+00;5.296204e+00;-4.893417e+00;-2.901959e-01;-4.182877e+00;-1.719047e+00;-7.956659e-01;-2.738343e-01;-1.306767e+01
1;0.010000;-2.160817e+00;5.280488e+00;-3.682941e+00;4.174882e+00;5.973607e+00;1.092145e+00;3.229737e+00;-8.660450e+00;-6.264980e+00;-5.578399e+00;5.056748e-01;-4.771161e+00;1.184214e+00;-1.199546e+01
2;0.020000;1.013020e+00;6.228123e+00;1.124268e+00;7.334262e+00;3.963679e+00;3.549902e+00;4.058669e+00;-6.265736e+00;-1.054926e+01;-5.020061e+00;-1.784410e+00;-5.641738e+00;2.722569e+00;-9.531151e+00
3;0.030000;2.693018e+00;2.379809e+00;3.507113e+00;6.029539e+00;1.712713e-01;6.704109e+00;1.042015e+01;-4.085245e+00;-1.348311e+01;-5.432004e+00;1.430780e+00;-5.277337e+00;4.763882e+00;-5.109520e+00
4;0.040000;3.399714e+00;2.115631e-01;4.805452e+00;3.948196e+00;-2.166814e+00;8.527447e+00;1.007258e+01;-1.639936e+00;-1.495900e+01;-5.308774e+00;2.332614e+00;-5.203655e+00;6.885907e+00;-1.833786e+00
5;0.050000;3.019233e+00;-4.746299e-01;5.977348e+00;3.224119e+00;-4.099731e-01;9.490763e+00;6.114659e+00;-1.245297e+00;-1.176304e+01;-5.681561e+00;2.531181e+00;-6.892948e+00;6.443603e+00;-9.264832e-01
6;0.060000;2.231430e+00;-9.068809e-01;6.500990e+00;4.423741e+00;2.024797e+00;1.012529e+01;2.042102e+00;-1.269098e+00;-6.720010e+00;-7.929516e+00;2.348835e+00;-6.966044e+00;4.698002e+00;-5.099106e-01
7;0.070000;2.167515e+00;-1.291043e+00;6.555321e+00;5.516175e+00;1.294760e+00;1.154616e+01;7.116852e-01;-1.226337e+00;-6.003159e+00;-8.976223e+00;-2.466660e-01;-5.662234e+00;1.747092e+00;2.080078e-01
8;0.080000;1.984111e+00;-2.690022e+00;7.321064e+00;5.227270e+00;1.312225e+00;1.221379e+01;4.002028e-01;-1.333267e+00;-6.053861e+00;-9.277859e+00;-1.479576e+00;-5.220625e+00;2.180079e-01;1.352570e+00
9;0.090000;2.017407e+00;-4.135799e+00;6.982230e+00;4.854674e+00;2.442680e+00;1.128680e+01;8.728933e-01;-1.734256e+00;-5.176892e+00;-1.001253e+01;-2.533859e+00;-5.540781e+00;-8.433539e-02;1.922920e+00
10;0.100000;2.318871e+00;-4.530084e+00;6.221751e+00;3.909961e+00;3.047678e+00;1.094992e+01;1.471031e+00;-2.505270e+00;-4.908357e+00;-1.017858e+01;-3.366967e+00;-6.634577e+00;-7.691807e-02;2.108704e+00
11;0.110000;3.250990e+00;-3.516108e+00;3.461047e+00;2.131161e+00;-9.495006e-01;8.042953e+00;1.372155e+00;-6.754766e-01;-1.614569e+00;-6.585754e+00;-1.702937e+00;-6.847492e+00;-1.367487e+00;2.790787e+00
12;0.120000;4.556428e+00;-2.865134e+00;6.003780e-01;-5.103002e-01;-4.935860e+00;7.489380e+00;-1.427250e-01;2.115793e+00;-4.614053e-01;-5.072333e+00;-4.659400e-01;-6.286818e+00;-1.322921e+00;3.645271e+00
13;0.130000;5.400457e+00;-2.448582e+00;-2.393684e-01;-4.763145e+00;-6.610809e+00;8.637821e+00;-2.203922e+00;6.808747e+00;1.278489e+00;-4.134291e+00;-3.902006e-02;-6.164443e+00;-2.457571e+00;3.680099e+00
14;0.140000;5.354985e+00;-2.739682e+00;3.873620e-01;-6.258772e+00;-8.522703e+00;9.570557e+00;-3.316720e+00;1.111472e+01;1.602072e+00;-3.067787e+00;1.540098e+00;-5.114447e+00;-4.375335e+00;3.340599e+00
15;0.150000;5.440054e+00;-2.157411e+00;2.771111e-01;-5.961032e+00;-1.133719e+01;8.846441e+00;-3.573549e+00;1.123407e+01;1.514972e+00;-3.940570e+00;1.212574e+00;-5.826626e+00;-5.800040e+00;3.593956e+00
16;0.160000;5.538780e+00;-1.454489e+00;-4.153342e-01;-5.468142e+00;-1.270793e+01;8.890834e+00;-4.267395e+00;1.118145e+01;5.321202e-01;-4.446216e+00;5.985832e-02;-7.144680e+00;-5.071492e+00;3.553864e+00
17;0.170000;5.939458e+00;-1.338149e+00;2.792025e-02;-5.400220e+00;-1.274685e+01;9.967299e+00;-4.971322e+00;1.075653e+01;-1.004608e+00;-5.361244e+00;7.947140e-01;-7.985185e+00;-2.862511e+00;3.290237e+00
18;0.180000;6.425760e+00;-1.294055e+00;1.075747e+00;-3.723301e+00;-1.163013e+01;9.692095e+00;-5.401582e+00;8.100304e+00;-9.959726e-01;-5.307576e+00;1.249415e+00;-7.726860e+00;-1.670724e+00;2.938782e+00
19;0.190000;6.021406e+00;-1.907259e+00;2.938284e+00;-1.911878e+00;-8.893848e+00;1.106489e+01;-3.658556e+00;3.953219e+00;-1.389473e+00;-3.724270e+00;1.799415e+00;-7.352622e+00;-1.379878e+00;2.394135e+00
20;0.200000;4.926043e+00;-2.838081e+00;3.842280e+00;-4.662993e-01;-4.512607e+00;1.256974e+01;1.973324e-01;3.227274e+00;-1.410629e+00;-4.166037e+00;-3.851056e-01;-7.111116e+00;1.775244e-01;2.011665e+00
21;0.210000;4.499544e+00;-3.008376e+00;4.234269e+00;1.530983e+00;-2.974020e+00;1.270267e+01;3.297331e+00;3.030501e+00;-4.167979e+00;-3.584470e+00;-3.621607e-01;-6.100312e+00;2.980965e+00;1.621422e+00
22;0.220000;4.598510e+00;-3.017849e+00;5.047847e+00;3.662054e+00;-2.303859e+00;1.232173e+01;4.039361e+00;8.145661e-01;-9.310144e+00;-4.078403e+00;-9.467978e-01;-4.674186e+00;4.435515e+00;1.564468e+00
23;0.230000;4.375401e+00;-3.196061e+00;6.455114e+00;5.433497e+00;1.059833e-01;1.163608e+01;3.022933e+00;-2.950574e+00;-1.084950e+01;-4.964534e+00;2.144277e+00;-2.830456e+00;3.670433e+00;1.530479e+00
24;0.240000;4.220275e+00;-3.809043e+00;6.697762e+00;7.185231e+00;8.346786e-01;1.106830e+01;2.442952e+00;-5.912241e+00;-9.702188e+00;-4.110793e+00;5.035679e+00;-2.301136e+00;2.855921e+00;1.035103e+00
25;0.250000;3.609583e+00;-3.946319e+00;5.905392e+00;9.900347e+00;2.114352e+00;9.244328e+00;6.380692e-01;-5.889671e+00;-9.232355e+00;-2.669580e+00;5.445380e+00;-3.685912e+00;1.090546e+00;4.353409e-01
26;0.260000;3.085655e+00;-3.850689e+00;6.847774e+00;1.129104e+01;2.823114e+00;6.241739e+00;-2.599792e+00;-4.820267e+00;-8.886040e+00;-2.157778e+00;6.502075e+00;-6.330189e+00;-1.912769e+00;1.616211e-01
27;0.270000;3.112490e+00;-2.971854e+00;6.877246e+00;1.026350e+01;1.944613e+00;4.290660e+00;-2.358143e+00;-3.588834e+00;-7.357238e+00;-1.766739e+00;6.249374e+00;-8.332314e+00;-4.412548e+00;-3.450089e-01
28;0.280000;2.576327e+00;-3.411877e+00;8.314962e+00;1.025793e+01;5.618963e-01;2.582579e+00;-3.874226e+00;-3.378755e+00;-5.425981e+00;-2.992441e+00;5.979614e+00;-7.067621e+00;-5.750388e+00;-3.347015e-01
29;0.290000;1.868464e+00;-6.073187e+00;9.784472e+00;8.407366e+00;-3.381830e+00;1.177977e+00;-3.189212e+00;-5.726242e-02;5.325413e-02;-6.291878e+00;1.281901e+00;-1.431845e-01;-9.255237e+00;2.367119e+00
30;0.300000;1.193995e+00;-7.464983e+00;1.045020e+01;4.780105e+00;-7.025661e+00;3.897917e-02;3.518562e-01;3.347470e+00;3.241121e+00;-8.655417e+00;-1.392846e+00;6.543736e+00;-1.121781e+01;5.156830e+00
31;0.310000;-4.737000e-01;-6.485734e+00;1.234733e+01;1.161760e+00;-7.686368e+00;-5.214593e-01;3.525136e+00;5.052279e+00;3.744515e+00;-9.254851e+00;-1.455119e+00;9.384636e+00;-1.247109e+01;6.097656e+00
