frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.389104e+00;-2.234969e+01;9.367895e+00;-1.041667e+01;-8.441809e+00;-3.963616e+00;-1.140929e+01;5.085968e+00;-5.494590e+00;4.569182e+00;-2.693503e+00;4.096135e+00;-2.260908e+00;1.014101e+01
1;0.010000;2.963840e+00;-2.162023e+01;8.925550e+00;-1.152384e+01;-9.717052e+00;-5.678983e+00;-1.091022e+01;1.929971e+00;-7.831988e+00;1.632018e+00;-2.448780e+00;1.635389e+00;-3.753273e+00;9.016838e+00
2;0.020000;2.793271e+00;-2.059032e+01;8.955807e+00;-1.201601e+01;-9.367170e+00;-7.784932e+00;-1.019327e+01;1.202669e-01;-9.916213e+00;1.934324e+00;-3.362332e+00;1.610219e+00;-4.500930e+00;7.953064e+00
3;0.030000;2.712285e+00;-1.882438e+01;9.054239e+00;-1.467608e+01;-9.345808e+00;-9.093050e+00;-8.311789e+00;-1.523924e+00;-1.221039e+01;3.758811e+00;-5.658267e+00;2.093221e+00;-5.504168e+00;7.009895e+00
4;0.040000;3.261176e+00;-1.899003e+01;1.016138e+01;-1.684594e+01;-7.117754e+00;-9.634833e+00;-6.885710e+00;-2.751408e-01;-1.347267e+01;3.938637e+00;-5.386364e+00;4.219905e+00;-3.230626e+00;6.098724e+00
5;0.050000;3.768856e+00;-1.895963e+01;1.038710e+01;-1.908973e+01;-7.803068e+00;-1.025717e+01;-8.132846e+00;4.811230e-01;-1.529001e+01;5.172323e+00;-3.263078e+00;5.854301e+00;-1.073286e+00;4.852867e+00
6;0.060000;3.512257e+00;-1.635467e+01;1.267363e+01;-1.759416e+01;-8.222778e+00;-9.299379e+00;-8.183474e+00;-2.851944e+00;-1.745438e+01;4.050148e+00;-3.519805e+00;4.413871e+00;-2.350014e+00;3.391983e+00
7;0.070000;3.570874e+00;-1.423676e+01;1.505999e+01;-1.603392e+01;-9.127737e+00;-8.314933e+00;-3.820529e+00;-5.276497e+00;-1.621024e+01;2.497613e+00;-3.920671e+00;3.392766e+00;-3.638367e+00;1.634171e+00
8;0.080000;4.140576e+00;-1.457697e+01;1.407843e+01;-1.564218e+01;-1.046867e+01;-1.052050e+01;-2.438927e+00;-7.219049e+00;-1.636550e+01;4.841655e+00;-4.934799e+00;1.103045e+00;-2.723685e+00;4.816360e-01
9;0.090000;3.943820e+00;-1.422258e+01;1.326620e+01;-1.505322e+01;-1.508592e+01;-1.443921e+01;-1.433614e+00;-9.758343e+00;-2.213426e+01;4.035128e+00;-3.831488e+00;9.265242e-01;-1.413687e+00;-9.428024e-01
10;0.100000;3.630729e+00;-1.252898e+01;1.126909e+01;-9.986761e+00;-1.661591e+01;-1.554432e+01;-1.738963e+00;-1.005860e+01;-2.450010e+01;3.224002e+00;-2.636993e+00;-1.561229e+00;-1.710010e+00;-1.557114e+00
11;0.110000;2.815361e+00;-1.070904e+01;7.714930e+00;-4.178408e+00;-1.620982e+01;-1.594750e+01;-2.191286e+00;-9.082707e+00;-2.235382e+01;3.639497e+00;-1.588585e+00;-4.624895e+00;-5.200806e-01;-1.991020e+00
12;0.120000;1.844909e+00;-8.424088e+00;4.853953e+00;-9.453382e-01;-1.724384e+01;-1.567862e+01;-3.903899e-01;-8.994673e+00;-1.810492e+01;2.789892e+00;2.608491e+00;-6.524629e+00;1.672378e+00;-2.507263e+00
13;0.130000;3.817005e-01;-4.395954e+00;2.305891e+00;3.065136e+00;-1.768157e+01;-1.768249e+01;9.909267e-01;-1.230537e+01;-1.161239e+01;-5.853701e-02;2.567486e+00;-5.426753e+00;2.164882e+00;-2.844292e+00
14;0.140000;-1.918993e+00;1.907864e+00;2.380413e+00;5.448185e+00;-1.721409e+01;-2.174859e+01;4.314939e+00;-1.305733e+01;-7.595674e+00;-1.461131e+00;2.448740e+00;-4.272058e+00;5.980844e-01;-3.096291e+00
15;0.150000;-4.094069e+00;7.283070e+00;2.624804e+00;8.050435e+00;-1.692237e+01;-2.188827e+01;4.583181e+00;-9.736952e+00;-4.275693e+00;-2.210464e-01;6.101061e-01;-3.766718e+00;-1.936517e-01;-3.527695e+00
16;0.160000;-4.225521e+00;6.218979e+00;-7.471473e+00;9.621520e+00;-6.505823e+00;-1.054229e+01;-4.950333e-02;-1.047244e+01;1.040174e+00;2.141198e+00;-9.034944e-02;-4.956759e+00;9.914279e-01;-1.302353e+00
17;0.170000;-5.753075e+00;1.141035e+01;-7.176715e+00;1.187111e+01;-4.755849e+00;-1.040668e+01;2.974198e+00;-8.670272e+00;1.988375e+00;6.779617e+00;2.769331e+00;-2.882567e+00;5.735168e+00;-1.327599e+00
18;0.180000;-6.278395e+00;1.571363e+01;-3.813436e+00;1.396014e+01;-1.706098e+00;-1.049817e+01;5.716911e+00;-4.845359e+00;1.121930e+00;1.068583e+01;5.554531e+00;-3.128464e+00;8.484097e+00;-1.204018e+00
19;0.190000;-5.783600e+00;2.023400e+01;-9.046359e-01;1.346208e+01;-1.849174e+00;-8.262017e+00;1.315415e+01;4.895847e+00;2.457397e+00;9.805296e+00;6.388755e+00;-3.352678e+00;6.291228e+00;-1.570450e+00
20;0.200000;-5.509304e+00;1.732705e+01;-5.502982e+00;1.548853e+01;3.118223e+00;-2.462515e+00;1.674940e+01;8.894285e+00;8.502153e+00;8.534075e+00;5.284530e+00;-2.923898e+00;1.519918e+00;-1.248520e+00
21;0.210000;-6.060947e+00;1.757932e+01;-2.619892e+00;1.566854e+01;6.221447e-01;-1.490315e+00;1.743699e+01;8.623190e+00;8.658400e+00;4.946290e+00;4.435708e+00;9.372520e-02;-1.374059e-01;-1.723366e+00
22;0.220000;-5.119516e+00;1.619943e+01;-3.688333e+00;1.549767e+01;6.636333e-01;2.692672e-01;1.276854e+01;4.001409e+00;7.778717e+00;3.976779e+00;2.253994e+00;-1.458275e+00;2.711666e+00;-9.262085e-01
23;0.230000;-2.531067e+00;1.574889e+01;-8.104564e+00;8.766223e+00;-6.354116e+00;5.396441e-01;1.344116e+01;8.065384e+00;1.143814e+01;8.466587e-01;-3.387061e+00;-7.526521e+00;5.586753e-01;4.139862e-01
24;0.240000;3.183535e+00;1.786601e+01;-1.243685e+01;1.592629e+00;-8.269894e+00;1.624275e+00;1.359572e+01;1.302536e+01;1.187161e+01;-1.193947e+00;-4.254826e+00;-4.832165e+00;1.659487e+00;3.239174e+00
25;0.250000;5.579480e+00;2.301000e+01;-1.149189e+01;-3.412148e+00;-9.846413e+00;4.150652e+00;1.780587e+01;1.493528e+01;6.054952e+00;-2.238591e+00;-2.662388e+00;-2.117311e+00;2.003770e+00;3.562279e+00
26;0.260000;5.537265e+00;2.343844e+01;-1.121906e+01;-3.933973e-01;-6.560022e+00;4.847717e+00;1.494086e+01;1.323857e+01;8.120677e+00;1.738248e-01;-5.739201e+00;-3.797121e+00;4.431293e+00;3.110611e+00
27;0.270000;3.053465e+00;2.029957e+01;-8.854927e+00;6.643985e+00;-4.287949e+00;2.659223e+00;1.292251e+01;1.109523e+01;9.524220e+00;1.880341e+00;-7.651326e+00;-4.354621e+00;5.198149e+00;1.574928e+00
28;0.280000;-3.935623e-02;1.635923e+01;-7.683379e+00;1.223956e+01;-1.406081e+00;7.011992e-01;1.104246e+01;6.839418e+00;1.367963e+01;5.928429e+00;-4.876400e+00;-3.578761e+00;3.529242e+00;-4.591370e-02
29;0.290000;-4.052982e-01;1.357002e+01;-1.013983e+01;1.346463e+01;3.700354e+00;7.011648e-01;3.594610e+00;1.859956e+00;1.250261e+01;3.483507e+00;-2.785975e+00;-2.066604e+00;2.564619e+00;5.871353e-01
30;0.300000;-2.814079e+00;1.763616e+01;-4.717452e+00;1.345469e+01;1.679926e-01;-2.664686e+00;8.236228e+00;3.641906e+00;8.381472e+00;6.823884e+00;-1.228355e-01;-1.313695e+00;6.665927e+00;-1.966835e+00
31;0.310000;-2.207312e+00;1.517690e+01;-7.566018e+00;1.277811e+01;4.202950e+00;2.308129e+00;7.915937e+00;2.669974e+00;9.154559e+00;5.556638e+00;5.741857e-01;3.459280e+00;1.008510e+01;-1.657990e+00
32;0.320000;5.129356e-01;1.381210e+01;-1.222141e+01;1.120272e+01;5.442841e+00;8.572097e+00;1.019626e+01;-1.255808e-01;7.274930e+00;-1.357925e+00;-2.601599e+00;5.035828e+00;1.054363e+01;-4.410706e-01
33;0.330000;2.185846e+00;1.800467e+01;-1.186926e+01;7.728173e+00;5.157265e+00;1.268304e+01;1.558529e+01;-6.302214e-01;1.911561e+00;-1.528701e+00;-2.532221e+00;3.687711e+00;1.328870e+01;-5.214081e-01
34;0.340000;1.167544e+00;1.759935e+01;-9.711811e+00;1.017893e+01;8.483864e+00;1.298900e+01;1.455908e+01;2.421320e+00;4.301781e+00;1.411375e+00;-1.326221e+00;1.808316e+00;1.599588e+01;-8.607101e-01
35;0.350000;-1.792194e+00;1.847922e+01;-4.859486e+00;1.434324e+01;3.284935e+00;7.005657e+00;1.687068e+01;4.139904e+00;6.456278e+00;6.608023e+00;3.535343e+00;2.936327e+00;1.900309e+01;-3.531082e+00
36;0.360000;-1.742121e+00;1.559476e+01;-5.146080e+00;1.719383e+01;3.713119e+00;2.623844e+00;1.216792e+01;1.101189e-01;7.615389e+00;7.199379e+00;3.696729e+00;2.113455e+00;1.600785e+01;-3.831757e+00
