frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;8.311341e-01;8.205128e+01;7.356964e-01;0;0;6.162183e-02
1;0.010000;8.564103e-01;1.643140e+02;1.204838e+00;9.214363e-04;1.723921e-03;8.272895e-02
2;0.020000;8.627603e-01;2.470019e+02;1.458410e+00;1.842873e-03;3.447842e-03;1.038361e-01
3;0.030000;8.065548e-01;2.482862e+02;1.790768e+00;2.764309e-03;5.171763e-03;6.332139e-02
4;0.040000;7.443483e-01;2.500135e+02;1.310740e+00;4.997652e-03;4.797518e-03;1.077437e-01
5;0.050000;7.386156e-01;2.515362e+02;1.005874e+00;2.301699e-02;1.737279e-02;2.455894e-01
6;0.060000;7.736124e-01;2.513315e+02;2.261345e-01;9.116843e-02;4.194911e-02;2.862851e-01
7;0.070000;8.266526e-01;2.491834e+02;2.676488e-01;9.000058e-02;7.314216e-02;3.183537e-01
8;0.080000;8.260541e-01;2.466055e+02;4.180724e-01;7.704323e-02;6.303247e-02;2.465745e-01
9;0.090000;7.664372e-01;2.453166e+02;4.395786e-01;1.395378e-02;4.092172e-02;2.719451e-01
10;0.100000;6.905479e-01;2.455259e+02;5.801663e-01;2.145235e-02;1.080828e-02;1.958398e-01
11;0.110000;6.110283e-01;2.453229e+02;4.799879e-01;3.025372e-02;1.246341e-02;1.215853e-01
12;0.120000;5.367985e-01;2.451221e+02;6.119914e-01;8.472114e-02;5.662122e-02;5.327747e-02
13;0.130000;5.475564e-01;1.630708e+02;5.416794e-01;1.049820e-01;1.058229e-01;8.819047e-02
14;0.140000;6.212885e-01;1.564075e+02;5.139167e-01;1.081289e-01;1.353057e-01;9.076911e-02
15;0.150000;7.662689e-01;1.502448e+02;3.614279e-01;6.372411e-02;9.022837e-02;2.042954e-01
16;0.160000;8.528793e-01;2.264352e+02;2.513511e-01;3.816931e-02;4.696660e-02;2.057179e-01
17;0.170000;9.001873e-01;2.280416e+02;4.688953e-01;2.425253e-02;1.270449e-02;2.359639e-01
18;0.180000;9.235038e-01;2.293023e+02;1.003338e+00;9.126165e-03;1.060019e-02;1.450680e-01
19;0.190000;9.244618e-01;2.302207e+02;1.139101e+00;6.209746e-03;2.508526e-03;1.072686e-01
20;0.200000;9.110999e-01;2.315197e+02;8.997628e-01;3.470113e-03;1.720692e-03;8.155385e-02
21;0.210000;8.766142e-01;2.336060e+02;1.027619e+00;7.077381e-03;3.789465e-03;7.574008e-02
22;0.220000;8.370021e-01;2.371144e+02;9.753124e-01;8.418762e-03;5.405148e-03;6.612946e-02
23;0.230000;8.072361e-01;2.419257e+02;1.217522e+00;1.112157e-02;7.113402e-03;5.789558e-02
24;0.240000;7.669423e-01;2.473202e+02;1.201155e+00;1.196523e-02;5.389506e-03;2.547800e-02
25;0.250000;7.282219e-01;2.534550e+02;1.281971e+00;1.179286e-02;5.910976e-03;5.743514e-02
26;0.260000;7.095215e-01;2.611479e+02;1.428166e+00;2.217317e-02;1.373177e-02;9.242972e-02
27;0.270000;6.827020e-01;2.691478e+02;1.000226e+00;2.418756e-02;1.951257e-02;1.519444e-01
28;0.280000;7.154720e-01;2.751501e+02;1.146849e+00;2.474855e-02;2.154434e-02;3.112830e-01
29;0.290000;7.695961e-01;2.799707e+02;1.150298e+00;2.247213e-02;1.830856e-02;3.425449e-01
30;0.300000;8.699229e-01;2.847206e+02;1.132036e+00;1.727829e-02;1.632727e-02;3.452994e-01
31;0.310000;9.176481e-01;2.889359e+02;9.861221e-01;1.442242e-02;1.263345e-02;1.534780e-01
32;0.320000;9.163189e-01;2.909091e+02;5.957672e-01;2.443186e-03;6.109414e-03;9.702896e-02
33;0.330000;8.941994e-01;2.909091e+02;6.122515e-01;1.434463e-03;1.822348e-03;4.765083e-02
34;0.340000;8.421979e-01;2.909091e+02;3.729531e-01;6.625365e-03;4.288609e-03;3.852905e-02
35;0.350000;7.379789e-01;2.906170e+02;5.955816e-01;1.185889e-02;4.323316e-03;2.866287e-02
36;0.360000;6.777112e-01;2.909198e+02;5.368899e-01;8.638862e-02;7.488837e-02;1.519545e-01
37;0.370000;6.354508e-01;2.930299e+02;6.952136e-01;1.056604e-01;1.104731e-01;1.976036e-01
38;0.380000;6.317590e-01;2.948371e+02;6.268658e-01;1.046339e-01;1.540933e-01;2.550531e-01
39;0.390000;5.828822e-01;2.945343e+02;7.421477e-01;7.057049e-02;1.209639e-01;2.066363e-01
40;0.400000;5.889875e-01;1.954545e+02;5.732224e-01;8.760718e-02;1.206189e-01;2.512470e-01
41;0.410000;6.700712e-01;1.844014e+02;6.187572e-01;1.222137e-01;1.034603e-01;2.412313e-01
42;0.420000;7.910736e-01;1.760914e+02;5.652169e-01;1.024419e-01;1.052549e-01;3.314495e-01
43;0.430000;8.730092e-01;2.652341e+02;8.934984e-01;7.698039e-02;7.910292e-02;2.702302e-01
44;0.440000;9.064900e-01;2.659573e+02;9.720690e-01;4.102162e-02;5.401413e-02;2.581036e-01
45;0.450000;9.164083e-01;2.647320e+02;1.228480e+00;2.849451e-02;1.976825e-02;8.758970e-02
46;0.460000;9.223461e-01;2.623107e+02;1.293628e+00;1.540721e-02;1.362436e-02;6.912384e-02
47;0.470000;9.199974e-01;2.604098e+02;1.541139e+00;1.584911e-02;1.420178e-02;6.373289e-02
48;0.480000;9.032040e-01;2.624979e+02;1.432822e+00;1.085201e-02;1.156643e-02;8.901721e-02
49;0.490000;8.670411e-01;2.687996e+02;1.338753e+00;1.649569e-02;8.984372e-03;1.347560e-01
50;0.500000;8.056676e-01;2.720680e+02;8.101136e-01;1.597316e-02;1.051426e-02;1.481190e-01
51;0.510000;6.845755e-01;2.685671e+02;4.432602e-01;1.162050e-02;7.142209e-03;1.120997e-01
52;0.520000;6.081039e-01;1.755439e+02;1.571868e-01;2.876855e-03;3.561422e-03;1.735743e-01
53;0.530000;6.265216e-01;1.835825e+02;1.220445e-01;3.511875e-02;7.794612e-03;2.059395e-01
54;0.540000;7.263973e-01;1.951220e+02;2.921897e-01;5.042144e-02;2.381570e-02;3.459622e-01
55;0.550000;7.846820e-01;2.923873e+02;3.196071e-01;6.189134e-02;2.817505e-02;3.082613e-01
56;0.560000;7.395067e-01;2.923909e+02;6.381991e-01;4.032165e-02;2.842596e-02;2.843778e-01
57;0.570000;6.676816e-01;2.923945e+02;7.670888e-01;6.351736e-02;2.945034e-02;3.572112e-01
58;0.580000;6.806774e-01;2.918068e+02;8.229318e-01;6.090657e-02;3.650357e-02;3.263169e-01
59;0.590000;7.560700e-01;2.856783e+02;5.054597e-01;6.621852e-02;4.101487e-02;3.514233e-01
60;0.600000;8.534371e-01;2.748351e+02;5.324460e-01;3.403467e-02;4.241936e-02;2.470655e-01
61;0.610000;8.719754e-01;2.622449e+02;5.798905e-01;2.802324e-02;3.177073e-02;2.262514e-01
62;0.620000;8.641147e-01;2.518221e+02;1.059362e+00;1.200993e-02;1.997785e-02;1.667975e-01
63;0.630000;8.555758e-01;2.459086e+02;1.056216e+00;1.115866e-02;5.823357e-03;1.083928e-01
64;0.640000;8.480266e-01;2.424263e+02;1.170486e+00;1.148181e-02;8.159631e-03;1.103599e-01
65;0.650000;8.054406e-01;2.418151e+02;8.336968e-01;9.399734e-03;9.809052e-03;1.276723e-01
66;0.660000;7.675929e-01;2.414091e+02;4.781837e-01;5.914188e-03;6.730252e-03;1.381173e-01
67;0.670000;7.751139e-01;2.406090e+02;4.218605e-01;1.392910e-02;1.277168e-02;1.725807e-01
68;0.680000;8.356611e-01;2.394149e+02;5.205305e-01;2.607190e-02;2.561314e-02;2.364374e-01
69;0.690000;8.838376e-01;2.382208e+02;8.075077e-01;2.625185e-02;2.479283e-02;1.781053e-01
70;0.700000;8.757054e-01;2.376238e+02;1.168868e+00;1.722379e-02;1.604752e-02;1.147317e-01
71;0.710000;8.203213e-01;2.372355e+02;9.362956e-01;6.331190e-03;1.775508e-03;2.337857e-02
72;0.720000;7.295697e-01;2.362676e+02;8.706956e-01;7.806143e-03;3.184908e-03;8.594637e-02
73;0.730000;6.721096e-01;2.354930e+02;7.065665e-01;1.232655e-02;4.242945e-03;1.857188e-01
74;0.740000;6.549584e-01;2.354911e+02;7.640240e-01;1.602191e-02;4.857669e-03;3.041806e-01
75;0.750000;6.816314e-01;2.362638e+02;6.937311e-01;2.524791e-02;9.698787e-03;3.272563e-01
76;0.760000;6.716087e-01;2.370385e+02;3.925093e-01;2.818698e-02;1.626287e-02;2.752754e-01
