frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;4.373035e-01;0;2.570353e-01;0;0;0
1;0.010000;3.546499e-01;0;2.035729e-01;0;0;0
2;0.020000;2.540283e-01;0;1.508506e-01;0;0;0
3;0.030000;1.903221e-01;0;1.092303e-01;0;0;0
4;0.040000;1.576452e-01;0;1.585808e-01;0;0;0
5;0.050000;1.391326e-01;0;2.651236e-01;0;0;0
6;0.060000;1.369448e-01;0;2.989239e-01;0;0;0
7;0.070000;1.267031e-01;0;3.739769e-01;0;0;0
8;0.080000;1.237851e-01;0;3.844602e-01;0;0;0
9;0.090000;1.220086e-01;0;4.686923e-01;0;0;0
10;0.100000;1.769155e-01;0;3.658161e-01;0;0;0
11;0.110000;4.028152e-01;0;4.025687e-01;0;0;1.085661e-01
12;0.120000;6.565909e-01;1.134752e+02;4.024936e-01;3.071751e-02;0;1.190414e-01
13;0.130000;8.695529e-01;2.265508e+02;4.748668e-01;5.563740e-02;3.573854e-02;2.015469e-01
14;0.140000;9.106482e-01;3.380612e+02;3.484130e-01;5.894050e-02;3.758236e-02;1.632204e-01
15;0.150000;9.256977e-01;3.345530e+02;6.683505e-01;3.326349e-02;3.912215e-02;1.618664e-01
16;0.160000;9.409636e-01;3.303260e+02;8.267688e-01;1.117404e-02;7.186729e-03;1.153792e-01
17;0.170000;9.479173e-01;3.265608e+02;1.278799e+00;9.849125e-03;8.314719e-03;5.816169e-02
18;0.180000;9.264095e-01;3.239764e+02;1.450298e+00;6.307533e-03;9.366957e-03;5.898368e-02
19;0.190000;8.644627e-01;3.225104e+02;1.355135e+00;6.526871e-03;7.283167e-03;8.220703e-02
20;0.200000;8.359706e-01;3.221476e+02;1.075196e+00;5.679270e-03;6.871603e-03;1.234409e-01
21;0.210000;8.449264e-01;3.225104e+02;5.808880e-01;6.879663e-03;7.044402e-03;1.814417e-01
22;0.220000;8.882906e-01;3.232360e+02;4.484321e-01;8.078199e-03;9.048784e-03;2.068851e-01
23;0.230000;8.726726e-01;3.239615e+02;3.188254e-01;8.999565e-03;7.902258e-03;1.959753e-01
24;0.240000;7.945858e-01;3.243243e+02;3.229704e-01;8.291717e-03;7.945381e-03;1.338842e-01
25;0.250000;7.793515e-01;3.246920e+02;5.673681e-01;1.960942e-02;1.633925e-02;8.886677e-02
26;0.260000;8.047357e-01;3.210057e+02;6.213031e-01;5.765266e-02;3.230578e-02;1.996089e-01
27;0.270000;8.779817e-01;3.128976e+02;5.493898e-01;6.064431e-02;4.732296e-02;2.600987e-01
28;0.280000;8.946512e-01;3.038045e+02;8.541487e-01;4.681004e-02;3.775102e-02;2.745613e-01
29;0.290000;8.864276e-01;2.975459e+02;1.516427e+00;8.442054e-03;2.194855e-02;1.504945e-01
30;0.300000;8.330634e-01;2.948112e+02;1.975296e+00;5.095146e-03;6.696364e-03;9.821898e-02
31;0.310000;7.105451e-01;2.918176e+02;1.720999e+00;3.363398e-03;4.150743e-03;4.408873e-02
32;0.320000;5.915804e-01;1.936544e+02;1.019992e+00;1.636183e-03;2.572957e-03;1.406731e-02
33;0.330000;5.512731e-01;9.638904e+01;7.649383e-01;1.782151e-02;0;8.393878e-02
34;0.340000;5.772986e-01;1.038961e+02;5.066781e-01;4.813091e-02;1.453019e-02;1.574130e-01
35;0.350000;6.039613e-01;2.049239e+02;7.599390e-01;7.844032e-02;2.906039e-02;2.308872e-01
36;0.360000;6.183595e-01;3.049591e+02;7.136562e-01;6.626115e-02;4.364200e-02;1.858635e-01
37;0.370000;6.485877e-01;2.962173e+02;7.504261e-01;4.181080e-02;3.061527e-02;1.428909e-01
38;0.380000;7.085732e-01;2.835872e+02;6.644819e-01;4.309399e-02;4.126330e-02;1.197179e-01
39;0.390000;7.782218e-01;2.719499e+02;8.303728e-01;4.044479e-02;5.499746e-02;2.131909e-01
40;0.400000;8.393204e-01;2.647103e+02;9.229456e-01;3.661216e-02;5.526628e-02;2.023767e-01
41;0.410000;8.778101e-01;2.635066e+02;9.665466e-01;7.972742e-03;3.179336e-02;1.660809e-01
42;0.420000;8.733533e-01;2.615979e+02;7.542076e-01;6.403223e-03;5.010139e-03;5.151014e-02
43;0.430000;8.549909e-01;2.592471e+02;6.699727e-01;7.934774e-03;6.341110e-03;9.986862e-02
44;0.440000;8.267401e-01;2.567114e+02;6.831166e-01;8.401901e-03;4.736973e-03;9.045398e-02
45;0.450000;7.993709e-01;2.542125e+02;7.382534e-01;9.328756e-03;3.885593e-03;1.163374e-01
46;0.460000;7.901368e-01;2.519841e+02;8.321257e-01;2.286418e-02;1.596508e-02;1.081100e-01
47;0.470000;7.974756e-01;2.500135e+02;7.215382e-01;3.952105e-02;3.287489e-02;1.834713e-01
48;0.480000;7.928283e-01;2.480769e+02;4.779325e-01;4.116818e-02;4.005997e-02;1.715136e-01
49;0.490000;7.387630e-01;2.461668e+02;2.991804e-01;2.746978e-02;2.972190e-02;1.521914e-01
50;0.500000;7.046235e-01;2.473313e+02;3.837676e-01;1.286813e-02;1.279880e-02;2.253463e-01
51;0.510000;7.038553e-01;2.513018e+02;4.446373e-01;3.087964e-02;1.700053e-02;3.621768e-01
52;0.520000;7.654641e-01;2.526571e+02;5.824561e-01;3.802155e-02;2.071501e-02;3.541451e-01
53;0.530000;8.132007e-01;2.494139e+02;6.655959e-01;5.005110e-02;3.159760e-02;3.297604e-01
54;0.540000;8.546298e-01;2.450247e+02;6.938003e-01;3.398923e-02;3.887603e-02;2.007533e-01
55;0.550000;8.753516e-01;2.447203e+02;7.487621e-01;2.508398e-02;3.295961e-02;1.947638e-01
56;0.560000;8.797597e-01;2.472286e+02;5.521967e-01;9.229335e-03;2.362826e-02;1.043094e-01
57;0.570000;8.795211e-01;2.491453e+02;6.622308e-01;4.932552e-03;5.920961e-03;1.030107e-01
58;0.580000;8.718843e-01;2.508818e+02;5.905828e-01;5.024822e-03;5.911930e-03;1.087598e-01
59;0.590000;8.562327e-01;2.526456e+02;7.787819e-01;4.757064e-03;4.801186e-03;9.515226e-02
60;0.600000;7.839866e-01;2.548905e+02;7.873116e-01;4.688549e-03;3.432097e-03;7.538600e-02
61;0.610000;7.427458e-01;2.591186e+02;6.678653e-01;7.071476e-03;2.726368e-03;7.452112e-02
62;0.620000;7.312743e-01;2.651494e+02;4.940875e-01;9.988196e-03;5.590487e-03;1.179881e-01
63;0.630000;7.607374e-01;2.713101e+02;5.430692e-01;1.200295e-02;6.352115e-03;1.156885e-01
64;0.640000;7.962424e-01;2.753546e+02;9.606242e-01;8.028255e-03;7.890102e-03;1.821554e-01
65;0.650000;8.154954e-01;2.736961e+02;7.787011e-01;2.893391e-02;2.958048e-02;1.569959e-01
66;0.660000;7.740269e-01;2.696936e+02;5.657157e-01;2.850986e-02;3.978148e-02;1.651471e-01
67;0.670000;5.662944e-01;2.661079e+02;3.140617e-01;3.312229e-02;3.769276e-02;1.030735e-01
68;0.680000;3.391334e-01;1.768544e+02;5.014972e-01;7.917230e-03;1.260988e-02;6.010571e-02
69;0.690000;1.843952e-01;8.889986e+01;6.033188e-01;4.744594e-03;1.377210e-03;3.575258e-02
70;0.700000;1.491791e-01;0;6.146687e-01;0;0;0
71;0.710000;1.946750e-01;0;5.931048e-01;0;0;1.239044e-01
72;0.720000;3.462335e-01;0;7.004132e-01;4.029510e-02;0;2.479522e-01
73;0.730000;5.714743e-01;100;6.749776e-01;6.530379e-02;8.364200e-03;2.942260e-01
74;0.740000;7.657312e-01;1.951977e+02;7.291975e-01;7.115617e-02;2.486094e-02;2.339554e-01
75;0.750000;8.475046e-01;2.855932e+02;7.425663e-01;3.790428e-02;2.957057e-02;1.675457e-01
76;0.760000;8.447731e-01;2.759887e+02;6.044150e-01;1.674458e-02;2.431926e-02;1.547841e-01
77;0.770000;8.167765e-01;2.711864e+02;6.496515e-01;2.862497e-02;2.140290e-02;1.772289e-01
78;0.780000;7.825503e-01;2.704331e+02;5.021688e-01;2.851286e-02;3.166172e-02;1.329936e-01
79;0.790000;7.864674e-01;2.689266e+02;4.757440e-01;3.377700e-02;3.700336e-02;2.218833e-01
80;0.800000;7.597844e-01;2.669316e+02;2.077754e-01;2.436784e-02;2.968690e-02;1.780242e-01
81;0.810000;6.570013e-01;2.654443e+02;1.020130e-01;1.743674e-02;1.471845e-02;1.646214e-01
82;0.820000;5.204322e-01;1.765554e+02;1.738461e-01;8.323594e-03;6.263916e-03;4.221955e-02
83;0.830000;4.728680e-01;8.815494e+01;1.694048e-01;0;0;0
84;0.840000;4.948746e-01;0;1.778140e-01;5.323252e-03;0;1.079933e-01
85;0.850000;6.232731e-01;0;2.612073e-01;6.259516e-03;2.427123e-03;1.317855e-01
86;0.860000;7.244057e-01;1.081081e+02;5.472577e-01;1.441318e-01;1.108778e-01;1.934121e-01
87;0.870000;8.500431e-01;2.165839e+02;7.481722e-01;1.443127e-01;1.586210e-01;1.697654e-01
88;0.880000;8.746378e-01;3.261781e+02;9.308721e-01;1.468645e-01;1.582194e-01;1.602904e-01
89;0.890000;8.251007e-01;3.284148e+02;7.883583e-01;1.370077e-02;5.196499e-02;2.314573e-01
90;0.900000;7.009382e-01;3.302838e+02;9.627245e-01;1.290515e-02;6.418123e-03;2.799040e-01
91;0.910000;5.235853e-01;2.206897e+02;7.060784e-01;9.417051e-03;4.392644e-03;2.655869e-01
92;0.920000;4.292956e-01;1.103448e+02;6.344509e-01;4.708525e-03;2.196322e-03;1.401241e-01
93;0.930000;5.234316e-01;0;2.974012e-01;3.333333e-01;3.333333e-01;8.526111e-02
94;0.940000;7.126361e-01;1.300813e+02;3.400306e-01;3.721127e-01;3.580156e-01;1.539395e-01
95;0.950000;8.640976e-01;2.601626e+02;3.846060e-01;4.112914e-01;3.974014e-01;2.714784e-01
96;0.960000;9.063000e-01;3.886953e+02;4.490326e-01;8.024261e-02;6.681032e-02;2.316660e-01
97;0.970000;9.246339e-01;3.846061e+02;4.732412e-01;5.001622e-02;4.701309e-02;1.816784e-01
98;0.980000;9.411497e-01;3.790403e+02;4.504887e-01;1.316562e-02;1.118157e-02;6.407300e-02
99;0.990000;9.474998e-01;3.740615e+02;9.273615e-01;1.236002e-02;9.793198e-03;4.235789e-02
100;1.000000;9.467584e-01;3.706766e+02;1.619993e+00;5.766117e-03;5.927660e-03;7.066312e-02
101;1.010000;9.420556e-01;3.678359e+02;1.702668e+00;5.327754e-03;4.426299e-03;9.352387e-02
102;1.020000;9.232547e-01;3.645895e+02;1.480611e+00;5.652795e-03;5.489053e-03;9.625310e-02
103;1.030000;8.565295e-01;3.609431e+02;8.477847e-01;7.114949e-03;8.997463e-03;7.897193e-02
104;1.040000;7.257967e-01;3.586780e+02;9.201777e-01;1.422141e-02;1.215442e-02;1.117976e-01
105;1.050000;5.959447e-01;2.383704e+02;8.234752e-01;3.042406e-02;1.777368e-02;1.714195e-01
106;1.060000;4.892504e-01;1.194096e+02;7.121195e-01;2.700284e-02;1.324579e-02;1.417047e-01
107;1.070000;4.304226e-01;0;4.616163e-01;1.800660e-02;8.035881e-03;7.875409e-02
108;1.080000;3.508978e-01;0;4.227637e-01;9.387173e-03;0;1.348293e-01
109;1.090000;2.921068e-01;0;4.989347e-01;1.940684e-02;7.846241e-04;1.781588e-01
110;1.100000;2.686397e-01;0;7.371373e-01;1.940684e-02;7.846241e-04;1.781588e-01
111;1.110000;3.604478e-01;0;5.834945e-01;1.001966e-02;7.846241e-04;4.332951e-02
112;1.120000;5.433702e-01;0;5.365928e-01;0;0;1.457292e-01
113;1.130000;7.096214e-01;9.876543e+01;3.710084e-01;8.439308e-02;6.786004e-02;3.826166e-01
