frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;5.381121e-01;0;2.560188e-01;0;0;0
1;0.010000;4.763659e-01;0;2.639597e-01;0;0;0
2;0.020000;4.669045e-01;0;2.609393e-01;0;0;0
3;0.030000;5.125743e-01;0;2.482899e-01;0;0;2.725532e-01
4;0.040000;6.938264e-01;4.244032e+01;1.812295e-01;3.702459e-02;0;4.757650e-01
5;0.050000;8.327352e-01;8.598443e+01;1.776024e-01;9.646636e-02;2.901959e-02;4.871097e-01
6;0.060000;9.008226e-01;1.404369e+02;2.523826e-01;9.719896e-02;8.759811e-02;2.186996e-01
7;0.070000;9.143111e-01;1.626454e+02;3.664371e-01;6.156549e-02;8.835777e-02;4.529918e-02
8;0.080000;9.218681e-01;1.841420e+02;6.107461e-01;3.514844e-03;6.009784e-02;6.376582e-02
9;0.090000;9.251341e-01;1.948629e+02;8.306923e-01;4.173359e-03;2.278985e-03;8.943403e-02
10;0.100000;9.264557e-01;1.957889e+02;1.093030e+00;7.645356e-03;4.227938e-03;7.926830e-02
11;0.110000;9.211979e-01;1.967280e+02;1.136454e+00;7.138848e-03;7.459686e-03;6.673665e-02
12;0.120000;9.167166e-01;1.976702e+02;1.057192e+00;8.533321e-03;9.745271e-03;5.517499e-02
13;0.130000;8.917820e-01;1.982111e+02;9.065605e-01;6.455798e-03;1.008190e-02;5.377906e-02
14;0.140000;8.625913e-01;1.983471e+02;6.792672e-01;5.811112e-03;8.754372e-03;5.884392e-02
15;0.150000;8.578991e-01;1.978096e+02;4.768908e-01;5.309413e-03;7.724238e-03;7.905501e-02
16;0.160000;8.811194e-01;1.967345e+02;3.241240e-01;8.748222e-03;1.234418e-02;1.196942e-01
17;0.170000;9.123399e-01;1.956595e+02;3.071732e-01;1.057976e-02;1.210923e-02;1.216187e-01
18;0.180000;9.219441e-01;1.951219e+02;3.136039e-01;9.811067e-03;1.130616e-02;8.735128e-02
19;0.190000;9.242030e-01;1.951219e+02;2.333241e-01;4.121586e-03;4.156755e-03;3.892281e-02
20;0.200000;9.235060e-01;1.951219e+02;4.157567e-01;2.367212e-03;2.309689e-03;3.449297e-02
21;0.210000;9.187134e-01;1.951219e+02;6.649681e-01;1.001972e-03;1.235660e-03;3.218796e-02
22;0.220000;9.072033e-01;1.951219e+02;8.752586e-01;1.334751e-03;1.438008e-03;5.248904e-02
23;0.230000;8.890038e-01;1.951219e+02;1.062526e+00;1.885359e-03;1.574278e-03;6.341127e-02
24;0.240000;8.860252e-01;1.956595e+02;1.046326e+00;5.838512e-03;4.682356e-03;6.984460e-02
25;0.250000;8.937033e-01;1.967345e+02;1.116008e+00;9.073923e-03;7.210317e-03;4.740473e-02
26;0.260000;9.036055e-01;1.978096e+02;8.469740e-01;1.275729e-02;1.289301e-02;3.868915e-02
27;0.270000;9.048648e-01;1.983471e+02;7.125139e-01;8.854589e-03;9.844791e-03;6.685627e-02
28;0.280000;8.981687e-01;1.982111e+02;5.369419e-01;1.184685e-02;1.113966e-02;9.793945e-02
29;0.290000;8.975307e-01;1.979390e+02;5.571726e-01;1.017483e-02;8.328828e-03;1.065736e-01
30;0.300000;8.852871e-01;1.976669e+02;6.026613e-01;1.094396e-02;9.324386e-03;7.660132e-02
31;0.310000;8.569546e-01;1.973960e+02;8.411379e-01;5.912650e-03;8.353376e-03;7.136781e-02
32;0.320000;8.401777e-01;1.965973e+02;9.485133e-01;5.097661e-03;8.333340e-03;7.485906e-02
33;0.330000;8.390662e-01;1.954004e+02;9.682556e-01;2.001035e-02;1.517411e-02;1.092964e-01
34;0.340000;8.544979e-01;1.946007e+02;7.556414e-01;1.925942e-02;2.597081e-02;1.080905e-01
35;0.350000;8.480136e-01;1.945964e+02;8.180821e-01;1.829508e-02;2.384483e-02;9.023041e-02
36;0.360000;8.278273e-01;1.953918e+02;7.455177e-01;2.814694e-03;1.614940e-02;1.151444e-01
37;0.370000;8.106745e-01;1.963264e+02;8.759544e-01;5.561197e-03;5.435642e-03;1.285901e-01
38;0.380000;8.090617e-01;1.978210e+02;7.997850e-01;1.048685e-02;5.884018e-03;2.197850e-01
39;0.390000;8.237612e-01;1.998906e+02;8.412459e-01;1.113984e-02;8.242981e-03;1.912868e-01
40;0.400000;8.467050e-01;2.031876e+02;8.481264e-01;1.001892e-02;8.242843e-03;1.865682e-01
41;0.410000;8.721046e-01;2.063774e+02;7.814186e-01;7.562242e-03;7.852470e-03;8.820254e-02
42;0.420000;8.929608e-01;2.078312e+02;8.389239e-01;1.576627e-02;1.634619e-02;6.858509e-02
43;0.430000;9.003564e-01;2.059602e+02;6.644492e-01;1.326931e-02;1.577827e-02;6.309275e-02
44;0.440000;8.853683e-01;2.018089e+02;4.808858e-01;1.065710e-02;1.478975e-02;7.772958e-02
45;0.450000;8.265745e-01;1.999651e+02;3.760156e-01;7.062588e-03;8.322410e-03;1.052827e-01
46;0.460000;7.571707e-01;2.000881e+02;5.970743e-01;1.349090e-02;6.326555e-03;9.746059e-02
