frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.317591e-01;0;4.602760e-01;0;0;0
1;0.010000;2.992714e-01;0;6.054682e-01;0;0;0
2;0.020000;3.069650e-01;0;6.725004e-01;0;0;0
3;0.030000;3.688801e-01;0;5.633708e-01;0;0;0
4;0.040000;3.889379e-01;0;3.886180e-01;0;0;0
5;0.050000;3.751090e-01;0;2.746519e-01;0;0;0
6;0.060000;3.649876e-01;0;3.588836e-01;0;0;0
7;0.070000;4.073580e-01;0;9.380682e-01;0;0;0
8;0.080000;5.014948e-01;0;1.477298e+00;0;0;9.312388e-02
9;0.090000;6.356609e-01;7.655502e+01;1.678769e+00;3.514760e-03;0;1.004596e-01
10;0.100000;7.619150e-01;1.534799e+02;1.556438e+00;5.517173e-03;2.337918e-03;1.225535e-01
11;0.110000;8.191627e-01;2.315361e+02;1.128797e+00;9.369859e-03;3.093020e-03;3.968983e-02
12;0.120000;8.194323e-01;2.339939e+02;8.294516e-01;7.545793e-03;5.288416e-03;4.523415e-02
13;0.130000;7.774529e-01;2.362770e+02;6.029006e-01;5.543381e-03;2.950498e-03;2.314018e-02
14;0.140000;7.421935e-01;2.374287e+02;7.745795e-01;1.690695e-03;2.195396e-03;1.288000e-02
15;0.150000;7.404048e-01;2.368548e+02;1.041600e+00;0;0;0
16;0.160000;7.858372e-01;2.349433e+02;8.480604e-01;0;0;0
17;0.170000;8.373768e-01;2.328443e+02;6.315894e-01;0;0;2.244586e-02
18;0.180000;8.603032e-01;2.330527e+02;4.823256e-01;3.453236e-03;2.346714e-03;7.748742e-02
19;0.190000;8.671840e-01;2.378615e+02;4.351366e-01;1.036386e-02;6.922209e-03;9.143603e-02
20;0.200000;8.834841e-01;2.451859e+02;4.162927e-01;1.737266e-02;1.279179e-02;1.350016e-01
21;0.210000;9.025778e-01;2.514198e+02;5.988320e-01;1.501071e-02;1.288386e-02;8.721180e-02
22;0.220000;8.934625e-01;2.546485e+02;7.874287e-01;1.176092e-02;1.137875e-02;9.806558e-02
23;0.230000;8.381553e-01;2.560067e+02;8.286843e-01;5.837361e-03;7.026331e-03;5.855773e-02
24;0.240000;7.672989e-01;2.573794e+02;9.667099e-01;1.243749e-02;1.106610e-02;1.087567e-01
25;0.250000;7.559360e-01;2.585320e+02;1.075534e+00;1.646806e-02;1.447428e-02;1.414051e-01
26;0.260000;7.871392e-01;2.561847e+02;1.005471e+00;3.156976e-02;2.871707e-02;1.562225e-01
27;0.270000;8.060510e-01;2.503327e+02;7.657298e-01;3.147214e-02;2.306326e-02;1.505716e-01
28;0.280000;7.968948e-01;2.459321e+02;6.886285e-01;3.279234e-02;2.437685e-02;1.380357e-01
29;0.290000;7.977493e-01;2.473834e+02;6.427203e-01;5.712724e-02;3.465527e-02;1.255966e-01
30;0.300000;8.436237e-01;2.530029e+02;5.296655e-01;6.209444e-02;4.681276e-02;1.486127e-01
31;0.310000;8.793290e-01;2.569386e+02;5.550802e-01;6.852271e-02;4.093255e-02;1.171332e-01
32;0.320000;8.938429e-01;2.578345e+02;9.679351e-01;2.966080e-02;2.138524e-02;1.344665e-01
33;0.330000;8.942986e-01;2.571469e+02;1.027427e+00;1.788716e-02;1.130534e-02;9.697238e-02
34;0.340000;8.993086e-01;2.557839e+02;1.128555e+00;3.234614e-03;1.229574e-02;1.208589e-01
35;0.350000;9.137331e-01;2.542029e+02;8.407486e-01;7.084320e-03;1.361882e-02;9.008936e-02
