frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.889521e-01;0;4.961597e-02;0;0;0
1;0.010000;2.984275e-01;0;5.114055e-02;0;0;0
2;0.020000;2.911809e-01;0;5.922349e-02;0;0;0
3;0.030000;2.860844e-01;0;5.605089e-02;0;0;0
4;0.040000;2.921330e-01;0;4.858844e-02;0;0;0
5;0.050000;2.778868e-01;0;4.449565e-02;0;0;0
6;0.060000;2.768411e-01;0;6.315570e-02;0;0;0
7;0.070000;2.569376e-01;0;7.974594e-02;0;0;0
8;0.080000;3.120867e-01;0;2.074696e-01;0;0;1.467742e-02
9;0.090000;3.489391e-01;0;2.232219e-01;0;0;2.935483e-02
10;0.100000;4.124228e-01;0;4.266772e-01;0;0;4.403225e-02
11;0.110000;5.016272e-01;0;3.625006e-01;3.157488e-01;0;3.453840e-02
12;0.120000;5.841640e-01;4.212035e+01;5.198272e-01;6.314977e-01;0;2.504455e-02
13;0.130000;6.562808e-01;8.394323e+01;4.131621e-01;6.345439e-01;3.155881e-01;4.136094e-02
14;0.140000;7.024446e-01;1.251226e+02;4.359755e-01;3.218412e-01;6.311763e-01;6.717118e-02
15;0.150000;7.726149e-01;1.238356e+02;2.850590e-01;9.138614e-03;9.467645e-01;9.298142e-02
16;0.160000;8.082006e-01;1.228460e+02;2.571369e-01;9.138614e-03;9.467645e-01;9.298142e-02
17;0.170000;7.647901e-01;1.220562e+02;3.306919e-01;9.138614e-03;9.467645e-01;9.298142e-02
18;0.180000;6.677391e-01;1.219584e+02;3.761299e-01;1.583219e-02;6.378364e-01;9.192244e-02
19;0.190000;6.003421e-01;8.112504e+01;4.231623e-01;2.642843e-02;3.280905e-01;2.348579e-01
20;0.200000;6.022598e-01;8.261588e+01;3.194746e-01;3.702468e-02;1.834462e-02;3.777933e-01
21;0.210000;6.507245e-01;8.323718e+01;4.126476e-01;3.401045e-02;1.887668e-02;6.085070e-01
22;0.220000;6.705793e-01;1.240140e+02;4.517367e-01;2.823130e-02;1.401352e-02;6.033415e-01
23;0.230000;7.034709e-01;1.227417e+02;7.920830e-01;1.979829e-02;1.070223e-02;4.937503e-01
24;0.240000;7.480891e-01;1.218807e+02;7.550002e-01;1.835931e-02;3.669794e-03;2.690976e-01
25;0.250000;7.982147e-01;1.217685e+02;8.291132e-01;1.186485e-02;6.586710e-03;1.672159e-01
26;0.260000;8.008175e-01;1.221654e+02;1.059093e+00;6.884836e-03;5.196089e-03;1.299018e-01
27;0.270000;8.045979e-01;1.232577e+02;1.563972e+00;5.282424e-03;8.488531e-03;9.878650e-02
28;0.280000;8.012936e-01;1.246533e+02;1.539223e+00;6.571983e-03;5.647652e-03;4.528452e-02
29;0.290000;8.039474e-01;1.258293e+02;1.206491e+00;1.137765e-02;6.843864e-03;2.126276e-02
30;0.300000;8.032722e-01;1.269794e+02;9.752972e-01;9.749696e-03;7.520301e-03;4.818372e-02
31;0.310000;8.058266e-01;1.283469e+02;1.095565e+00;1.184991e-02;7.342805e-03;5.899858e-02
32;0.320000;8.117220e-01;1.301816e+02;9.054878e-01;1.157341e-02;5.883892e-03;8.019143e-02
33;0.330000;7.824599e-01;1.319214e+02;9.960782e-01;1.427582e-02;2.632919e-03;7.258492e-02
34;0.340000;7.018957e-01;1.332435e+02;8.958628e-01;1.427582e-02;2.632919e-03;7.258492e-02
35;0.350000;5.783169e-01;1.341821e+02;1.026984e+00;1.403846e-02;2.057182e-03;1.222168e-01
36;0.360000;4.896621e-01;8.970392e+01;8.828125e-01;1.380111e-02;1.481446e-03;1.718487e-01
37;0.370000;4.854926e-01;4.495413e+01;6.980912e-01;2.968029e-02;1.700027e-02;1.843022e-01
38;0.380000;5.246235e-01;4.468085e+01;4.879888e-01;4.313880e-02;2.046959e-02;1.776976e-01
39;0.390000;5.396557e-01;8.921960e+01;2.266809e-01;4.042993e-02;3.643284e-02;2.403571e-01
40;0.400000;4.335377e-01;8.921960e+01;2.402783e-01;1.979213e-02;2.003637e-02;2.037087e-01
41;0.410000;3.044994e-01;4.453876e+01;2.237985e-01;1.812371e-03;1.626515e-02;1.364864e-01
42;0.420000;2.013277e-01;0;1.771732e-01;0;0;0
43;0.430000;2.012928e-01;0;1.369615e-01;0;0;0
44;0.440000;3.085684e-01;0;2.965793e-01;0;0;6.533351e-02
45;0.450000;4.529233e-01;0;3.503839e-01;5.330504e-02;0;1.470139e-01
46;0.460000;6.157805e-01;4.454546e+01;4.107435e-01;1.066101e-01;0;2.286944e-01
47;0.470000;6.840186e-01;8.971537e+01;3.170920e-01;1.129152e-01;4.599164e-02;1.765274e-01
48;0.480000;6.425193e-01;1.342940e+02;4.172595e-01;6.817848e-02;4.841693e-02;1.001599e-01
49;0.490000;4.815316e-01;8.974854e+01;4.082247e-01;2.344177e-02;5.084221e-02;2.379235e-02
50;0.500000;3.097374e-01;4.457861e+01;4.881477e-01;1.713666e-02;4.850575e-03;1.062581e-02
51;0.510000;2.136820e-01;0;3.612295e-01;8.568330e-03;2.425288e-03;5.312904e-03
52;0.520000;2.332640e-01;0;3.378437e-01;0;0;0
53;0.530000;2.706345e-01;0;2.159448e-01;0;0;0
54;0.540000;2.824363e-01;0;4.548059e-01;0;0;0
55;0.550000;2.619787e-01;0;4.824333e-01;0;0;0
56;0.560000;2.278283e-01;0;6.276813e-01;0;0;0
57;0.570000;2.140492e-01;0;3.287552e-01;0;0;0
58;0.580000;2.113980e-01;0;3.744200e-01;0;0;0
59;0.590000;2.316351e-01;0;3.061111e-01;0;0;0
60;0.600000;2.341659e-01;0;3.146703e-01;0;0;0
61;0.610000;2.494344e-01;0;2.342506e-01;0;0;0
62;0.620000;2.510744e-01;0;1.553720e-01;0;0;0
63;0.630000;3.792352e-01;0;1.511381e-01;0;0;0
64;0.640000;5.046507e-01;49;1.045397e-01;0;0;0
65;0.650000;6.012393e-01;9.791860e+01;2.479319e-01;0;0;1.681640e-01
66;0.660000;6.146317e-01;1.439548e+02;2.427450e-01;3.993582e-02;0;2.767056e-01
67;0.670000;6.505694e-01;1.376932e+02;8.487399e-01;7.987163e-02;0;3.852472e-01
68;0.680000;7.162707e-01;1.305995e+02;1.203724e+00;1.198075e-01;0;3.256249e-01
69;0.690000;7.405064e-01;1.258557e+02;1.535140e+00;1.198075e-01;0;3.256249e-01
70;0.700000;7.012520e-01;1.240657e+02;1.653682e+00;1.033347e-01;1.366175e-02;2.539487e-01
71;0.710000;6.133841e-01;1.224658e+02;1.519122e+00;8.686186e-02;2.732350e-02;1.822727e-01
72;0.720000;5.404461e-01;8.117332e+01;1.379305e+00;7.791607e-02;3.703186e-02;4.070643e-01
73;0.730000;5.068072e-01;4.022498e+01;7.459924e-01;8.544307e-02;3.307847e-02;7.035322e-01
74;0.740000;5.312535e-01;0;4.352647e-01;9.297007e-02;2.912508e-02;1
75;0.750000;5.554101e-01;4.159681e+01;3.008043e-01;9.297007e-02;2.912508e-02;1
76;0.760000;5.012084e-01;8.453239e+01;3.151435e-01;1.053822e-01;2.779377e-02;7.228804e-01
77;0.770000;4.567413e-01;8.453239e+01;3.584045e-01;1.596174e-01;3.909808e-02;5.401778e-01
78;0.780000;4.927964e-01;4.293558e+01;2.782502e-01;2.138526e-01;5.040239e-02;3.574752e-01
79;0.790000;6.267939e-01;4.401198e+01;2.203807e-01;2.556756e-01;6.303801e-02;4.518922e-01
80;0.800000;7.579503e-01;8.713865e+01;2.150165e-01;1.922734e-01;1.047189e-01;3.899687e-01
81;0.810000;8.076003e-01;1.293195e+02;3.315038e-01;1.125306e-01;9.968797e-02;3.042683e-01
82;0.820000;8.223363e-01;1.273079e+02;3.292970e-01;3.208609e-02;7.929828e-02;1.558507e-01
83;0.830000;8.278411e-01;1.258256e+02;2.863752e-01;1.049016e-02;2.115512e-02;1.233244e-01
84;0.840000;8.205428e-01;1.249950e+02;6.379585e-01;7.333887e-03;7.273910e-03;6.991333e-02
85;0.850000;8.060924e-01;1.241143e+02;8.897822e-01;4.434451e-03;7.082575e-03;8.459765e-02
86;0.860000;7.914713e-01;1.234170e+02;1.082193e+00;6.088638e-03;2.963863e-03;4.531412e-02
87;0.870000;7.868033e-01;1.223515e+02;6.611229e-01;1.191348e-02;7.178938e-03;5.390818e-02
88;0.880000;7.817410e-01;1.206957e+02;5.569804e-01;1.818311e-02;1.306291e-02;5.712400e-02
89;0.890000;7.639530e-01;1.188970e+02;7.861705e-01;2.275827e-02;1.416785e-02;6.620980e-02
