frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;6.775060e-01;9.187500e+01;3.353741e-02;0;0;0
1;0.010000;7.870857e-01;1.840389e+02;6.454092e-02;6.705695e-02;0;1.013514e-01
2;0.020000;9.060583e-01;2.748108e+02;8.261881e-02;8.386528e-02;2.017152e-02;3.129452e-01
3;0.030000;9.410378e-01;2.734187e+02;8.906409e-02;9.171673e-02;2.068049e-02;3.433683e-01
4;0.040000;9.559853e-01;2.734187e+02;1.117041e-01;3.030584e-02;2.320211e-02;2.807107e-01
5;0.050000;9.618825e-01;2.750997e+02;3.292902e-01;1.470016e-02;4.168964e-03;8.899567e-02
6;0.060000;9.646034e-01;2.773622e+02;4.799756e-01;8.923874e-03;4.828950e-03;7.573617e-02
7;0.070000;9.656466e-01;2.782362e+02;7.021920e-01;4.259607e-03;3.143222e-03;4.074107e-02
8;0.080000;9.637834e-01;2.788213e+02;6.407740e-01;4.361481e-03;3.530170e-03;2.885967e-02
9;0.090000;9.555900e-01;2.782471e+02;7.668716e-01;3.552747e-03;3.334879e-03;1.854120e-02
10;0.100000;9.509647e-01;2.762317e+02;5.449650e-01;4.345478e-03;2.660109e-03;2.591421e-02
11;0.110000;9.524462e-01;2.742162e+02;6.804420e-01;1.133011e-02;4.927861e-03;6.500203e-02
12;0.120000;9.599202e-01;2.730676e+02;4.978577e-01;1.137956e-02;7.296859e-03;6.188554e-02
13;0.130000;9.636843e-01;2.722325e+02;7.112565e-01;1.119960e-02;9.594353e-03;6.474445e-02
14;0.140000;9.635015e-01;2.708441e+02;4.532953e-01;5.355468e-03;8.056820e-03;1.991916e-02
15;0.150000;9.617959e-01;2.694557e+02;6.558079e-01;5.644166e-03;5.874630e-03;2.897182e-02
16;0.160000;9.573829e-01;2.689024e+02;6.166934e-01;5.173948e-03;3.818046e-03;2.598664e-02
17;0.170000;9.508933e-01;2.691774e+02;9.503152e-01;4.999517e-03;2.324596e-03;3.958470e-02
18;0.180000;9.496420e-01;2.702874e+02;1.013468e+00;1.004622e-02;5.405480e-03;7.444891e-02
19;0.190000;9.548197e-01;2.719576e+02;9.409096e-01;1.891423e-02;1.410330e-02;7.319947e-02
20;0.200000;9.622569e-01;2.733529e+02;9.460899e-01;1.738694e-02;1.481639e-02;6.224074e-02
21;0.210000;9.655334e-01;2.739131e+02;7.821774e-01;1.216042e-02;1.139914e-02;1.979554e-02
