frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;2.669092e-01;0;3.031418e-01;0;0;0
1;0.010000;2.458425e-01;0;2.592093e-01;0;0;0
2;0.020000;2.052882e-01;0;2.890221e-01;0;0;0
3;0.030000;2.065920e-01;0;3.386691e-01;0;0;0
4;0.040000;2.041632e-01;0;3.159746e-01;0;0;0
5;0.050000;1.983015e-01;0;4.597662e-01;0;0;0
6;0.060000;2.057344e-01;0;8.003036e-01;0;0;0
7;0.070000;2.081476e-01;0;8.893580e-01;0;0;0
8;0.080000;2.321019e-01;0;1.059655e+00;0;0;0
9;0.090000;2.440656e-01;0;1.036776e+00;0;0;0
10;0.100000;2.846400e-01;0;1.192720e+00;0;0;0
11;0.110000;3.944547e-01;0;9.295240e-01;0;0;3.249056e-02
12;0.120000;5.067230e-01;5.632184e+01;7.047236e-01;0;0;6.498113e-02
13;0.130000;5.829521e-01;1.093980e+02;8.240435e-01;0;0;9.747169e-02
14;0.140000;6.342187e-01;1.588133e+02;1.328952e+00;0;0;9.747169e-02
15;0.150000;6.483912e-01;1.503991e+02;1.528116e+00;6.479681e-02;0;2.044516e-01
16;0.160000;6.329487e-01;1.462196e+02;1.251861e+00;6.626580e-02;6.304226e-02;2.541690e-01
17;0.170000;6.264682e-01;9.680432e+01;9.115191e-01;7.683504e-02;7.218909e-02;2.529321e-01
18;0.180000;6.757355e-01;1.017744e+02;7.162465e-01;2.260747e-02;8.133592e-02;1.447153e-01
19;0.190000;7.573967e-01;1.060438e+02;6.753262e-01;6.704593e-02;5.217625e-02;1.302411e-01
20;0.200000;7.863462e-01;1.586514e+02;4.353711e-01;7.275211e-02;7.490294e-02;2.190056e-01
21;0.210000;7.976643e-01;1.576257e+02;6.910484e-01;7.029366e-02;7.352472e-02;2.054001e-01
22;0.220000;7.910371e-01;1.560411e+02;1.151048e+00;2.924041e-02;4.675342e-02;1.633513e-01
23;0.230000;7.625518e-01;1.535433e+02;1.283898e+00;1.524400e-02;2.096999e-02;8.599475e-02
24;0.240000;7.012936e-01;1.506912e+02;1.075456e+00;7.133202e-03;1.320138e-02;6.834662e-02
25;0.250000;5.885024e-01;1.570189e+02;6.150507e-01;2.279013e-03;6.090095e-03;4.266164e-02
26;0.260000;4.614601e-01;1.069091e+02;7.050860e-01;0;0;0
27;0.270000;3.291208e-01;5.790909e+01;5.992305e-01;0;0;0
28;0.280000;2.426418e-01;0;5.391199e-01;0;0;0
29;0.290000;1.944879e-01;0;1.895319e-01;0;0;0
30;0.300000;1.724120e-01;0;8.577187e-02;0;0;0
31;0.310000;2.340540e-01;0;4.959130e-02;0;0;0
32;0.320000;2.882378e-01;0;7.410675e-02;0;0;0
33;0.330000;4.039985e-01;0;2.033430e-01;0;0;0
34;0.340000;5.255130e-01;0;4.009635e-01;0;0;3.618011e-02
35;0.350000;6.837885e-01;4.726688e+01;7.857829e-01;1.356131e-02;0;3.885573e-02
36;0.360000;7.883536e-01;9.394108e+01;8.379540e-01;1.997144e-02;6.890403e-03;6.464661e-02
37;0.370000;8.169697e-01;1.396670e+02;1.293510e+00;2.638156e-02;1.378081e-02;5.425738e-02
