frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;1.461579e-01;0;1.653313e-02;0;0;0
1;0.010000;1.757141e-01;0;1.397752e-02;0;0;0
2;0.020000;1.974781e-01;0;1.238236e-02;0;0;0
3;0.030000;1.803710e-01;0;7.934760e-03;0;0;0
4;0.040000;1.885001e-01;0;6.748269e-03;0;0;0
5;0.050000;2.320352e-01;0;4.601330e-03;0;0;0
6;0.060000;2.917412e-01;0;9.886869e-03;0;0;0
7;0.070000;2.761803e-01;0;1.287175e-02;0;0;0
8;0.080000;2.231756e-01;0;2.682048e-02;0;0;0
9;0.090000;1.789095e-01;0;3.924117e-02;0;0;0
10;0.100000;1.989132e-01;0;7.443014e-02;0;0;0
11;0.110000;2.367846e-01;0;5.818073e-02;0;0;0
12;0.120000;2.469558e-01;0;8.033367e-02;0;0;0
13;0.130000;2.581958e-01;0;1.027409e-01;0;0;0
14;0.140000;2.703491e-01;0;1.680262e-01;0;0;0
15;0.150000;2.938302e-01;0;2.202122e-01;0;0;0
16;0.160000;3.814220e-01;0;2.137508e-01;0;0;0
17;0.170000;5.161062e-01;0;2.140471e-01;8.589161e-03;0;2.490266e-01
18;0.180000;6.931603e-01;7.067307e+01;3.988495e-01;3.318489e-02;3.953506e-02;3.339004e-01
19;0.190000;7.933362e-01;1.415169e+02;9.851028e-01;3.577111e-02;4.084319e-02;3.590133e-01
20;0.200000;8.274937e-01;2.127037e+02;1.466169e+00;2.983911e-02;4.089351e-02;1.977883e-01
21;0.210000;8.399209e-01;2.135639e+02;1.578500e+00;6.175045e-03;3.076511e-03;1.371725e-01
22;0.220000;8.224807e-01;2.155085e+02;1.113538e+00;9.584238e-03;7.173436e-03;1.451415e-01
23;0.230000;7.720247e-01;2.185659e+02;8.875132e-01;8.978100e-03;8.307844e-03;1.016340e-01
24;0.240000;6.866093e-01;2.216519e+02;8.582508e-01;1.009745e-02;7.774519e-03;1.216702e-01
25;0.250000;6.559917e-01;2.232945e+02;8.198743e-01;6.484350e-03;2.618352e-03;1.166093e-01
26;0.260000;6.471913e-01;2.220250e+02;5.917682e-01;8.677602e-03;3.325916e-03;1.096782e-01
27;0.270000;6.443636e-01;2.201940e+02;3.058095e-01;1.023951e-02;2.770688e-03;1.659875e-01
28;0.280000;6.339234e-01;2.200075e+02;2.732097e-01;2.290952e-02;1.732091e-02;3.439809e-01
29;0.290000;6.301382e-01;2.212770e+02;2.310030e-01;3.814134e-02;2.341354e-02;4.706609e-01
30;0.300000;6.759398e-01;2.222935e+02;2.492084e-01;4.883261e-02;2.370770e-02;4.273626e-01
31;0.310000;6.990802e-01;2.200066e+02;3.359346e-01;8.376608e-02;2.851755e-02;3.189090e-01
32;0.320000;7.759013e-01;2.168790e+02;4.787991e-01;1.164428e-01;2.638786e-02;2.290459e-01
33;0.330000;8.279696e-01;2.171865e+02;4.393780e-01;1.286727e-01;3.584982e-02;2.144978e-01
34;0.340000;8.655038e-01;2.213948e+02;3.536111e-01;8.704916e-02;2.494476e-02;1.228977e-01
35;0.350000;8.664708e-01;2.264439e+02;3.934107e-01;3.953857e-02;2.269313e-02;5.798212e-02
36;0.360000;8.401563e-01;2.284974e+02;6.336296e-01;3.021510e-02;2.511563e-02;9.337234e-02
37;0.370000;7.896530e-01;2.284974e+02;8.067277e-01;2.641378e-02;2.929693e-02;1.062202e-01
38;0.380000;7.545891e-01;2.235226e+02;7.432718e-01;3.230819e-02;3.127274e-02;1.880960e-01
39;0.390000;7.702431e-01;2.148107e+02;4.882847e-01;1.539758e-02;3.333477e-02;1.897666e-01
40;0.400000;8.309477e-01;2.073365e+02;3.134770e-01;5.075833e-02;4.343569e-02;3.115644e-01
41;0.410000;8.791305e-01;2.048371e+02;2.463594e-01;4.610890e-02;5.795405e-02;4.175446e-01
42;0.420000;8.978713e-01;2.052906e+02;3.435621e-01;4.673776e-02;4.730675e-02;4.029059e-01
43;0.430000;9.066526e-01;2.034186e+02;4.811907e-01;1.314195e-02;2.917726e-02;2.668976e-01
44;0.440000;9.084169e-01;2.007974e+02;6.589100e-01;1.358067e-02;1.393608e-02;7.437555e-02
45;0.450000;9.080669e-01;1.982246e+02;6.566136e-01;2.136321e-02;1.226411e-02;1.223317e-02
