frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.830057e-01;0;1.306612e-01;0;0;2.074608e-01
1;0.010000;3.858078e-01;0;1.419949e-01;0;0;4.149215e-01
2;0.020000;4.485199e-01;0;4.093611e-01;1.440059e-02;0;4.223628e-01
3;0.030000;5.589421e-01;3.868421e+01;7.622197e-01;2.880117e-02;0;2.223432e-01
4;0.040000;6.623972e-01;7.731766e+01;9.821106e-01;4.400011e-02;1.454969e-03;6.729623e-02
5;0.050000;6.721562e-01;1.158498e+02;7.978833e-01;4.479846e-02;2.909939e-03;1.122688e-01
6;0.060000;6.326220e-01;1.157996e+02;5.376081e-01;3.234686e-02;1.624875e-02;1.423282e-01
7;0.070000;5.760076e-01;1.157499e+02;3.881209e-01;1.909692e-02;2.813259e-02;1.274150e-01
8;0.080000;5.215442e-01;7.721772e+01;3.747478e-01;7.582506e-03;2.843468e-02;3.513429e-01
9;0.090000;3.885159e-01;3.858374e+01;4.359795e-01;5.633511e-03;1.509587e-02;3.138423e-01
10;0.100000;2.890839e-01;0;4.292146e-01;3.684517e-03;1.757066e-03;2.763417e-01
11;0.110000;2.070134e-01;0;5.469418e-01;0;0;0
12;0.120000;2.171811e-01;0;4.759791e-01;0;0;0
13;0.130000;2.137727e-01;0;5.759584e-01;0;0;0
14;0.140000;2.311738e-01;0;4.254145e-01;0;0;0
15;0.150000;2.396702e-01;0;4.503217e-01;0;0;0
16;0.160000;2.683251e-01;0;3.470678e-01;0;0;0
17;0.170000;2.607155e-01;0;3.903421e-01;0;0;0
18;0.180000;2.275128e-01;0;2.722374e-01;0;0;0
19;0.190000;2.030439e-01;0;4.705657e-01;0;0;0
20;0.200000;2.094309e-01;0;5.877040e-01;0;0;0
21;0.210000;2.175615e-01;0;7.706962e-01;0;0;0
22;0.220000;1.991700e-01;0;5.894049e-01;0;0;0
23;0.230000;1.766827e-01;0;6.146963e-01;0;0;0
24;0.240000;2.139464e-01;0;5.106879e-01;0;0;0
25;0.250000;3.530390e-01;0;5.636969e-01;0;0;0
26;0.260000;5.336893e-01;4.495413e+01;4.674671e-01;0;0;0
27;0.270000;6.921695e-01;9.004657e+01;4.279459e-01;0;0;1.463291e-01
28;0.280000;7.721121e-01;1.343434e+02;4.872948e-01;0;0;2.926583e-01
