frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;5.116604e-01;0;5.896080e-02;0;0;0
1;0.010000;4.141140e-01;0;7.674323e-02;0;0;0
2;0.020000;4.469450e-01;0;8.526359e-02;0;0;1.390300e-01
3;0.030000;5.714222e-01;4.593750e+01;4.463694e-01;8.231205e-03;0;1.762303e-01
4;0.040000;7.298920e-01;9.187500e+01;4.658404e-01;1.646241e-02;0;2.134306e-01
5;0.050000;7.470844e-01;1.370492e+02;1.016047e+00;2.469361e-02;0;1.116008e-01
6;0.060000;7.159163e-01;1.355226e+02;1.051735e+00;2.469361e-02;0;1.116008e-01
7;0.070000;6.427388e-01;1.336655e+02;1.424041e+00;3.918729e-02;1.505484e-02;1.944330e-01
8;0.080000;5.712231e-01;8.849131e+01;1.048786e+00;5.368097e-02;3.010968e-02;2.772653e-01
9;0.090000;5.203786e-01;4.408044e+01;1.408991e+00;4.544977e-02;3.010968e-02;2.400650e-01
10;0.100000;4.804513e-01;0;1.316634e+00;2.272488e-02;1.505484e-02;1.200325e-01
11;0.110000;4.896299e-01;0;1.203809e+00;0;0;0
12;0.120000;4.749822e-01;0;4.847922e-01;0;0;0
13;0.130000;5.044189e-01;0;2.054428e-01;0;0;0
14;0.140000;4.720772e-01;0;1.421872e-01;0;0;0
15;0.150000;4.173962e-01;0;1.668402e-01;0;0;0
16;0.160000;3.213901e-01;0;1.428284e-01;0;0;0
17;0.170000;2.723413e-01;0;1.760854e-01;0;0;0
18;0.180000;2.276461e-01;0;1.516272e-01;0;0;0
19;0.190000;2.908243e-01;0;1.530348e-01;0;0;0
20;0.200000;2.727964e-01;0;9.414649e-02;0;0;0
21;0.210000;3.870402e-01;0;7.296433e-02;0;0;0
22;0.220000;4.662060e-01;0;6.734161e-02;0;0;0
23;0.230000;5.837108e-01;5.068966e+01;9.585912e-02;0;0;0
24;0.240000;5.463397e-01;1.002121e+02;3.587809e-01;0;0;0
25;0.250000;4.289459e-01;1.002121e+02;1.459584e+00;0;0;0
26;0.260000;3.765192e-01;4.952246e+01;1.785136e+00;0;0;0
27;0.270000;4.643517e-01;0;1.831675e+00;0;0;0
28;0.280000;6.424831e-01;4.651899e+01;1.128585e+00;0;0;0
29;0.290000;7.758852e-01;9.296460e+01;1.269276e+00;0;0;2.601886e-02
30;0.300000;8.302096e-01;1.391915e+02;1.104526e+00;0;0;5.203772e-02
31;0.310000;8.410683e-01;1.383984e+02;1.192076e+00;7.911095e-03;0;5.858399e-02
32;0.320000;8.486366e-01;1.372534e+02;1.105631e+00;1.582219e-02;0;3.911139e-02
33;0.330000;8.523788e-01;1.362573e+02;1.533401e+00;1.943097e-02;4.216665e-03;2.216373e-02
34;0.340000;8.541138e-01;1.358319e+02;1.441684e+00;1.311472e-02;6.247868e-03;1.867348e-02
35;0.350000;8.567488e-01;1.361137e+02;1.402188e+00;6.672945e-03;6.380425e-03;2.980514e-02
36;0.360000;8.594685e-01;1.368209e+02;1.560012e+00;6.640317e-03;4.254833e-03;2.827056e-02
37;0.370000;8.575001e-01;1.377472e+02;1.271564e+00;6.965250e-03;3.900602e-03;3.229849e-02
38;0.380000;8.323900e-01;1.386843e+02;1.016394e+00;7.415710e-03;5.445017e-03;2.170450e-02
39;0.390000;7.529504e-01;1.394873e+02;1.291464e+00;5.577284e-03;3.885085e-03;1.914424e-02
40;0.400000;6.110724e-01;1.397088e+02;1.552468e+00;5.395235e-03;2.739252e-03;1.703667e-02
41;0.410000;4.954399e-01;9.318937e+01;2.027599e+00;5.213186e-03;1.593419e-03;1.492909e-02
42;0.420000;3.629838e-01;4.644839e+01;1.354988e+00;3.475457e-03;1.062280e-03;9.952727e-03
43;0.430000;2.928390e-01;0;1.091130e+00;1.737729e-03;5.311398e-04;4.976363e-03
44;0.440000;2.114920e-01;0;7.006428e-01;0;0;0
45;0.450000;1.930493e-01;0;4.265725e-01;0;0;0
46;0.460000;1.824542e-01;0;4.919915e-01;0;0;0
47;0.470000;1.794719e-01;0;4.286901e-01;0;0;0
48;0.480000;1.978464e-01;0;5.601948e-01;0;0;0
49;0.490000;1.979497e-01;0;6.919087e-01;0;0;0
50;0.500000;2.315062e-01;0;7.323502e-01;0;0;0
51;0.510000;2.973280e-01;0;6.149510e-01;0;0;0
52;0.520000;4.801715e-01;0;4.334018e-01;0;0;0
53;0.530000;6.655956e-01;4.696486e+01;3.594928e-01;0;0;0
54;0.540000;8.072075e-01;9.313247e+01;4.848332e-01;0;0;6.991126e-02
55;0.550000;8.418488e-01;1.385028e+02;6.376204e-01;1.527059e-03;0;1.374643e-01
56;0.560000;8.371535e-01;1.367002e+02;7.319036e-01;3.054118e-03;0;2.050173e-01
57;0.570000;8.156274e-01;1.350818e+02;8.999394e-01;1.006987e-02;5.520834e-03;1.352054e-01
58;0.580000;7.785669e-01;1.331497e+02;6.050036e-01;1.555856e-02;1.104167e-02;6.775182e-02
59;0.590000;7.634924e-01;1.304745e+02;6.507542e-01;2.793228e-02;1.821926e-02;3.150700e-03
60;0.600000;7.744452e-01;1.274061e+02;5.961929e-01;3.481730e-02;1.987603e-02;6.003169e-03
61;0.610000;8.092541e-01;1.246880e+02;1.097717e+00;3.595168e-02;1.884772e-02;3.162108e-02
62;0.620000;8.165419e-01;1.229212e+02;1.046086e+00;2.325669e-02;1.474708e-02;3.825071e-02
63;0.630000;8.091538e-01;1.228006e+02;8.789446e-01;1.056169e-02;1.064644e-02;4.488034e-02
64;0.640000;8.029652e-01;1.240803e+02;7.469619e-01;3.617350e-03;9.230890e-03;2.874453e-02
65;0.650000;8.017945e-01;1.256029e+02;8.545113e-01;1.361050e-02;1.610657e-02;6.581432e-02
66;0.660000;7.719182e-01;1.268518e+02;1.157196e+00;1.432897e-02;2.236893e-02;9.478609e-02
67;0.670000;7.064727e-01;1.276467e+02;1.083963e+00;1.653571e-02;2.076053e-02;1.159886e-01
68;0.680000;5.849306e-01;1.275952e+02;1.049034e+00;8.749295e-03;1.227645e-02;1.001214e-01
69;0.690000;4.688780e-01;8.498614e+01;8.108497e-01;1.023756e-02;4.405684e-03;9.235214e-02
70;0.700000;3.603211e-01;4.219128e+01;7.146752e-01;6.825037e-03;2.937123e-03;6.156810e-02
71;0.710000;3.153790e-01;0;6.006480e-01;3.412519e-03;1.468561e-03;3.754960e-02
72;0.720000;3.380307e-01;0;3.925740e-01;1.094945e-01;0;3.400989e-01
73;0.730000;4.207183e-01;0;2.264304e-01;1.775785e-01;6.377505e-02;3.953224e-01
74;0.740000;4.906329e-01;0;1.328011e-01;2.456625e-01;1.275501e-01;4.437803e-01
75;0.750000;4.719818e-01;0;1.438505e-01;2.042519e-01;1.913251e-01;1.656704e-01
76;0.760000;4.027617e-01;0;1.111795e-01;1.361679e-01;1.275501e-01;1.104470e-01
77;0.770000;3.543644e-01;0;8.393510e-02;6.808396e-02;6.377505e-02;5.522348e-02
78;0.780000;2.688767e-01;0;6.042634e-02;0;0;0
79;0.790000;2.540884e-01;0;7.187706e-02;0;0;0
80;0.800000;2.424951e-01;0;5.150467e-02;0;0;0
81;0.810000;3.252126e-01;0;7.339027e-02;0;0;2.339591e-01
82;0.820000;4.666224e-01;0;5.763679e-02;9.052058e-02;0;3.628457e-01
83;0.830000;6.346359e-01;4.819672e+01;3.671404e-01;1.251264e-01;4.651712e-02;4.087740e-01
84;0.840000;7.787421e-01;9.639344e+01;1.038710e+00;1.597323e-01;9.303423e-02;2.207431e-01
85;0.850000;7.917247e-01;1.456630e+02;1.426486e+00;7.386284e-02;1.225060e-01;1.007394e-01
86;0.860000;7.491798e-01;1.487941e+02;1.660435e+00;4.555278e-02;7.784554e-02;7.269014e-02
87;0.870000;7.447169e-01;1.543856e+02;1.335239e+00;1.660655e-02;3.394706e-02;2.848960e-02
88;0.880000;7.401899e-01;1.612359e+02;1.652161e+00;1.761501e-02;7.093875e-03;2.133442e-02
89;0.890000;7.214131e-01;1.683965e+02;1.657742e+00;4.936835e-02;3.698074e-02;3.264204e-02
90;0.900000;7.049320e-01;1.765649e+02;1.938153e+00;8.175784e-02;6.610557e-02;6.010096e-02
91;0.910000;7.161739e-01;1.852139e+02;1.751571e+00;9.700019e-02;7.950637e-02;6.229220e-02
92;0.920000;7.628257e-01;1.938838e+02;2.330104e+00;6.635065e-02;4.949842e-02;3.800575e-02
93;0.930000;7.903711e-01;2.016097e+02;2.215090e+00;4.238832e-02;2.421848e-02;3.130225e-02
94;0.940000;8.297415e-01;2.092984e+02;2.721577e+00;3.456573e-02;9.759177e-03;4.176798e-02
95;0.950000;8.728672e-01;2.165709e+02;2.032643e+00;3.343882e-02;1.507649e-02;6.001745e-02
96;0.960000;9.106274e-01;2.222812e+02;2.047412e+00;2.291135e-02;1.138760e-02;5.418490e-02
97;0.970000;9.199238e-01;2.261876e+02;1.797725e+00;1.123785e-02;1.055992e-02;4.632062e-02
98;0.980000;9.181671e-01;2.285196e+02;1.707683e+00;6.190130e-03;3.616367e-03;5.272421e-02
99;0.990000;9.215617e-01;2.300904e+02;1.345572e+00;4.061680e-03;2.163224e-03;1.457593e-01
100;1.000000;9.314887e-01;2.315128e+02;6.092937e-01;6.417419e-03;4.436343e-03;1.565836e-01
101;1.010000;9.435056e-01;2.335708e+02;5.627251e-01;6.439629e-03;5.282332e-03;1.384598e-01
102;1.020000;9.489154e-01;2.358533e+02;6.718686e-01;6.516127e-03;6.012324e-03;3.870697e-02
103;1.030000;9.500234e-01;2.377422e+02;7.734614e-01;3.564978e-03;3.835907e-03;3.547675e-02
104;1.040000;9.361432e-01;2.390308e+02;9.908745e-01;4.309708e-03;4.962768e-03;2.654927e-02
105;1.050000;9.186398e-01;2.405566e+02;1.144226e+00;4.333485e-03;3.696951e-03;2.196965e-02
106;1.060000;9.148071e-01;2.434890e+02;1.300275e+00;2.318795e-02;2.091123e-02;1.767625e-01
107;1.070000;9.294426e-01;2.476208e+02;1.016152e+00;2.746432e-02;2.478929e-02;1.942450e-01
108;1.080000;9.441060e-01;2.513319e+02;1.056893e+00;2.634316e-02;2.567469e-02;1.932178e-01
109;1.090000;9.373562e-01;2.532069e+02;1.375504e+00;7.816253e-03;8.508414e-03;3.877977e-02
110;1.100000;9.127806e-01;2.527323e+02;1.264905e+00;5.121199e-03;4.222285e-03;4.573535e-02
111;1.110000;8.802453e-01;2.527574e+02;1.129519e+00;1.440604e-02;6.885843e-03;1.706862e-01
112;1.120000;8.508840e-01;2.542396e+02;6.160101e-01;1.845142e-02;1.331840e-02;2.677481e-01
113;1.130000;8.442417e-01;2.559408e+02;5.025305e-01;2.724550e-02;2.796391e-02;3.455700e-01
114;1.140000;7.262766e-01;2.556799e+02;2.824581e-01;2.991797e-02;3.994886e-02;3.210551e-01
115;1.150000;5.126267e-01;1.697149e+02;2.047599e-01;2.473459e-02;3.263912e-02;2.095238e-01
116;1.160000;3.200533e-01;8.424692e+01;2.562933e-01;1.236729e-02;1.631956e-02;1.047619e-01
117;1.170000;2.592520e-01;0;1.549424e-01;0;0;0
118;1.180000;2.800511e-01;0;1.458679e-01;0;0;0
119;1.190000;2.641971e-01;0;1.511252e-01;0;0;0
120;1.200000;2.398796e-01;0;1.198056e-01;0;0;0
121;1.210000;2.173125e-01;0;1.984389e-01;0;0;0
122;1.220000;2.105787e-01;0;1.940954e-01;0;0;0
123;1.230000;2.279362e-01;0;3.757738e-01;0;0;0
124;1.240000;2.584221e-01;0;4.034626e-01;0;0;0
125;1.250000;2.849618e-01;0;3.594911e-01;0;0;0
126;1.260000;3.008960e-01;0;2.023512e-01;0;0;0
127;1.270000;3.386428e-01;0;7.456292e-02;0;0;0
128;1.280000;3.461508e-01;0;2.298433e-01;0;0;0
129;1.290000;3.415090e-01;0;2.294057e-01;0;0;0
130;1.300000;3.851008e-01;0;3.704304e-01;0;0;0
131;1.310000;4.911700e-01;0;2.865185e-01;0;0;1.141956e-02
132;1.320000;6.130264e-01;5.880000e+01;3.269304e-01;5.488550e-02;0;3.027884e-02
133;1.330000;6.747476e-01;1.265464e+02;3.855732e-01;6.762435e-02;4.004911e-02;6.289079e-02
134;1.340000;6.749973e-01;2.070607e+02;4.808714e-01;7.558677e-02;4.512985e-02;9.009200e-02
135;1.350000;6.267012e-01;2.308884e+02;5.384767e-01;4.668260e-02;7.048142e-02;1.165728e-01
136;1.360000;5.810181e-01;1.631420e+02;4.805355e-01;6.282731e-02;4.499674e-02;1.379402e-01
137;1.370000;4.980524e-01;8.262769e+01;4.151925e-01;5.486489e-02;3.991601e-02;9.931944e-02
138;1.380000;4.336418e-01;0;3.479815e-01;2.888357e-02;1.456444e-02;5.397940e-02
139;1.390000;3.672655e-01;0;2.220125e-01;0;0;0
140;1.400000;4.181424e-01;0;1.420176e-01;0;0;0
141;1.410000;5.477537e-01;0;2.382026e-01;0;0;0
142;1.420000;6.937639e-01;5.306859e+01;3.067725e-01;7.873113e-02;0;1.597324e-01
143;1.430000;7.938303e-01;1.063302e+02;9.334118e-01;1.574623e-01;0;3.194648e-01
144;1.440000;8.408065e-01;1.601792e+02;1.299733e+00;1.604996e-01;6.673630e-02;3.316083e-01
145;1.450000;8.673654e-01;1.614546e+02;2.343158e+00;8.966663e-02;7.152508e-02;1.841447e-01
146;1.460000;8.858838e-01;1.633620e+02;2.139054e+00;1.614022e-02;7.434183e-02;3.908775e-02
147;1.470000;8.893239e-01;1.654065e+02;1.888209e+00;2.035893e-02;9.543614e-03;3.196621e-02
148;1.480000;8.827314e-01;1.674977e+02;1.514661e+00;1.971689e-02;6.692909e-03;2.471944e-02
149;1.490000;8.745269e-01;1.694163e+02;1.150290e+00;1.481269e-02;1.083828e-02;2.060101e-02
150;1.500000;8.711124e-01;1.701754e+02;1.050050e+00;9.854201e-03;1.089936e-02;1.152877e-01
