frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;3.170310e-01;0;6.850526e-02;0;0;0
1;0.010000;3.613668e-01;0;7.608389e-02;0;0;0
2;0.020000;3.802450e-01;0;5.919668e-02;0;0;0
3;0.030000;4.097885e-01;0;6.530605e-02;0;0;0
4;0.040000;4.876187e-01;0;4.321511e-02;0;0;3.333333e-01
5;0.050000;6.119488e-01;9.018405e+01;4.559001e-02;2.654706e-01;0;6.666667e-01
6;0.060000;7.516676e-01;1.800931e+02;3.047117e-02;3.053389e-01;1.432002e-01;7.779598e-01
7;0.070000;8.367221e-01;2.708477e+02;2.818387e-01;3.192327e-01;1.742247e-01;5.023764e-01
8;0.080000;8.776772e-01;2.725387e+02;5.246959e-01;6.212503e-02;1.838403e-01;2.265408e-01
9;0.090000;8.706815e-01;2.745046e+02;6.448523e-01;2.547576e-02;4.225080e-02;1.455836e-01
10;0.100000;8.679674e-01;2.750579e+02;9.826342e-01;1.961786e-02;1.429131e-02;1.280306e-01
11;0.110000;9.001694e-01;2.703146e+02;8.447815e-01;3.574951e-02;2.744499e-02;1.096870e-01
12;0.120000;9.286231e-01;2.619623e+02;1.069710e+00;3.832495e-02;3.458084e-02;1.302211e-01
13;0.130000;9.197915e-01;2.541772e+02;5.052988e-01;3.286095e-02;3.469351e-02;1.155578e-01
14;0.140000;9.126358e-01;2.438068e+02;8.629313e-01;2.413848e-02;2.161471e-02;2.154946e-01
15;0.150000;9.154950e-01;2.285420e+02;7.036397e-01;3.409743e-02;1.678992e-02;2.539492e-01
16;0.160000;9.264903e-01;2.129470e+02;1.025939e+00;3.396481e-02;2.819745e-02;2.657505e-01
17;0.170000;8.295162e-01;2.030923e+02;9.541569e-01;1.819274e-02;1.850695e-02;1.266596e-01
18;0.180000;6.470419e-01;2.093126e+02;1.078278e+00;2.439355e-03;1.458527e-02;3.733490e-02
19;0.190000;5.101840e-01;1.413849e+02;1.006119e+00;0;0;0
20;0.200000;5.461287e-01;7.447822e+01;6.605520e-01;5.320271e-02;0;1.413647e-01
21;0.210000;6.286150e-01;8.855422e+01;8.225543e-01;7.182591e-02;2.120193e-02;2.056764e-01
22;0.220000;5.791606e-01;1.768433e+02;9.624678e-01;9.044910e-02;4.240387e-02;2.699882e-01
23;0.230000;5.598045e-01;1.768433e+02;1.288554e+00;9.783644e-02;7.670277e-02;1.923017e-01
24;0.240000;5.955202e-01;1.695046e+02;1.149329e+00;8.836772e-02;1.080624e-01;2.101443e-01
25;0.250000;7.494233e-01;1.619871e+02;9.780493e-01;7.421843e-02;8.920506e-02;1.934374e-01
