frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;5.234386e-01;0;1.563652e-02;0;0;0
1;0.010000;5.144466e-01;0;2.378172e-02;0;0;0
2;0.020000;5.658132e-01;7.170731e+01;3.005473e-02;0;0;2.024922e-01
3;0.030000;7.389013e-01;1.441281e+02;3.005473e-02;1.353938e-01;0;5.358256e-01
4;0.040000;8.421700e-01;2.176300e+02;3.092379e-02;1.943926e-01;8.381180e-02;8.022620e-01
5;0.050000;8.791518e-01;2.199786e+02;2.558354e-01;2.154570e-01;1.200286e-01;6.547642e-01
6;0.060000;8.707927e-01;2.218002e+02;4.697782e-01;8.351289e-02;1.274295e-01;3.680944e-01
7;0.070000;8.354880e-01;2.218057e+02;9.993215e-01;3.933248e-02;5.475025e-02;1.215632e-01
8;0.080000;8.124134e-01;2.207031e+02;9.485362e-01;2.476929e-02;2.656167e-02;1.259796e-01
9;0.090000;7.856008e-01;2.175349e+02;1.098922e+00;3.703196e-02;2.867831e-02;1.534070e-01
10;0.100000;7.171505e-01;2.182643e+02;7.291770e-01;2.626582e-02;2.901489e-02;1.414994e-01
11;0.110000;6.462601e-01;2.261022e+02;8.043538e-01;1.976462e-02;2.098671e-02;8.208859e-02
12;0.120000;6.551113e-01;2.378508e+02;7.634665e-01;4.052258e-03;1.146910e-02;7.997681e-03
13;0.130000;7.576492e-01;2.486107e+02;9.396560e-01;3.182555e-02;0;6.250180e-02
14;0.140000;8.502727e-01;2.542901e+02;8.584833e-01;4.805594e-02;1.881794e-02;9.320860e-02
15;0.150000;8.728406e-01;2.574351e+02;1.015712e+00;5.144744e-02;2.644292e-02;1.068318e-01
16;0.160000;8.053100e-01;2.562325e+02;1.087899e+00;2.444320e-02;2.772528e-02;7.102218e-02
17;0.170000;6.874710e-01;2.503395e+02;1.332521e+00;1.394986e-02;9.330973e-03;1.037343e-01
18;0.180000;5.277607e-01;1.643716e+02;9.250517e-01;1.055836e-02;1.705997e-03;9.011110e-02
19;0.190000;4.775253e-01;8.057758e+01;9.355328e-01;5.737042e-03;4.236321e-04;6.341893e-02
20;0.200000;4.808904e-01;0;9.614566e-01;0;0;0
21;0.210000;5.559563e-01;0;1.216907e+00;0;0;4.953031e-02
22;0.220000;5.575156e-01;8.076923e+01;9.741957e-01;0;0;9.906062e-02
23;0.230000;5.446650e-01;1.613178e+02;5.676746e-01;1.479550e-01;0;3.384857e-01
24;0.240000;4.867108e-01;1.613178e+02;3.031941e-01;1.479550e-01;0;2.889554e-01
