frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;1.856038e-01;0;1.614132e-01;0;0;0
1;0.010000;2.010454e-01;0;1.934957e-01;0;0;0
2;0.020000;1.850642e-01;0;2.170196e-01;0;0;0
3;0.030000;1.698217e-01;0;2.287234e-01;0;0;0
4;0.040000;1.615942e-01;0;2.742063e-01;0;0;0
5;0.050000;1.806073e-01;0;2.265128e-01;0;0;0
6;0.060000;1.854490e-01;0;2.536621e-01;0;0;0
7;0.070000;1.723310e-01;0;1.953387e-01;0;0;0
8;0.080000;1.635592e-01;0;3.324006e-01;0;0;0
9;0.090000;1.482638e-01;0;4.763023e-01;0;0;0
10;0.100000;1.549899e-01;0;5.099031e-01;0;0;0
11;0.110000;1.600837e-01;0;6.352013e-01;0;0;0
12;0.120000;1.683335e-01;0;5.397146e-01;0;0;0
13;0.130000;1.701126e-01;0;4.715688e-01;0;0;0
14;0.140000;1.876931e-01;0;4.866608e-01;0;0;0
15;0.150000;1.834127e-01;0;4.300005e-01;0;0;0
16;0.160000;1.722257e-01;0;6.348663e-01;0;0;0
17;0.170000;1.462578e-01;0;4.756931e-01;0;0;0
18;0.180000;1.674503e-01;0;5.722273e-01;0;0;0
19;0.190000;1.828815e-01;0;5.207344e-01;0;0;0
20;0.200000;1.947542e-01;0;5.611791e-01;0;0;0
21;0.210000;2.005846e-01;0;6.521500e-01;0;0;0
22;0.220000;2.020057e-01;0;5.945414e-01;0;0;0
23;0.230000;2.393244e-01;0;6.294882e-01;0;0;0
24;0.240000;2.448323e-01;0;4.511794e-01;0;0;0
25;0.250000;2.616967e-01;0;3.846501e-01;0;0;0
26;0.260000;2.299562e-01;0;1.984836e-01;0;0;0
27;0.270000;2.292223e-01;0;1.464159e-01;0;0;0
28;0.280000;2.248802e-01;0;1.607088e-01;0;0;0
29;0.290000;2.681275e-01;0;3.125479e-01;0;0;0
30;0.300000;3.088099e-01;0;7.323508e-01;0;0;0
31;0.310000;3.881162e-01;0;7.050374e-01;0;0;0
32;0.320000;4.081620e-01;0;7.657723e-01;0;0;0
33;0.330000;3.769032e-01;0;9.157619e-01;0;0;0
34;0.340000;3.900832e-01;0;1.212639e+00;0;0;0
35;0.350000;5.225431e-01;0;1.066407e+00;0;0;9.801856e-02
36;0.360000;7.437800e-01;9.423077e+01;9.877725e-01;2.615662e-02;3.305845e-03;1.735118e-01
37;0.370000;8.806625e-01;1.887655e+02;1.015305e+00;2.677340e-02;1.146818e-02;2.005403e-01
38;0.380000;9.006386e-01;2.833003e+02;1.844999e+00;2.778727e-02;1.179361e-02;1.120669e-01
39;0.390000;8.535676e-01;2.827039e+02;1.822340e+00;2.539415e-03;9.307203e-03;5.028330e-02
40;0.400000;7.819941e-01;2.800585e+02;1.652307e+00;1.587756e-02;1.473406e-02;2.628188e-02
41;0.410000;6.945679e-01;2.757112e+02;1.362565e+00;2.963700e-02;1.584551e-02;2.079255e-01
42;0.420000;7.005534e-01;2.714393e+02;1.350509e+00;2.918665e-02;2.936129e-02;2.598554e-01
43;0.430000;7.195890e-01;2.697476e+02;1.326806e+00;3.745994e-02;5.589993e-02;3.156951e-01
44;0.440000;7.645807e-01;2.708645e+02;9.279684e-01;2.398576e-02;5.589461e-02;1.601757e-01
45;0.450000;7.607949e-01;2.662499e+02;5.943871e-01;2.482648e-02;4.299094e-02;1.302056e-01
46;0.460000;7.873592e-01;2.555327e+02;5.105156e-01;1.060793e-02;1.156028e-02;1.858464e-01
47;0.470000;8.460019e-01;2.459050e+02;3.474427e-01;1.465950e-02;1.490583e-02;2.302694e-01
48;0.480000;8.937330e-01;2.446906e+02;5.741113e-01;2.036236e-02;1.975752e-02;2.656366e-01
49;0.490000;9.255311e-01;2.499372e+02;8.040650e-01;1.729435e-02;1.161057e-02;1.814343e-01
50;0.500000;9.351872e-01;2.532315e+02;1.207545e+00;1.459712e-02;9.161022e-03;1.255275e-01
51;0.510000;9.078268e-01;2.549161e+02;1.330490e+00;9.930809e-03;3.176968e-03;8.721160e-02
52;0.520000;8.301179e-01;2.559042e+02;1.613547e+00;8.478649e-03;5.396472e-03;1.146776e-01
53;0.530000;7.170013e-01;2.574067e+02;1.582000e+00;5.905611e-03;8.750219e-03;2.898103e-01
54;0.540000;6.485980e-01;2.584123e+02;1.250103e+00;2.905842e-02;5.808655e-02;3.302986e-01
55;0.550000;6.712645e-01;2.576712e+02;7.654102e-01;3.629949e-02;6.030336e-02;3.909450e-01
