frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;7.171704e-01;1.324324e+02;4.177211e-02;0;0;3.333333e-01
1;0.010000;8.296089e-01;2.614691e+02;3.724788e-02;8.816706e-02;4.481882e-02;4.898590e-01
2;0.020000;9.412263e-01;3.830897e+02;7.518209e-02;9.017123e-02;4.686574e-02;5.268305e-01
3;0.030000;9.592886e-01;3.717454e+02;4.196167e-01;9.642794e-02;5.002149e-02;1.955699e-01
4;0.040000;9.616287e-01;3.619735e+02;1.060546e+00;1.555444e-02;6.475444e-03;5.929951e-02
5;0.050000;9.621668e-01;3.534366e+02;1.325312e+00;1.633007e-02;8.103468e-03;3.466508e-02
6;0.060000;9.524022e-01;3.437185e+02;1.228278e+00;1.097254e-02;7.135358e-03;5.625568e-02
7;0.070000;9.211461e-01;3.341613e+02;9.768188e-01;8.816815e-03;1.143597e-02;4.026609e-02
8;0.080000;8.748266e-01;3.269207e+02;8.115306e-01;1.530886e-02;1.648738e-02;6.478531e-02
9;0.090000;8.428026e-01;3.183479e+02;7.091523e-01;2.112962e-02;2.087531e-02;5.465854e-02
10;0.100000;8.399560e-01;3.157207e+02;4.263158e-01;4.156367e-02;3.780458e-02;1.723518e-01
11;0.110000;8.579612e-01;3.208226e+02;6.509365e-01;5.786372e-02;5.158089e-02;2.574545e-01
12;0.120000;8.661618e-01;3.281393e+02;7.956764e-01;6.306469e-02;6.167832e-02;2.889232e-01
13;0.130000;8.460501e-01;3.311728e+02;8.150811e-01;4.941368e-02;5.584867e-02;2.119695e-01
14;0.140000;8.158014e-01;3.170164e+02;6.926994e-01;3.794811e-02;3.890836e-02;1.547266e-01
15;0.150000;7.869434e-01;2.899533e+02;6.150206e-01;4.013352e-02;2.779771e-02;1.744374e-01
16;0.160000;6.375263e-01;2.766280e+02;6.480846e-01;1.810176e-01;1.433568e-01;2.032362e-01
17;0.170000;5.971969e-01;1.798394e+02;5.048969e-01;1.858942e-01;2.803186e-01;4.718535e-01
18;0.180000;6.318304e-01;2.246147e+02;4.473514e-01;2.000848e-01;2.841958e-01;5.086891e-01
19;0.190000;8.277893e-01;2.567834e+02;4.213941e-01;6.953591e-02;1.603756e-01;5.394040e-01
20;0.200000;9.225845e-01;3.868719e+02;5.064716e-01;5.333816e-02;2.151364e-02;2.486093e-01
