frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;1.832030e-01;0;4.183428e-01;0;0;0
1;0.010000;2.170544e-01;0;5.491468e-01;0;0;0
2;0.020000;3.046219e-01;0;6.634490e-01;0;0;0
3;0.030000;3.960864e-01;0;4.211209e-01;0;0;0
4;0.040000;5.219472e-01;0;5.150506e-01;0;0;0
5;0.050000;6.398954e-01;7.960199e+01;8.241122e-01;7.164378e-02;0;1.147767e-01
6;0.060000;7.876657e-01;1.582379e+02;1.218166e+00;7.346001e-02;3.185135e-02;1.512276e-01
7;0.070000;8.759506e-01;2.359078e+02;1.509587e+00;7.617732e-02;3.638344e-02;1.678872e-01
8;0.080000;9.189987e-01;2.339758e+02;1.296513e+00;5.507882e-03;3.776761e-02;6.073875e-02
9;0.090000;9.195921e-01;2.328221e+02;1.223156e+00;4.474001e-03;6.994647e-03;3.848093e-02
10;0.100000;9.082284e-01;2.324469e+02;8.841519e-01;4.821283e-03;4.752005e-03;3.632005e-02
11;0.110000;8.969805e-01;2.322593e+02;9.446230e-01;6.934645e-03;4.506871e-03;1.355912e-01
12;0.120000;8.990833e-01;2.324469e+02;8.404973e-01;1.251659e-02;5.873884e-03;1.366003e-01
13;0.130000;9.075902e-01;2.333960e+02;1.072031e+00;1.679419e-02;4.422171e-03;1.715569e-01
14;0.140000;9.191130e-01;2.349266e+02;1.021952e+00;2.000153e-02;4.468940e-03;1.011412e-01
15;0.150000;9.315957e-01;2.370616e+02;8.093432e-01;1.444545e-02;5.080006e-03;9.975949e-02
16;0.160000;9.398170e-01;2.394228e+02;8.044454e-01;8.953654e-03;5.274962e-03;6.490782e-02
17;0.170000;9.428018e-01;2.414232e+02;6.124632e-01;3.748063e-03;4.867135e-03;3.510689e-02
18;0.180000;9.411853e-01;2.430437e+02;1.175393e+00;3.447868e-03;2.152964e-03;3.693917e-02
19;0.190000;9.337048e-01;2.442806e+02;1.200632e+00;3.124621e-03;1.966561e-03;2.693426e-02
20;0.200000;9.212074e-01;2.453187e+02;1.470026e+00;2.488037e-03;2.260787e-03;3.734555e-02
21;0.210000;9.044938e-01;2.459445e+02;1.115376e+00;7.321891e-03;5.252825e-03;8.333743e-02
22;0.220000;8.917446e-01;2.459445e+02;9.151507e-01;1.097924e-02;6.149385e-03;1.250213e-01
23;0.230000;8.154816e-01;2.445106e+02;9.546909e-01;1.318771e-02;8.063712e-03;1.431412e-01
24;0.240000;7.512611e-01;2.420613e+02;1.081519e+00;1.634439e-02;7.984627e-03;1.687570e-01
25;0.250000;7.464121e-01;2.408367e+02;1.022799e+00;1.965841e-02;9.497032e-03;2.097350e-01
26;0.260000;8.317263e-01;2.422728e+02;8.243791e-01;2.739972e-02;9.955562e-03;2.056061e-01
27;0.270000;9.105154e-01;2.453587e+02;7.425743e-01;2.401541e-02;9.357699e-03;1.265994e-01
28;0.280000;9.290159e-01;2.476429e+02;8.974130e-01;1.583134e-02;7.952905e-03;6.652364e-02
29;0.290000;9.243159e-01;2.482773e+02;1.038585e+00;7.462580e-03;6.452434e-03;5.177916e-02
30;0.300000;9.218400e-01;2.476429e+02;9.831510e-01;4.616092e-03;4.737659e-03;9.487381e-02
31;0.310000;9.152345e-01;2.453587e+02;8.954173e-01;1.055818e-02;5.592150e-03;9.402940e-02
32;0.320000;8.931267e-01;2.441384e+02;9.936254e-01;1.189938e-02;4.496086e-03;1.101159e-01
33;0.330000;8.294379e-01;2.454183e+02;1.062017e+00;1.300674e-02;4.401997e-03;9.119472e-02
34;0.340000;7.985582e-01;2.481343e+02;1.079937e+00;2.972050e-02;2.440727e-02;1.177687e-01
35;0.350000;7.946323e-01;2.489425e+02;8.264460e-01;9.160576e-02;2.750485e-02;1.770016e-01
36;0.360000;8.214381e-01;2.468274e+02;6.952653e-01;8.977619e-02;9.006859e-02;1.615432e-01
37;0.370000;8.353529e-01;2.447124e+02;8.189142e-01;7.997376e-02;7.163601e-02;1.495805e-01
38;0.380000;8.592499e-01;2.438620e+02;1.024145e+00;3.125035e-02;6.928491e-02;1.105720e-01
39;0.390000;8.959553e-01;2.442764e+02;8.866790e-01;3.961497e-02;1.392437e-02;1.119482e-01
40;0.400000;9.155960e-01;2.412576e+02;8.791637e-01;2.662833e-02;1.937025e-02;7.923356e-02
41;0.410000;9.103467e-01;2.345985e+02;9.210431e-01;1.220558e-02;1.884276e-02;3.579879e-02
42;0.420000;9.048953e-01;2.307531e+02;1.004129e+00;8.721308e-03;1.478510e-02;3.883099e-02
43;0.430000;9.080772e-01;2.325616e+02;7.681723e-01;2.165587e-02;8.486073e-03;9.107620e-02
44;0.440000;9.184696e-01;2.372002e+02;6.638441e-01;2.817702e-02;1.223877e-02;9.397802e-02
45;0.450000;9.217098e-01;2.392139e+02;9.194355e-01;2.602741e-02;1.271459e-02;8.397108e-02
46;0.460000;9.217671e-01;2.394070e+02;8.737618e-01;1.682967e-02;9.598033e-03;3.308970e-02
47;0.470000;9.209569e-01;2.406071e+02;1.009237e+00;1.762074e-02;1.450271e-02;6.409713e-02
48;0.480000;9.272511e-01;2.412101e+02;8.520675e-01;2.045144e-02;1.210994e-02;1.014343e-01
49;0.490000;9.287448e-01;2.380461e+02;9.241114e-01;2.057744e-02;1.497196e-02;1.101952e-01
50;0.500000;8.935382e-01;2.315152e+02;6.389984e-01;1.159332e-02;9.275566e-03;8.635593e-02
51;0.510000;8.273600e-01;2.246778e+02;7.819512e-01;5.979636e-03;8.247449e-03;4.755087e-02
52;0.520000;8.069552e-01;2.205341e+02;9.923903e-01;2.768993e-02;2.922321e-02;9.267067e-02
53;0.530000;8.388975e-01;2.190228e+02;9.198814e-01;5.515883e-02;2.950805e-02;8.785823e-02
54;0.540000;8.944244e-01;2.178542e+02;5.892572e-01;5.514699e-02;4.166934e-02;9.788993e-02
55;0.550000;9.069700e-01;2.171960e+02;7.455437e-01;2.986906e-02;1.869422e-02;5.592551e-02
56;0.560000;9.081265e-01;2.167054e+02;1.065779e+00;2.754481e-03;1.448940e-02;6.751224e-02
57;0.570000;9.149416e-01;2.162177e+02;1.320897e+00;2.466856e-03;2.149733e-03;6.644924e-02
58;0.580000;9.221401e-01;2.155713e+02;8.225257e-01;4.515806e-03;3.295318e-03;5.769590e-02
59;0.590000;9.255946e-01;2.147690e+02;5.260701e-01;3.757314e-03;5.673728e-03;3.474264e-02
60;0.600000;9.282072e-01;2.139697e+02;3.423707e-01;3.416332e-03;5.617901e-03;3.262042e-02
61;0.610000;9.301014e-01;2.134921e+02;6.114697e-01;2.168259e-03;3.722931e-03;2.327558e-02
62;0.620000;9.301462e-01;2.133333e+02;8.329493e-01;3.743043e-03;1.577794e-03;3.521203e-02
63;0.630000;9.296736e-01;2.134921e+02;1.185409e+00;3.673680e-03;1.476320e-03;2.488960e-02
64;0.640000;9.272801e-01;2.139697e+02;1.065274e+00;3.990564e-03;1.991466e-03;4.755159e-02
65;0.650000;9.248493e-01;2.147690e+02;1.131170e+00;3.971824e-03;2.586007e-03;5.858805e-02
66;0.660000;9.206122e-01;2.158989e+02;7.907073e-01;5.894511e-03;3.395435e-03;6.539890e-02
67;0.670000;9.180941e-01;2.172035e+02;8.229716e-01;8.061431e-03;3.483504e-03;8.341426e-02
68;0.680000;9.069564e-01;2.181863e+02;1.063145e+00;8.278424e-03;4.476649e-03;1.224569e-01
69;0.690000;8.535299e-01;2.190166e+02;1.244330e+00;1.200098e-02;7.606376e-03;1.176201e-01
70;0.700000;6.998437e-01;2.198560e+02;1.346132e+00;1.006426e-02;8.900747e-03;1.107410e-01
71;0.710000;5.300941e-01;1.469627e+02;9.232815e-01;1.574562e-02;1.269183e-02;1.249113e-01
72;0.720000;4.125610e-01;7.373272e+01;8.207296e-01;2.035217e-02;1.614289e-02;1.922324e-01
73;0.730000;4.092002e-01;0;8.006473e-01;2.653114e-01;2.561427e-01;2.115813e-01
74;0.740000;4.618864e-01;0;8.585723e-01;2.578188e-01;2.504221e-01;1.322875e-01
75;0.750000;5.537117e-01;0;9.477358e-01;2.467836e-01;2.423186e-01;5.656595e-02
76;0.760000;6.831033e-01;8.602151e+01;1.016066e+00;0;0;1.380699e-02
77;0.770000;8.021979e-01;1.671275e+02;1.109238e+00;3.211091e-03;5.590476e-04;8.699919e-02
78;0.780000;8.471296e-01;2.426059e+02;8.581779e-01;7.604090e-03;1.396814e-03;9.029911e-02
79;0.790000;8.237901e-01;2.318823e+02;5.493566e-01;8.336978e-03;5.047266e-03;1.048432e-01
80;0.800000;7.934511e-01;2.266057e+02;4.917811e-01;1.206629e-02;8.445882e-03;5.986754e-02
81;0.810000;7.856345e-01;2.269566e+02;5.393744e-01;4.447372e-02;2.290512e-02;1.578784e-01
82;0.820000;7.988885e-01;2.274882e+02;6.639999e-01;8.054126e-02;3.455167e-02;2.308380e-01
83;0.830000;8.074601e-01;2.269566e+02;4.277956e-01;9.259779e-02;4.696896e-02;2.747096e-01
84;0.840000;8.354306e-01;2.258936e+02;3.840596e-01;5.767639e-02;4.025824e-02;2.466795e-01
85;0.850000;8.654768e-01;2.248306e+02;2.535523e-01;2.853765e-02;3.835578e-02;1.746043e-01
86;0.860000;8.868904e-01;2.242991e+02;2.799625e-01;1.417634e-02;2.456817e-02;1.169528e-01
87;0.870000;8.870894e-01;2.242991e+02;4.214485e-01;1.962906e-02;2.020470e-02;7.814834e-02
88;0.880000;8.711174e-01;2.231150e+02;4.985976e-01;1.353196e-02;1.023535e-02;7.807463e-02
89;0.890000;8.146789e-01;2.205837e+02;5.516326e-01;1.046092e-02;1.107320e-02;9.280002e-02
90;0.900000;6.846034e-01;2.244066e+02;4.432951e-01;3.129176e-03;6.850385e-03;5.832373e-02
91;0.910000;6.253770e-01;1.508244e+02;3.752383e-01;1.564588e-03;3.425192e-03;1.098349e-01
92;0.920000;6.742966e-01;1.551442e+02;3.447668e-01;3.003215e-02;0;3.916885e-01
93;0.930000;8.218772e-01;1.529278e+02;4.621337e-01;6.171530e-02;3.555708e-02;4.582361e-01
94;0.940000;9.110065e-01;2.289377e+02;5.945743e-01;6.431820e-02;3.791453e-02;3.964430e-01
95;0.950000;9.342863e-01;2.282121e+02;1.139219e+00;3.712897e-02;3.942196e-02;8.775864e-02
96;0.960000;9.369016e-01;2.276687e+02;1.065475e+00;6.276660e-03;4.758433e-03;3.200194e-02
97;0.970000;9.364452e-01;2.276687e+02;9.445664e-01;4.916156e-03;3.342193e-03;4.223604e-02
