frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;5.180565e-01;0;1.147037e-01;0;0;0
1;0.010000;5.799479e-01;6.694561e+01;1.066972e-01;0;0;0
2;0.020000;5.787398e-01;1.344610e+02;9.372214e-02;0;0;0
3;0.030000;4.832883e-01;1.344610e+02;1.080194e-01;0;0;0
4;0.040000;5.428751e-01;6.751536e+01;1.554213e-01;0;0;2.290423e-01
5;0.050000;6.985421e-01;5.298013e+01;7.441538e-01;5.902721e-02;5.270955e-02;3.317434e-01
6;0.060000;8.561875e-01;1.059603e+02;9.607260e-01;1.180544e-01;1.054191e-01;4.344445e-01
7;0.070000;8.944077e-01;1.588530e+02;1.321216e+00;1.196381e-01;1.380284e-01;2.164522e-01
8;0.080000;8.901973e-01;1.585913e+02;8.155050e-01;6.219460e-02;1.179281e-01;1.248012e-01
9;0.090000;8.430670e-01;1.581564e+02;8.609290e-01;5.024623e-03;6.550086e-02;3.690742e-02
10;0.100000;7.997022e-01;1.577227e+02;5.369998e-01;5.666879e-03;3.327274e-02;5.074206e-02
11;0.110000;7.945525e-01;1.567115e+02;7.121349e-01;6.309137e-03;1.044610e-03;6.457671e-02
12;0.120000;8.373401e-01;1.551216e+02;7.944869e-01;8.971306e-03;2.315449e-03;1.223143e-01
13;0.130000;8.767505e-01;1.536180e+02;8.799030e-01;1.126475e-02;3.487516e-03;1.699746e-01
14;0.140000;8.799096e-01;1.529476e+02;6.658054e-01;9.584191e-03;5.899345e-03;1.606861e-01
15;0.150000;8.637287e-01;1.531924e+02;6.507625e-01;5.610183e-03;7.139107e-03;1.037373e-01
16;0.160000;8.258808e-01;1.534371e+02;7.629731e-01;3.313435e-03;6.963304e-03;4.291593e-02
17;0.170000;7.615805e-01;1.534371e+02;9.626150e-01;4.990693e-03;5.547739e-03;3.904338e-02
18;0.180000;7.314947e-01;1.539442e+02;7.888160e-01;1.002151e-02;6.605765e-03;1.157716e-01
19;0.190000;7.490111e-01;1.558192e+02;7.380638e-01;1.991748e-02;1.303204e-02;1.472285e-01
20;0.200000;8.046911e-01;1.587466e+02;9.236076e-01;2.376965e-02;1.791929e-02;1.584917e-01
21;0.210000;8.065870e-01;1.615553e+02;1.063847e+00;2.018392e-02;1.627856e-02;1.040240e-01
22;0.220000;7.499232e-01;1.633689e+02;1.013483e+00;1.122994e-02;9.907563e-03;8.669617e-02
23;0.230000;6.930502e-01;1.647706e+02;6.111381e-01;8.281619e-03;3.710728e-03;1.475516e-01
24;0.240000;6.727636e-01;1.661012e+02;3.370090e-01;3.440392e-02;1.460467e-02;2.101546e-01
25;0.250000;6.897312e-01;1.674531e+02;6.340848e-01;3.450662e-02;2.703509e-02;2.246743e-01
26;0.260000;7.029887e-01;1.687245e+02;8.946844e-01;3.360429e-02;2.886632e-02;1.450130e-01
27;0.270000;7.232477e-01;1.699205e+02;1.037264e+00;7.320788e-03;1.625641e-02;7.340229e-02
28;0.280000;7.504446e-01;1.712347e+02;7.346248e-01;5.891026e-03;2.940112e-03;9.117576e-02
29;0.290000;7.412938e-01;1.723591e+02;7.319427e-01;4.322571e-03;2.019436e-03;1.941103e-01
30;0.300000;6.942794e-01;1.730782e+02;1.086558e+00;2.493293e-03;1.525155e-03;1.652613e-01
31;0.310000;6.122172e-01;1.736014e+02;1.194280e+00;6.557231e-04;9.783626e-04;1.071153e-01
32;0.320000;4.881481e-01;1.158397e+02;9.385136e-01;0;0;0
33;0.330000;3.564000e-01;5.807795e+01;5.671636e-01;0;0;0
34;0.340000;2.337522e-01;0;3.869019e-01;0;0;0
35;0.350000;2.320128e-01;0;3.861396e-01;0;0;0
36;0.360000;3.035881e-01;0;3.029772e-01;0;0;0
37;0.370000;4.140829e-01;0;2.825592e-01;0;0;0
38;0.380000;5.079951e-01;0;4.032382e-01;0;0;0
39;0.390000;5.447651e-01;0;4.975482e-01;0;0;8.718999e-02
40;0.400000;5.203550e-01;0;4.604178e-01;0;0;1.743800e-01
41;0.410000;4.995975e-01;0;4.539538e-01;0;0;1.743800e-01
42;0.420000;5.344228e-01;0;4.180085e-01;0;0;8.718999e-02
43;0.430000;5.990675e-01;6.309990e+01;5.979008e-01;0;0;2.137279e-01
44;0.440000;6.566003e-01;1.212279e+02;6.704164e-01;0;0;4.274558e-01
45;0.450000;6.577821e-01;1.740355e+02;6.768379e-01;0;0;6.411837e-01
46;0.460000;6.246808e-01;1.634809e+02;5.957620e-01;7.515553e-02;0;5.420130e-01
47;0.470000;5.596816e-01;1.053529e+02;7.343369e-01;1.503111e-01;0;4.428422e-01
48;0.480000;5.061290e-01;5.254530e+01;1.143190e+00;1.503111e-01;0;2.291143e-01
49;0.490000;4.175236e-01;0;1.573582e+00;7.515553e-02;0;1.145572e-01
50;0.500000;4.195573e-01;0;2.233506e+00;0;0;0
51;0.510000;4.664913e-01;0;2.052372e+00;0;0;0
52;0.520000;5.825779e-01;5.922773e+01;1.486537e+00;0;0;0
53;0.530000;6.002513e-01;1.230413e+02;8.936104e-01;0;0;0
54;0.540000;6.039571e-01;1.958637e+02;8.790662e-01;0;0;0
55;0.550000;5.719914e-01;2.177117e+02;9.546444e-01;0;0;0
56;0.560000;5.952788e-01;1.538981e+02;7.001840e-01;0;0;0
57;0.570000;4.766171e-01;8.107567e+01;4.369034e-01;0;0;0
58;0.580000;3.689943e-01;0;5.174189e-01;0;0;0
59;0.590000;2.530261e-01;0;3.488398e-01;0;0;0
60;0.600000;2.751013e-01;0;4.236658e-01;0;0;0
61;0.610000;3.327446e-01;0;2.867408e-01;0;0;0
62;0.620000;3.447700e-01;0;9.022730e-01;0;0;0
63;0.630000;3.802578e-01;0;1.124558e+00;0;0;0
64;0.640000;4.936947e-01;0;1.168100e+00;0;0;3.104864e-02
65;0.650000;6.613144e-01;5.405405e+01;1.041625e+00;7.815496e-03;0;3.255374e-02
66;0.660000;7.786670e-01;1.087627e+02;1.065199e+00;1.563099e-02;0;3.405884e-02
67;0.670000;8.133903e-01;1.647130e+02;1.837577e+00;1.819067e-02;3.340429e-03;1.718243e-02
68;0.680000;8.148407e-01;1.672962e+02;1.724227e+00;1.503056e-02;6.736024e-03;4.738988e-02
69;0.690000;8.224795e-01;1.697333e+02;1.672846e+00;1.094506e-02;9.626110e-03;8.197884e-02
