frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.000000;4.955620e-01;0;2.174337e-02;0;0;0
1;0.010000;5.119927e-01;0;7.818744e-02;0;0;0
2;0.020000;5.401594e-01;0;1.534720e-01;0;0;0
3;0.030000;4.871204e-01;0;2.850277e-01;0;0;0
4;0.040000;4.062638e-01;0;3.255972e-01;0;0;0
5;0.050000;3.665648e-01;0;2.780134e-01;0;0;0
6;0.060000;3.830843e-01;0;1.607834e-01;0;0;0
7;0.070000;4.400278e-01;0;1.035786e-01;0;0;0
8;0.080000;4.103315e-01;0;9.200272e-02;0;0;0
9;0.090000;3.943447e-01;0;2.450874e-01;0;0;0
10;0.100000;4.226394e-01;0;2.511379e-01;0;0;0
11;0.110000;5.210884e-01;0;2.334579e-01;0;0;2.282086e-01
12;0.120000;5.824442e-01;1.616161e+02;1.841832e-01;5.000128e-02;0;3.623750e-01
13;0.130000;5.849859e-01;3.176515e+02;4.087376e-01;1.000026e-01;0;4.965414e-01
14;0.140000;5.495900e-01;3.176515e+02;5.833754e-01;1.184784e-01;2.875403e-02;3.030594e-01
15;0.150000;5.120860e-01;1.560353e+02;7.136920e-01;8.695290e-02;5.750807e-02;2.036197e-01
16;0.160000;5.162237e-01;0;5.987119e-01;3.695162e-02;5.750807e-02;6.945332e-02
17;0.170000;5.021250e-01;0;5.593787e-01;1.847581e-02;2.875403e-02;3.472666e-02
18;0.180000;5.551773e-01;0;3.081741e-01;0;0;0
19;0.190000;5.859522e-01;0;2.481709e-01;0;0;0
20;0.200000;6.388174e-01;1.584158e+02;1.877218e-01;0;0;0
21;0.210000;5.565491e-01;3.176238e+02;3.424593e-01;0;0;0
22;0.220000;4.306492e-01;3.176238e+02;5.053059e-01;0;0;0
23;0.230000;2.955282e-01;1.592079e+02;6.891046e-01;0;0;0
24;0.240000;3.146064e-01;0;7.702627e-01;0;0;0
25;0.250000;3.866064e-01;0;6.395613e-01;0;0;2.945643e-01
26;0.260000;4.845241e-01;0;3.927753e-01;0;0;5.891287e-01
27;0.270000;5.639341e-01;0;3.386951e-01;2.219684e-02;0;6.157320e-01
28;0.280000;6.453608e-01;1.530563e+02;7.677720e-01;4.439368e-02;0;3.477710e-01
29;0.290000;7.213473e-01;3.007007e+02;1.115088e+00;6.659053e-02;0;7.981002e-02
30;0.300000;7.384774e-01;4.380815e+02;1.373425e+00;5.362583e-02;1.234992e-02;8.291557e-02
31;0.310000;7.208796e-01;4.131940e+02;1.090435e+00;3.308523e-02;1.997170e-02;1.177213e-01
32;0.320000;6.948307e-01;3.854406e+02;9.685957e-01;1.115131e-02;2.136371e-02;1.583753e-01
33;0.330000;6.669049e-01;3.605465e+02;8.254197e-01;3.744604e-03;1.057487e-02;1.395268e-01
34;0.340000;6.126809e-01;3.382136e+02;7.193380e-01;4.670935e-03;6.312432e-03;1.358067e-01
35;0.350000;4.967929e-01;2.183226e+02;8.249543e-01;6.393271e-03;7.946037e-03;1.981372e-01
36;0.360000;3.671649e-01;1.058359e+02;8.113424e-01;6.553087e-03;9.410571e-03;3.168647e-01
37;0.370000;3.345300e-01;0;6.514046e-01;1.882067e-02;1.882768e-02;5.034503e-01
38;0.380000;4.395052e-01;0;3.512355e-01;2.047446e-02;2.717529e-02;6.556705e-01
39;0.390000;6.077047e-01;9.696286e+01;2.543389e-01;2.611300e-02;2.821767e-02;5.864293e-01
40;0.400000;7.222142e-01;1.914032e+02;3.858587e-01;1.429791e-02;1.996056e-02;3.662457e-01
41;0.410000;7.542874e-01;2.810439e+02;5.351498e-01;1.682744e-02;1.166470e-02;1.876599e-01
42;0.420000;7.469595e-01;2.693886e+02;4.895132e-01;1.291281e-02;1.012475e-02;2.028793e-01
43;0.430000;7.143342e-01;2.563361e+02;5.457518e-01;1.548259e-02;7.563425e-03;2.000447e-01
44;0.440000;6.488597e-01;2.445488e+02;4.713436e-01;9.314009e-03;4.486062e-03;9.682255e-02
45;0.450000;5.943697e-01;2.198044e+02;5.020592e-01;5.604830e-03;1.958018e-03;2.125652e-02
46;0.460000;5.797303e-01;1.932140e+02;4.515098e-01;0;0;1.779201e-01
47;0.470000;6.016352e-01;1.844714e+02;5.597668e-01;7.328649e-02;0;3.959941e-01
48;0.480000;5.752878e-01;2.012768e+02;5.438868e-01;7.328649e-02;7.328649e-02;6.140680e-01
49;0.490000;4.629510e-01;1.464794e+02;4.916813e-01;7.328649e-02;7.328649e-02;4.361480e-01
50;0.500000;3.294980e-01;7.736863e+01;3.467015e-01;0;7.328649e-02;2.180740e-01
51;0.510000;2.376639e-01;0;3.781904e-01;0;0;0
52;0.520000;1.974935e-01;0;3.878237e-01;0;0;0
53;0.530000;1.632747e-01;0;3.635409e-01;0;0;0
54;0.540000;1.614928e-01;0;2.183943e-01;0;0;0
55;0.550000;2.090859e-01;0;1.225003e-01;0;0;0
56;0.560000;2.721274e-01;0;1.587294e-01;0;0;0
57;0.570000;3.659356e-01;0;2.130445e-01;0;0;0
58;0.580000;4.883225e-01;0;3.827741e-01;0;0;2.208019e-01
59;0.590000;6.277449e-01;8.605820e+01;4.185642e-01;2.535543e-02;0;2.894201e-01
60;0.600000;7.283852e-01;1.700862e+02;5.427114e-01;2.717889e-02;2.339326e-02;3.009333e-01
61;0.610000;7.658672e-01;2.502251e+02;1.184782e+00;2.900235e-02;4.678652e-02;9.164462e-02
62;0.620000;7.745385e-01;2.407488e+02;1.461052e+00;1.306492e-02;5.443257e-02;2.703506e-02
63;0.630000;7.465678e-01;2.164469e+02;1.424001e+00;2.065945e-02;3.868536e-02;1.953050e-02
64;0.640000;7.224526e-01;1.811274e+02;8.034906e-01;1.988780e-02;2.362857e-02;2.174977e-02
65;0.650000;6.811320e-01;1.498727e+02;1.083441e+00;1.253608e-02;1.699045e-02;4.147496e-02
66;0.660000;6.371997e-01;1.359933e+02;1.178628e+00;7.039452e-03;1.117519e-02;1.693985e-01
67;0.670000;6.045705e-01;1.372835e+02;1.332070e+00;9.909005e-03;4.669515e-03;2.875982e-01
68;0.680000;6.214771e-01;1.374830e+02;9.222700e-01;1.176410e-02;5.492369e-03;3.957965e-01
69;0.690000;6.407779e-01;1.366433e+02;7.951176e-01;8.072592e-03;5.743803e-03;3.737738e-01
70;0.700000;5.511903e-01;1.358610e+02;4.670543e-01;1.630764e-01;2.707200e-01;3.363982e-01
71;0.710000;3.875548e-01;9.033435e+01;3.017638e-01;2.023040e-01;2.982394e-01;2.503192e-01
72;0.720000;2.304319e-01;4.532724e+01;2.563701e-01;2.157996e-01;3.091219e-01;4.272559e-01
73;0.730000;1.727742e-01;0;5.564323e-01;1.169438e-01;7.773048e-02;4.132020e-01
74;0.740000;1.568706e-01;0;6.721156e-01;1.252903e-01;8.342936e-02;4.394995e-01
75;0.750000;1.449322e-01;0;9.318350e-01;1.786730e-01;1.331266e-01;2.225491e-01
76;0.760000;1.348127e-01;0;1.181162e+00;1.186035e-01;9.771097e-02;1.420465e-01
77;0.770000;1.729143e-01;0;1.029511e+00;6.710809e-02;6.266193e-02;6.989584e-02
78;0.780000;3.345243e-01;0;9.172009e-01;0;0;0
79;0.790000;4.813025e-01;4.694437e+01;4.359927e-01;0;0;0
80;0.800000;5.940776e-01;9.930850e+01;6.627042e-01;0;0;0
81;0.810000;5.511137e-01;1.618955e+02;4.972824e-01;0;0;0
82;0.820000;5.778545e-01;1.149512e+02;6.163892e-01;0;0;0
83;0.830000;4.980518e-01;6.258702e+01;3.555472e-01;0;0;0
84;0.840000;4.283350e-01;0;3.559887e-01;0;0;0
85;0.850000;2.891101e-01;0;2.198199e-01;0;0;0
86;0.860000;3.632554e-01;0;2.192630e-01;0;0;0
87;0.870000;5.319419e-01;5.111821e+01;4.559931e-01;0;0;0
88;0.880000;7.219030e-01;1.022364e+02;8.571348e-01;0;0;0
89;0.890000;8.132413e-01;1.532732e+02;8.263401e-01;0;0;7.917466e-02
90;0.900000;8.383787e-01;1.530296e+02;9.938366e-01;0;0;1.583493e-01
91;0.910000;8.555403e-01;1.529492e+02;1.477593e+00;0;0;2.375240e-01
92;0.920000;8.444061e-01;1.532769e+02;1.532780e+00;2.791426e-03;0;1.618700e-01
93;0.930000;8.014801e-01;1.538493e+02;1.133324e+00;5.582852e-03;0;8.621600e-02
94;0.940000;7.580525e-01;1.541759e+02;5.123351e-01;9.827130e-03;1.417310e-03;7.393197e-02
95;0.950000;7.381198e-01;1.540935e+02;1.154925e+00;1.078589e-02;1.863651e-03;2.482347e-01
96;0.960000;7.394369e-01;1.538467e+02;1.153640e+00;1.002915e-02;3.602043e-03;3.491426e-01
97;0.970000;7.074742e-01;1.536004e+02;1.112422e+00;7.819558e-03;3.923126e-03;3.866805e-01
98;0.980000;6.760659e-01;1.534365e+02;5.141240e-01;8.457185e-03;5.856698e-03;3.402373e-01
99;0.990000;6.665815e-01;1.533546e+02;4.670213e-01;1.081031e-02;6.498217e-03;3.671890e-01
100;1.000000;6.897404e-01;1.552869e+02;1.815272e-01;9.516385e-03;8.416633e-03;3.513199e-01
101;1.010000;7.058071e-01;1.574666e+02;1.847674e-01;8.420479e-03;8.992527e-03;2.293460e-01
102;1.020000;6.923837e-01;1.579613e+02;2.339010e-01;6.456947e-03;1.031093e-02;1.422712e-01
103;1.030000;5.979163e-01;1.564407e+02;2.719612e-01;6.073849e-03;8.723342e-03;1.106814e-01
104;1.040000;5.539899e-01;1.031428e+02;3.132264e-01;1.583012e-02;1.847205e-02;1.648248e-01
105;1.050000;6.001148e-01;1.088776e+02;2.702978e-01;2.935775e-02;2.226057e-02;1.652294e-01
106;1.060000;7.453632e-01;1.143903e+02;3.522040e-01;6.846944e-02;4.388179e-02;2.405940e-01
107;1.070000;8.379129e-01;1.712288e+02;6.328672e-01;9.489062e-02;5.486771e-02;3.093786e-01
108;1.080000;8.529971e-01;1.707197e+02;7.213812e-01;1.184081e-01;7.107134e-02;3.970029e-01
109;1.090000;8.479736e-01;1.705156e+02;8.358588e-01;8.086569e-02;7.666440e-02;3.487326e-01
110;1.100000;8.600857e-01;1.715586e+02;5.246880e-01;5.488399e-02;6.445665e-02;2.209917e-01
111;1.110000;8.816895e-01;1.735436e+02;6.436761e-01;1.588182e-02;5.380556e-02;9.066480e-02
112;1.120000;8.985458e-01;1.754208e+02;5.953371e-01;1.578141e-02;2.587888e-02;1.315226e-02
113;1.130000;8.973231e-01;1.760404e+02;6.315669e-01;2.874059e-03;1.563928e-02;2.597982e-02
114;1.140000;8.900650e-01;1.756111e+02;4.275245e-01;5.345501e-03;4.963362e-03;3.091981e-02
115;1.150000;8.766833e-01;1.749732e+02;4.566897e-01;6.457561e-03;5.969991e-03;3.131567e-02
116;1.160000;8.682656e-01;1.739244e+02;4.713576e-01;8.815894e-03;7.090346e-03;2.084199e-02
117;1.170000;8.662479e-01;1.726731e+02;5.534923e-01;1.639862e-02;1.240238e-02;4.679513e-02
118;1.180000;8.321435e-01;1.721521e+02;5.383431e-01;2.206338e-02;1.168534e-02;6.282371e-02
119;1.190000;7.700635e-01;1.692444e+02;5.087264e-01;1.912475e-02;9.321891e-03;5.587638e-02
120;1.200000;6.881018e-01;1.665415e+02;4.963599e-01;8.603389e-03;1.646410e-03;2.297591e-02
121;1.210000;6.062867e-01;1.667463e+02;3.819870e-01;0;0;0
122;1.220000;5.959384e-01;1.122017e+02;3.427964e-01;0;0;0
123;1.230000;6.168942e-01;1.149046e+02;3.192489e-01;0;0;0
124;1.240000;5.933895e-01;1.149114e+02;2.624783e-01;0;0;0
125;1.250000;5.019641e-01;1.149114e+02;2.000862e-01;0;0;0
126;1.260000;3.911465e-01;5.776851e+01;1.341096e-01;0;0;0
127;1.270000;3.663625e-01;0;2.222183e-01;0;0;0
128;1.280000;3.901409e-01;0;3.992860e-01;0;0;0
129;1.290000;4.670253e-01;0;1.180296e+00;0;0;0
130;1.300000;6.043485e-01;4.597702e+01;1.456037e+00;0;0;0
131;1.310000;7.202870e-01;9.156439e+01;1.519437e+00;0;0;9.263783e-02
132;1.320000;7.957264e-01;1.365096e+02;1.283956e+00;4.999552e-03;0;1.529800e-01
133;1.330000;8.176627e-01;1.354142e+02;1.032454e+00;8.166638e-03;1.879969e-03;1.612580e-01
134;1.340000;8.352104e-01;1.348972e+02;1.115345e+00;8.345139e-03;4.870249e-03;1.070553e-01
135;1.350000;8.433827e-01;1.350224e+02;1.209179e+00;3.524087e-03;7.860530e-03;8.514822e-02
136;1.360000;8.355948e-01;1.352113e+02;1.157131e+00;1.976372e-03;7.422298e-03;1.533023e-01
137;1.370000;7.926176e-01;1.353389e+02;1.030344e+00;3.417242e-03;5.873755e-03;1.912992e-01
138;1.380000;7.018118e-01;1.356587e+02;8.500869e-01;5.836863e-03;3.849603e-03;1.677567e-01
139;1.390000;6.596359e-01;1.358508e+02;9.717245e-01;5.152803e-03;3.947649e-03;1.594288e-01
140;1.400000;6.707261e-01;1.358508e+02;9.679689e-01;1.025350e-02;7.846860e-03;1.373587e-01
141;1.410000;6.942220e-01;1.359806e+02;7.406142e-01;1.628011e-02;1.029794e-02;1.491367e-01
142;1.420000;6.714945e-01;1.366967e+02;7.276461e-01;1.534479e-02;8.758160e-03;8.103249e-02
143;1.430000;6.340987e-01;1.375426e+02;6.006363e-01;8.624727e-03;3.417212e-03;2.667061e-02
144;1.440000;6.483347e-01;1.380666e+02;5.317239e-01;0;0;0
145;1.450000;6.062766e-01;1.385330e+02;3.334313e-01;0;0;0
146;1.460000;5.062903e-01;9.248902e+01;2.572913e-01;0;0;0
147;1.470000;4.454847e-01;4.644500e+01;9.816132e-02;0;0;0
148;1.480000;3.700761e-01;0;2.027891e-01;0;0;0
149;1.490000;4.298785e-01;0;2.204723e-01;0;0;2.811288e-02
150;1.500000;4.046495e-01;0;2.321339e-01;0;0;5.622576e-02
151;1.510000;5.118958e-01;0;2.020407e-01;0;0;5.622576e-02
152;1.520000;5.222325e-01;0;3.678465e-01;0;0;2.811288e-02
153;1.530000;5.894478e-01;0;5.624218e-01;0;0;0
154;1.540000;6.208704e-01;0;7.468974e-01;0;0;0
155;1.550000;7.024997e-01;4.613855e+01;6.884062e-01;0;0;0
156;1.560000;7.319989e-01;9.454160e+01;5.258576e-01;0;0;0
157;1.570000;7.156401e-01;1.474377e+02;3.098916e-01;0;0;0
158;1.580000;6.329185e-01;1.012991e+02;2.009304e-01;0;0;0
159;1.590000;5.216155e-01;5.289608e+01;1.710474e-01;0;0;0
160;1.600000;4.054182e-01;0;1.858203e-01;0;0;0
161;1.610000;3.712726e-01;0;2.332052e-01;0;0;0
162;1.620000;3.916855e-01;0;2.726690e-01;0;0;0
