frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.992429e+00;-3.750937e+00;-3.976637e+00;3.918066e-01;2.604607e+00;-1.460881e-01;1.336136e+00;-4.660311e-01;7.842825e+00;-1.089529e+01;-1.416805e+01;1.834210e+00;-1.088219e+00;4.641594e+00
1;0.010000;2.563718e+00;-3.000182e+00;-2.131649e+00;3.654804e-01;1.899151e+00;-4.122990e+00;3.231711e+00;-6.243706e-02;4.946908e+00;-8.562444e+00;-1.574337e+01;2.991648e-01;-3.000911e+00;2.613525e+00
2;0.020000;4.028967e+00;-1.808304e+00;-1.075010e+00;6.034231e-02;5.348436e+00;-2.265903e+00;4.387700e+00;-3.472116e+00;2.220332e+00;-4.875367e+00;-1.104103e+01;4.930899e-01;-5.056593e+00;-7.024689e-01
3;0.030000;5.397429e+00;-1.424177e+00;-2.204359e+00;2.022475e+00;1.071318e+01;1.483664e+00;1.633037e+00;-3.321047e+00;3.751645e+00;-4.187733e+00;-3.359647e+00;2.048135e+00;-4.392513e+00;-4.124786e+00
4;0.040000;5.769442e+00;-1.789859e+00;-2.675257e+00;2.698942e+00;1.272592e+01;7.695576e+00;3.275762e-01;3.377167e+00;8.985207e+00;-4.476157e+00;1.068824e+00;1.182310e+00;-3.646147e+00;-6.328018e+00
5;0.050000;5.847141e+00;-1.591685e+00;-1.217062e+00;1.519069e+00;1.144110e+01;9.811853e+00;1.627952e+00;2.632169e+00;1.081680e+01;-4.975121e+00;-1.480400e+00;-1.346771e+00;-2.917745e+00;-7.578987e+00
6;0.060000;5.049335e+00;-1.628695e+00;-1.008407e+00;1.000917e+00;1.452374e+01;5.922520e+00;6.764602e+00;7.468381e-01;3.841964e+00;-5.122999e+00;-4.187551e+00;8.249187e-02;-2.566342e+00;-8.084030e+00
7;0.070000;4.479386e+00;-1.160117e+00;-1.109704e+00;-3.202271e-01;1.776685e+01;3.641548e+00;1.214972e+01;1.958699e-01;1.129985e+00;-8.608324e-01;-6.849808e+00;3.023288e+00;-2.877467e+00;-7.081993e+00
8;0.080000;4.394903e+00;-7.910652e-01;-1.020409e+00;-8.746119e-01;1.857203e+01;4.059567e+00;1.154189e+01;-2.287245e-01;-4.954758e-01;2.106681e+00;-7.941294e+00;3.726065e+00;-1.055618e+00;-6.171616e+00
9;0.090000;3.588420e+00;6.198521e-01;7.050991e-03;1.796994e-01;1.860678e+01;5.181679e+00;7.548183e+00;8.695173e-01;-1.816470e+00;8.448377e-01;-6.124323e+00;4.730277e+00;-5.067949e-01;-6.838295e+00
