frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.473115e+00;-8.526861e+00;-8.168525e+00;-3.552781e+00;1.475709e+01;6.712658e+00;1.299732e+00;1.351202e+00;7.981365e+00;4.125232e+00;4.813800e-01;-1.483838e+00;-1.594584e+00;-3.908249e+00
1;0.010000;-6.409645e-03;-5.720548e+00;-8.815066e+00;-4.549078e+00;8.724836e+00;-3.410776e+00;-6.441262e+00;-7.720032e-01;1.067728e+01;8.040696e+00;4.681129e+00;5.135544e+00;2.180252e+00;4.051331e+00
2;0.020000;2.547236e+00;-8.570311e+00;-9.250227e+00;-5.641446e+00;-3.682728e-01;-1.183267e+01;-9.768717e+00;-5.839586e-01;1.035075e+01;4.501611e+00;1.861899e-01;5.300392e+00;3.928946e+00;8.903114e+00
3;0.030000;2.473711e+00;-1.057916e+01;-8.556128e+00;-7.161398e+00;-4.823255e+00;-1.420234e+01;-1.077814e+01;1.781025e+00;9.153196e+00;1.226071e+00;8.779581e-01;3.958775e+00;6.488679e+00;1.201369e+01
4;0.040000;7.422695e-01;-1.072877e+01;-8.155470e+00;-8.711699e+00;-7.685412e+00;-1.628773e+01;-1.206709e+01;2.105131e+00;7.710549e+00;-8.772497e-01;1.847394e-01;2.947660e+00;6.869269e+00;1.207447e+01
5;0.050000;2.431231e-01;-9.819914e+00;-3.923712e+00;-7.258113e+00;-9.475406e+00;-1.672760e+01;-9.104334e+00;3.233890e+00;4.288942e+00;-7.828641e-01;2.590961e+00;2.652099e+00;7.483846e+00;1.052210e+01
6;0.060000;-8.307161e-01;-7.776723e+00;2.669541e+00;-5.140959e+00;-9.364432e+00;-1.382750e+01;-4.203608e+00;2.722807e+00;2.334990e+00;3.595109e-01;6.171297e+00;3.042892e+00;7.817588e+00;1.057726e+01
7;0.070000;-3.322720e+00;-6.043371e+00;3.519439e+00;-5.502373e+00;-1.084358e+01;-1.257175e+01;-4.684032e+00;-6.293020e-01;-2.148458e+00;-1.618889e+00;6.566640e+00;9.154749e-01;6.650378e+00;1.087643e+01
8;0.080000;-4.297170e+00;-4.157569e+00;5.077277e+00;-3.621402e+00;-1.021195e+01;-1.055437e+01;-5.575807e+00;-3.368355e+00;-6.552573e+00;-3.822184e+00;6.613536e+00;1.047069e+00;6.560579e+00;9.726418e+00
9;0.090000;-4.028523e+00;-2.971203e+00;5.117442e+00;-3.966769e+00;-1.020715e+01;-9.185583e+00;-7.106744e+00;-7.053647e+00;-8.187133e+00;-9.016461e+00;4.399165e+00;-1.952471e+00;1.534577e+00;7.386787e+00
10;0.100000;-2.913548e+00;-1.655395e+00;7.395462e+00;-1.919938e+00;-7.390553e+00;-5.531638e+00;-3.934154e+00;-3.445219e+00;-3.518240e+00;-1.095756e+01;3.399123e+00;-1.715113e+00;-1.805404e+00;5.349487e+00
11;0.110000;-2.201538e+00;-1.316236e+00;7.416534e+00;-3.421042e+00;-5.603696e+00;-3.849212e+00;-2.989983e+00;-1.822696e+00;-2.280017e+00;-1.370311e+01;2.046680e+00;-2.231870e+00;-4.681254e+00;3.673180e+00
12;0.120000;-2.528256e+00;2.099563e+00;7.271821e+00;-3.354130e+00;-3.803527e+00;-1.674330e+00;-1.187343e+00;-5.980778e-01;-3.787728e+00;-1.018293e+01;1.063505e+00;-1.416277e+00;-5.300326e+00;2.213165e+00
13;0.130000;-7.254991e+00;7.580787e+00;6.673467e+00;1.384475e+00;-6.464777e-01;-3.443315e+00;4.086280e-02;-2.039499e-01;2.919591e+00;-6.548398e+00;5.579090e-01;6.356859e-01;-4.460025e+00;2.211037e+00
14;0.140000;-1.224432e+01;9.302545e+00;5.008417e+00;5.124100e+00;6.570220e+00;-2.947894e+00;-3.447934e+00;-6.249495e-01;7.350081e+00;-2.807600e+00;-2.383354e-01;3.127388e+00;-1.845764e+00;2.822250e+00
15;0.150000;-1.660187e+01;8.517982e+00;1.843813e+00;6.349448e+00;1.004251e+01;2.048604e+00;-2.484952e+00;1.709418e+00;5.144380e+00;-3.377681e+00;-1.527130e+00;5.633856e+00;2.618833e+00;2.478935e+00
16;0.160000;-1.967522e+01;5.825957e+00;-1.039636e+00;5.982865e+00;1.010056e+01;6.923054e+00;1.300179e+00;5.410025e+00;3.978961e+00;-3.446496e+00;-2.222320e+00;3.684520e+00;3.567274e+00;1.956665e+00
17;0.170000;-2.025533e+01;5.375516e+00;-2.785166e+00;4.173670e+00;8.095947e+00;8.942295e+00;2.491724e+00;5.772922e+00;4.566616e+00;-3.121569e+00;-8.846927e-01;3.420048e-01;4.075603e+00;1.722168e+00
18;0.180000;-2.088561e+01;5.044093e+00;-4.635471e+00;2.984759e+00;7.309677e+00;8.027363e+00;1.321654e+00;3.754935e+00;3.971599e+00;-2.003912e+00;1.401713e+00;-1.175875e+00;4.633240e+00;1.207512e+00
19;0.190000;-2.117678e+01;3.954932e+00;-7.717336e+00;2.175959e+00;7.910583e+00;6.335484e+00;-5.746095e-01;6.565105e+00;7.280318e+00;1.856858e+00;1.085780e+00;1.914663e-01;9.335087e+00;7.767029e-01
20;0.200000;-2.125525e+01;2.349902e+00;-1.033992e+01;1.690824e+00;6.507779e+00;5.470644e+00;8.403080e-01;1.009723e+01;1.220479e+01;4.292816e+00;4.951015e-01;7.767282e-01;1.066052e+01;4.622650e-01
21;0.210000;-2.110616e+01;1.510786e+00;-1.203074e+01;2.034695e-01;2.579358e+00;5.157612e+00;1.656587e+00;9.131298e+00;1.075697e+01;5.100602e+00;2.206758e+00;9.559593e-01;7.147989e+00;2.955322e-01
22;0.220000;-1.952037e+01;3.451915e+00;-1.073049e+01;3.416716e+00;5.128265e+00;6.979677e+00;3.769082e+00;1.192604e+01;1.020551e+01;9.011594e+00;4.203312e+00;1.957276e+00;8.174358e+00;3.225327e-01
23;0.230000;-1.821533e+01;4.576407e+00;-1.036749e+01;7.586989e+00;8.125731e+00;6.057158e+00;4.079254e+00;1.107539e+01;9.285748e+00;8.952193e+00;5.267974e+00;2.934332e-01;9.245266e+00;7.057266e-01
