frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.678832e+00;-2.764659e-01;-8.654898e+00;-4.408729e-01;8.390828e+00;6.898740e+00;4.264488e+00;9.778600e-01;-3.138748e+00;-4.661847e+00;-8.332271e+00;2.159463e+00;1.109113e+00;-3.220566e+00
1;0.010000;6.819300e+00;-2.822192e+00;-8.610550e+00;-1.929464e+00;5.264980e+00;8.017471e+00;2.286546e+00;9.180255e-01;-6.362818e+00;-4.171766e+00;-6.949924e+00;-2.375066e+00;9.946840e-01;4.512650e+00
2;0.020000;6.126819e+00;-6.015559e+00;-6.798943e+00;-1.900863e+00;4.994645e+00;6.600936e+00;6.089316e+00;-2.159413e-01;-5.976415e+00;-1.612311e+00;-9.181873e+00;-4.921675e-01;-2.784588e-01;9.659058e+00
3;0.030000;3.523716e+00;-6.919206e+00;-6.153251e+00;-3.782063e+00;5.639433e+00;4.170394e+00;9.767263e+00;2.714338e-01;-4.283651e+00;-7.965708e-01;-8.217577e+00;-4.174376e-02;-3.953846e-01;1.212717e+01
4;0.040000;1.039083e+00;-5.704455e+00;-6.414489e+00;-4.999439e+00;5.081050e+00;9.694135e-01;1.195873e+01;2.021484e+00;-2.436085e+00;4.272790e-01;-6.341865e+00;-1.438429e+00;2.469722e-01;1.262861e+01
5;0.050000;4.571896e-01;-4.387285e+00;-7.628113e+00;-4.375848e+00;4.706403e+00;-2.127940e+00;1.105207e+01;5.539824e+00;-1.139425e+00;1.986860e+00;-5.738937e+00;-1.763299e+00;1.913562e-01;1.236232e+01
6;0.060000;1.864115e+00;-2.686020e+00;-8.512290e+00;-3.478164e+00;4.008054e+00;-4.547520e+00;7.712424e+00;7.439944e+00;-4.407316e+00;2.024819e+00;-5.284056e+00;-2.013625e+00;4.105228e-01;1.032305e+01
7;0.070000;3.488208e+00;-2.121267e-01;-7.777039e+00;-1.222903e+00;3.273090e+00;-5.966894e+00;5.696587e+00;1.070587e+01;-8.534174e+00;2.368880e+00;-2.034539e+00;-2.096182e+00;1.296997e+00;6.433701e+00
8;0.080000;3.594733e+00;-2.699494e-01;-4.972011e+00;1.650264e+00;2.198486e+00;-6.574671e+00;5.286082e+00;1.185691e+01;-5.679753e+00;2.411710e+00;-1.532913e+00;-8.823471e-01;2.529181e+00;1.100853e+00
9;0.090000;1.505648e+00;-1.262262e+00;-4.538754e+00;1.990083e+00;3.890894e+00;-8.392340e+00;7.364954e+00;1.288494e+01;2.138186e+00;9.238591e-01;-3.624732e+00;3.336048e-02;4.077635e+00;-4.362892e+00
10;0.100000;-2.111384e+00;-6.813760e+00;-6.529770e+00;2.814216e+00;8.291660e+00;-3.460867e+00;1.332509e+01;1.233786e+01;4.351762e+00;1.873020e+00;-3.046638e+00;-5.541104e+00;-6.789705e+00;-6.053658e+00
11;0.110000;-4.937140e+00;-9.932253e+00;-8.368793e+00;-1.156820e-01;6.451483e+00;-1.255073e+00;1.155738e+01;5.456491e+00;4.575758e+00;6.054045e+00;4.232893e-01;1.169258e+00;-1.023947e+01;-4.380608e+00
12;0.120000;-3.350189e+00;-6.061403e+00;-3.785836e+00;4.574471e-01;4.820134e+00;-1.578222e+00;5.989162e+00;2.115809e+00;1.128263e-01;4.486530e+00;-4.024227e-01;5.403521e+00;-9.149870e+00;-8.698044e-01
13;0.130000;-1.276064e-01;-2.941719e+00;-2.806591e+00;-1.809771e+00;-1.921892e+00;-9.782399e+00;9.771547e-01;6.162539e+00;-8.177158e+00;1.005868e+00;-2.883513e+00;3.933932e+00;-8.368256e+00;4.449127e+00
14;0.140000;1.246341e+00;-4.962332e+00;-4.877317e+00;-2.478640e+00;-3.324125e+00;-1.248241e+01;-7.017279e-01;9.279379e+00;-1.218651e+01;2.240554e+00;-3.355902e+00;1.724484e+00;-6.496243e+00;8.923965e+00
15;0.150000;2.287860e+00;-8.373314e+00;-6.907520e+00;-4.654592e+00;-2.677307e+00;-1.342885e+01;-1.569733e+00;1.016556e+01;-1.125986e+01;2.627366e+00;-2.758371e+00;-6.727943e-01;-5.035151e+00;1.105553e+01
16;0.160000;2.452888e+00;-1.033492e+01;-6.952292e+00;-7.312949e+00;-2.481089e+00;-1.348345e+01;-3.858403e+00;1.240449e+01;-1.040064e+01;1.530396e+00;-3.654580e-01;-3.719503e+00;-3.199846e+00;1.148300e+01
17;0.170000;3.195399e+00;-9.833231e+00;-5.552353e+00;-5.634942e+00;-2.238386e+00;-8.935130e+00;-5.842282e+00;1.727337e+01;-9.778311e+00;9.323993e-01;1.222254e+00;-2.498936e+00;-3.578793e-01;1.105850e+01
18;0.180000;3.278034e+00;-6.865098e+00;-3.814843e+00;-4.457022e+00;3.954105e-01;-6.457065e+00;-4.906601e+00;1.757101e+01;-7.429086e+00;-2.514793e+00;-1.495898e-01;5.199542e-01;-1.481292e+00;9.548538e+00
19;0.190000;1.006111e+00;-3.280304e+00;4.485316e-01;-4.105931e+00;1.993236e+00;-5.572447e+00;1.580569e+00;1.077982e+01;-1.183519e+00;-3.805654e+00;-9.284815e-01;4.049480e+00;-3.316894e+00;7.520462e+00
20;0.200000;-5.160265e+00;-1.547775e-01;9.322891e+00;-1.910475e+00;-1.467300e+00;-6.252632e+00;5.661874e+00;6.679130e+00;1.616817e+00;-2.873586e+00;2.320350e+00;4.982249e+00;-1.830186e+00;6.131531e+00
21;0.210000;-1.202287e+01;-6.414046e-01;1.334173e+01;7.331645e-02;-3.521729e-01;-4.643471e+00;3.204159e+00;7.788783e+00;6.541220e+00;-2.621829e+00;3.519371e+00;4.788025e+00;-2.569182e+00;5.018173e+00
22;0.220000;-1.645711e+01;-3.658494e+00;1.185042e+01;-1.617680e+00;2.517256e+00;3.005844e+00;4.641397e+00;1.117145e+01;1.260744e+01;-2.932855e+00;1.595065e+00;3.684880e+00;-5.623506e+00;4.302498e+00
23;0.230000;-1.879306e+01;-6.310151e+00;9.363924e+00;-2.910904e+00;1.251741e+00;3.421242e+00;1.647849e+00;8.089412e+00;1.372463e+01;-3.556371e-01;1.104529e+00;4.411624e+00;-5.859008e+00;3.896484e+00
24;0.240000;-2.034945e+01;-7.278794e+00;9.474724e+00;-3.586279e-01;3.570233e+00;6.228107e+00;2.874785e+00;3.891424e+00;1.223331e+01;-4.492741e-01;-4.385779e-01;5.420029e+00;-5.382864e+00;3.095329e+00
25;0.250000;-2.166104e+01;-7.471552e+00;9.650065e+00;2.601547e+00;5.240728e+00;1.085120e+01;6.835232e+00;3.296435e+00;1.006966e+01;-7.854738e-01;-3.472147e+00;3.893703e+00;-5.351737e+00;2.288742e+00
26;0.260000;-2.224335e+01;-8.561962e+00;9.315430e+00;4.037905e+00;5.114246e+00;1.392006e+01;7.426322e+00;3.182981e+00;9.926444e+00;2.664932e+00;1.257838e+00;6.593225e+00;-3.054589e+00;2.027496e+00
27;0.270000;-2.147823e+01;-9.110777e+00;6.722630e+00;4.783620e+00;3.886554e+00;1.116416e+01;5.980746e+00;2.157743e+00;1.143881e+01;1.452701e+00;2.149467e+00;5.820654e+00;-2.294471e-01;2.192703e+00
28;0.280000;-2.087380e+01;-9.558630e+00;3.044060e+00;4.023743e+00;2.110855e+00;8.185209e+00;5.810183e+00;3.839688e+00;1.419137e+01;1.448648e+00;3.691930e+00;5.223337e+00;3.657807e+00;1.913872e+00
29;0.290000;-2.053073e+01;-9.361112e+00;1.043839e-01;4.891266e+00;2.004883e+00;5.885224e+00;4.747063e+00;5.913155e+00;1.539080e+01;3.239623e+00;4.885803e+00;6.545562e+00;7.277329e+00;8.663254e-01
30;0.300000;-1.873673e+01;-9.273280e+00;-1.727921e+00;8.213160e+00;5.242226e+00;3.682403e+00;4.105269e+00;6.536289e+00;1.465498e+01;5.496561e+00;6.193591e+00;6.005423e+00;5.206900e+00;-5.802917e-01
31;0.310000;-1.552966e+01;-9.043390e+00;-2.146430e+00;8.506481e+00;7.352006e+00;4.176129e+00;2.277351e+00;4.255692e+00;1.338661e+01;7.527152e+00;5.802892e+00;4.746025e+00;1.470116e+00;-2.371597e+00
32;0.320000;-9.178728e+00;-3.602757e+00;2.097540e+00;9.352755e+00;8.533458e+00;4.542886e-01;-3.760506e+00;-4.150519e+00;7.278089e+00;3.413540e+00;-2.170831e+00;1.484551e-01;-1.989244e+00;-2.583374e+00
33;0.330000;-1.243785e+00;1.773223e+00;2.947087e-01;2.743797e+00;2.023266e+00;-3.733842e+00;-6.619846e+00;-9.567719e+00;6.471872e-03;-8.113809e-01;-2.986459e+00;1.064018e+00;-3.990228e+00;-8.106232e-01
34;0.340000;4.653994e+00;3.369120e+00;-2.198061e+00;-1.674297e+00;1.830656e+00;-1.904577e+00;-5.848729e+00;-9.799340e+00;-3.961532e+00;-5.514865e-01;8.405840e-01;2.778131e+00;-5.782897e+00;4.875183e-01
35;0.350000;7.112696e+00;2.483278e+00;-4.487177e+00;-3.149320e+00;1.582015e+00;2.026087e-01;-8.179255e+00;-8.304002e+00;-8.373511e+00;3.489477e+00;2.928578e+00;-7.636862e-01;-5.424064e+00;1.152077e+00
36;0.360000;7.144364e+00;2.320051e+00;-5.295353e+00;-2.891118e+00;1.795464e-01;3.611414e+00;-1.133157e+01;-6.546281e+00;-9.779221e+00;7.246872e+00;5.319758e+00;-5.073855e+00;-2.518896e+00;1.533516e+00
37;0.370000;6.852092e+00;2.758251e+00;-5.627690e+00;-4.829049e-03;-2.072311e+00;2.429689e+00;-1.491952e+01;-4.110174e+00;-7.995766e+00;8.011453e+00;5.877814e+00;-8.065119e+00;2.046076e-01;1.568657e+00
38;0.380000;5.950174e+00;4.838200e-01;-2.266423e+00;1.966161e+00;-5.813875e+00;-5.556507e-01;-1.847385e+01;3.885006e-01;-6.196832e+00;4.898702e+00;6.662642e+00;-9.343111e+00;3.435092e+00;2.172295e+00
39;0.390000;4.560292e+00;-1.504349e+00;3.015302e+00;5.047427e-01;-7.909519e+00;-2.335134e+00;-1.746585e+01;4.520613e+00;-6.044521e+00;8.920755e-01;8.717921e+00;-8.470989e+00;6.834234e+00;2.989868e+00
40;0.400000;2.510237e+00;-2.168148e+00;4.218893e+00;-1.442069e+00;-9.760265e+00;-4.177485e+00;-1.377755e+01;4.163221e+00;-6.541481e+00;-3.429648e+00;1.067423e+01;-7.334598e+00;7.038731e+00;3.916840e+00
41;0.410000;1.375759e+00;-2.267443e+00;3.905247e+00;-1.769776e+00;-9.578337e+00;-3.693620e+00;-1.150827e+01;4.735391e+00;-6.255836e+00;-3.697939e+00;1.243529e+01;-6.084159e+00;7.582643e+00;4.625107e+00
