frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.833958e+00;-2.702749e+00;8.699580e+00;3.422049e+00;-1.555200e+01;-8.794014e+00;-2.083136e+00;5.857703e+00;-2.815385e-01;-6.746299e+00;-9.976152e-01;3.083697e+00;2.944183e+00;7.972839e+00
1;0.010000;-4.120131e+00;-3.583064e+00;6.959701e+00;3.504239e+00;-1.306548e+01;-1.059725e+01;-2.999861e+00;6.134320e+00;2.534860e+00;-2.187581e+00;-5.326685e+00;1.549754e+00;6.030753e+00;8.186584e+00
2;0.020000;-2.872135e+00;-3.718082e+00;3.777903e+00;1.600296e+00;-1.051422e+01;-7.623758e+00;-4.542153e+00;6.961763e+00;5.644009e+00;3.174488e+00;-3.587752e+00;-4.901569e-01;8.407458e+00;8.227318e+00
3;0.030000;-1.732123e+00;-4.009822e+00;2.074614e+00;-6.246338e-01;-1.106430e+01;-3.193128e+00;-6.306956e+00;4.136676e+00;6.920846e+00;5.398855e+00;-2.666331e+00;-2.175313e+00;6.153990e+00;7.762726e+00
4;0.040000;-9.143260e-01;-3.940321e+00;3.729762e-01;-3.031509e+00;-9.527390e+00;1.086803e+00;-5.615356e+00;8.795042e-01;6.044421e+00;5.781421e+00;-1.065143e+00;-2.447263e+00;1.467897e+00;7.054802e+00
5;0.050000;-7.605865e-01;-3.941433e+00;-1.607000e+00;-5.135684e+00;-6.447931e+00;2.724158e+00;-3.068257e+00;-2.046083e+00;5.029115e+00;4.978553e+00;1.228382e+00;-9.732540e-01;-2.611156e+00;6.340981e+00
6;0.060000;-2.333200e-01;-3.262698e+00;-3.625191e+00;-5.998496e+00;-3.923838e+00;3.221068e+00;-4.138963e+00;-4.491619e+00;3.176823e+00;2.891954e+00;3.447371e+00;1.325830e+00;-5.714884e+00;5.788109e+00
7;0.070000;2.254004e-01;-2.716559e+00;-4.217179e+00;-5.190708e+00;-2.936898e+00;3.762948e+00;-4.408803e+00;-3.682795e+00;2.428787e+00;2.720801e+00;5.345759e+00;4.586140e+00;-4.846463e+00;5.076416e+00
8;0.080000;6.159747e-01;-1.319966e+00;-3.511103e+00;-5.189331e+00;-2.122343e+00;4.741948e+00;-3.796904e+00;-2.575174e+00;2.042925e+00;6.852973e-02;4.257734e+00;4.903025e+00;-3.417826e+00;4.089264e+00
9;0.090000;1.028510e+00;-5.616858e-01;-1.931742e+00;-3.944673e+00;-2.079505e+00;5.767532e+00;-1.827003e+00;-2.058021e+00;2.403761e+00;-2.153131e+00;2.258440e+00;3.676403e+00;-2.489375e+00;2.925667e+00
10;0.100000;8.336313e-01;-7.361999e-01;-1.435881e+00;-3.130714e+00;-1.898850e+00;5.338770e+00;-5.847712e-01;-2.428015e+00;1.120842e+00;-2.467421e+00;1.668676e+00;3.199473e+00;-1.258189e+00;1.838341e+00
11;0.110000;5.558724e-01;-8.012924e-01;-8.966498e-01;3.919716e-01;-6.094227e-01;3.727668e+00;-1.595003e+00;-2.786825e+00;-1.098003e+00;-3.156615e+00;2.769566e+00;1.989417e+00;-1.176478e+00;1.130318e+00
12;0.120000;6.129022e-01;-1.019352e+00;-9.006510e-01;3.820828e+00;1.700282e+00;2.435301e+00;-5.351363e+00;-3.787906e+00;-2.494774e+00;-4.045290e+00;4.616465e+00;2.477340e+00;-3.922723e-01;5.098038e-01
13;0.130000;1.361313e+00;1.522617e-01;5.954397e-02;3.992929e+00;2.811468e+00;2.267789e+00;-5.477188e+00;-5.739607e+00;1.662264e-01;-2.485718e+00;4.777375e+00;1.428512e+00;3.332794e-01;2.512054e-01
14;0.140000;7.359648e-01;7.322109e-01;3.304077e+00;3.611310e+00;1.172733e+00;2.895980e+00;-4.424630e+00;-6.139368e+00;2.921748e+00;-2.212255e+00;3.654647e+00;-9.188904e-01;-2.033247e+00;-3.030930e-01
15;0.150000;3.331397e-01;7.601780e-01;2.879560e+00;4.421533e+00;2.048079e+00;4.111091e+00;-4.219026e+00;-4.306893e+00;5.109039e+00;-2.186295e+00;1.153551e+00;-4.552128e+00;-4.907384e+00;-1.191620e+00
16;0.160000;1.273289e-01;7.880878e-02;5.468930e-01;3.694845e+00;3.239666e+00;4.853903e+00;-3.416776e+00;-1.846667e+00;4.364379e+00;-1.720810e+00;-2.634438e-01;-3.322422e+00;-5.219135e+00;-2.156883e+00
17;0.170000;-8.286836e-01;-9.201021e-01;-7.857740e-01;2.859046e+00;3.001910e+00;3.744709e+00;-4.857445e-02;1.725017e+00;4.306836e+00;1.469105e+00;5.492783e-01;-3.133149e+00;-6.473892e+00;-3.233414e+00
18;0.180000;-9.880111e-01;-1.354811e+00;-1.142329e+00;2.887612e+00;9.867535e-01;4.765562e+00;1.516360e+00;4.132985e+00;5.428962e+00;2.425686e+00;1.462692e+00;-5.009705e+00;-7.898499e+00;-4.006126e+00
19;0.190000;-7.900164e-01;-1.844862e+00;-1.909188e+00;2.206575e+00;-4.242821e-01;6.161057e+00;-1.346722e-01;4.822364e+00;5.168485e+00;-1.402211e-01;8.035815e-02;-6.340672e+00;-7.301756e+00;-4.755608e+00
20;0.200000;-8.357112e-01;-1.553000e+00;-5.348641e-01;2.495183e+00;2.397328e+00;6.844206e+00;-2.378787e+00;3.878768e+00;6.282790e+00;-1.473282e+00;1.470062e-01;-5.470439e+00;-5.233127e+00;-5.073875e+00
21;0.210000;-1.658902e+00;-1.211048e+00;1.015234e+00;4.603977e+00;6.272971e+00;8.196159e+00;-2.547946e+00;4.053157e+00;6.275015e+00;-6.234565e-01;5.070607e-01;-7.491549e+00;-4.882764e+00;-5.270485e+00
22;0.220000;-5.375968e+00;-4.011035e+00;5.819277e+00;6.072666e+00;6.491475e+00;6.295528e-01;2.484666e+00;3.568836e+00;-3.096461e-01;4.503141e+00;2.226224e+00;-7.184623e+00;-3.206432e+00;-2.968323e+00
23;0.230000;-9.480054e+00;-5.923645e+00;7.391261e+00;6.372155e+00;4.951559e+00;-4.953302e+00;5.765319e+00;2.637676e+00;-3.011006e+00;1.328106e+00;-3.295602e-01;-3.082898e+00;2.737912e+00;1.517021e+00
24;0.240000;-9.671247e+00;-4.510214e+00;5.837636e+00;5.664175e+00;4.521709e+00;-6.518942e+00;7.560601e+00;3.753533e+00;2.982769e-01;2.075179e+00;2.225035e-01;-9.873503e-01;7.026961e+00;3.603531e+00
25;0.250000;-8.494144e+00;-1.549604e+00;2.645945e+00;5.757021e+00;7.926408e+00;-4.858219e+00;7.396074e+00;2.462219e+00;1.967060e+00;3.622252e+00;5.103648e-01;-1.462404e+00;4.662405e+00;2.404144e+00
26;0.260000;-5.454295e+00;2.684394e+00;1.182091e+00;6.191499e+00;1.182893e+01;-3.889500e+00;3.145136e+00;-6.094499e-01;5.510783e-01;2.989012e+00;-3.182887e+00;-2.897753e+00;-1.367190e+00;-1.464386e-01
27;0.270000;5.390127e-01;4.464507e+00;2.161143e-01;1.319571e+00;4.626417e+00;-6.104998e+00;1.003943e+00;-4.089958e+00;-2.946489e+00;1.755909e+00;-4.467281e+00;-1.403251e+00;-5.218157e+00;-3.910065e-01
28;0.280000;3.755842e+00;4.977708e+00;-7.551750e-01;-4.647736e+00;1.361863e+00;-5.465982e+00;1.295737e+00;-6.250393e+00;-7.911979e+00;2.211528e-01;-3.170292e+00;-1.759097e+00;-2.508295e+00;-8.250427e-02
29;0.290000;4.441125e+00;4.375669e+00;-4.766109e-01;-6.112893e+00;1.483098e+00;-4.126316e+00;1.396957e+00;-3.189100e+00;-7.218825e+00;-8.363605e-03;-8.623846e-01;1.141222e+00;6.407523e-01;-8.135986e-02
30;0.300000;3.707331e+00;2.782353e+00;-3.407134e-01;-4.532030e+00;8.229504e-01;-4.928715e+00;3.547444e+00;-3.447938e-01;-4.703717e+00;1.672437e+00;2.982455e-02;3.480945e-01;3.420567e+00;-6.053162e-01
31;0.310000;3.724094e+00;2.427361e+00;-1.757106e+00;-4.718397e+00;1.465168e-01;-6.087467e+00;2.281116e+00;-2.078233e+00;-4.671721e+00;-5.741322e-02;-3.351357e+00;-2.591330e+00;2.126607e+00;-1.166306e+00
32;0.320000;3.943002e+00;2.956067e+00;-3.204931e+00;-6.645106e+00;-3.505478e-01;-5.913214e+00;1.422434e-01;-1.225516e+00;-3.800459e+00;-2.970013e+00;-3.693134e+00;1.824270e+00;4.357176e+00;-1.629662e+00
