frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.268049e+00;-1.114531e+00;2.829146e+00;-4.400501e+00;-1.057430e+01;-9.716361e+00;-4.377799e+00;-3.016428e-01;-5.218333e+00;-5.290609e+00;9.491993e+00;3.792117e+00;-5.553442e+00;5.203857e+00
1;0.010000;3.035173e+00;-1.546496e+00;3.592573e+00;-2.132572e+00;-7.114400e+00;-4.795314e+00;-1.837378e+00;-2.196723e-01;-4.448138e+00;-4.067825e+00;6.954656e+00;2.523035e+00;-5.155425e+00;4.068619e+00
2;0.020000;3.017546e+00;-1.860711e+00;4.915795e+00;6.152844e-01;-7.711474e+00;-2.189343e+00;-2.309027e-01;1.086774e+00;-2.739175e+00;-3.210352e+00;7.561973e+00;1.373119e+00;-3.993743e+00;2.280594e+00
3;0.030000;3.506962e+00;-1.923673e+00;4.385708e+00;2.052841e+00;-8.609600e+00;-2.488505e+00;1.414843e+00;-4.570137e-01;-3.705821e+00;-4.678699e+00;6.524389e+00;-9.032922e-01;-4.720444e+00;1.277390e+00
4;0.040000;4.318589e+00;-7.351241e-01;3.608722e+00;2.681657e+00;-6.540772e+00;-5.863808e+00;4.121626e+00;-1.691800e+00;-3.340123e+00;-5.471746e+00;3.089496e+00;-1.397457e+00;-5.589072e+00;2.944489e-01
5;0.050000;5.615838e+00;3.695564e-01;2.076387e+00;4.324303e+00;-3.640865e+00;-6.444739e+00;5.195478e+00;-3.367320e+00;-2.769182e-01;-5.120050e+00;-2.533197e-05;-1.647340e+00;-4.444196e+00;-6.881256e-01
6;0.060000;6.300049e+00;5.751753e-01;1.920867e-01;3.353606e+00;-5.143120e-01;-2.815502e+00;1.112087e+00;-6.190603e+00;4.127847e-01;-7.190575e+00;-2.069739e+00;-3.296776e+00;-4.554163e+00;-1.414726e+00
7;0.070000;5.371270e+00;1.887703e-01;-6.089163e-02;2.697616e+00;2.748669e+00;-1.246592e+00;-2.786671e+00;-5.798557e+00;1.549137e+00;-6.682506e+00;-4.351491e+00;-4.449153e+00;-3.203111e+00;-2.119232e+00
8;0.080000;4.704687e+00;5.273724e-02;-3.433816e-01;2.676158e+00;3.161145e+00;-3.624583e+00;-3.512938e+00;-5.553819e+00;2.087443e+00;-7.252501e+00;-1.016906e+01;-6.559807e+00;-1.167376e+00;-2.354019e+00
9;0.090000;4.694148e+00;1.147818e+00;3.441639e-01;3.667529e+00;3.916468e+00;-3.751205e+00;-1.867709e+00;-3.979843e+00;2.568966e+00;-7.603621e+00;-7.200322e+00;-6.549358e+00;-9.556341e-02;-2.327271e+00
