frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.895826e+00;6.984425e+00;-1.241478e+01;1.443825e+00;-4.634773e+00;1.125111e+01;-9.978161e-01;-4.632718e+00;4.288507e+00;-1.166151e+01;5.319306e+00;-4.473276e-01;-1.589352e+00;1.628761e+00
1;0.010000;-9.170763e+00;7.667989e+00;-1.152398e+01;2.773371e+00;-2.811548e+00;1.094428e+01;-2.855027e+00;-4.449363e+00;3.438526e+00;-1.365157e+01;1.449789e+00;-3.178061e+00;-9.227386e-01;1.949623e+00
2;0.020000;-9.279953e+00;7.185036e+00;-1.054628e+01;3.864015e+00;-5.857182e-01;1.113248e+01;-3.704387e+00;-5.643350e+00;4.389482e+00;-1.297657e+01;1.303768e+00;-4.522914e+00;-1.351980e+00;1.463615e+00
3;0.030000;-1.034429e+01;6.848038e+00;-1.013722e+01;5.266571e+00;-1.450176e-01;1.003909e+01;-2.590067e+00;-4.147084e+00;4.832373e+00;-1.198475e+01;4.533778e+00;-3.357622e+00;-3.130248e-01;6.141052e-01
4;0.040000;-1.029080e+01;8.448393e+00;-1.020360e+01;5.611583e+00;3.882408e-02;5.609881e+00;-1.845063e+00;-2.213318e+00;1.312393e+00;-1.277176e+01;2.566120e+00;-3.845433e+00;-8.953371e-01;4.868469e-01
5;0.050000;-1.009998e+01;9.833643e+00;-1.047302e+01;1.368085e+00;-1.960382e+00;1.769810e-01;-3.289141e+00;-3.189273e+00;8.220439e-01;-9.074927e+00;1.860345e+00;-4.803081e+00;-1.191580e+00;4.737167e-01
6;0.060000;-8.304407e+00;1.064939e+01;-9.041613e+00;-3.239880e-01;-1.226749e+00;3.337140e+00;2.057278e-01;4.122753e-01;5.005345e+00;-5.473661e+00;3.818506e+00;-1.640784e+00;1.424881e+00;2.931519e-01
7;0.070000;-4.358954e+00;7.523798e+00;-4.562323e+00;-9.110637e-01;-7.342442e+00;4.297064e+00;2.484838e+00;-3.101201e+00;2.311166e+00;-2.520247e+00;2.736305e+00;-1.403900e+00;1.816504e+00;1.097969e+00
8;0.080000;-1.036851e+00;1.104431e+00;1.866331e-01;-3.814044e+00;-7.789482e+00;1.625591e+00;-1.636963e+00;-6.173722e+00;-5.347919e+00;1.630390e+00;3.208732e+00;7.012734e-01;5.141749e-01;4.114250e+00
9;0.090000;-1.081331e+00;-1.653971e+00;2.980019e+00;-7.798306e+00;-7.174269e+00;-3.157310e-01;-2.215075e+00;-5.445361e+00;-7.012635e+00;5.958230e+00;2.189027e+00;2.791155e+00;-2.116055e+00;5.975868e+00
10;0.100000;-2.107315e+00;-2.789837e+00;6.274452e+00;-8.778228e+00;-6.683855e+00;7.060308e-01;-1.809454e-01;-3.953520e+00;-5.591687e+00;8.929592e+00;7.057033e-01;3.460473e+00;-2.857697e+00;6.147484e+00
11;0.110000;-2.601146e+00;-3.369014e+00;8.171177e+00;-8.511259e+00;-4.335503e+00;3.089200e+00;2.339651e+00;-3.861840e+00;-4.526471e+00;9.975673e+00;7.079329e-01;2.530893e+00;-3.287684e+00;5.694756e+00
12;0.120000;-2.393328e+00;-3.336566e+00;9.500090e+00;-1.009067e+01;-1.720757e+00;5.755178e+00;3.686752e+00;-1.914966e+00;-2.642284e+00;9.458622e+00;1.484614e+00;4.074714e+00;-2.138823e+00;6.066948e+00
