frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;2.514166e+01;-1.157417e+00;-2.629864e+01;-1.689423e+01;6.830424e+00;5.969613e+00;-1.828098e+01;6.098753e+00;-8.456318e+00;-1.303089e+00;2.068920e-01;-6.381585e+00;1.045635e+01;-6.253021e+00
1;0.010000;2.462400e+01;-3.033392e+00;-2.116791e+01;-1.129268e+01;1.245857e+01;7.965826e+00;-1.583544e+01;5.421147e+00;5.044270e-02;2.132784e+00;1.418817e-01;-4.809365e+00;3.701819e+00;-3.692223e+00
2;0.020000;2.155556e+01;-8.916411e+00;-1.921972e+01;-1.123047e+01;1.193556e+01;4.880507e-01;-1.601303e+01;2.120047e+00;3.742939e+00;-2.232163e+00;-5.863964e+00;-2.069651e+00;-2.937741e+00;-1.100502e+00
3;0.030000;1.877059e+01;-1.354253e+01;-1.624221e+01;-1.116654e+01;1.105230e+01;-7.792133e+00;-1.382626e+01;2.557380e+00;4.509802e+00;-7.205144e+00;-1.010528e+01;-1.577439e-01;-3.338716e+00;1.181351e+00
4;0.040000;1.663291e+01;-1.585996e+01;-1.097366e+01;-4.778032e+00;8.172350e+00;-1.238057e+01;-5.105973e+00;4.802149e+00;6.422131e+00;-1.379374e+01;-8.723013e+00;1.163172e+00;-1.859753e+00;2.931763e+00
5;0.050000;1.368581e+01;-1.840558e+01;-8.961535e+00;-7.273102e-01;-1.732826e-03;-1.723223e+01;-1.039047e+00;5.325174e+00;4.217547e+00;-2.006212e+01;-8.104107e+00;8.886561e-01;-1.544568e+00;3.506760e+00
6;0.060000;1.246098e+01;-1.772416e+01;-3.363215e+00;3.445795e+00;-2.593202e+00;-1.357415e+01;3.995759e+00;8.171337e+00;2.200993e+00;-1.882748e+01;-4.916011e+00;-1.577691e+00;-2.092108e+00;4.721176e+00
7;0.070000;1.046688e+01;-1.717828e+01;-9.875853e-01;1.235916e+00;-7.121456e+00;-1.103485e+01;5.164964e+00;5.383867e+00;-1.936226e-01;-1.575583e+01;-2.617240e+00;-5.702566e+00;-3.868511e+00;5.097931e+00
8;0.080000;1.031253e+01;-1.446091e+01;3.224498e+00;2.611206e+00;-6.939043e+00;-6.804317e+00;8.815499e+00;6.467641e+00;3.412549e+00;-1.277468e+01;-3.911221e+00;-8.778873e+00;-4.528955e+00;5.758492e+00
9;0.090000;8.873592e+00;-1.231907e+01;3.115865e+00;2.302446e+00;-1.013371e+01;-6.406118e+00;6.343480e+00;2.936436e+00;3.635048e+00;-1.262317e+01;-6.102606e+00;-1.119012e+01;-5.047298e+00;5.820564e+00
