frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.211987e+00;-1.530941e+00;8.499091e+00;1.906713e+01;1.434590e+01;1.418706e-01;-1.619415e+00;5.256845e+00;4.476162e+00;5.545872e+00;7.014464e+00;-3.679749e+00;7.541665e+00;-3.110065e+01
1;0.010000;-2.820236e+00;-2.644053e+00;7.537560e+00;1.934805e+01;1.245878e+01;1.883706e+00;2.260042e+00;8.213191e+00;7.577165e+00;9.794468e+00;8.970166e+00;-6.951526e+00;6.796803e+00;-3.231798e+01
2;0.020000;-2.105824e+00;-1.699116e+00;7.666198e+00;1.985179e+01;1.054573e+01;1.448333e+00;1.891137e+00;8.626716e+00;9.906716e+00;1.028101e+01;1.075916e+01;-6.792490e+00;9.863030e+00;-3.250231e+01
3;0.030000;-1.738128e+00;-1.127270e+00;7.287652e+00;1.953356e+01;1.253098e+01;1.336919e+00;7.889923e-01;8.639945e+00;1.197142e+01;9.312664e+00;1.057260e+01;-2.790932e+00;1.186733e+01;-3.262014e+01
4;0.040000;-1.497335e+00;-9.643612e-01;8.227908e+00;1.838290e+01;1.186053e+01;6.611451e-01;-2.419806e-02;8.102376e+00;1.022195e+01;8.914522e+00;9.297738e+00;-6.487460e-01;1.347826e+01;-3.263971e+01
5;0.050000;-2.187461e+00;-1.461961e+00;9.888537e+00;1.909848e+01;1.123826e+01;-2.545692e-01;2.761679e-01;5.512112e+00;7.258544e+00;1.002286e+01;7.658377e+00;-2.017718e+00;1.382832e+01;-3.300276e+01
6;0.060000;-3.339398e+00;-2.055328e+00;9.469873e+00;1.941361e+01;1.404929e+01;6.645384e-01;-2.397929e+00;1.269999e+00;4.418610e+00;1.093616e+01;9.850520e+00;-2.107080e+00;1.198451e+01;-3.374438e+01
7;0.070000;-2.932967e+00;-1.934006e+00;8.201377e+00;1.702126e+01;1.614454e+01;3.611703e+00;-1.288585e+00;3.984623e+00;4.665074e+00;1.046258e+01;1.208898e+01;-5.796056e-01;1.098358e+01;-3.327699e+01
8;0.080000;-1.773280e+00;-2.621327e+00;7.490185e+00;1.352249e+01;1.150088e+01;6.551974e+00;1.685645e+00;6.204514e+00;6.903560e+00;9.685742e+00;9.490277e+00;1.953851e+00;8.847006e+00;-3.190641e+01
9;0.090000;-4.781275e-01;-2.573923e+00;8.513968e+00;1.227632e+01;7.605428e+00;7.997023e+00;1.012480e+00;5.961642e+00;8.263461e+00;7.092364e+00;6.000118e+00;3.718650e+00;8.734899e+00;-3.069027e+01
