frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.365045e+00;-1.313227e+01;-7.239307e+00;1.229053e+00;1.129536e+01;2.728553e-01;3.489622e+00;-2.557373e+00;7.192082e+00;8.650604e+00;-3.448376e+00;1.107679e+00;1.000339e+00;-1.400934e+01
1;0.010000;-4.158031e+00;-1.271007e+01;-9.228430e+00;-2.185440e-02;1.158271e+01;-2.908691e+00;3.589153e-01;-1.686738e+00;9.011533e+00;7.231297e+00;-1.607111e+00;4.104329e+00;2.435076e+00;-1.371085e+01
2;0.020000;-3.324010e+00;-1.168011e+01;-1.029648e+01;-3.443813e-02;9.843904e+00;-2.040388e+00;5.681868e-01;-3.447641e+00;1.166008e+01;8.071079e+00;-2.408178e+00;2.806045e+00;4.025562e+00;-1.258459e+01
3;0.030000;-3.618567e+00;-1.122987e+01;-1.161076e+01;-2.035225e+00;9.316031e+00;-1.470296e+00;7.100210e-01;-5.487729e+00;1.258140e+01;6.613392e+00;-5.168700e+00;2.102000e+00;3.834874e+00;-1.174361e+01
4;0.040000;-3.520945e+00;-1.140688e+01;-1.282749e+01;-3.952921e+00;9.409442e+00;-5.008574e-01;-1.063447e+00;-6.111136e+00;1.092707e+01;4.087542e+00;-4.361825e+00;3.767978e+00;7.109297e+00;-1.125467e+01
5;0.050000;-2.336876e+00;-1.131544e+01;-1.228333e+01;-2.386620e+00;1.110699e+01;3.387723e-01;-3.122323e+00;-8.417901e+00;6.933271e+00;4.361529e+00;-1.592995e+00;1.559329e+00;6.319838e+00;-1.134518e+01
6;0.060000;-2.141623e+00;-1.137361e+01;-1.088266e+01;-1.089756e+00;1.108410e+01;-5.563345e-01;-3.121960e+00;-7.469642e+00;6.779690e+00;6.287220e+00;4.167423e-01;-1.305035e+00;4.085422e+00;-1.211641e+01
7;0.070000;-1.861021e+00;-1.049128e+01;-1.053415e+01;-2.642101e+00;7.711247e+00;-1.765782e+00;-1.481378e+00;-5.298889e+00;8.814270e+00;6.818958e+00;2.233691e+00;-4.843992e-01;2.276657e+00;-1.284502e+01
8;0.080000;-8.843756e-01;-1.041258e+01;-1.000771e+01;-1.391146e+00;6.969387e+00;-2.844524e-01;-5.963125e-01;-6.011720e+00;8.150846e+00;3.296425e+00;2.136820e+00;5.904247e-01;-6.788254e-02;-1.376997e+01
9;0.090000;-5.988245e-01;-1.174241e+01;-9.290636e+00;7.349849e-01;6.660010e+00;5.051397e+00;2.406647e+00;-7.971107e+00;6.177928e+00;6.550460e-01;4.247518e-01;-9.893874e-01;-6.307697e-01;-1.485408e+01
