frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.707034e+00;7.106549e+00;6.738135e+00;5.152230e+00;-4.847205e+00;5.632169e+00;4.116629e+00;-6.255513e+00;8.296696e+00;8.506012e-02;-1.011428e+00;3.032912e+00;7.537037e+00;-4.170914e-01
1;0.010000;-2.152666e+00;8.044378e+00;6.164375e+00;7.464127e+00;-6.780821e+00;4.155559e+00;4.822050e+00;-4.643423e+00;8.744633e+00;-3.860263e+00;-1.978958e+00;3.005653e+00;5.025677e+00;-1.868912e+00
2;0.020000;-3.125326e+00;8.324105e+00;2.171773e+00;9.336873e+00;-3.300253e+00;1.160704e+00;2.548394e+00;-4.253322e+00;8.270124e+00;-8.059758e+00;-1.869250e+00;1.078504e+00;1.605619e+00;-2.428619e+00
3;0.030000;-3.964697e+00;8.105924e+00;-1.673384e+00;8.815028e+00;1.912951e+00;-7.884026e-03;-2.852325e-01;-2.531844e+00;1.179250e+01;-6.413177e+00;-5.611868e-01;-1.672320e+00;-6.749455e-01;-1.839439e+00
4;0.040000;-3.608863e+00;5.016362e+00;-7.875375e+00;8.842415e+00;8.860856e+00;3.777082e+00;-3.506181e+00;-4.233003e+00;1.009494e+01;-2.922463e+00;3.518794e+00;-1.087756e+00;-1.922634e+00;-6.403961e-01
5;0.050000;-3.930745e+00;1.309582e+00;-1.495397e+01;8.819154e+00;1.395822e+01;6.869617e+00;-5.622461e+00;-9.432287e-01;2.861157e+00;-5.779501e+00;3.592418e+00;-8.845835e-01;-2.687118e+00;1.965561e+00
6;0.060000;-4.978867e+00;-4.367503e-01;-1.911742e+01;6.942657e+00;1.578383e+01;8.257418e+00;-5.210774e+00;1.620620e+00;9.667387e-01;-7.599442e+00;4.967556e+00;-1.483313e+00;-2.098742e+00;3.720482e+00
7;0.070000;-5.454143e+00;1.683624e-01;-2.019954e+01;6.188760e+00;1.570383e+01;9.991184e+00;-3.911134e+00;2.589761e+00;4.618100e+00;-6.255388e+00;6.974977e+00;8.607597e-01;-4.099791e-01;3.246407e+00
8;0.080000;-3.701073e+00;3.063811e+00;-1.765305e+01;4.810494e+00;1.002679e+01;7.051188e+00;-2.581491e+00;-7.912493e-01;5.673042e+00;-4.490232e+00;6.492190e+00;3.456513e+00;1.534221e+00;1.063316e+00
9;0.090000;1.045841e+00;4.427439e+00;-1.433967e+01;-5.360366e+00;-2.129527e+00;3.065642e+00;2.665762e+00;-2.767663e+00;2.446050e+00;-2.289752e+00;3.544579e+00;2.921603e+00;3.896544e+00;5.451050e-01
10;0.100000;2.412281e+00;3.161669e+00;-1.297197e+01;-1.121819e+01;-3.214500e+00;3.639727e+00;3.326359e+00;-2.193866e+00;-1.825687e+00;-6.282701e-01;1.567804e+00;2.687967e+00;2.812281e+00;2.697098e+00
11;0.110000;1.784827e+00;1.485788e+00;-1.134222e+01;-1.094216e+01;-3.499169e+00;4.201792e+00;4.076099e+00;-2.694790e+00;-2.241608e+00;1.101198e-01;-7.949476e-01;2.715915e+00;1.374023e+00;3.466003e+00
12;0.120000;1.369212e+00;8.713604e-01;-8.261819e+00;-8.398041e+00;-2.733419e+00;3.577532e+00;2.872384e+00;-5.163146e+00;-4.428558e-01;-1.650333e-01;-4.473536e+00;3.177023e+00;8.032293e-01;2.421989e+00
13;0.130000;2.338886e+00;1.133222e+00;-3.727212e+00;-4.350827e+00;-3.682718e-01;2.112791e+00;6.397114e-01;-8.305613e+00;1.738099e+00;1.221954e+00;-5.785716e+00;5.252293e+00;2.311492e+00;1.191711e+00
14;0.140000;1.541545e+00;2.475160e-01;7.644283e-01;-1.541488e+00;4.161582e+00;3.522828e+00;5.992842e-02;-9.161354e+00;-3.361370e+00;1.655175e+00;-4.174674e+00;2.136568e+00;1.423887e+00;2.526779e-01
15;0.150000;8.326784e-01;-4.632874e-01;3.228595e+00;-2.412599e+00;6.332510e+00;4.584235e+00;5.818210e-01;-8.281177e+00;-5.760426e+00;1.190649e+00;-9.287186e-01;-2.525837e+00;7.220560e-02;-5.428009e-01
16;0.160000;5.720603e-01;-6.241024e-02;4.651299e+00;-2.271779e+00;5.000245e+00;3.257875e+00;-1.986315e+00;-5.533894e+00;-2.674629e+00;4.967353e+00;3.219677e+00;-6.371413e+00;-4.941933e-01;-8.486023e-01
17;0.170000;1.032951e-01;-1.806604e-01;4.429139e+00;-1.028080e+00;3.302554e+00;2.642051e+00;-4.179999e+00;-3.185708e+00;-3.456541e+00;3.934256e+00;1.511534e+00;-9.276074e+00;2.786114e+00;-1.075203e+00
18;0.180000;5.810072e-01;-6.791118e-01;3.229749e+00;-9.826217e-01;3.162353e+00;4.318666e+00;-2.593265e+00;-1.437169e+00;-3.925165e+00;9.868469e-01;1.226540e-01;-1.145443e+01;4.633226e+00;-1.015877e+00
19;0.190000;1.022005e+00;-3.799660e-01;1.402244e+00;3.021331e-01;2.342588e+00;5.963472e+00;-2.131652e+00;-2.821693e+00;-3.764502e+00;-1.809188e+00;1.437233e+00;-1.453139e+01;4.154721e+00;-1.146919e+00
20;0.200000;4.055570e-01;-7.572919e-01;2.732980e+00;1.632657e+00;-5.438538e-01;1.921880e+00;-1.225142e+00;-3.355203e+00;-5.183901e+00;-5.864460e+00;4.597363e+00;-1.124676e+01;1.297501e+00;-1.736374e-01
21;0.210000;-1.843976e+00;-2.758055e+00;8.289580e+00;1.923707e+00;-4.941767e+00;-2.044548e+00;3.747077e-01;-3.438748e+00;-3.960466e+00;-5.896533e+00;5.164604e+00;-4.967550e+00;-1.275549e+00;2.291321e+00
22;0.220000;-3.613841e+00;-3.001275e+00;1.218350e+01;-5.165567e-01;-8.644143e+00;-2.754385e+00;2.439935e+00;-2.421299e+00;-5.681313e+00;-3.894952e+00;6.768406e+00;-7.624893e-01;-2.024408e+00;3.527557e+00
23;0.230000;-5.044783e+00;-3.202596e+00;1.481189e+01;-3.684809e+00;-1.174575e+01;-7.986155e-01;6.536553e+00;-1.737075e-01;-1.017546e+01;-1.620116e+00;6.827348e+00;1.609440e-01;-3.098630e+00;3.556229e+00
24;0.240000;-4.789693e+00;-3.617373e+00;1.526341e+01;-3.656040e+00;-1.358384e+01;-3.461335e+00;6.463087e+00;4.760105e+00;-1.301548e+01;1.260983e+00;6.047405e+00;2.534979e+00;-3.387547e+00;3.916237e+00
25;0.250000;-3.361479e+00;-4.580293e+00;1.427412e+01;-5.226369e-01;-1.062223e+01;-8.510958e+00;4.673297e+00;1.147550e+01;-1.293921e+01;1.814903e+00;2.415745e+00;4.071612e+00;-4.443682e+00;4.409119e+00
26;0.260000;-2.659985e+00;-6.242105e+00;1.076335e+01;3.571970e+00;-5.322531e+00;-1.399595e+01;1.214062e+00;1.639614e+01;-7.759031e+00;2.538624e+00;-1.343191e+00;2.860013e+00;-2.736028e+00;4.385323e+00
27;0.270000;-2.514131e+00;-6.880384e+00;4.909147e+00;5.744448e+00;4.993658e-01;-1.776483e+01;-3.723380e+00;1.649834e+01;-9.410820e-01;6.662820e+00;-3.083616e+00;4.552631e-01;-3.009474e-01;3.936264e+00
28;0.280000;-1.019536e+00;-5.656017e+00;7.429305e-01;5.723415e+00;4.218053e+00;-1.638276e+01;-8.405168e+00;1.176823e+01;1.617772e+00;1.053144e+01;-3.964974e+00;-3.005265e+00;6.512861e-01;3.277664e+00
