frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.093226e+00;-2.384836e+00;-4.934285e+00;7.872766e+00;1.987761e+01;1.525278e+01;5.560387e+00;6.899821e+00;8.598951e+00;1.034254e+01;8.764174e+00;-4.196449e+00;-2.703780e+00;-2.320558e+01
1;0.010000;-1.693662e+00;-4.237230e+00;-7.328197e+00;5.182871e+00;2.142880e+01;1.196789e+01;-1.009621e+00;1.011921e+01;9.164589e+00;8.003242e+00;1.099379e+01;-6.284359e+00;-2.981196e+00;-1.820618e+01
2;0.020000;-5.883206e+00;-2.808263e+00;-7.715526e+00;3.903169e+00;2.105182e+01;5.467530e+00;-6.797389e+00;8.486631e+00;4.993939e+00;4.261925e+00;1.405210e+01;-8.597858e+00;-4.789036e+00;-1.166257e+01
3;0.030000;-8.546050e+00;-2.332076e-01;-4.885314e+00;5.082648e+00;2.078829e+01;5.275614e+00;-5.649538e+00;7.536841e+00;3.895457e+00;4.490259e+00;1.435526e+01;-1.105434e+01;-7.877803e+00;-6.956367e+00
4;0.040000;-8.469007e+00;2.480432e+00;1.698537e-01;7.343840e+00;2.075977e+01;7.996498e+00;-5.764649e+00;6.464890e+00;4.481705e+00;2.302753e+00;9.621420e+00;-1.491923e+01;-1.100017e+01;-4.358086e+00
5;0.050000;-6.555341e+00;4.171783e+00;4.346770e+00;6.710048e+00;1.626206e+01;9.301392e+00;-9.510287e+00;2.045915e+00;3.778904e+00;-1.186817e+00;3.975606e+00;-1.186400e+01;-1.010084e+01;-3.846672e+00
6;0.060000;-2.262382e+00;5.467820e+00;6.322251e+00;5.498231e+00;1.243543e+01;1.205350e+01;-1.060091e+01;3.428879e-01;4.135378e+00;-2.548905e+00;1.454067e-01;-6.093091e+00;-8.435906e+00;-5.558731e+00
7;0.070000;2.614403e+00;6.921120e+00;5.963562e+00;3.476899e+00;1.019569e+01;1.591962e+01;-4.391407e+00;-2.303352e-01;2.199842e+00;-5.154548e+00;-6.423753e+00;-5.358316e+00;-7.268481e+00;-9.833191e+00
8;0.080000;5.534998e+00;7.526503e+00;1.454329e+00;1.012021e+00;8.651566e+00;1.573357e+01;5.557943e+00;-1.356494e+00;-8.895421e-01;-7.356738e+00;-1.050610e+01;-1.017656e+01;-6.633958e+00;-1.233916e+01
9;0.090000;7.654580e+00;1.017674e+01;1.907647e+00;1.407015e+00;7.616314e+00;1.318328e+01;5.165628e+00;-1.478900e+00;1.751113e+00;-7.283640e+00;-7.785690e+00;-7.055154e+00;-4.417500e+00;-1.243847e+01
10;0.100000;1.041739e+01;1.266369e+01;-2.425499e-01;1.382258e+00;1.146851e+01;7.678616e+00;-1.385987e+00;-2.686607e+00;9.590197e-01;-8.838448e+00;-3.959050e+00;-5.510121e+00;-2.129426e+00;-1.256017e+01
11;0.110000;1.022053e+01;3.080285e+00;2.131448e+00;-2.146158e+00;1.184378e+01;6.189252e+00;-5.706100e+00;-1.333097e+00;-3.989806e+00;-4.234387e+00;-5.293715e+00;-6.734767e+00;-3.517655e+00;-6.231346e+00
12;0.120000;9.334374e+00;-1.504926e+00;-1.886365e-01;-7.078223e+00;8.782615e+00;4.177850e+00;-6.244294e+00;2.266626e-01;-5.516863e+00;-1.985943e+00;-4.891936e+00;-2.836843e+00;-2.179493e+00;1.615402e+00
13;0.130000;9.552247e+00;-2.982999e+00;-3.411657e+00;-1.131397e+01;4.668246e+00;1.824841e+00;-6.505261e+00;3.747177e-01;-4.396838e+00;-1.440143e+00;-3.933417e+00;-2.232831e+00;-1.501328e+00;4.164581e+00
14;0.140000;1.096028e+01;-3.555462e+00;-5.789070e+00;-1.608916e+01;7.123413e-01;2.693437e+00;-5.074498e+00;1.574085e+00;9.711142e-01;7.947398e-01;-1.208521e+00;-5.434237e-01;-3.043046e-01;2.703033e+00
15;0.150000;1.209122e+01;-3.586607e+00;-6.120915e+00;-2.196967e+01;-4.423696e+00;7.618078e+00;-5.898288e+00;2.086982e+00;8.632694e+00;1.835365e-01;1.459435e+00;3.695153e+00;1.074621e+00;-1.100121e+00
16;0.160000;1.034851e+01;-2.897273e+00;-5.458179e+00;-2.255187e+01;-1.095236e+01;1.068535e+01;-8.664027e+00;6.116770e+00;5.641330e+00;-2.844484e-01;2.013562e+00;4.317871e+00;-9.103236e-01;-2.783997e+00
17;0.170000;9.513290e+00;-2.642859e+00;-5.249955e+00;-1.911329e+01;-9.498681e+00;1.032111e+01;-9.400319e+00;1.077698e+01;4.757774e+00;1.453681e+00;4.196739e-02;2.545964e+00;-2.115458e+00;-1.762543e+00
18;0.180000;7.755885e+00;-3.377675e+00;-7.662653e+00;-1.814324e+01;-9.720004e+00;6.230615e+00;-6.232018e+00;1.241269e+01;2.507735e+00;-7.930748e-01;-2.027390e+00;-2.288974e+00;-4.210747e+00;-9.149170e-01
19;0.190000;7.242720e+00;-2.572991e+00;-9.055752e+00;-1.573389e+01;-6.782884e+00;5.038140e+00;-1.004432e+00;1.799053e+01;2.411081e+00;1.065797e+00;1.477499e+00;-6.672709e+00;-3.404159e+00;2.662506e-01
20;0.200000;6.239931e+00;-3.729651e+00;-1.095767e+01;-1.582970e+01;-6.900651e+00;4.695215e-01;-1.506938e+00;1.554705e+01;-1.080369e+00;3.243354e+00;1.899227e+00;-1.167850e+01;-5.108459e+00;7.614899e-01
21;0.210000;6.812469e+00;-3.313967e+00;-1.028329e+01;-1.105227e+01;-5.680982e+00;-2.542385e+00;-2.586055e+00;1.230937e+01;-3.753461e+00;6.970176e+00;3.666942e+00;-1.214686e+01;-5.210667e+00;9.484329e-01
22;0.220000;7.151798e+00;-2.656281e+00;-8.260686e+00;-4.652966e+00;-3.082797e+00;-2.899324e+00;-2.702674e+00;7.851609e+00;-4.457534e+00;7.173302e+00;3.312839e+00;-9.778759e+00;-3.095912e+00;1.425819e+00
23;0.230000;6.494224e+00;-2.816863e+00;-7.449167e+00;-1.109715e+00;-3.574908e+00;-2.666963e+00;-2.989303e+00;1.509811e+00;-7.103925e+00;1.402811e+00;-5.860022e+00;-1.335087e+01;-2.773850e+00;1.665627e+00
24;0.240000;6.685183e+00;-2.660406e+00;-5.422306e+00;1.252464e+00;-2.963157e+00;-1.572687e+00;-3.319765e+00;-1.784352e+00;-7.327223e+00;-1.573923e-01;-1.168630e+01;-1.477217e+01;-1.949618e+00;1.701141e+00
25;0.250000;8.237453e+00;-2.809635e+00;-3.835373e+00;3.399657e+00;-2.131753e+00;-8.491173e-01;-1.101305e+00;-3.923106e+00;-4.956280e+00;1.938244e+00;-1.132679e+01;-1.299471e+01;4.017885e-01;1.261024e+00
26;0.260000;1.032013e+01;-2.498092e+00;-3.168752e+00;7.035573e+00;-1.559062e+00;1.026179e+00;1.806068e+00;-7.329815e+00;-3.841678e+00;7.207538e+00;-9.447929e+00;-9.779674e+00;5.404023e+00;-7.306671e-02
27;0.270000;1.220177e+01;-4.524333e-01;-2.220041e+00;7.024338e+00;-6.226015e-01;3.303665e+00;4.575013e+00;-6.744289e+00;-3.234418e+00;1.102802e+01;-6.817455e+00;-6.791498e+00;9.196836e+00;-1.456100e+00
28;0.280000;1.263465e+01;1.741507e+00;-1.626218e+00;5.700735e+00;9.632521e-01;4.329520e+00;5.374594e+00;-6.153579e+00;-1.813528e+00;1.012845e+01;-2.867575e+00;-5.237165e+00;7.655414e+00;-2.579391e+00
29;0.290000;7.423140e+00;4.632360e+00;-2.273123e+00;6.992412e+00;3.828403e+00;5.073750e+00;1.964845e+00;-9.305201e-01;2.549290e+00;3.783724e+00;2.769590e+00;-3.820922e+00;1.658596e+00;-7.729340e-02
30;0.300000;4.313513e+00;-5.624609e-01;-3.329290e+00;1.101491e+01;6.310524e+00;2.295743e+00;-2.083868e+00;-2.644968e-01;4.900974e+00;2.220275e+00;-3.921566e-01;-1.483242e+00;6.877833e+00;4.508842e+00
