frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.459461e+00;-1.596700e+01;-1.803847e+01;-8.199464e+00;3.686869e+00;4.000692e+00;9.886696e+00;-1.572653e+00;-1.064524e+00;2.627067e+00;-1.371701e+01;-1.625032e+01;6.457238e-01;1.254919e+01
1;0.010000;-7.634716e-01;-1.293721e+01;-1.547958e+01;-8.090050e+00;2.149614e+00;-7.711430e-01;6.536701e+00;5.596924e-02;-7.329941e-02;2.331904e+00;-1.346133e+01;-1.201068e+01;1.466032e+00;1.227333e+01
2;0.020000;9.035616e-01;-9.139814e+00;-1.147175e+01;-5.028070e+00;8.687897e-01;-2.663265e+00;3.624851e+00;2.716570e+00;6.932878e-02;2.053751e+00;-1.281652e+01;-4.652683e+00;4.447476e+00;1.116686e+01
3;0.030000;5.233946e-01;-6.119623e+00;-1.107583e+01;-3.950760e+00;8.837700e-03;-2.416370e+00;-5.188351e+00;2.724838e-02;-4.292300e+00;-1.204442e+00;-1.418238e+01;-4.305786e+00;1.906116e+00;8.714363e+00
4;0.040000;-5.545769e-01;-1.018980e+00;-1.340880e+01;-2.252370e+00;5.331985e+00;2.981459e+00;-8.305698e+00;2.099566e+00;-1.214247e-01;-4.771785e+00;-8.776897e+00;-4.247863e+00;-1.315870e-01;6.874725e+00
5;0.050000;-3.516214e+00;2.730980e+00;-1.430502e+01;1.212023e-01;8.399561e+00;3.978477e+00;-7.968272e+00;3.664903e+00;2.828635e+00;-9.042997e+00;-6.740572e+00;-4.416208e+00;-6.806235e-01;5.828537e+00
6;0.060000;-7.150412e+00;5.836614e+00;-1.218285e+01;2.748579e+00;9.686901e+00;5.116623e+00;-5.968033e+00;3.232579e+00;1.970140e+00;-9.773723e+00;-3.561667e+00;-5.111656e+00;-3.816328e-01;4.690964e+00
7;0.070000;-8.800148e+00;8.238327e+00;-8.863956e+00;3.950754e+00;1.050152e+01;8.283652e+00;-2.933664e+00;6.108603e+00;3.245716e+00;-9.150545e+00;-7.644763e-01;-4.868119e+00;9.526148e-01;4.102654e+00
8;0.080000;-1.064634e+01;7.027745e+00;-7.258620e+00;3.175887e+00;1.160217e+01;5.742195e+00;-6.155420e+00;5.007321e+00;6.102829e+00;-7.390911e+00;-1.282010e+00;-5.871354e+00;3.652308e+00;3.458061e+00
9;0.090000;-1.025145e+01;6.942094e+00;-3.678813e+00;5.229795e+00;1.348938e+01;3.616806e+00;-5.871497e+00;4.243279e+00;8.130734e+00;-2.466269e+00;-5.938730e-01;-4.751223e+00;3.207639e+00;3.606865e+00
10;0.100000;-8.299747e+00;5.575853e+00;-7.369874e-01;4.646996e+00;7.164292e+00;-2.518457e+00;-3.840296e+00;2.796711e+00;2.120494e+00;-3.155410e+00;-6.327357e-01;-4.649863e+00;1.595014e+00;4.104927e+00
11;0.110000;-4.978748e+00;3.348768e+00;2.363994e+00;2.260583e+00;1.360006e+00;-7.797400e+00;-1.385071e+00;2.924314e+00;-3.219657e+00;-1.314062e+00;2.582959e+00;-2.109265e+00;2.180982e+00;4.125633e+00
12;0.120000;-1.883577e+00;-5.167356e-01;5.419054e+00;-1.050366e+00;-3.026709e+00;-1.075945e+01;-1.041767e+00;1.892172e+00;-7.727378e+00;-1.628175e+00;3.725372e+00;2.445936e-02;9.982433e-01;4.440811e+00
13;0.130000;1.531992e-01;-2.063134e+00;5.347172e+00;-2.368391e+00;-6.559359e+00;-1.022569e+01;3.158724e-01;3.670540e-01;-7.287928e+00;4.341648e-01;4.868213e+00;1.960750e+00;5.687118e-01;4.642181e+00
14;0.140000;2.088137e+00;-2.164209e+00;4.846128e+00;-2.417263e+00;-9.862778e+00;-7.904867e+00;1.426346e+00;-2.414104e+00;-6.232983e+00;2.578168e+00;7.018694e+00;4.635325e+00;1.335416e-01;3.829552e+00
15;0.150000;3.537292e+00;-1.477708e+00;4.049568e+00;-9.720789e-01;-1.143091e+01;-7.222115e+00;1.436360e+00;-5.060064e+00;-2.968390e+00;2.710135e+00;7.078527e+00;7.149023e+00;-1.141028e+00;2.639641e+00
16;0.160000;3.167532e+00;1.968660e-01;3.055779e+00;-8.765689e-01;-1.220139e+01;-6.257462e+00;3.649795e+00;-6.583891e+00;-9.768906e-01;1.589404e+00;5.877906e+00;5.304127e+00;-1.915732e+00;1.717171e+00
17;0.170000;3.269447e+00;1.074124e+00;4.865119e+00;-2.477340e+00;-1.052894e+01;-3.985546e+00;4.838653e+00;-6.505011e+00;-1.730460e+00;1.841192e+00;6.484097e+00;3.888573e+00;-4.124724e+00;2.169266e-01
18;0.180000;2.926747e+00;1.511365e+00;7.883424e+00;-2.721572e+00;-8.787277e+00;-3.681156e+00;5.494238e+00;-5.900644e+00;-1.653439e+00;4.258930e+00;8.137307e+00;5.897528e+00;-4.137469e+00;-1.421959e+00
19;0.190000;2.914078e+00;2.000116e+00;1.007927e+01;-7.993716e-01;-7.184179e+00;-4.185669e+00;3.121884e+00;-6.161913e+00;-1.220727e+00;3.353346e+00;6.078905e+00;6.407537e+00;-4.726960e+00;-2.988358e+00
20;0.200000;4.074868e+00;1.484528e+00;1.183953e+01;8.367749e-01;-4.697254e+00;-1.087421e+00;1.317364e+00;-6.219389e+00;-1.851764e+00;2.811599e+00;4.015839e+00;7.129189e+00;-4.873504e+00;-5.224129e+00
21;0.210000;4.633597e+00;1.182694e+00;1.208229e+01;1.166458e+00;-3.732977e+00;2.365507e+00;4.706468e+00;-4.656101e+00;-1.699122e+00;1.809471e+00;1.371599e+00;7.896955e+00;-4.142447e+00;-7.861107e+00
22;0.220000;5.280900e+00;2.190820e+00;1.269972e+01;1.033144e+00;-2.181108e+00;3.495895e+00;5.420638e+00;-2.278780e+00;1.516190e+00;3.874575e+00;3.279016e+00;8.823195e+00;-2.305053e+00;-1.101222e+01
23;0.230000;5.525930e+00;7.756739e-01;1.229161e+01;2.856758e+00;6.769485e-01;6.154011e+00;2.655357e+00;-2.651405e-02;5.149813e+00;5.525680e+00;3.486202e+00;6.214644e+00;-1.110219e+00;-1.380247e+01
24;0.240000;5.750613e+00;3.911400e-02;9.092047e+00;2.917844e+00;1.033715e+00;7.671368e+00;1.045906e+00;-6.302071e-01;4.632140e+00;4.343307e+00;2.960716e+00;4.818995e+00;1.224404e+00;-1.646509e+01
25;0.250000;6.747928e+00;5.180898e-01;5.839638e+00;3.995882e+00;4.718637e-01;7.411551e+00;-2.195508e+00;3.426039e+00;3.826658e+00;3.618199e+00;2.362186e+00;1.888321e+00;2.808701e+00;-1.908411e+01
26;0.260000;6.806899e+00;7.306509e-01;4.746340e+00;6.263016e+00;3.760448e+00;1.065783e+01;-4.623550e+00;9.446936e+00;2.527597e+00;4.137427e+00;7.201946e+00;1.206383e+00;3.883497e+00;-2.112305e+01
