frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-9.733806e+00;3.880576e+00;-7.392921e+00;3.564043e+00;4.318177e+00;-1.362714e+00;-3.386455e+00;2.311926e+00;-3.773656e-01;-2.617693e+00;-4.839825e+00;-1.782027e+00;-4.143278e-01;1.507851e+00
1;0.010000;-1.089792e+01;3.076341e+00;-8.790504e+00;1.985756e+00;4.285593e+00;5.789722e-01;-2.097050e+00;4.404434e+00;3.675212e+00;-2.822995e+00;-5.488960e+00;-1.211921e+00;-1.115430e+00;2.949448e-01
2;0.020000;-1.058299e+01;1.765989e+00;-1.224534e+01;-8.118401e-01;5.854880e+00;2.644428e+00;3.247521e+00;5.971830e+00;5.627468e+00;-2.356179e-01;1.177717e+00;7.468708e-01;-5.814236e-01;1.904449e-01
3;0.030000;-1.248920e+01;-8.649829e-01;-1.439438e+01;1.544809e+00;5.861522e+00;2.616025e+00;7.503724e+00;6.323860e+00;2.618268e+00;1.268153e+00;8.323075e-01;-6.002018e-01;1.807189e+00;-2.347488e-01
4;0.040000;-1.382433e+01;-6.488168e-01;-1.394164e+01;6.105558e+00;5.698780e+00;4.594872e+00;1.163863e+01;9.575082e+00;2.695439e+00;7.422419e-01;-9.723641e-01;-1.002469e+00;5.703853e+00;-8.080139e-01
5;0.050000;-1.448708e+01;1.950134e-01;-1.308297e+01;7.175584e+00;4.973577e+00;3.139748e+00;1.001867e+01;9.862040e+00;5.225852e+00;-1.613313e-01;1.171852e+00;1.874848e+00;6.644262e+00;-2.545410e+00
6;0.060000;-1.316961e+01;3.704893e+00;-1.259587e+01;5.157901e+00;5.368410e+00;1.604463e+00;9.479666e+00;7.547788e+00;1.345950e+00;-1.196098e+00;1.884721e+00;2.257226e+00;3.347034e+00;-2.950035e+00
7;0.070000;-1.153581e+01;7.055168e+00;-1.142952e+01;4.194293e+00;3.998106e+00;3.823443e+00;1.118963e+01;6.204165e+00;6.539707e-01;9.071000e-01;2.098180e+00;5.352116e-01;-7.015615e-01;-2.277031e+00
8;0.080000;-1.202624e+01;5.195860e+00;-1.164085e+01;6.955388e+00;5.147812e+00;3.460537e+00;1.045160e+01;5.340589e+00;1.995538e+00;8.346969e-01;1.402619e+00;7.954960e-01;-1.031047e+00;-2.292084e+00
9;0.090000;-1.336342e+01;2.272037e+00;-1.103136e+01;8.194924e+00;7.988458e+00;5.091630e+00;9.821412e+00;5.616631e+00;1.729154e+00;-6.666089e-01;6.346169e-01;1.170844e+00;1.784854e-01;-1.982567e+00
10;0.100000;-1.278695e+01;3.300531e+00;-1.039857e+01;6.568859e+00;4.573876e+00;4.104955e+00;9.237888e+00;7.207196e+00;2.897412e+00;-8.290982e-02;9.107185e-01;2.713181e+00;9.268116e-01;-8.490677e-01
11;0.110000;-1.445556e+01;3.367405e+00;-9.790148e+00;7.290040e+00;3.800666e+00;3.995170e+00;7.417701e+00;9.471308e+00;4.885997e+00;-1.064043e+00;-4.848632e-01;2.402548e+00;-1.782147e-01;-1.114235e+00
12;0.120000;-1.546619e+01;3.593065e+00;-9.621753e+00;7.149186e+00;6.559715e+00;4.888469e+00;6.898436e+00;1.032983e+01;6.170115e+00;-5.399554e-01;1.644810e-01;7.192221e-01;-3.167332e+00;-1.657310e+00
13;0.130000;-1.232729e+01;2.710948e+00;-1.063791e+01;-9.773002e-01;1.025548e+00;2.121268e+00;9.010424e+00;1.123221e+01;7.112831e+00;4.234541e+00;6.849764e+00;4.223508e+00;-3.309025e+00;6.671219e-01
14;0.140000;-8.804051e+00;-3.520019e-01;-7.339440e+00;-2.077411e+00;-2.927492e+00;1.920328e+00;1.253382e+01;6.660970e+00;1.645360e+00;3.490248e+00;8.082404e+00;1.341491e+00;-8.455071e+00;4.404663e+00
15;0.150000;-4.820806e+00;1.455280e+00;6.798069e-01;2.416538e+00;-4.902037e+00;-1.017833e+00;9.728619e+00;-5.041992e+00;-8.147317e+00;-4.525725e+00;4.605579e+00;-2.619923e+00;-8.411692e+00;7.846046e+00
16;0.160000;-1.748471e+00;2.338510e+00;7.315149e+00;3.784639e+00;-9.704538e+00;-5.825430e+00;4.168842e+00;-1.257004e+01;-1.172223e+01;-6.782195e+00;3.214108e+00;-3.411203e+00;-3.699310e+00;9.139679e+00
17;0.170000;1.682751e+00;9.985110e-01;9.832403e+00;7.039204e-01;-1.206417e+01;-6.094021e+00;-1.578607e+00;-1.471894e+01;-1.102613e+01;-4.348569e+00;9.782522e-01;-4.487316e+00;-1.024231e+00;8.293098e+00
18;0.180000;4.109692e+00;-6.630709e-01;9.794742e+00;-3.933228e+00;-1.211626e+01;-5.063838e+00;-6.115900e+00;-1.374330e+01;-1.192837e+01;-8.408152e-01;-3.645362e+00;-1.645119e+00;5.400693e-01;5.539314e+00
