frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.679951e+00;-1.329926e+01;1.600690e+00;2.361441e+00;1.304587e+01;-1.000062e+01;6.519057e+00;-7.212328e+00;1.126726e+01;-3.046600e+00;7.337901e+00;-1.063634e+00;-5.933569e+00;8.965477e+00
1;0.010000;-1.944571e+00;-1.410419e+01;-1.450138e-01;2.551872e+00;1.128747e+01;-8.884461e+00;3.279051e+00;-1.034552e+01;5.073040e+00;-3.980529e+00;1.111744e+01;-3.895058e+00;-6.819685e+00;8.107513e+00
2;0.020000;-8.416290e-01;-1.429376e+01;-6.823769e-01;3.239745e+00;1.128942e+01;-5.514277e+00;2.321276e+00;-1.266481e+01;2.901040e+00;-5.654821e+00;1.132413e+01;-5.824163e+00;-6.293301e+00;7.573471e+00
3;0.030000;1.610066e+00;-1.533756e+01;-2.382092e+00;2.092813e+00;1.001130e+01;-3.187416e+00;8.370228e-01;-1.319584e+01;2.139664e+00;-6.549275e+00;7.576502e+00;-4.932970e+00;-3.293859e+00;7.026604e+00
4;0.040000;3.874395e+00;-1.470248e+01;-3.880893e+00;1.270215e+00;7.988380e+00;5.817823e-01;-2.774239e+00;-1.173364e+01;2.058892e+00;-4.932787e+00;6.315318e+00;-2.555834e+00;-2.651060e+00;6.401207e+00
5;0.050000;4.910419e+00;-1.341720e+01;-2.870525e+00;1.784778e+00;5.669658e+00;2.404813e+00;-5.443013e+00;-1.094934e+01;-3.432827e-01;-3.174577e+00;7.584380e+00;-4.815918e-01;-6.045636e-01;6.567924e+00
6;0.060000;4.020092e+00;-1.373221e+01;-4.549676e+00;2.141810e+00;4.316790e+00;1.660972e+00;-8.080653e+00;-9.611228e+00;-3.606868e+00;-1.828039e+00;4.860182e+00;1.370699e+00;3.892875e+00;6.445404e+00
7;0.070000;4.441946e+00;-1.101876e+01;-4.838266e+00;3.075350e+00;4.258975e+00;4.812397e+00;-6.338859e+00;-3.395128e+00;-1.408918e+00;1.553172e+00;6.578216e+00;4.274695e+00;8.997140e+00;6.405182e+00
8;0.080000;2.466910e+00;-1.199024e+01;-8.274720e+00;-2.254869e+00;-1.231646e+00;2.103693e+00;-1.149469e+01;-5.151961e+00;-5.243321e+00;-3.074923e-01;5.326090e+00;5.178209e+00;1.066981e+01;5.184952e+00
9;0.090000;3.134663e+00;-8.680383e+00;-6.656762e+00;-5.244371e+00;-9.396695e-01;3.440958e+00;-1.017980e+01;-4.536580e+00;-7.242351e+00;3.317551e+00;3.421167e+00;6.922775e+00;9.746080e+00;4.724564e+00
10;0.100000;4.107535e+00;-6.162402e+00;-5.876081e+00;-6.687119e+00;-2.630083e+00;1.049356e-01;-8.271703e+00;-3.772266e+00;-7.294248e+00;6.421909e+00;9.965200e-01;8.314907e+00;6.671274e+00;4.923782e+00
11;0.110000;3.162208e+00;-4.734534e+00;-6.408856e+00;-5.473689e+00;-3.664908e+00;-6.677032e+00;-8.567935e+00;-6.267955e+00;-9.965407e+00;4.884075e+00;-2.189789e+00;5.286795e+00;4.951570e+00;4.998734e+00
12;0.120000;2.755225e+00;-2.209663e-03;-2.808178e+00;4.255161e-01;6.028286e-01;-3.564238e+00;-4.787159e+00;-4.298350e+00;-7.414636e+00;5.542447e+00;-3.901672e-02;9.046129e-01;3.919274e+00;5.612625e+00
13;0.130000;-1.541018e+00;-5.172577e-01;-5.564147e+00;5.961924e-01;-6.010131e+00;-3.559222e+00;-8.921397e+00;-7.087270e+00;-8.477376e+00;1.365350e+00;-1.518344e+00;-3.047056e+00;1.548803e+00;4.011238e+00
14;0.140000;-2.802155e+00;3.314739e+00;-5.774799e+00;4.781880e+00;-6.607019e+00;1.378830e+00;-4.640181e+00;-1.170119e+00;-2.354994e+00;-4.240494e-01;2.373075e-02;-3.483716e+00;1.251903e-01;2.461304e+00
15;0.150000;-4.450674e+00;4.606081e+00;-8.140088e+00;5.276013e+00;-4.882654e+00;3.877684e+00;3.642225e-01;2.770461e+00;1.494633e+00;-5.527468e-01;-1.773400e-01;-3.864054e+00;1.645867e+00;6.166992e-01
16;0.160000;-5.499155e+00;4.375117e+00;-8.724299e+00;4.749350e+00;-2.654292e+00;1.437830e+00;-1.413097e+00;7.230982e-01;2.023515e+00;-1.193498e+00;-2.168241e+00;-5.550678e+00;3.022192e+00;-8.042679e-01
17;0.170000;-5.950825e+00;4.766590e+00;-8.550469e+00;5.780605e+00;8.039676e-01;1.146216e+00;-1.669582e+00;-7.055089e-01;4.626297e+00;1.478533e+00;-6.149583e-01;-3.447203e+00;-1.582231e-01;-1.646431e+00
18;0.180000;-7.311577e+00;5.320975e+00;-8.344598e+00;7.843037e+00;3.657061e+00;3.363359e+00;-2.067884e+00;-1.412771e+00;8.006692e+00;6.321361e+00;5.607000e+00;-7.246324e-01;-2.723432e-01;-2.325920e+00
19;0.190000;-7.795830e+00;6.741353e+00;-6.805820e+00;6.157287e+00;2.989536e+00;5.958927e+00;-3.443230e+00;-4.439754e+00;9.595160e+00;8.986043e+00;9.132391e+00;-8.349351e-01;-5.860433e-02;-2.675705e+00
20;0.200000;-8.798826e+00;7.003354e+00;-4.702696e+00;6.576598e+00;3.293777e-02;2.541917e+00;-2.699953e+00;-3.725672e+00;6.820747e+00;8.318111e+00;1.270354e+01;-5.781125e-01;-1.248014e+00;-3.214134e+00
21;0.210000;-1.038967e+01;7.332538e+00;-2.571480e+00;9.177208e+00;-1.799869e+00;1.751328e-02;-1.943349e+00;1.205085e+00;7.331457e+00;6.927869e+00;1.295325e+01;-2.373489e+00;-1.798393e+00;-4.130173e+00
