frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-8.963537e+00;1.344036e+00;1.052590e+01;4.285522e-01;-3.320387e+00;-6.340097e+00;6.608482e+00;-6.506758e+00;-3.459074e+00;-4.793202e+00;6.322179e+00;9.476447e-01;2.426899e+00;-2.840782e+00
1;0.010000;-9.144972e+00;1.808734e+00;8.441670e+00;-3.968871e+00;-3.534191e+00;-2.145428e+00;4.650224e+00;-7.709490e+00;-2.216011e+00;-3.953215e+00;5.389660e+00;-9.714677e-01;5.202996e+00;-4.748413e+00
2;0.020000;-9.348605e+00;3.082948e+00;8.487561e+00;-4.318354e+00;-1.467337e+00;-1.082115e+00;2.018290e+00;-4.745637e+00;1.381065e+00;-2.073446e+00;2.568672e+00;-1.412491e+00;4.992714e+00;-6.493370e+00
3;0.030000;-9.652585e+00;2.894809e+00;7.190487e+00;-3.704614e+00;-2.102184e-01;-2.090786e+00;1.656885e+00;-1.628485e+00;-1.665320e-01;-1.852375e+00;2.495654e+00;-1.517071e-01;2.587009e+00;-7.232063e+00
4;0.040000;-9.750005e+00;1.370293e+00;4.463494e+00;-1.439617e+00;1.236497e+00;-5.337837e-01;1.912423e+00;-5.193453e+00;-2.180252e+00;-2.695591e+00;3.138307e+00;1.083058e+00;6.278656e-01;-7.375858e+00
5;0.050000;-1.258975e+01;1.508001e+00;6.118761e+00;-3.193743e+00;9.896832e-01;-6.313938e+00;-2.028651e+00;-1.234338e+01;8.340957e-01;1.776067e+00;5.528898e-01;3.023903e+00;5.381472e+00;-2.774864e+00
6;0.060000;-1.500159e+01;2.540205e+00;8.105737e+00;-4.224003e+00;1.139221e+00;-7.478432e+00;-1.154527e+00;-1.276123e+01;4.209624e+00;3.509220e+00;6.070101e-01;2.731133e+00;5.585026e+00;3.029205e+00
7;0.070000;-1.622715e+01;2.389652e+00;9.691839e+00;-3.867466e+00;5.813317e-01;-7.321496e+00;3.061217e+00;-1.079905e+01;5.929566e+00;4.615399e+00;6.294312e-01;2.149556e+00;3.175112e+00;5.178627e+00
8;0.080000;-1.144337e+01;4.375854e+00;1.129742e+01;-4.766516e+00;-6.431171e+00;-1.564768e+01;3.894092e+00;-9.935894e+00;6.472955e-01;2.162599e-01;-1.506836e+00;3.285312e+00;5.692927e-01;7.248894e+00
9;0.090000;-5.272495e+00;2.969340e+00;9.291517e+00;-2.204437e+00;-1.070704e+01;-2.103111e+01;2.551035e+00;-1.617083e+00;-2.705937e+00;3.256371e+00;-9.212995e-01;4.592616e+00;-4.676118e-01;9.361725e+00
