frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.007228e+00;-1.505937e+00;-4.283169e+00;1.691461e-01;-1.321623e+00;-1.253731e+00;-2.219707e+00;2.196095e+00;-3.362678e+00;-5.665007e-01;-4.219960e+00;-4.614353e-01;-2.573043e+00;-1.079941e+00
1;0.010000;-6.938409e+00;8.201604e-01;-1.403398e+00;2.706303e+00;1.455364e+00;3.103654e+00;6.387234e-02;3.002346e+00;-3.213836e+00;-2.876311e+00;-2.916593e+00;1.414096e+00;-1.697085e+00;-2.579544e+00
2;0.020000;-7.946927e+00;-2.212561e+00;-4.836748e+00;4.673994e+00;6.716540e+00;7.818559e+00;2.168057e+00;3.415026e+00;-1.163640e+00;-1.117538e+00;-1.917188e-01;7.884769e+00;-1.139314e+00;-1.770874e+00
3;0.030000;-9.558673e+00;-4.652445e+00;-6.738500e+00;3.530595e+00;6.910773e+00;8.456752e+00;1.798476e+00;8.063662e+00;2.591946e+00;2.026527e+00;4.736897e+00;1.036151e+01;9.035207e-01;-1.714874e+00
4;0.040000;-1.145207e+01;-5.156414e+00;-5.474002e+00;5.487159e+00;1.050995e+01;7.561834e+00;2.765987e+00;1.108194e+01;5.005615e+00;1.790401e+00;4.535689e+00;8.879166e+00;2.730541e+00;-2.439865e+00
5;0.050000;-3.700288e+00;-3.470879e-01;-5.071136e+00;2.193115e+00;4.050215e+00;1.252102e+00;6.382694e-01;8.035285e+00;7.131355e-01;-2.299426e+00;4.182992e-01;6.234309e+00;3.491294e+00;7.211151e-01
6;0.060000;4.171517e+00;-2.891916e+00;-1.038348e+01;-3.566947e+00;-4.606009e-01;4.100237e-01;-2.513630e+00;4.047286e+00;4.104805e-01;-3.364845e+00;-5.600030e+00;1.083446e+00;2.710517e+00;4.157906e+00
7;0.070000;6.926003e+00;-8.605706e+00;-1.167385e+01;-6.906852e+00;-1.153135e+00;-1.392440e+00;-3.936513e+00;-7.290134e-01;3.981446e+00;-6.271688e+00;-8.460198e+00;-1.158339e+00;4.165942e+00;6.938538e+00
8;0.080000;6.929054e+00;-1.077183e+01;-1.103993e+01;-4.242823e+00;1.139830e+00;8.804312e-01;-7.238345e-01;3.613786e+00;6.731581e+00;-3.014678e+00;-7.174236e+00;-9.416800e-01;6.837436e+00;9.132149e+00
9;0.090000;4.133970e+00;-1.304542e+01;-1.283207e+01;-3.989823e+00;-1.508665e-01;5.283937e-01;-1.757484e+00;5.346131e+00;6.522157e+00;-3.379662e+00;-8.773475e+00;-4.437680e+00;5.391855e+00;9.440407e+00
10;0.100000;2.482941e+00;-1.058894e+01;-1.110386e+01;-1.810015e+00;1.099511e+00;4.338274e-01;-1.720729e+00;7.213416e+00;9.943142e+00;-3.291735e+00;-6.465858e+00;-5.305869e+00;5.404431e+00;9.634033e+00
11;0.110000;1.453776e+00;-7.570928e+00;-9.706248e+00;-5.475879e-01;6.385870e-01;-2.261739e+00;-5.115829e+00;6.449933e+00;1.123179e+01;-4.492709e+00;-4.748611e+00;-5.807622e+00;4.596470e+00;8.774010e+00
12;0.120000;1.459253e+00;-4.998957e+00;-8.884671e+00;5.015235e-01;-2.856913e-01;-4.398605e+00;-1.074606e+01;3.927852e+00;8.708344e+00;-6.237593e+00;-5.777607e+00;-5.187275e+00;3.587618e+00;6.336075e+00
13;0.130000;2.056924e+00;2.087028e+00;-6.105220e+00;7.506497e+00;5.183003e+00;-9.765863e-01;-8.563885e+00;5.936003e+00;9.158569e+00;-8.679295e-02;-5.116323e+00;4.333324e+00;3.271748e+00;3.547127e+00
14;0.140000;-1.600772e+00;6.951011e+00;-9.432160e+00;1.185585e+01;4.649879e+00;-3.504346e+00;-7.635365e+00;5.640764e-01;6.363319e+00;-3.816542e+00;-7.708763e+00;4.427697e+00;-1.084685e-02;1.076645e+00
