frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.336677e+00;9.744545e+00;2.684344e+00;-2.177574e+00;9.714369e+00;1.381649e+00;-1.245219e+01;-1.394631e+01;-1.355898e+01;6.842480e-01;7.391012e+00;-7.060522e+00;7.784125e-01;1.269005e+00
1;0.010000;1.351838e+00;1.034439e+01;2.795727e+00;-1.270004e+00;1.064508e+01;1.873748e+00;-1.352570e+01;-1.616290e+01;-6.405617e+00;-2.854708e+00;7.673831e+00;-4.114547e+00;-4.843966e+00;4.200180e+00
2;0.020000;-3.476213e+00;1.200858e+01;2.960216e+00;-1.787833e+00;1.266205e+01;3.953179e+00;-1.544774e+01;-1.673476e+01;-4.261408e+00;-5.598503e+00;6.791173e+00;-1.286104e+00;-7.195477e+00;5.406311e+00
3;0.030000;-7.300321e+00;1.393342e+01;2.217264e+00;-1.881484e+00;1.105068e+01;7.955880e+00;-1.352660e+01;-1.674952e+01;-6.092325e+00;-6.542363e+00;4.666678e+00;-1.497078e+00;-8.603473e+00;5.368401e+00
4;0.040000;-1.077864e+01;1.558542e+01;3.208295e+00;1.171160e-02;8.442003e+00;1.040045e+01;-1.137646e+01;-1.503949e+01;-5.562586e+00;-5.540536e+00;5.092295e+00;-1.102641e+00;-5.966327e+00;4.776314e+00
5;0.050000;-1.374101e+01;1.571827e+01;4.847591e+00;1.944018e+00;8.456361e+00;1.062661e+01;-1.188396e+01;-1.131879e+01;-1.802826e+00;-6.256819e+00;3.969815e+00;1.967125e-01;-4.069443e+00;3.739502e+00
6;0.060000;-1.553444e+01;1.388887e+01;5.442962e+00;2.662235e+00;9.078068e+00;1.088411e+01;-1.084424e+01;-8.667563e+00;1.100062e+00;-6.763232e+00;8.093929e-01;1.078507e+00;-4.814951e+00;3.080757e+00
7;0.070000;-1.306173e+01;1.151579e+01;3.763478e+00;-5.222805e-01;8.281140e+00;1.045613e+01;-1.125001e+01;-9.478880e+00;-1.470183e+00;-5.448487e+00;-3.422051e-01;2.618928e-01;-4.256370e+00;4.738304e+00
8;0.080000;-8.331466e+00;1.020501e+01;7.666593e-01;-5.121639e+00;7.093212e+00;9.308267e+00;-1.296029e+01;-1.579937e+01;-5.825504e+00;-2.028257e+00;2.095236e+00;-1.292415e+00;-4.478165e+00;7.432602e+00
9;0.090000;-4.704999e+00;7.803057e+00;1.404288e+00;-8.828251e+00;6.628089e+00;8.477095e+00;-1.340310e+01;-1.863262e+01;-9.962198e+00;2.435361e+00;5.764305e+00;-3.567996e+00;-2.377865e+00;8.864861e+00
10;0.100000;-2.092020e+00;4.629073e+00;3.865195e+00;-1.191131e+01;6.419651e+00;7.425312e+00;-1.294413e+01;-1.451971e+01;-1.350208e+01;5.993108e+00;8.098482e+00;-3.988743e+00;8.851092e-01;8.824135e+00
11;0.110000;-1.355765e+00;2.931837e+00;3.087118e+00;-1.519883e+01;2.635021e+00;6.097184e+00;-1.319572e+01;-1.088075e+01;-1.676164e+01;5.808280e+00;9.244230e+00;-3.484603e+00;-1.013505e+00;7.948120e+00
12;0.120000;1.426973e-01;2.009116e+00;9.027939e-01;-1.723946e+01;-9.622421e-01;5.354084e+00;-1.445621e+01;-1.000700e+01;-1.810525e+01;4.239722e+00;8.189224e+00;-2.810499e+00;-4.511605e+00;7.190109e+00
13;0.130000;1.990250e+00;1.513057e+00;3.605604e-02;-1.546541e+01;-1.546764e+00;6.417279e+00;-1.321056e+01;-6.770326e+00;-1.610308e+01;2.411574e+00;6.165555e+00;-6.352315e-01;-2.214088e+00;6.248535e+00
14;0.140000;2.924682e+00;1.352349e+00;-1.440097e+00;-1.230913e+01;-5.657902e-01;6.415277e+00;-1.201038e+01;-5.560767e+00;-1.200710e+01;-1.835443e+00;5.140077e+00;5.634222e-01;8.700179e-01;3.181366e+00
15;0.150000;5.029292e+00;2.795505e+00;-3.457909e-01;-5.065590e+00;5.336010e+00;9.509790e+00;-6.791427e+00;-8.434315e-01;-3.305736e+00;-1.965561e+00;5.999166e+00;4.557436e+00;4.193181e+00;-2.360077e+00
16;0.160000;6.066566e+00;5.393648e+00;1.476785e+00;-4.699023e-01;7.216799e+00;1.051592e+01;-1.978370e+00;9.327397e-01;-3.125153e-01;1.991167e+00;9.516694e+00;2.607962e+00;1.441429e+00;-8.468231e+00
17;0.170000;4.750026e+00;8.510956e+00;3.504834e+00;-8.219132e-01;7.563983e+00;1.179799e+01;-2.466523e+00;-4.388551e+00;-5.913507e+00;8.178194e+00;1.617190e+01;1.826517e+00;2.637419e+00;-1.171109e+01
18;0.180000;3.801001e+00;8.925945e+00;3.817021e+00;-2.482960e+00;7.992460e+00;1.056992e+01;-2.407845e+00;-4.973262e+00;-8.341417e+00;6.494079e+00;1.641064e+01;2.156711e+00;2.825559e+00;-1.262357e+01
19;0.190000;1.782699e-01;7.301145e+00;5.477262e+00;-3.933013e+00;5.580354e+00;2.618075e+00;3.926754e-02;-9.459419e+00;-7.807817e-01;7.254114e-01;1.401168e+01;5.333690e+00;2.880021e-01;-1.009649e+01
20;0.200000;-1.381399e+00;7.318778e+00;9.064059e+00;-1.972165e-01;5.817499e+00;8.974338e-01;2.851279e+00;-6.069533e+00;5.478595e+00;-1.074188e+00;9.775710e+00;4.719468e+00;-1.307114e+00;-6.163902e+00
21;0.210000;2.723087e+00;4.865675e+00;7.998556e+00;5.316527e+00;7.865932e+00;-3.223319e+00;-6.756210e-01;-1.586767e+00;1.167000e+01;-2.363297e+00;2.841312e+00;9.508886e-01;9.387451e-02;-2.233627e+00
22;0.220000;7.234447e+00;7.902007e-01;5.777856e+00;5.662524e+00;6.538846e+00;-7.230309e+00;-3.870826e+00;2.302502e+00;8.189445e+00;-1.628157e+00;3.163437e-01;2.177354e+00;-1.016301e+00;1.931915e+00
23;0.230000;7.558929e+00;-1.688161e+00;7.901321e+00;4.776563e+00;4.736559e+00;-9.389560e+00;-3.278325e+00;7.458392e+00;3.706924e+00;-1.727028e-01;-1.112362e+00;4.948315e+00;-1.075561e+00;4.705658e+00
24;0.240000;5.857741e+00;-3.762379e+00;1.100447e+01;2.815461e+00;1.938609e+00;-1.141764e+01;-4.688878e-01;1.153581e+01;5.042429e-01;4.407215e-02;-1.347532e+00;6.324674e+00;-1.689024e+00;5.931259e+00
