frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-3.368786e+00;-9.892416e-01;4.773287e+00;1.055058e+01;2.189322e+01;5.290842e-01;-8.429432e-01;-2.033311e+00;-3.175592e-02;-7.823196e+00;4.691007e+00;4.286268e+00;-2.988299e+00;-1.059541e+01
1;0.010000;-2.477914e+00;-1.078903e+00;3.998887e+00;1.080334e+01;2.203446e+01;3.171680e+00;-1.646350e+00;-1.041152e+00;-2.908843e+00;-7.029303e+00;7.208433e+00;9.252130e-01;-4.704476e+00;-1.083065e+01
2;0.020000;-1.598364e+00;-1.008077e+00;3.695130e+00;1.097682e+01;2.142968e+01;7.801518e+00;-7.417974e-01;-8.234692e-01;-4.449882e+00;-3.183594e+00;1.070189e+01;1.571517e+00;-3.513225e+00;-1.098887e+01
3;0.030000;-6.421089e-01;-1.778725e+00;2.143464e+00;1.116689e+01;1.982296e+01;8.779508e+00;2.989620e+00;-5.011239e-01;-5.514754e+00;-6.591274e-01;1.035392e+01;1.724574e+00;-2.667389e+00;-1.144865e+01
4;0.040000;-4.456291e-01;-1.408715e+00;3.136161e+00;1.352587e+01;1.760334e+01;6.571208e+00;4.062066e+00;5.345554e-01;-6.395490e+00;-2.208348e+00;8.030714e+00;2.342025e+00;-1.486162e+00;-1.239286e+01
5;0.050000;-8.938227e-01;-4.305420e-01;5.372395e+00;1.411869e+01;1.356363e+01;5.090871e+00;4.128371e+00;-9.228687e-01;-2.578658e+00;-2.882090e+00;6.804183e+00;2.623292e+00;-1.432991e+00;-1.327467e+01
6;0.060000;-9.815226e-01;2.887886e-01;6.020256e+00;1.505992e+01;1.245293e+01;5.415748e+00;3.474660e+00;-1.798985e+00;-2.222266e-01;-5.185128e+00;2.382154e+00;1.894511e+00;-3.002377e+00;-1.382786e+01
7;0.070000;1.820254e+00;7.333658e-01;1.334042e+00;8.788259e+00;9.364602e+00;5.110657e+00;5.994080e+00;2.165987e+00;9.720778e-01;-2.452429e+00;3.941871e+00;1.673269e+00;-5.340660e+00;-1.223922e+01
8;0.080000;5.696509e+00;2.842025e+00;-5.626326e+00;-2.145432e+00;3.519420e+00;1.725579e+00;6.375581e+00;7.677515e-01;-1.063688e+00;-3.254211e+00;7.077740e+00;3.997050e+00;-3.032934e+00;-8.637398e+00
9;0.090000;6.991905e+00;5.279191e+00;-8.317605e+00;-3.329765e+00;3.509959e+00;3.373004e+00;6.434687e+00;8.764253e-01;5.180907e-01;-3.367017e+00;9.559189e+00;1.156330e+00;-8.699400e-01;-5.663567e+00
10;0.100000;6.580406e+00;7.087519e+00;-9.198811e+00;-5.250853e+00;3.348340e+00;2.970886e+00;4.727362e+00;4.146342e+00;2.303426e+00;-2.433207e+00;8.513660e+00;-1.111749e+00;-9.162354e-02;-2.717346e+00
11;0.110000;5.947057e+00;6.673274e+00;-1.099025e+01;-7.188517e+00;1.453990e+00;9.057751e-01;2.641105e+00;5.825257e+00;1.672447e+00;-3.834917e+00;6.219015e+00;-2.169822e+00;-9.967341e-01;-6.839905e-01
12;0.120000;6.728549e+00;6.711901e+00;-1.093318e+01;-8.298946e+00;-1.830366e+00;-7.580585e-01;2.156708e+00;4.631889e+00;2.135034e+00;-5.023411e+00;3.759797e+00;-1.766665e+00;-1.117856e+00;-5.693130e-01
13;0.130000;8.359365e+00;6.050234e+00;-8.293210e+00;-8.058912e+00;-5.109547e+00;-1.335514e+00;-7.048187e-01;2.357581e+00;3.353331e+00;-5.185115e+00;3.348631e+00;1.229745e-01;-5.618623e+00;-1.470299e+00
14;0.140000;8.518122e+00;5.818254e+00;-3.983352e+00;-4.820150e+00;-4.784725e+00;-2.085989e+00;-6.244948e+00;-7.886729e-01;2.508051e+00;-4.071968e+00;3.402523e+00;-1.324358e+00;-8.953977e+00;-2.348267e+00
15;0.150000;7.753939e+00;7.055272e+00;-3.302096e-01;-6.647034e-01;6.886950e-01;-9.001207e-01;-3.939313e+00;-2.003711e+00;-1.783571e-01;-5.378408e+00;4.229345e+00;-1.167807e+00;-7.202682e+00;-2.390083e+00
