frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.213608e-01;1.004563e+01;5.943957e+00;2.135327e+01;4.192556e+00;7.252640e-01;3.486317e+00;4.648347e-01;1.243052e+01;4.333597e+00;3.350814e+00;-1.852118e+00;3.255685e+00;-2.534899e+01
1;0.010000;2.521002e+00;1.143882e+01;4.461968e+00;1.696645e+01;-1.050445e+00;-4.185859e+00;8.378048e-01;-5.617766e-01;1.546912e+01;9.047564e+00;1.088490e+01;5.710066e+00;9.240757e+00;-2.392957e+01
2;0.020000;5.987629e+00;1.145490e+01;-1.170244e+00;1.014752e+01;-5.986634e+00;-4.707487e+00;2.952217e+00;-2.370447e+00;1.237942e+01;1.191429e+01;1.753799e+01;8.641199e+00;9.594345e+00;-2.150739e+01
3;0.030000;8.232084e+00;1.337003e+01;-9.049783e-01;7.437172e+00;-5.257754e+00;-4.517746e+00;1.777945e-01;-5.764982e+00;8.083717e+00;7.623664e+00;1.138135e+01;3.691252e+00;4.732185e+00;-1.898849e+01
4;0.040000;1.043646e+01;1.467656e+01;8.958101e-02;-1.843777e+00;-3.246522e+00;-3.707214e+00;-2.107983e+00;-4.946191e+00;3.502480e+00;2.202718e+00;4.836536e+00;3.095922e+00;3.664086e+00;-1.463130e+01
5;0.050000;1.126810e+01;1.466560e+01;8.062315e-02;-7.680157e+00;-1.130607e+00;-3.111667e+00;-3.808378e+00;-4.856963e+00;-1.160161e+00;1.294422e+00;3.565353e+00;5.242651e+00;8.716680e-01;-1.032409e+01
6;0.060000;1.132384e+01;1.551686e+01;-1.814516e+00;-1.182328e+01;-8.386046e-01;-1.612182e+00;-4.145199e+00;-6.334208e+00;-5.537230e+00;-8.770630e-01;1.870040e+00;4.924968e+00;-5.295680e-01;-7.576530e+00
7;0.070000;1.164407e+01;1.678504e+01;-3.416800e+00;-1.291755e+01;-2.069613e+00;-8.546004e-01;-4.668341e+00;-7.530694e+00;-4.183047e+00;9.194171e-01;1.835876e+00;4.466782e+00;2.622750e-01;-6.987938e+00
8;0.080000;1.189239e+01;1.672618e+01;-4.414986e+00;-9.201441e+00;-2.519679e+00;-9.400721e-01;-3.756566e+00;-9.120681e+00;-3.629359e+00;1.406643e+00;1.245906e+00;3.030934e-01;-8.550799e-01;-8.439865e+00
9;0.090000;1.183528e+01;1.652309e+01;-3.548447e+00;-4.733080e+00;-2.016912e+00;6.784747e-01;1.014308e+00;-9.848089e+00;-2.458938e+00;4.350719e-01;2.333503e-01;-5.330554e+00;-3.884475e+00;-1.018423e+01
10;0.100000;1.114098e+01;1.624405e+01;-2.363406e+00;-8.623314e-02;-7.367201e-01;8.129722e-01;4.353020e+00;-1.239069e+01;-5.201730e+00;9.206436e-01;2.056903e+00;-4.634995e+00;-5.254686e+00;-1.037515e+01
11;0.110000;9.579239e+00;1.522104e+01;-5.493455e-01;4.193594e+00;-1.015780e-01;-7.156444e-01;5.004838e+00;-1.324726e+01;-7.881688e+00;8.916805e-01;-4.753575e-01;-7.096295e+00;-5.754922e+00;-1.040282e+01
12;0.120000;8.291731e+00;1.518110e+01;2.430515e+00;6.253418e+00;9.467000e-01;-2.365823e+00;2.836235e+00;-1.136709e+01;-2.761814e+00;1.960577e+00;-2.263670e+00;-1.194015e+01;-7.210366e+00;-1.104414e+01
13;0.130000;7.067632e+00;1.738274e+01;5.408583e+00;5.737503e+00;-1.605514e+00;-6.350320e+00;2.746709e+00;-7.065388e+00;3.065063e+00;1.401907e+00;-5.438893e+00;-1.571847e+01;-8.191772e+00;-1.179079e+01
14;0.140000;7.142223e+00;1.855977e+01;6.756704e+00;5.393974e+00;-3.554626e+00;-7.264949e+00;6.133047e+00;-3.933221e+00;3.821727e+00;-1.223054e-01;-4.842076e+00;-1.631294e+01;-6.840854e+00;-1.213969e+01
