frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.693314e+00;7.469869e+00;3.968083e+00;1.666691e+01;7.343812e+00;-1.178141e+01;1.095973e+01;1.153245e+01;5.648996e+00;7.901719e+00;-2.802556e-01;3.562518e+00;3.181181e+00;-1.259902e+01
1;0.010000;-9.512474e+00;9.367540e+00;3.656559e+00;1.427573e+01;7.207787e+00;-7.279907e+00;1.533682e+01;1.322641e+01;7.794760e+00;7.298006e+00;-4.221122e-01;4.630358e+00;2.880729e+00;-9.814217e+00
2;0.020000;-1.249932e+01;1.211829e+01;1.737307e+00;9.180432e+00;5.825576e+00;4.851837e-01;1.822669e+01;1.054617e+01;8.208558e+00;4.823365e+00;5.009734e+00;7.025989e+00;2.645231e+00;-8.283417e+00
3;0.030000;-1.477319e+01;1.184618e+01;4.534044e-01;9.035038e+00;4.921527e+00;5.756682e+00;1.866124e+01;8.296516e+00;6.907403e+00;2.960729e+00;7.242426e+00;5.732204e+00;1.725111e+00;-6.481415e+00
4;0.040000;-1.654250e+01;8.021807e+00;-3.075130e+00;8.990291e+00;3.315930e+00;6.151504e+00;1.626935e+01;7.409795e+00;6.692740e+00;2.627221e+00;6.766789e+00;4.028047e+00;-1.432053e+00;-4.714722e+00
5;0.050000;-1.614940e+01;8.534483e+00;-3.373799e+00;9.248527e+00;5.318185e+00;7.214477e+00;1.497493e+01;5.378532e+00;4.628161e+00;2.207254e+00;6.466828e+00;5.589788e+00;-4.014853e+00;-3.750229e+00
6;0.060000;-1.520795e+01;1.110535e+01;-1.490989e+00;7.452357e+00;7.896207e+00;8.370198e+00;1.298374e+01;5.940892e+00;1.233744e+00;1.941430e+00;7.106425e+00;8.436988e+00;-3.598225e+00;-3.475204e+00
7;0.070000;-1.528425e+01;1.118421e+01;-2.636232e-01;9.188699e+00;6.888058e+00;6.738665e+00;1.401652e+01;8.224487e+00;3.580181e+00;3.766952e+00;7.797413e+00;8.705689e+00;-4.658937e+00;-3.626709e+00
8;0.080000;-1.594205e+01;9.037262e+00;-2.690791e+00;7.552608e+00;2.717623e+00;2.604449e+00;1.405735e+01;9.077012e+00;6.248341e+00;6.153558e+00;9.210046e+00;8.614713e+00;-5.521747e+00;-4.171570e+00
9;0.090000;-1.679409e+01;8.158997e+00;-4.875169e+00;4.187304e+00;2.283947e+00;3.199875e+00;1.452028e+01;1.023406e+01;7.604987e+00;4.065887e+00;1.182896e+01;7.910604e+00;-2.867551e+00;-5.002968e+00
