frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-8.335658e+00;-5.705518e+00;1.184947e+01;-2.237113e+00;-1.456170e+01;-1.068913e+00;-8.766032e+00;-2.452638e+00;-1.624839e+01;-8.095929e+00;8.116554e+00;-1.275305e+01;1.605440e+00;7.511230e+00
1;0.010000;-8.014726e+00;-3.135680e+00;1.036020e+01;-1.637178e+00;-1.153318e+01;8.951187e-01;-3.912638e+00;-7.651334e+00;-1.342751e+01;-5.572094e+00;2.391771e+00;-1.457136e+01;-9.285688e-01;5.047218e+00
2;0.020000;-8.909645e+00;1.327803e+00;9.601892e+00;-3.340292e-02;-7.430873e+00;2.078876e+00;2.064293e+00;-8.387843e+00;-1.396809e+01;-9.907392e-01;-2.470815e+00;-1.268125e+01;-4.858775e-01;2.500404e+00
3;0.030000;-9.542229e+00;4.210374e+00;6.064384e+00;-6.766605e-01;-4.441177e+00;4.083069e+00;6.186603e+00;-6.811484e+00;-1.485585e+01;2.968884e-01;-7.220850e+00;-1.236731e+01;-2.024003e+00;-4.553986e-01
4;0.040000;-8.991404e+00;4.481544e+00;4.821669e+00;-1.768321e+00;-3.395514e+00;1.777472e+00;7.128379e+00;-4.820541e+00;-1.354962e+01;7.910979e-01;-6.747023e+00;-8.324645e+00;-6.233597e-02;-3.149826e+00
5;0.050000;-8.794212e+00;4.000058e+00;6.792683e+00;-3.311350e+00;-3.729441e+00;-4.597077e+00;9.124482e+00;-4.757754e+00;-5.030057e+00;-3.888874e-01;-5.801463e+00;-2.995809e+00;1.897007e+00;-3.979530e+00
6;0.060000;-1.820255e+01;5.685468e+00;7.052129e+00;-3.382425e+00;-2.677082e+00;-2.707282e+00;5.739769e+00;-9.375012e-01;9.159899e-01;-6.680622e+00;-3.675816e+00;5.971664e+00;3.602307e-01;3.523636e+00
7;0.070000;-2.033728e+01;3.102273e+00;1.207573e+00;-4.914848e+00;-1.559020e+00;-2.104936e+00;4.333805e+00;4.234784e-01;6.006642e+00;-3.627191e+00;-2.171778e+00;6.964328e+00;1.800081e+00;1.000921e+01
8;0.080000;-1.616356e+01;2.626458e+00;-7.018649e+00;-8.570560e+00;1.916424e+00;-1.094472e+00;1.770125e+00;8.892677e-01;1.295740e+01;5.021420e+00;4.382676e+00;1.212064e+01;6.508435e+00;1.450481e+01
9;0.090000;-1.085793e+01;4.553209e+00;-1.155814e+01;-8.943295e+00;8.216105e+00;-6.887035e-01;1.291906e+00;4.123590e+00;1.747041e+01;8.172583e+00;6.854421e+00;1.527107e+01;9.201093e+00;1.489430e+01
10;0.100000;-5.821702e+00;5.585721e+00;-1.123677e+01;-6.383523e+00;1.290291e+01;-1.595625e+00;3.677845e+00;6.197272e+00;1.681998e+01;8.755296e+00;7.194848e+00;1.463618e+01;8.473680e+00;1.157143e+01
11;0.110000;-3.553329e+00;6.569796e+00;-4.673918e+00;-1.682763e+00;1.424038e+01;-1.426473e+00;9.338490e+00;6.660120e+00;1.335519e+01;7.066963e+00;5.906005e+00;1.266572e+01;5.935413e+00;5.183029e+00
12;0.120000;-1.839337e+00;7.688581e+00;1.715443e+00;-1.977186e-01;1.064985e+01;1.747275e+00;1.724849e+01;7.813591e+00;9.226345e+00;6.512953e+00;3.772377e+00;6.468116e+00;1.489091e+00;-2.207977e+00
13;0.130000;-1.333383e+00;6.514203e+00;5.609559e+00;1.130438e-02;5.383109e+00;4.206218e+00;1.701721e+01;3.114721e+00;3.529793e+00;5.840727e+00;4.357734e+00;4.578774e+00;3.701451e+00;-6.193649e+00
14;0.140000;-2.225241e+00;5.636641e+00;5.167070e+00;-1.265103e+00;3.874315e+00;2.732509e+00;1.111392e+01;-7.538695e-01;3.816609e-01;1.378124e+00;9.283700e-01;2.336449e+00;8.410025e-02;-8.376976e+00
15;0.150000;-2.116456e+00;3.275692e+00;1.951314e+00;-4.320577e+00;9.595102e+00;-7.757187e-03;2.492866e+00;1.158718e+00;-4.946558e+00;-2.662399e-01;1.731743e+00;7.421515e+00;2.480411e+00;-4.672913e+00
16;0.160000;-1.087566e+00;2.634721e-01;-2.791957e+00;-1.166248e+01;4.734058e+00;-1.450996e+00;-3.204868e+00;4.071561e+00;-1.519306e+01;2.442310e+00;1.133878e+01;-2.546835e-02;-3.213357e+00;4.595589e+00
17;0.170000;-9.166110e-01;-1.715465e-01;-4.020447e+00;-1.100729e+01;4.863421e+00;-2.584473e+00;-3.767860e+00;6.028030e+00;-1.325888e+01;6.236422e+00;1.102466e+01;-3.830884e+00;-5.155990e+00;1.126743e+01
18;0.180000;-1.537682e+00;-1.301474e+00;-4.795100e+00;-1.039742e+01;4.545632e+00;-3.679465e+00;-2.737464e+00;1.002060e+01;-9.667240e+00;1.129976e+01;9.747313e+00;-5.961958e+00;-6.206267e+00;1.427465e+01
19;0.190000;-3.047780e+00;-3.646653e+00;-5.997341e+00;-1.078795e+01;3.655344e+00;-4.801652e+00;-2.881744e+00;1.358360e+01;-5.688413e+00;1.319590e+01;8.185856e+00;-6.448190e+00;-6.874611e+00;1.486876e+01
20;0.200000;-3.718125e+00;-5.616083e+00;-7.468308e+00;-1.154106e+01;1.605352e+00;-4.470812e+00;-3.713739e+00;1.469259e+01;-4.774263e+00;1.107311e+01;4.359606e+00;-8.836982e+00;-6.625998e+00;1.417529e+01
21;0.210000;-4.010339e+00;-5.890926e+00;-8.266705e+00;-9.823124e+00;-8.412991e-01;-6.226367e+00;-4.349283e+00;1.296986e+01;-3.232233e+00;6.313975e+00;-1.415682e+00;-1.235250e+01;-6.891912e+00;1.339894e+01
22;0.220000;-5.324368e+00;-5.873807e+00;-8.364829e+00;-8.613775e+00;-3.237591e-01;-8.130999e+00;-3.586897e+00;1.065963e+01;-1.588258e+00;5.082173e+00;-5.175455e+00;-1.385736e+01;-5.715915e+00;1.282230e+01
23;0.230000;-6.536388e+00;-5.857562e+00;-7.630764e+00;-8.379120e+00;9.843578e-01;-1.127375e+01;-2.419733e+00;9.671816e+00;-9.083838e-01;3.756162e+00;-6.440368e+00;-1.141384e+01;-4.118804e+00;1.266276e+01
24;0.240000;-7.477280e+00;-6.151768e+00;-6.290105e+00;-9.067814e+00;2.029428e-01;-1.530780e+01;-1.609160e+00;7.284982e+00;2.163675e+00;-5.419980e-01;-5.759868e+00;-9.771257e+00;-3.044956e+00;1.293166e+01
25;0.250000;-7.830338e+00;-5.592668e+00;-5.656412e+00;-9.456485e+00;-2.643841e+00;-1.695761e+01;-1.861704e+00;4.851870e+00;4.192567e+00;-3.163253e+00;-1.283655e+00;-7.432901e+00;-2.415664e+00;1.298776e+01
26;0.260000;-7.209150e+00;-5.088708e+00;-3.634189e+00;-7.361875e+00;-5.804578e+00;-1.688446e+01;-5.077245e+00;2.385322e+00;4.517710e+00;-5.553847e+00;1.022699e+00;-5.347793e+00;-2.851776e+00;1.225065e+01
27;0.270000;-4.647614e+00;-5.466998e+00;-6.249649e-01;-2.865781e+00;-9.210912e+00;-1.523573e+01;-7.075404e+00;-6.171937e-01;5.564913e+00;-4.428656e+00;2.115574e+00;-3.507187e+00;8.637276e-01;1.077444e+01
28;0.280000;-1.548463e+00;-6.513327e+00;6.930014e-01;2.382779e+00;-1.007957e+01;-1.330623e+01;-6.028789e+00;-3.132820e+00;4.484336e+00;-1.494272e+00;7.565413e-01;-2.095361e+00;4.703779e+00;7.314323e+00
29;0.290000;2.008029e+00;-4.086761e+00;4.292853e-01;4.615689e+00;-6.891912e+00;-7.423615e+00;-4.823111e+00;-6.866821e+00;2.253380e+00;2.537518e+00;3.028718e+00;1.338858e+00;4.567592e+00;4.589302e+00
30;0.300000;3.763950e+00;-2.102100e+00;1.092033e+00;2.844264e+00;-7.515973e+00;1.188934e+00;-4.874181e+00;-1.058993e+01;8.182240e-02;1.353839e+00;6.124092e+00;4.511085e+00;3.890063e+00;4.796806e+00
31;0.310000;4.398348e+00;-1.570956e+00;1.560175e+00;-3.844624e-01;-6.584825e+00;6.008136e+00;-5.852342e+00;-9.096321e+00;-3.479168e+00;-4.710011e+00;9.955524e+00;3.807452e+00;4.947010e+00;4.209923e+00
32;0.320000;4.281973e+00;-3.753939e-01;1.263158e+00;-3.539754e+00;-4.304459e+00;5.265955e+00;-4.510127e+00;-7.391132e+00;-8.075220e+00;-1.222504e+01;1.138282e+01;2.893287e+00;3.928606e+00;2.918106e+00
33;0.330000;5.315007e+00;1.090999e+00;8.484713e-01;-3.450200e+00;-3.626427e+00;5.545445e+00;-6.072297e+00;-5.419291e+00;-1.197175e+01;-1.541859e+01;9.184456e+00;-1.259742e-01;3.390578e+00;8.232117e-01
34;0.340000;7.288169e+00;2.231161e+00;-9.353184e-01;-2.435470e+00;-2.394115e+00;5.314498e+00;-7.693130e+00;-3.449064e+00;-1.264219e+01;-1.503788e+01;7.680946e+00;-4.189703e+00;4.056802e+00;-8.152771e-01
35;0.350000;8.194401e+00;3.530120e+00;-1.900378e+00;-3.942995e+00;1.624153e+00;6.325168e+00;-8.989789e+00;-4.473204e+00;-1.296585e+01;-1.407149e+01;7.021015e+00;-4.952142e+00;4.515872e+00;-1.820442e+00
36;0.360000;8.988851e+00;3.865268e+00;-8.216347e-01;-5.902881e+00;2.284268e+00;1.127000e+01;-9.185685e+00;-5.977269e+00;-1.239181e+01;-1.499150e+01;7.999691e+00;-7.056688e+00;4.151853e+00;-2.616676e+00
37;0.370000;8.832057e+00;3.961807e+00;1.448345e-02;-7.165578e+00;2.206457e+00;1.242967e+01;-4.564330e+00;-9.529577e+00;-1.185407e+01;-1.169448e+01;1.019060e+01;-7.518910e+00;1.319759e+00;-2.258186e+00
38;0.380000;8.252731e+00;7.508726e-01;1.655369e+00;-4.823111e+00;9.596415e-01;1.170192e+01;-5.292212e+00;-1.169366e+01;-1.057167e+01;-1.048171e+01;9.788195e+00;-3.657881e+00;-2.257708e+00;-7.099686e-01
39;0.390000;6.177793e+00;-3.289326e+00;3.961612e+00;9.963217e-01;-7.051659e-01;8.647636e+00;-6.136903e+00;-1.575396e+01;-7.271307e+00;-1.023051e+01;6.562310e+00;2.488704e-01;-3.235120e+00;1.737625e+00
40;0.400000;5.121771e+00;-5.970957e+00;6.974380e+00;7.113178e+00;-1.056397e+00;7.067390e+00;-6.966067e+00;-1.658346e+01;-6.133963e+00;-5.675695e+00;4.566153e+00;3.141352e+00;-1.030957e+00;2.280510e+00
41;0.410000;6.228015e+00;-7.710858e+00;1.004591e+01;1.212310e+01;-2.422186e+00;4.630985e+00;-1.025802e+01;-1.319265e+01;-7.577168e+00;-1.750937e+00;2.228357e+00;6.232793e+00;-2.017748e-01;5.826416e-01
42;0.420000;5.648993e+00;-7.555772e+00;1.275572e+01;1.739503e+01;-2.781304e+00;-6.362028e-01;-8.459130e+00;-1.038556e+01;-5.818170e+00;-2.745028e+00;-1.437455e+00;7.247276e+00;-3.211584e+00;-9.232101e-01
43;0.430000;4.178726e+00;-8.615471e+00;1.449848e+01;2.059307e+01;-3.408040e+00;-1.852568e+00;-6.167533e+00;-8.115843e+00;-6.512095e+00;-5.870793e+00;-4.361550e+00;8.068118e+00;-4.090905e+00;-1.932861e+00
44;0.440000;3.200552e+00;-8.018993e+00;1.276808e+01;1.824329e+01;-4.463481e+00;-3.907261e+00;-7.278813e+00;-5.446257e+00;-8.163795e+00;-3.452912e+00;-7.277418e+00;7.879426e+00;-3.191070e+00;-1.784332e+00
45;0.450000;1.307538e+00;-7.884284e+00;1.107518e+01;1.703709e+01;-5.187519e+00;-2.495595e+00;-8.307796e+00;-4.588582e+00;-8.265784e+00;-2.450627e+00;-8.706403e+00;8.756851e+00;-1.077664e+00;-1.079742e+00
46;0.460000;-9.799981e-01;-8.722562e+00;1.265580e+01;1.479070e+01;-5.960609e+00;1.663668e+00;-7.667039e+00;-2.529036e+00;-8.211780e+00;-1.659406e+00;-9.252277e+00;8.401497e+00;1.473278e+00;-9.699478e-01
47;0.470000;-2.893811e+00;-1.050614e+01;1.273857e+01;9.980009e+00;-7.149449e+00;2.982390e+00;-6.913760e+00;-3.319442e+00;-7.696153e+00;-7.796742e-01;-9.759518e+00;8.910119e+00;1.613221e+00;4.203796e-02
48;0.480000;-1.071834e+00;-1.056440e+01;1.146019e+01;7.642285e+00;-9.581744e+00;-1.101519e+00;-1.198878e+01;-2.161668e+00;-6.205273e+00;1.446178e+00;-9.993079e+00;9.772778e+00;1.860569e+00;9.206924e-01
49;0.490000;1.350725e+00;-8.714163e+00;8.326811e+00;7.861302e+00;-1.043728e+01;-1.676684e+00;-1.705714e+01;6.537693e+00;-8.349183e+00;1.995477e+00;-1.016464e+01;1.051007e+01;1.487940e+00;9.291229e-01
50;0.500000;2.229082e+00;-5.500289e+00;4.571077e+00;6.724587e+00;-9.417596e+00;-2.702175e+00;-1.572751e+01;1.249149e+01;-9.297158e+00;2.722747e+00;-5.770377e+00;1.030808e+01;-1.512434e+00;3.115158e-01
51;0.510000;3.507295e+00;-2.806836e+00;-1.111053e+00;3.259740e+00;-9.303864e+00;-6.862259e-02;-1.128296e+01;1.059466e+01;-6.785216e+00;3.529922e+00;-3.747542e+00;5.934510e+00;-4.254982e-01;-3.507538e-01
52;0.520000;4.624359e+00;-5.639494e+00;-7.942038e+00;3.420150e+00;-5.362123e+00;3.046673e+00;-8.173491e+00;3.360544e+00;6.860388e+00;2.643791e+00;-7.773098e+00;2.902731e+00;1.733900e+00;1.827805e+00
