frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;4.502954e+00;2.331540e+00;-1.435498e+00;-1.127933e+00;-8.917635e+00;-9.382600e+00;-5.013449e+00;-8.404272e+00;-8.228045e+00;7.250355e+00;-2.704805e-01;-3.179301e+00;5.679302e-01;2.812248e+00
1;0.010000;3.627398e+00;3.051322e+00;-2.210538e+00;6.980169e-01;-7.518855e+00;-5.967017e+00;-6.025525e+00;-1.238164e+01;-9.578665e+00;5.274128e+00;2.871267e-01;1.143364e+00;3.325536e-01;2.494904e+00
2;0.020000;1.754918e+00;2.828684e+00;-1.105167e+00;2.138280e+00;-4.081137e+00;-4.740873e+00;-5.091583e+00;-1.189974e+01;-1.184159e+01;3.591092e+00;4.796260e+00;3.371043e-01;3.136482e-01;2.643486e+00
3;0.030000;-4.512610e-01;2.442913e+00;2.984423e+00;-5.921879e-01;-3.242838e-01;-6.386943e+00;-4.075063e+00;-5.758002e+00;-1.164702e+01;-9.438834e-01;7.445580e+00;-2.726557e+00;-1.322836e+00;3.438690e+00
4;0.040000;-2.104277e+00;2.732892e+00;6.579649e+00;-4.332718e+00;3.318559e+00;-5.060416e+00;-4.091813e+00;-1.057156e+00;-7.442574e+00;-4.327027e+00;5.047690e+00;-3.046577e+00;-4.127519e+00;2.994080e+00
5;0.050000;-3.205659e+00;2.718214e+00;6.850293e+00;-5.145149e+00;4.521363e+00;-7.906275e-01;-4.717703e+00;3.340044e+00;-4.506506e+00;-4.747642e+00;3.722053e+00;-1.401984e+00;-4.598524e+00;3.071060e-01
6;0.060000;-2.444179e+00;2.074868e+00;6.754887e-01;-4.125923e+00;-4.182441e-01;7.431254e-01;-7.547864e+00;4.004411e+00;2.957344e-01;-3.799176e+00;4.733019e+00;2.129021e-01;-1.228300e+00;-3.468616e+00
7;0.070000;-1.126012e+00;2.889839e+00;-2.287401e+00;2.523438e+00;-7.144368e-01;2.986424e+00;-3.278164e+00;2.979637e+00;3.223981e+00;-3.370323e+00;2.915230e+00;3.423777e-01;8.257925e-01;-5.727875e+00
8;0.080000;-1.821414e+00;2.191115e+00;-1.510613e+00;5.477881e+00;-2.587030e-01;4.150787e+00;1.065698e-01;6.200158e+00;6.661554e+00;-4.918770e+00;-1.438303e+00;-6.817441e-01;1.558846e+00;-6.226677e+00
9;0.090000;-2.586996e+00;4.513402e-01;-3.553801e+00;3.064547e+00;4.994047e-01;3.692463e+00;-2.382932e+00;6.333317e+00;8.176374e+00;-2.832465e+00;7.619457e-01;2.186521e+00;-1.279813e+00;-6.934002e+00
10;0.100000;-3.573806e+00;-1.630265e+00;-5.204354e+00;1.371856e+00;-1.915575e+00;1.435751e+00;-2.895928e+00;6.056562e+00;7.832629e+00;-3.119570e+00;3.249906e+00;4.466165e+00;-6.536198e-02;-7.344666e+00
11;0.110000;-3.963568e+00;-1.443346e+00;-5.738231e+00;1.732976e+00;-3.744043e+00;2.166024e+00;-1.932602e-01;6.846461e+00;8.239667e+00;-5.562257e+00;5.652993e-01;2.864109e+00;1.363115e+00;-7.403046e+00
12;0.120000;-6.417786e+00;-4.489399e+00;-1.513098e+00;-3.636427e-01;-1.409981e+00;6.025547e+00;3.990244e+00;5.520072e+00;5.631371e+00;-1.746337e+00;-1.180916e+00;5.057404e-01;2.242858e+00;-5.862167e+00
13;0.130000;-7.059720e+00;-1.049518e+01;2.183021e+00;-8.985909e+00;-2.643842e+00;1.574659e-02;5.391481e+00;2.343956e+00;3.728549e+00;1.763994e+00;-1.069894e+00;-4.507841e+00;-3.725079e+00;2.165596e+00
14;0.140000;-7.023757e+00;-1.095449e+01;2.392586e+00;-1.085188e+01;-3.644941e-01;-3.333365e+00;4.696270e+00;2.181712e+00;5.600009e+00;2.277894e+00;-1.209394e+00;-7.140939e+00;-3.087605e+00;7.235931e+00
15;0.150000;-7.078831e+00;-1.110859e+01;1.120041e+00;-9.295750e+00;4.909711e+00;-2.903747e+00;2.210589e+00;2.668647e+00;7.897417e+00;6.989560e+00;4.032973e-01;-8.448341e+00;-3.549849e+00;7.874359e+00
16;0.160000;-7.245423e+00;-1.055694e+01;-1.421353e-01;-6.327314e+00;1.309862e+01;-7.838287e-01;-1.428083e+00;5.770032e+00;8.317609e+00;1.241862e+01;2.141283e+00;-1.000092e+01;-5.677207e+00;4.810570e+00
