frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-5.454572e+00;-5.480135e+00;-7.346416e+00;-1.568998e+00;1.057926e+01;4.395081e+00;3.339018e+00;3.291843e+00;3.676116e+00;-6.367435e-01;-8.907330e+00;1.607001e+00;4.927287e-01;6.661308e+00
1;0.020000;-4.891034e+00;-5.717933e+00;-7.864874e+00;-5.099002e+00;6.006046e+00;2.038701e+00;1.101111e+00;4.957393e+00;4.439662e+00;2.005403e+00;-9.899221e+00;2.255321e-01;-2.833897e+00;6.011551e+00
2;0.040000;-2.366168e+00;-4.340718e+00;-6.309490e+00;-5.628700e+00;3.170919e+00;2.562199e+00;4.209738e-01;5.575912e+00;4.212332e-02;4.215221e+00;-8.986614e+00;1.025777e+00;-6.248640e+00;5.231834e+00
3;0.060000;-1.752260e+00;-4.789282e+00;-5.564423e+00;-6.432245e+00;3.647370e+00;6.565501e+00;2.557216e+00;1.343210e+00;-1.414423e+00;6.800193e+00;-8.062593e+00;2.801885e+00;-6.926036e+00;5.895569e+00
4;0.080000;-3.593248e+00;-6.120662e+00;-6.426144e+00;-6.827189e+00;7.202133e+00;7.807546e+00;4.129286e+00;-2.259339e+00;1.323860e+00;4.552012e+00;-9.619101e+00;3.130173e+00;-5.098178e+00;6.528656e+00
5;0.100000;-6.076622e+00;-7.668237e+00;-7.335793e+00;-4.112432e+00;1.168462e+01;6.753505e+00;4.291675e+00;-3.663546e+00;3.991806e+00;3.859941e+00;-9.983585e+00;1.969501e+00;-2.582750e-01;7.200523e+00
6;0.120000;-6.750311e+00;-9.724347e+00;-7.303394e+00;-5.909529e-01;1.107225e+01;3.185963e+00;3.239342e+00;-3.669476e+00;4.242466e+00;6.691809e+00;-6.268045e+00;2.313568e+00;5.121757e+00;8.586266e+00
7;0.140000;-5.308056e+00;-1.124715e+01;-6.111101e+00;9.466186e-01;8.586988e+00;1.647441e+00;1.911039e+00;-3.823382e+00;4.637747e+00;7.253705e+00;-2.762211e+00;4.488147e+00;7.191137e+00;9.212242e+00
8;0.160000;-3.400701e+00;-1.169585e+01;-4.305862e+00;-3.227043e-02;5.118854e+00;6.003568e-01;3.276896e+00;-2.683696e+00;6.144888e+00;6.526206e+00;2.381418e+00;1.094438e+01;7.086213e+00;8.940453e+00
9;0.180000;-2.285994e+00;-1.087204e+01;-3.778108e+00;-3.706285e+00;-4.070663e-02;-1.296282e+00;3.108386e+00;-2.421565e-01;4.687456e+00;3.043798e+00;3.821459e+00;1.487504e+01;3.696481e+00;7.789085e+00
10;0.200000;-3.662539e-01;-8.398536e+00;-4.344652e+00;-4.708858e+00;-2.281107e+00;-5.212277e+00;-2.497462e+00;7.575188e-01;2.837089e+00;1.136591e+00;1.803985e+00;1.104282e+01;2.557874e-01;6.000870e+00
11;0.220000;1.832485e+00;-5.876225e+00;-4.077722e+00;-9.269905e-01;2.055081e+00;-6.311666e+00;-5.388309e+00;3.254514e-01;2.517213e+00;2.066788e+00;1.290454e+00;6.454172e+00;4.094628e+00;3.423027e+00
12;0.240000;2.478781e+00;-5.988477e+00;-3.816104e+00;-1.364933e+00;2.139711e+00;-7.086997e+00;-6.346497e+00;5.095863e-02;5.549965e-01;3.429539e+00;3.734870e+00;1.156484e+01;7.793107e+00;2.121277e+00
13;0.260000;2.021790e-01;-4.848862e+00;-7.931986e-01;-3.110060e+00;-2.245958e+00;-8.307358e+00;-2.314867e+00;1.258599e+00;6.300955e-01;1.850161e+00;9.222194e+00;1.738267e+01;5.122857e+00;4.095230e+00
14;0.280000;-3.024855e+00;-5.014231e+00;4.935503e-01;-5.843455e+00;-6.857520e+00;-1.065244e+01;-1.271873e+00;7.257123e-01;1.295762e+00;-1.024618e-01;1.053779e+01;1.672093e+01;4.163239e+00;5.052536e+00
15;0.300000;-2.888114e+00;-2.555715e+00;4.825683e+00;-4.842819e+00;-6.728217e+00;-1.084092e+01;-1.378768e+00;-2.229597e+00;1.122346e-01;-4.797559e+00;7.158154e+00;1.167065e+01;1.290402e+00;5.020905e+00
16;0.320000;-1.614498e+00;1.272335e-01;7.812348e+00;-3.714304e+00;-4.060907e+00;-1.241308e+01;-2.837357e+00;-4.664823e+00;-1.581526e-02;-5.452592e+00;4.941936e+00;7.172052e+00;-1.250327e+00;3.406837e+00
17;0.340000;-2.271056e+00;4.367182e+00;5.578283e+00;-1.689830e+00;1.942024e+00;-1.545702e+01;-4.291746e+00;-2.092280e+00;8.702703e-01;-2.771370e+00;1.841531e+00;3.943298e+00;-7.032003e-01;1.371834e+00
18;0.360000;-4.740932e+00;9.542613e+00;2.763700e+00;7.122450e-01;7.960226e+00;-1.592616e+01;-2.729323e+00;1.978419e+00;-2.425961e+00;-2.348579e+00;-2.862406e-01;8.777509e-01;3.923166e+00;3.190613e-01
19;0.380000;-5.780674e+00;1.076195e+01;7.060349e+00;7.088804e-01;3.244988e+00;-1.459810e+01;4.378786e-01;1.694142e+00;-4.381851e+00;-1.702741e+00;2.181062e+00;-2.923983e+00;1.535412e+00;6.941605e-01
20;0.400000;-5.200529e+00;7.797041e+00;1.221284e+01;-1.014011e+00;-3.844510e+00;-1.051537e+01;1.305018e+00;-1.274869e+00;-2.737959e+00;1.466441e-01;4.989993e+00;-7.643704e+00;-1.747592e+00;1.140480e+00
21;0.420000;-3.005170e+00;3.516104e+00;1.458313e+01;-2.507103e+00;-8.730968e+00;-8.323219e+00;-2.230213e+00;-4.716695e+00;-1.228343e+00;2.678378e+00;6.522391e+00;-9.144535e+00;-3.227081e-01;3.450699e-01
22;0.440000;5.488377e-01;1.742667e+00;1.434576e+01;-1.307147e+00;-9.734629e+00;-7.026282e+00;-5.269235e+00;-8.404112e+00;-8.923383e-01;6.323543e+00;4.844837e+00;-1.067307e+01;-8.081336e-01;-1.142952e+00
23;0.460000;2.187832e+00;2.034122e+00;1.006522e+01;8.230371e-01;-6.326252e+00;-6.316044e+00;-5.617573e+00;-1.140970e+01;-2.724491e+00;8.362636e+00;5.961409e+00;-1.289408e+01;-1.169938e+00;-2.659355e+00
24;0.480000;3.683419e+00;1.108575e+00;6.468430e+00;2.245291e+00;-1.654692e+00;-4.381536e+00;-5.613573e+00;-1.198692e+01;-6.802454e+00;6.685385e+00;6.702168e+00;-1.500834e+01;3.810596e-02;-3.120415e+00
25;0.500000;5.871493e+00;-3.055701e+00;1.960493e+00;-2.633327e+00;-3.548822e+00;1.090715e+00;-3.262837e+00;-6.898498e+00;-5.177459e+00;5.909677e-01;9.830055e-01;-1.452460e+01;4.799557e-02;-1.202248e+00
26;0.520000;6.024688e+00;-6.090394e+00;5.301380e-02;-4.830362e+00;-3.562792e+00;5.684728e+00;-3.213281e+00;-3.145928e-01;1.327324e-01;-4.192488e+00;-1.822031e+00;-8.635449e+00;-3.786845e-01;8.342361e-01
