frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.755851e+00;5.290452e-01;-3.842422e+00;-8.070112e+00;1.377116e+01;7.473509e-01;6.228637e+00;1.524752e+00;-7.710903e-01;2.283802e+00;4.405737e+00;1.171620e+01;4.432168e+00;-3.712822e+00
1;0.020000;8.656818e+00;5.872899e-01;-3.219720e+00;-7.277686e+00;1.255970e+01;1.403349e+00;7.164075e+00;3.654845e+00;2.152274e+00;3.712453e+00;5.619686e+00;8.701676e+00;3.550337e+00;-4.990257e+00
2;0.040000;9.671255e+00;-3.138602e-01;-3.609583e+00;-7.465657e+00;8.540014e+00;-2.499118e-01;7.084213e+00;4.604507e+00;9.131923e-01;3.375235e+00;4.387953e+00;5.345901e+00;6.256472e+00;-6.300400e+00
3;0.060000;9.731900e+00;-3.742104e-01;-3.339530e+00;-7.359339e+00;7.385193e+00;-2.285130e+00;4.109300e+00;8.755870e-01;-1.869072e+00;1.410355e+00;2.798579e+00;3.141291e+00;5.350762e+00;-6.639023e+00
4;0.080000;9.614391e+00;3.803862e-01;-3.034442e+00;-7.240026e+00;7.930934e+00;-1.850848e+00;1.392670e+00;-1.350392e+00;-1.870961e+00;1.075435e+00;4.806464e+00;3.508331e+00;4.492455e+00;-6.739677e+00
5;0.100000;8.863271e+00;-1.767664e-01;-3.738576e+00;-6.718827e+00;8.394386e+00;-1.520400e+00;1.207533e+00;-2.541000e+00;-4.284298e-01;1.181732e+00;4.079347e+00;3.152862e+00;3.555547e+00;-6.796982e+00
6;0.120000;8.076278e+00;-7.026484e-01;-4.832195e+00;-6.028480e+00;8.249027e+00;-1.020126e+00;1.988755e+00;-2.618287e+00;-9.993489e-01;-8.275839e-01;3.372756e+00;1.886613e+00;1.212894e+00;-6.781792e+00
7;0.140000;8.263678e+00;3.767292e-01;-5.146436e+00;-5.658904e+00;7.535425e+00;-2.647361e+00;2.647217e+00;-1.409688e+00;-2.900246e+00;-2.062078e+00;3.820308e+00;2.651037e+00;1.916646e+00;-6.759285e+00
8;0.160000;7.808393e+00;8.553755e-01;-4.266202e+00;-4.973987e+00;6.727569e+00;-5.198106e+00;3.377946e+00;-1.328157e+00;-5.417462e+00;-2.936118e+00;2.050773e+00;9.251484e-01;1.700288e+00;-7.065956e+00
9;0.180000;7.048485e+00;1.008741e+00;-4.153700e+00;-4.640285e+00;6.934059e+00;-4.300567e+00;3.948972e+00;-2.348422e+00;-5.128114e+00;-4.404826e+00;-6.412213e-01;-1.299496e+00;1.720434e+00;-7.445625e+00
10;0.200000;7.331088e+00;2.335139e+00;-5.255003e+00;-4.697266e+00;6.645576e+00;-3.708213e+00;2.918753e+00;-2.985759e+00;-2.550294e+00;-4.228079e+00;4.936306e-01;1.628910e+00;1.820924e+00;-7.680130e+00
11;0.220000;7.606130e+00;3.087606e+00;-6.602253e+00;-4.244881e+00;6.522305e+00;-3.996901e+00;1.983760e+00;-3.228416e+00;-1.712871e+00;-4.893438e+00;8.392751e-01;2.121397e+00;-1.503111e-01;-7.842041e+00
12;0.240000;7.218997e+00;2.135316e+00;-7.647554e+00;-4.412027e+00;7.141640e+00;-4.104510e+00;1.480275e+00;-2.615657e+00;-2.933821e+00;-5.628833e+00;-6.438525e-01;1.198850e+00;-2.369426e+00;-8.232002e+00
13;0.260000;6.477079e+00;2.057655e+00;-6.566649e+00;-4.667006e+00;9.109818e+00;-8.408077e-01;3.869964e+00;-1.816667e+00;-2.648700e+00;-4.766345e+00;-5.252903e-01;1.366280e+00;-1.395242e+00;-8.868546e+00
14;0.280000;2.498377e+00;2.243726e+00;2.126644e+00;-7.961815e+00;8.032552e+00;5.596722e+00;-2.689847e+00;-2.298342e+00;-4.831470e+00;-1.473923e+00;-3.113523e+00;2.642862e+00;-1.346973e+00;-6.736084e+00
15;0.300000;-5.230886e+00;2.931094e+00;1.204506e+01;-1.050721e+01;1.956946e+00;7.400304e+00;-6.333125e+00;-4.742551e+00;-7.098771e+00;9.812187e+00;-7.903517e+00;8.627351e-01;1.833958e+00;-2.894897e-01
16;0.320000;-8.775228e+00;2.260927e+00;1.458134e+01;-9.132770e+00;-2.250447e+00;3.543026e+00;-1.068962e+01;-7.347976e+00;-1.008848e+01;9.810543e+00;-8.653441e+00;2.260998e-01;1.259418e+00;4.703239e+00
17;0.340000;-9.499521e+00;1.416603e+00;1.468592e+01;-7.503789e+00;-5.263629e+00;3.005223e+00;-1.013575e+01;-6.780578e+00;-1.158781e+01;8.142298e+00;-9.425991e+00;-1.202969e+00;1.489388e+00;6.849091e+00
18;0.360000;-8.045757e+00;1.067738e+00;1.329286e+01;-5.421453e+00;-7.978923e+00;3.545841e+00;-7.605687e+00;-5.810873e+00;-1.127421e+01;5.794713e+00;-1.106494e+01;-5.338262e+00;-7.934442e-01;6.697403e+00
19;0.380000;-5.360143e+00;2.242732e+00;1.203266e+01;-2.351275e+00;-7.898889e+00;4.768084e+00;-3.002934e+00;-5.306529e+00;-8.304464e+00;5.080399e+00;-1.005151e+01;-7.425644e+00;-3.620384e+00;3.640663e+00
20;0.400000;-2.585388e+00;5.429451e+00;9.036692e+00;9.613566e-01;-3.041678e+00;4.759164e+00;3.517781e+00;-7.265659e+00;-2.817519e+00;1.279649e+00;-3.061878e+00;-6.767608e+00;-3.397106e+00;-1.755394e+00
21;0.420000;-6.086538e+00;5.711273e+00;3.791109e+00;5.032688e+00;-5.426817e-01;-4.370406e+00;9.153831e+00;-4.093812e+00;6.149871e-01;-8.626401e+00;6.866136e+00;-1.766865e+00;7.243276e-03;1.239594e+00
22;0.440000;-5.981305e+00;2.220028e+00;3.355369e+00;4.706797e+00;-3.035813e+00;-5.378557e+00;9.808768e+00;3.242607e-01;4.555877e+00;-5.781406e+00;5.357077e+00;2.760016e-01;2.606495e+00;6.842987e+00
23;0.460000;-4.852388e+00;-2.897715e+00;4.526445e+00;4.470493e+00;-4.792377e+00;-6.449967e+00;5.419469e+00;3.201576e+00;9.003986e+00;-3.201591e+00;2.097574e+00;2.136457e-02;4.547471e+00;9.280289e+00
24;0.480000;-2.680240e+00;-1.041656e+01;4.442742e+00;3.937431e+00;-6.567237e+00;-2.450338e+00;8.276596e-01;6.616032e+00;1.001075e+01;1.373972e+00;-1.393638e+00;6.532736e-01;5.216114e+00;9.384567e+00
25;0.500000;3.004313e-01;-1.454858e+01;1.912582e+00;6.192996e+00;-8.986896e+00;6.353511e+00;-6.605298e+00;9.399394e+00;7.384488e+00;3.725229e+00;-3.337989e+00;-5.687901e-01;4.754325e+00;8.425369e+00
26;0.520000;2.246408e+00;-1.414590e+01;-2.917367e+00;7.130133e+00;-8.259591e+00;1.326555e+01;-1.319452e+01;7.292826e+00;4.135758e+00;2.255939e+00;6.941113e-01;-5.679596e+00;5.171647e+00;6.775864e+00
27;0.540000;3.828593e+00;-1.075262e+01;-4.738048e+00;4.952256e+00;-4.720941e+00;1.583206e+01;-1.489781e+01;3.882571e+00;-5.561621e-01;3.571842e+00;1.675391e+00;-9.145706e+00;3.762581e+00;3.718346e+00
28;0.560000;5.231291e+00;-7.875771e+00;-2.278365e+00;5.338518e+00;-1.448506e+00;9.751490e+00;-1.155324e+01;5.764780e-01;-2.880467e+00;1.784817e+00;-1.236785e+00;-4.490178e+00;-5.470195e-01;-7.684708e-01
29;0.580000;5.125830e+00;-6.539599e+00;1.784447e+00;4.593239e+00;1.553305e+00;5.545726e-01;-2.287015e+00;-4.651752e-01;1.934486e+00;-1.318350e+00;-5.081040e+00;-7.945520e-01;-2.577495e+00;-4.451897e+00
30;0.600000;3.460980e+00;-5.913407e+00;1.406785e+00;4.786383e+00;-7.370377e-02;-1.770631e+00;-1.462088e-01;3.529167e+00;1.000638e+00;6.177012e-01;-2.725743e+00;3.765420e+00;-1.256037e+00;-2.682434e+00
31;0.620000;1.465804e+00;-6.423091e+00;4.627019e+00;8.048429e+00;-7.539359e+00;-1.005890e+00;-1.298892e+00;6.166207e+00;2.100515e-01;2.588608e+00;9.734821e-01;6.126328e+00;-1.064798e+00;1.686943e+00
32;0.640000;-1.231013e+00;-5.724101e+00;7.648135e+00;8.654184e+00;-1.242631e+01;3.481646e-01;-1.077212e+00;7.270492e+00;1.119077e+00;3.621269e+00;2.784965e+00;6.521357e+00;-2.493273e+00;4.926353e+00
33;0.660000;-4.121091e+00;-5.195891e+00;7.437287e+00;6.450763e+00;-1.350968e+01;4.932323e-01;-9.233475e-02;7.286779e+00;2.704737e+00;5.812860e+00;4.064629e+00;5.735513e+00;-1.640698e+00;6.007118e+00
34;0.680000;-5.992241e+00;-3.237292e+00;3.632865e+00;3.097007e+00;-1.292139e+01;-2.453408e+00;1.362646e+00;3.075279e+00;2.098000e+00;1.976531e+00;2.343497e+00;3.670460e+00;-1.186782e+00;6.194458e+00
35;0.700000;-8.023790e+00;1.205285e+00;-1.475461e+00;3.672647e+00;-9.808652e+00;-7.328639e+00;2.919447e+00;-3.429538e+00;-2.496140e-01;-4.987412e+00;2.543736e-02;1.619204e+00;-3.863058e+00;6.513161e+00
36;0.720000;-9.458957e+00;7.132352e+00;-2.433369e+00;7.549536e+00;-3.863458e+00;-5.219790e+00;5.104893e+00;-3.770508e+00;1.652513e-01;-5.714417e+00;1.477053e+00;1.887170e+00;-4.794256e+00;5.106316e+00
37;0.740000;-1.000707e+01;1.106496e+01;-2.278162e+00;9.328687e+00;-4.955463e-01;-2.801507e+00;6.263868e+00;-3.644714e-01;2.186192e+00;-4.266221e+00;3.271482e+00;1.297635e+00;-3.380686e+00;2.068718e+00
38;0.760000;-9.787188e+00;9.772153e+00;-1.922208e+00;8.624573e+00;-1.000592e+00;-1.521005e+00;4.749599e+00;1.879239e+00;1.028055e+00;-2.539650e+00;2.234752e+00;-9.711981e-02;-1.936242e+00;-3.540039e-02
39;0.780000;-1.028616e+01;8.218605e+00;-2.140967e+00;8.542405e+00;9.610310e-01;-9.667916e-01;3.542898e+00;1.699281e+00;-1.643818e+00;-2.735081e+00;4.718220e-01;-3.321547e+00;-3.869623e+00;-9.929581e-01
40;0.800000;-1.073521e+01;8.120673e+00;-4.291645e+00;8.144346e+00;-7.999392e-01;-3.658631e+00;2.973161e+00;-4.879222e-01;1.312566e+00;2.259486e+00;4.565984e+00;-3.447798e+00;-5.362106e+00;-1.639481e+00
41;0.820000;-9.602699e+00;8.997214e+00;-8.354393e+00;7.535365e+00;-1.983438e+00;-4.714489e+00;2.788255e+00;-1.462646e+00;4.178480e+00;4.068342e-01;2.374996e+00;-3.714022e+00;-4.287880e+00;-1.108063e+00
42;0.840000;-5.055397e+00;8.234101e+00;-1.017098e+01;5.658906e+00;-6.120491e-01;-5.281513e+00;5.923843e-02;1.177458e+00;8.152933e+00;-5.223903e+00;-3.600633e+00;-3.839911e+00;-1.965572e+00;2.298073e+00
43;0.860000;-9.989386e-01;2.992054e+00;-8.255180e+00;1.037290e+00;-7.220364e-02;-1.843726e+00;-3.143983e+00;1.517192e+00;1.110245e+01;-5.637700e+00;-3.626216e+00;-6.040634e+00;-3.255661e+00;4.882492e+00
44;0.880000;2.819654e+00;-3.879939e+00;-4.020687e+00;-4.663049e+00;1.633863e-01;2.092028e+00;-6.666268e+00;1.888452e+00;9.482933e+00;-2.670102e+00;-2.223083e+00;-8.728091e+00;-4.361176e+00;4.988792e+00
45;0.900000;4.296224e+00;-5.496292e+00;-1.834852e+00;-7.450537e+00;-2.201452e-01;5.478522e+00;-6.473838e+00;-1.573317e+00;5.116087e+00;9.695632e-01;3.574049e-01;-8.981128e+00;-5.742314e+00;4.084488e+00
