frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;3.074843e+00;2.568247e+00;1.099087e+01;1.694108e+01;-3.015571e+00;-1.266564e+01;-1.667852e+00;-8.244944e+00;-7.209686e+00;9.855062e+00;-1.104202e+01;-7.235535e+00;2.392868e+00;-1.717430e+00
1;0.020000;2.031432e+00;7.764990e-01;7.555676e+00;1.576823e+01;-1.289575e+00;-1.328984e+01;-5.951937e+00;-8.066080e+00;-9.342035e+00;8.765430e+00;-7.393095e+00;-4.358133e+00;3.674439e+00;1.554092e+00
2;0.040000;2.341160e+00;-7.988310e-02;3.058817e+00;1.274223e+01;1.919515e+00;-1.205947e+01;-6.927500e+00;-1.009083e+01;-1.171314e+01;7.005482e+00;-4.388237e+00;-1.769328e-01;3.362839e+00;1.526505e+00
3;0.060000;4.156956e+00;1.177251e+00;1.341584e+00;1.015209e+01;6.030058e+00;-7.654427e+00;-3.843731e+00;-1.100470e+01;-1.027904e+01;6.680269e+00;-3.374969e+00;3.242297e+00;1.611902e+00;-1.323677e+00
4;0.080000;6.439444e+00;2.930686e+00;4.288066e+00;1.096710e+01;8.043896e+00;-1.781255e+00;2.388051e+00;-9.499674e+00;-7.072635e+00;8.910812e+00;-1.213586e+00;5.528861e+00;2.882043e+00;-6.323120e+00
5;0.100000;7.037117e+00;3.197216e+00;6.399191e+00;1.257387e+01;6.556472e+00;-7.695150e-01;2.431726e+00;-9.166330e+00;-5.029273e+00;9.863586e+00;-1.730859e+00;5.644289e+00;6.486880e+00;-1.145332e+01
6;0.120000;4.216555e+00;1.430688e+00;7.949437e+00;8.635624e+00;3.284453e+00;1.212077e-01;8.445511e-01;-2.654647e+00;1.571547e+00;7.519284e+00;1.613593e+00;5.079824e+00;5.302916e+00;-1.230234e+01
7;0.140000;4.515142e-01;-1.849978e+00;1.170959e+01;9.533012e+00;8.741503e-01;-4.657612e-01;1.387300e+00;-9.895229e-02;2.118081e+00;9.017748e+00;-7.865849e-01;-1.486389e+00;5.060530e-01;-2.575722e+00
8;0.160000;1.287153e+00;-3.161770e+00;1.014134e+01;8.460941e+00;-9.130354e-01;-1.256144e+00;1.568645e+00;4.651217e-01;1.575067e+00;1.148778e+01;-1.379403e+00;-9.888401e-01;-5.482655e-01;4.169098e+00
9;0.180000;3.540313e+00;-5.046115e+00;7.279447e+00;5.905930e+00;-3.634559e+00;-1.643435e+00;6.622353e-01;7.653718e-01;4.404778e+00;1.436698e+01;-2.031093e+00;-1.372099e+00;-5.697594e-01;6.825157e+00
10;0.200000;6.269220e+00;-7.780348e+00;5.954100e+00;1.982551e+00;-3.560613e+00;3.928605e+00;-4.015217e-01;3.773788e+00;9.462513e+00;1.546165e+01;-1.608901e-01;-2.903034e+00;6.988912e-01;6.881363e+00
11;0.220000;6.456781e+00;-8.194814e+00;5.526560e+00;-2.171361e+00;1.815234e+00;8.545887e+00;9.697704e-01;6.996501e+00;1.537933e+01;1.364329e+01;4.922357e+00;-8.421378e+00;6.148979e+00;6.125351e+00
12;0.240000;4.444392e+00;-6.792696e+00;1.853710e+00;-3.531718e+00;5.767382e+00;1.064933e+01;4.864855e+00;5.721894e+00;1.526969e+01;9.609863e+00;5.557688e+00;-9.687375e+00;8.791185e+00;5.102493e+00
13;0.260000;2.689798e+00;-5.076225e+00;-3.198577e+00;-2.524495e+00;3.697769e+00;1.030706e+01;3.981683e+00;2.662141e+00;1.140873e+01;5.126797e+00;2.240646e-01;-6.738996e+00;6.580100e+00;4.882690e+00
