frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;1.498822e+00;-3.092274e+00;1.549471e+00;-1.007055e+01;-6.163992e+00;-9.820755e+00;8.826780e-01;1.889567e+00;3.405901e+00;-1.191035e+01;-3.085341e+00;3.281779e+00;-3.205791e+00;4.265709e+00
1;0.020000;-1.337816e+00;-4.935939e+00;-1.291590e+00;-1.249410e+01;-2.548099e+00;-9.703348e+00;1.365656e+00;-2.867621e+00;3.758387e+00;-1.188383e+01;-6.234899e+00;2.836632e+00;-4.536940e+00;8.156380e+00
2;0.040000;-3.935311e+00;-5.399741e+00;-4.156139e+00;-1.313766e+01;9.893117e-01;-5.129713e+00;1.975173e+00;-3.943992e+00;5.730902e+00;-8.122136e+00;-8.642779e+00;1.401148e+00;-6.180080e+00;9.261993e+00
3;0.060000;-4.131230e+00;-3.337418e+00;-5.863369e+00;-1.213748e+01;4.278969e+00;9.679681e-01;3.394959e+00;-2.604505e+00;8.480677e+00;-1.441340e+00;-7.825858e+00;1.723000e+00;-7.567657e+00;8.209496e+00
4;0.080000;-2.707069e+00;-1.088584e+00;-8.454391e+00;-1.155034e+01;4.307257e+00;6.325520e+00;5.085268e-01;-1.088344e+00;6.639102e+00;5.272682e+00;-5.387544e+00;2.517849e+00;-1.043285e+01;6.909515e+00
5;0.100000;-3.753472e+00;-1.852613e+00;-8.520315e+00;-1.200487e+01;1.032036e+00;1.060815e+01;9.160619e-01;-6.262922e-02;1.448388e+00;4.046760e+00;-4.014798e+00;2.418143e+00;-1.259457e+01;6.956108e+00
6;0.120000;-5.277383e+00;-3.659936e+00;-6.926330e+00;-8.358384e+00;5.943680e-01;9.626483e+00;3.256455e+00;1.331797e-01;2.089422e+00;-7.720222e-01;-7.035247e+00;3.258099e+00;-8.592772e+00;7.835114e+00
7;0.140000;-6.317101e+00;-6.288081e+00;-5.431132e+00;-5.012425e+00;1.204375e+00;7.309966e+00;5.280704e+00;-1.551204e-01;4.687595e+00;-2.803101e+00;-1.035503e+01;4.609083e+00;-4.716046e+00;8.800415e+00
8;0.160000;-5.318019e+00;-7.787522e+00;-4.800873e+00;-4.958716e+00;5.890498e-01;2.844629e+00;4.309879e+00;-1.504822e+00;7.598786e+00;-7.937250e-01;-1.018790e+01;6.089674e+00;-3.527034e+00;9.129120e+00
9;0.180000;-2.145146e+00;-6.449246e+00;-2.501523e+00;-4.123713e+00;-2.867484e-01;-2.085203e+00;1.199410e+00;-2.946290e+00;9.288405e+00;9.812887e-01;-8.965835e+00;6.993257e+00;-3.421040e+00;8.421562e+00
10;0.200000;6.114435e-01;-4.942831e+00;-2.352400e-01;-2.689179e+00;2.743263e-01;-5.156679e+00;-1.176339e+00;-3.374465e+00;8.892302e+00;3.915114e-01;-9.768071e+00;6.191496e+00;-3.395885e+00;5.901535e+00
11;0.220000;2.626491e+00;-4.062197e+00;-7.352037e-01;1.342988e+00;2.159391e+00;-4.920053e+00;-1.896714e+00;3.494592e-01;6.730044e+00;1.699175e+00;-8.483911e+00;2.453382e+00;-1.606894e+00;2.772614e+00
