frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.675948e+00;5.419409e+00;-5.420925e+00;6.788346e+00;-2.939005e-01;-4.253163e+00;-2.051396e+00;-6.937370e+00;9.710165e+00;-2.753673e+00;-7.940635e+00;-7.506318e+00;3.273829e+00;-8.404465e-01
1;0.020000;-1.968040e+00;1.075175e+00;-8.648571e+00;7.081864e+00;5.440311e-01;-5.690146e+00;-4.678023e+00;-5.436737e+00;8.978914e+00;-2.326326e+00;-8.200557e+00;-7.264168e+00;6.114533e+00;-4.148865e-02
2;0.040000;5.647392e-01;-3.860454e+00;-1.109927e+01;5.093583e+00;-1.315531e+00;-6.313548e+00;-3.729570e+00;-8.064217e+00;6.154395e+00;-3.812872e+00;-9.478551e+00;-2.977441e+00;7.422330e+00;2.273254e-01
3;0.060000;1.374004e+00;-6.122218e+00;-1.193043e+01;3.880785e+00;-2.720692e+00;-6.576671e+00;-1.824769e+00;-7.887521e+00;2.571113e+00;-5.345210e+00;-1.056276e+01;-5.222255e-02;5.024830e+00;8.317566e-02
4;0.080000;1.432836e+00;-6.232920e+00;-1.078929e+01;4.782337e+00;-3.532271e+00;-5.958343e+00;2.790442e-01;-6.054791e+00;2.029066e-01;-6.371629e+00;-9.440829e+00;-8.015563e-01;3.817850e+00;-1.642433e+00
5;0.100000;2.370949e+00;-3.940534e+00;-6.983603e+00;6.873747e+00;-2.677056e+00;-5.008391e+00;2.800842e+00;-2.354452e+00;1.723296e+00;-6.196108e+00;-6.221847e+00;-1.716792e+00;4.364039e+00;-5.391411e+00
6;0.120000;4.031238e+00;-1.830784e+00;-3.707418e+00;9.081034e+00;7.650223e-01;-2.877252e+00;4.515034e+00;7.084079e-01;3.865469e+00;-2.131942e+00;-4.072144e+00;-2.876820e+00;3.897029e+00;-1.175578e+01
7;0.140000;4.576015e+00;-2.887012e+00;-1.328712e+00;1.289729e+01;3.421165e+00;4.987827e+00;5.879847e+00;2.907136e+00;4.076567e+00;2.884831e+00;-3.056078e-01;-1.782586e+00;3.075711e-01;-1.957164e+01
8;0.160000;3.778758e+00;-3.231083e+00;-4.141469e+00;6.150732e+00;4.977953e+00;9.298735e+00;1.623307e+01;1.087070e+01;-1.906366e-01;2.920249e+00;-6.389220e+00;3.675370e+00;-1.260833e-01;-2.054523e+01
9;0.180000;6.981317e+00;2.510261e+00;-4.863917e+00;-1.088524e+00;1.179317e+00;5.937352e+00;1.066871e+01;9.236664e+00;-7.247187e+00;7.532297e+00;-8.303895e+00;6.152205e+00;-4.053587e+00;-1.418024e+01
