frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.419402e+00;-1.166212e+01;3.318162e+00;-5.635553e+00;1.824663e+01;5.545675e+00;3.623874e+00;4.290462e+00;-9.685900e+00;1.947555e+00;-5.670291e+00;-3.753153e+00;9.908659e-01;9.678116e-01
1;0.020000;5.530613e+00;-1.079934e+01;3.659041e+00;-1.874796e+00;1.924503e+01;8.375333e+00;3.795460e+00;5.106476e+00;-1.115240e+01;3.320069e-01;-7.500838e+00;-4.513162e+00;-1.348499e+00;4.400085e+00
2;0.040000;5.572252e+00;-1.034713e+01;1.530640e+00;-1.513799e+00;1.839517e+01;1.002475e+01;5.002600e+00;4.084313e+00;-1.040215e+01;-5.034711e-01;-9.977449e+00;-4.145936e+00;-4.896718e+00;5.711266e+00
3;0.060000;5.243451e+00;-9.337904e+00;-1.237878e+00;-3.037757e+00;1.478855e+01;8.604322e+00;6.127354e+00;1.570762e+00;-6.416274e+00;6.317914e-01;-8.684284e+00;-3.460248e+00;-7.068841e+00;5.097969e+00
4;0.080000;5.618901e+00;-4.521869e+00;-1.722682e+00;-3.979111e-01;1.103358e+01;8.342289e+00;9.088490e+00;-1.086955e+00;-1.855178e+00;5.597749e-01;-3.825573e+00;-4.730431e+00;-5.826993e+00;3.210815e+00
5;0.100000;2.865064e+00;2.458528e+00;1.360100e+00;2.817776e+00;8.033527e+00;1.403582e+01;1.010120e+01;-1.980954e+00;3.588610e+00;6.625185e-01;-8.556361e-01;-2.861186e+00;-3.196100e+00;1.055496e+00
6;0.120000;-2.541809e+00;4.636932e+00;4.227822e+00;4.598922e+00;1.038165e+01;1.624872e+01;8.165033e+00;-8.684744e-01;6.113711e+00;7.866836e-02;-8.788097e-01;3.590536e-01;1.069532e+00;-5.116806e-01
7;0.140000;-6.503095e+00;3.766042e+00;2.986651e+00;2.687815e+00;1.073482e+01;1.725326e+01;8.768133e+00;-2.189913e+00;3.421613e+00;-1.302172e+00;-3.822659e-01;2.008656e+00;1.048896e+00;-1.696960e+00
8;0.160000;-8.454207e+00;3.155566e+00;1.844666e+00;-9.396005e-01;7.058473e+00;1.554012e+01;9.117970e+00;-2.102679e+00;1.919630e+00;-4.377599e+00;-7.827066e-01;-1.787624e-01;-7.698328e-01;-2.992668e+00
9;0.180000;-8.711083e+00;2.791854e+00;4.622707e-01;-2.304930e+00;6.158965e+00;1.444185e+01;8.791520e+00;-1.819869e+00;1.105028e+00;-6.102556e+00;-1.608533e+00;-2.262048e+00;-2.045436e+00;-4.409561e+00
10;0.200000;-9.956908e+00;2.120489e+00;-1.472737e+00;-2.621905e+00;8.377227e+00;1.639465e+01;9.141541e+00;-7.770429e-01;4.438362e-01;-4.524364e+00;1.351691e-01;-2.207256e+00;-2.498888e+00;-5.847481e+00
11;0.220000;-7.809499e+00;5.186937e+00;6.015396e-02;-4.625000e+00;3.387587e+00;1.190280e+01;4.853980e+00;-7.521075e+00;-2.309541e+00;-5.685258e-01;3.861288e+00;-3.384857e-01;-1.518981e+00;-5.295547e+00
12;0.240000;-1.234045e+00;8.000232e+00;2.255051e+00;-8.174442e+00;-1.329964e+00;8.052230e+00;3.173899e+00;-8.500148e+00;-5.779647e+00;-4.443877e-01;1.011850e+01;2.426915e+00;-1.174833e+00;-1.742455e+00
13;0.260000;2.920862e+00;3.629446e+00;2.581593e+00;-1.330851e+01;-1.738192e+00;2.138151e+00;-4.483595e-01;-2.031983e+00;-1.292592e+01;-3.315425e+00;1.524788e+01;3.997419e+00;-2.229567e+00;1.736549e+00
14;0.280000;4.703675e+00;-4.828907e+00;1.536570e+00;-1.771941e+01;-2.101439e+00;-5.565549e+00;-1.147690e+01;8.371872e-01;-2.044623e+01;-4.438022e+00;1.115230e+01;3.440323e-01;-6.180222e+00;3.136681e+00
15;0.300000;6.321067e+00;-1.002356e+01;5.359594e+00;-1.224659e+01;-6.756926e-02;-3.830781e+00;-1.798771e+01;1.300139e+01;-1.896761e+01;4.256913e+00;6.792740e+00;3.589559e+00;-3.066876e+00;4.114479e+00
16;0.320000;4.973497e+00;-1.438187e+01;7.267864e+00;-7.322083e+00;-4.945845e+00;-5.775736e+00;-2.353517e+01;1.765406e+01;-1.707812e+01;5.762904e+00;-3.382985e+00;3.178579e+00;-2.164531e+00;3.741470e+00
17;0.340000;1.871700e+00;-9.459090e+00;8.219679e+00;9.749889e-01;-3.932579e+00;-1.285604e+01;-9.579659e+00;5.568959e+00;-2.790351e-01;-2.144653e+00;8.027446e-02;6.270557e+00;3.181964e+00;4.683960e+00
18;0.360000;-2.254745e+00;-1.377791e+00;5.611148e+00;5.694191e+00;-4.277723e+00;-1.773744e+01;-8.538876e-01;-1.891881e+00;1.731807e+00;-6.036505e+00;-1.054438e-01;6.534316e+00;5.741853e+00;4.870018e+00
19;0.380000;-7.478734e+00;5.717806e+00;9.463873e-01;4.679552e+00;-4.305790e+00;-1.952349e+01;-1.593516e+00;-6.738705e+00;-4.158206e+00;-7.502398e+00;-3.350264e+00;3.967472e+00;2.536915e+00;2.441345e+00
20;0.400000;-1.054941e+01;1.236577e+01;1.320255e+00;6.813144e+00;1.237751e+00;-6.716201e+00;2.365092e+00;-7.157369e+00;-1.307225e-01;-3.918261e+00;1.993605e-01;7.159446e+00;3.608244e+00;-5.772934e-01
21;0.420000;-1.203820e+01;1.167111e+01;-1.149714e+00;7.902315e+00;-4.306942e+00;-2.949703e+00;2.542927e+00;-7.288718e+00;5.286598e-01;-5.352915e+00;3.556642e+00;4.734239e+00;3.737531e-01;-2.444519e+00
22;0.440000;-1.126872e+01;1.168593e+01;-2.607922e+00;6.440417e+00;-1.124030e+01;-6.944753e+00;-2.717885e+00;-1.002113e+01;-1.299696e+00;-5.458705e+00;4.837013e+00;1.684288e+00;-2.842267e-01;-3.000679e+00
23;0.460000;-8.024108e+00;1.395125e+01;-1.452399e+00;5.348509e+00;-1.412700e+01;-8.621309e+00;-4.834806e+00;-1.006708e+01;-5.520668e-01;-3.726304e+00;3.714965e+00;6.939411e-02;1.871493e+00;-2.915794e+00
24;0.480000;-6.308991e+00;1.493842e+01;-2.077774e+00;3.545144e+00;-1.324728e+01;-8.832464e+00;-5.812606e+00;-1.229737e+01;-7.064552e-01;-5.814136e+00;2.569849e+00;-1.377967e+00;2.690185e+00;-3.396988e+00
25;0.500000;-7.489600e+00;1.754901e+01;-3.688794e+00;2.801857e+00;-1.101942e+01;-4.989153e+00;-6.523200e+00;-1.363116e+01;-3.882198e-01;-6.286862e+00;2.470867e+00;1.114493e+00;4.471079e+00;-4.461266e+00
26;0.520000;-8.980350e+00;1.889894e+01;-3.888542e+00;2.763369e+00;-9.807980e+00;-3.263135e-01;-5.593628e+00;-1.186253e+01;1.564183e+00;-3.488081e+00;4.287210e+00;5.141015e+00;5.430723e+00;-6.176163e+00
27;0.540000;-8.714890e+00;1.630185e+01;-6.924618e+00;9.131713e-01;-1.012455e+01;-5.274205e-01;-6.963527e+00;-9.916383e+00;3.253798e+00;-1.715363e+00;3.306561e+00;5.043516e+00;1.034022e+00;-7.995331e+00
28;0.560000;-3.395056e+00;7.487265e+00;-6.811098e+00;4.389771e+00;-5.332814e+00;-1.462937e+00;-3.505158e+00;-2.126672e+00;1.059127e+01;9.872789e-01;-2.239211e+00;4.132179e+00;4.765983e+00;-4.654900e+00
29;0.580000;1.339816e+00;-1.715770e+00;-5.786083e+00;2.220779e+00;-3.187131e+00;-2.593532e+00;2.183980e+00;-7.115528e-02;1.015690e+01;4.175112e+00;-3.826538e+00;-1.497703e+00;5.869020e+00;1.802719e+00
30;0.600000;3.786993e+00;-6.931491e+00;-4.610367e+00;-1.883197e-01;-1.606887e+00;-2.688936e+00;4.387849e+00;2.579435e+00;8.006974e+00;7.430546e+00;-4.888406e+00;-4.166180e+00;5.521568e+00;5.280884e+00
31;0.620000;5.223421e+00;-1.080581e+01;-2.895012e+00;-3.293527e+00;-2.006798e-01;-2.188418e+00;4.674507e+00;4.356110e+00;5.392209e+00;9.808612e+00;-7.183255e+00;-4.492261e+00;2.462659e+00;5.617393e+00
32;0.640000;5.701775e+00;-1.098808e+01;-2.759725e+00;-5.783468e+00;-4.378185e-01;-2.602808e+00;2.337230e+00;1.969978e+00;2.051992e+00;8.135333e+00;-7.624348e+00;-6.006142e+00;-1.936603e+00;4.299889e+00
33;0.660000;6.787399e+00;-8.787435e+00;-3.855546e+00;-7.197168e+00;-4.230833e-02;-3.971863e+00;-1.092871e+00;-8.860691e-01;-8.848100e-01;5.624135e+00;-4.418235e+00;-5.363680e+00;-4.018550e+00;1.201553e+00
34;0.680000;8.369820e+00;-4.890733e+00;-4.874998e+00;-5.924254e+00;-6.621122e-02;-4.063747e+00;-2.183345e+00;-7.387677e-01;-3.807569e-01;4.987975e+00;3.556842e-02;-4.160177e+00;-2.142643e+00;-4.844963e+00
35;0.700000;1.060292e+01;-1.377908e+00;-7.263165e+00;6.272392e-01;-5.194299e+00;-1.447671e+00;2.173723e+00;3.543583e+00;4.529921e+00;5.199984e+00;3.682006e+00;-5.427247e+00;1.257397e+00;-1.008228e+01
36;0.720000;9.894252e+00;-8.741200e+00;-9.157152e-01;3.422606e+00;-2.114087e+00;3.621048e+00;-2.349269e+00;1.205976e+01;7.900020e+00;-8.409947e-01;8.109694e+00;1.298935e+00;-1.438974e+00;-4.697601e+00
37;0.740000;1.051938e+01;-1.221282e+01;2.456801e+00;2.628965e+00;-2.278234e+00;2.797906e+00;-4.747499e+00;1.176146e+01;7.090879e+00;4.399151e+00;6.996258e+00;2.993908e+00;-2.466117e+00;6.829224e-01
38;0.760000;1.054829e+01;-1.392789e+01;4.659900e+00;6.849351e-01;-2.991902e+00;6.459064e-01;-4.357864e+00;1.040065e+01;5.475342e+00;9.524590e+00;2.136525e+00;3.045702e+00;-1.721015e+00;2.516914e+00
39;0.780000;9.497361e+00;-1.467344e+01;6.106580e+00;-1.139010e+00;-2.914971e+00;-3.667223e+00;-5.776389e+00;1.103709e+01;2.694646e+00;1.228797e+01;-4.034741e+00;1.745132e+00;-2.386586e+00;3.152733e+00
40;0.800000;7.223649e+00;-1.335471e+01;3.300942e+00;-9.848180e-01;-3.271150e+00;-7.491687e+00;-4.769489e+00;1.108378e+01;9.313035e-01;9.280995e+00;-8.362448e+00;1.267871e+00;-5.447023e+00;3.443863e+00
41;0.820000;5.671247e+00;-7.041686e+00;-2.314472e-01;3.563609e+00;-2.141659e+00;-8.508265e+00;-6.139898e-02;7.179728e+00;1.999118e+00;2.469470e+00;-6.316620e+00;-2.280445e+00;-1.974973e+00;2.574936e+00
42;0.840000;3.105078e+00;2.982235e+00;-3.264400e+00;9.082952e+00;-1.559806e+00;-8.989531e+00;5.880288e+00;1.210771e+00;4.993520e+00;-4.329162e+00;-1.809648e+00;-5.676151e+00;6.432357e+00;1.121918e+00
43;0.860000;-2.288458e+00;1.033680e+01;-7.396650e-01;8.512161e+00;-7.172623e-01;-4.860957e+00;5.445092e+00;-2.456368e+00;7.847775e+00;-6.388323e+00;-8.482058e-01;-1.725342e+00;6.603826e+00;7.724075e-01
