frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-4.139503e+00;9.823775e+00;-3.490086e+00;1.807870e+01;1.019249e+01;1.730296e+01;-8.789137e+00;-5.462104e+00;4.910538e+00;1.082258e+00;1.212390e+01;-4.509377e+00;2.637913e-01;-3.433612e+01
1;0.020000;-7.981930e+00;1.837348e+01;-9.102486e+00;2.289518e+01;5.186241e+00;1.385069e+01;-6.952128e+00;-6.455680e+00;2.238464e+00;2.726568e+00;1.719917e+01;-4.312175e+00;1.630772e+00;-2.735323e+01
2;0.040000;-9.991806e+00;2.041480e+01;-1.072774e+01;2.509343e+01;4.691843e+00;1.373582e+01;-7.030512e+00;-5.103370e+00;3.721113e+00;-2.073574e-01;1.816481e+01;-6.347347e+00;2.624899e+00;-2.077969e+01
3;0.060000;-1.176929e+01;2.064833e+01;-1.166389e+01;2.592787e+01;5.618912e+00;1.677552e+01;-5.945112e+00;-3.015272e+00;5.768926e+00;-7.600996e-01;1.788320e+01;-6.457392e+00;2.869912e+00;-1.767670e+01
4;0.080000;-1.324161e+01;1.849959e+01;-1.540146e+01;2.057138e+01;1.069387e+00;1.414177e+01;3.136105e+00;3.790965e+00;2.941256e+00;2.409020e+00;1.655713e+01;-3.050992e+00;-8.343052e-01;-1.601136e+01
5;0.100000;-2.906404e+00;1.167114e+01;-1.305406e+01;1.406537e+01;-5.037278e+00;1.314936e+01;1.353717e+01;1.162787e+01;-2.314838e+00;-1.432987e+00;7.255480e+00;3.768233e+00;-1.805948e-01;-3.771484e+00
6;0.120000;-4.471340e-01;-1.412014e+00;-1.157912e+01;1.287014e+00;-1.112170e+01;5.302056e+00;1.177833e+01;7.495581e+00;-1.139996e+01;-3.972144e+00;-3.556659e+00;6.082770e+00;5.299450e-01;4.112038e+00
7;0.140000;9.456511e-01;-9.657602e+00;-6.791670e+00;-6.979837e+00;-3.015907e+00;1.281517e+00;1.150815e+01;5.056824e+00;-1.138656e+01;-4.883718e+00;-4.953391e+00;4.852649e+00;-1.711672e+00;8.953125e+00
8;0.160000;4.732180e-01;-1.749263e+01;-5.885842e+00;-1.060103e+01;3.763398e+00;-1.809744e+00;1.100517e+01;1.199134e+00;-1.109485e+01;-9.457242e+00;-3.884820e+00;2.342947e+00;-3.224403e+00;1.066738e+01
9;0.180000;6.973953e-01;-2.212937e+01;-7.281729e+00;-1.055055e+01;4.907543e+00;-6.509552e-01;9.257298e+00;7.457113e-01;-1.244558e+01;-1.185543e+01;-2.916667e+00;-5.328670e-01;-4.202708e+00;1.064638e+01
10;0.200000;5.908361e+00;-1.917691e+01;-4.106681e+00;-4.527765e+00;7.323930e+00;5.444613e+00;1.048127e+01;6.824256e+00;-5.137988e+00;-6.292030e+00;4.598728e+00;9.095693e-01;9.699562e-01;9.921570e+00
11;0.220000;8.852512e+00;-1.833845e+01;-5.910274e+00;-3.331146e+00;4.051669e+00;4.358103e+00;4.057949e+00;4.513452e+00;-3.875218e+00;-7.491350e+00;3.167679e+00;-3.494696e+00;9.657326e-01;5.174950e+00
12;0.240000;1.089455e+01;-1.437637e+01;-4.130962e+00;2.098674e+00;7.298213e+00;2.726437e+00;-1.658437e+00;7.772210e-01;2.773480e-01;-5.055261e+00;-2.057667e-01;-3.959414e+00;1.913886e+00;-5.217514e-01
13;0.260000;1.303126e+01;-1.044306e+01;-3.540462e+00;2.248105e+00;6.906244e+00;-2.511103e+00;-5.672351e+00;-3.584886e+00;4.170561e+00;-1.866764e+00;-2.823653e+00;-4.083699e+00;2.676735e+00;-2.279373e+00
14;0.280000;1.429405e+01;-1.068202e+01;-9.377471e+00;-6.821041e-01;3.687038e-01;-3.896393e+00;-1.318719e+01;-1.495379e+00;-3.403058e-01;-1.801367e+00;-9.338124e+00;-1.800223e+00;2.161322e+00;-2.830658e+00
15;0.300000;1.416766e+01;-9.445448e+00;-9.236850e+00;1.447895e+00;-3.408942e+00;-4.440363e+00;-1.423404e+01;2.052958e+00;-1.653378e+00;4.899805e-01;-1.492494e+01;3.125287e+00;9.225641e-01;-1.518990e+00
16;0.320000;1.438289e+01;-6.107361e+00;-6.429904e+00;4.299594e+00;-4.412658e+00;-6.271708e+00;-1.397937e+01;8.510463e-01;-2.601313e+00;-4.451437e-01;-1.772412e+01;3.426807e+00;-1.321745e+00;-1.492088e+00
