frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.710791e+00;1.374465e+01;-8.096279e+00;-1.502425e+00;8.212852e+00;-3.765688e+00;-8.008318e+00;-1.013311e+01;7.245391e+00;-3.468943e-02;-1.628247e+00;-8.941336e+00;-2.456421e+00;-1.019814e+00
1;0.020000;1.196876e-01;1.037253e+01;-4.541828e+00;-9.954453e-03;5.632606e+00;9.981194e-01;-6.890447e+00;-1.006523e+01;8.355534e+00;-1.374933e+00;-1.866450e+00;-4.220332e+00;-2.056846e+00;-1.731094e+00
2;0.040000;1.399281e+00;6.551654e+00;-2.417766e+00;6.547127e-01;1.474754e+00;2.475168e+00;-8.223711e+00;-1.166903e+01;6.098825e+00;-5.533056e+00;-2.620363e+00;-1.945776e+00;-2.741067e+00;-2.799637e+00
3;0.060000;2.628331e+00;4.417628e+00;-1.435061e-01;-4.431219e-01;-1.626104e+00;5.152754e+00;-9.605928e+00;-1.070482e+01;6.203784e+00;-7.942325e+00;-3.151217e+00;2.679255e+00;-1.470650e+00;-2.914482e+00
4;0.080000;3.599484e+00;7.722415e-01;6.842046e-01;-1.544925e+00;-1.488786e+00;5.287138e+00;-9.341492e+00;-6.512891e+00;6.912138e+00;-9.694397e+00;-4.246243e+00;8.672087e+00;1.136239e+00;-1.042725e+00
5;0.100000;4.179633e+00;-5.491836e+00;1.275332e+00;2.204858e+00;-3.295630e+00;1.630560e+00;-8.402069e+00;-3.970911e+00;6.767047e+00;-7.691140e+00;-6.093076e+00;9.887218e+00;5.942895e-01;7.970428e-01
6;0.120000;3.409690e+00;-1.026368e+01;4.753090e+00;5.657769e+00;-6.697073e+00;-9.287987e-01;-5.506020e+00;-4.142479e+00;6.596779e+00;-1.263127e+00;-9.433829e+00;8.299572e+00;9.824498e-01;1.795708e+00
7;0.140000;1.225883e+00;-1.216208e+01;9.159301e+00;2.664468e+00;-6.055951e+00;-6.044521e-01;-3.565809e+00;-2.766155e+00;7.864540e+00;3.608765e+00;-1.139114e+01;4.855204e+00;1.033619e+00;2.360191e+00
8;0.160000;5.683184e-01;-1.155944e+01;9.206309e+00;-1.371702e+00;-4.257691e+00;4.239798e+00;-2.839193e+00;-2.356387e+00;8.176806e+00;3.621290e+00;-1.178600e+01;2.667583e+00;1.692871e-01;2.001869e+00
9;0.180000;1.560432e+00;-8.680400e+00;4.643556e+00;-2.566278e+00;-3.814256e+00;9.253158e+00;-3.965259e+00;-3.545833e+00;8.101457e+00;7.514528e-01;-1.070593e+01;9.348497e-01;-1.217771e+00;5.563354e-01
10;0.200000;-1.701124e+00;-2.275401e+00;2.965452e+00;-7.444699e+00;4.964339e+00;6.656740e+00;-6.689944e-01;3.603805e+00;-1.087432e+00;2.066660e+00;-2.017142e+00;-6.441650e+00;2.170709e+00;1.043007e+00
11;0.220000;-8.247509e+00;1.400584e-01;9.978684e+00;-1.213938e+01;4.234206e+00;-3.834150e+00;1.283330e+01;1.457199e+01;-1.457568e+01;1.869742e+00;1.029780e+01;-9.277887e+00;-1.897989e+00;4.086220e+00
