frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.343734e+00;5.913931e+00;4.357886e+00;4.082239e+00;7.020072e+00;2.050056e+01;1.214599e+01;1.238571e+00;-3.489828e-01;-3.496991e+00;9.650905e-01;7.461980e+00;3.399330e+00;-8.356651e+00
1;0.020000;4.504642e+00;3.607225e+00;4.233407e+00;9.319585e+00;1.206896e+01;2.327882e+01;1.302554e+01;3.662867e+00;-1.600052e+00;-5.767088e+00;3.181026e+00;6.367894e+00;2.121063e+00;-1.163359e+01
2;0.040000;1.108797e+00;2.195019e+00;4.317793e+00;1.356747e+01;1.145751e+01;1.936521e+01;8.572261e+00;6.887563e+00;5.158799e+00;-3.304814e+00;6.439266e+00;5.503594e+00;7.572259e-01;-1.425858e+01
3;0.060000;-6.670961e-01;1.971139e+00;3.766222e+00;1.644309e+01;1.128545e+01;1.526568e+01;6.208467e+00;5.945508e+00;8.146859e+00;-1.492684e+00;9.452033e+00;7.174965e+00;1.145015e+00;-1.728474e+01
4;0.080000;-2.448342e+00;1.140716e+00;1.993495e+00;1.657038e+01;9.708290e+00;1.122686e+01;3.652453e+00;3.182878e+00;6.599016e+00;-7.051175e-01;8.857635e+00;6.697541e+00;2.566996e-01;-2.232752e+01
5;0.100000;-5.145320e+00;-4.505415e-01;3.542675e+00;1.062881e+01;2.310284e+00;6.141834e+00;-4.756477e-01;4.002455e+00;5.137497e+00;-3.140195e+00;3.317749e+00;4.495995e+00;2.869632e-01;-2.584306e+01
6;0.120000;-3.562179e+00;1.626201e+00;1.285642e+01;-3.527014e+00;-1.661389e+01;3.662877e+00;-1.175319e+01;-7.546528e+00;-9.260106e+00;9.724776e+00;-9.443531e+00;-1.183729e-01;3.867572e+00;-1.532677e+01
7;0.140000;-3.525153e+00;-1.460603e+00;1.517616e+01;-5.697334e+00;-1.828374e+01;1.235153e+00;-1.156557e+01;-6.242909e+00;-1.387620e+01;1.205672e+01;-1.049837e+01;1.935816e-02;2.311059e+00;-6.780281e+00
8;0.160000;-4.994535e+00;-3.122673e+00;1.470834e+01;-5.826891e+00;-1.757751e+01;-3.640068e+00;-6.880347e+00;-9.676327e+00;-1.352481e+01;7.484650e+00;-8.177064e+00;-2.906243e+00;1.831926e+00;-2.151520e+00
9;0.180000;-7.275561e+00;-1.588637e+00;1.262310e+01;-3.489493e+00;-1.611334e+01;-7.371020e+00;-7.111974e-01;-1.349919e+01;-1.166195e+01;1.859821e+00;-4.265020e+00;-6.771900e+00;3.336599e-01;-3.757248e-01
