frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;9.107727e+00;-1.571899e+01;-2.192855e+00;-3.200740e+00;1.148215e+01;7.700256e+00;-8.139550e+00;9.724278e-01;-5.324662e+00;1.015128e+00;-1.299143e+01;8.896374e+00;-1.827145e-01;2.886894e+00
1;0.020000;7.966325e+00;-1.601402e+01;-1.992332e+00;-3.553815e+00;1.029870e+01;7.688695e+00;-7.389268e+00;-1.379560e+00;-5.482772e+00;-6.895417e-01;-1.292635e+01;6.193931e+00;-2.248220e+00;4.270836e+00
2;0.040000;6.968573e+00;-1.305540e+01;-1.848091e+00;-2.393904e+00;8.611350e+00;6.464120e+00;-4.477365e+00;-3.729453e+00;-3.670647e+00;-2.396611e+00;-1.041992e+01;4.203370e-01;-2.189902e+00;2.835693e+00
3;0.060000;5.710728e+00;-3.376904e+00;-1.600533e+00;-5.865002e-02;4.159673e+00;4.261805e+00;2.935629e-01;-1.211602e+00;-1.421121e+00;-1.013189e+00;-7.550756e+00;-5.261846e+00;-2.484403e-01;1.240463e-01
4;0.080000;1.775231e+00;4.458848e+00;4.413519e-01;4.962287e-01;3.137008e+00;5.527609e+00;2.196365e+00;1.975454e+00;-4.083816e-01;-1.602812e+00;-3.192427e+00;-4.793006e+00;-9.843006e-01;-2.015060e+00
5;0.100000;-4.581132e+00;3.764606e+00;2.914431e+00;7.251476e+00;7.740001e+00;9.623289e+00;1.202909e+00;2.593971e+00;2.857493e+00;-1.503719e+00;2.356477e+00;-6.394689e-01;1.984596e-03;-4.079132e+00
6;0.120000;-9.330390e+00;1.895934e+00;2.512804e+00;1.025807e+01;8.111133e+00;1.296145e+01;2.232122e+00;5.442880e+00;5.815511e+00;1.813729e+00;3.555892e+00;1.379192e+00;1.210160e+00;-5.437263e+00
7;0.140000;-1.099438e+01;-1.280159e+00;3.772039e-01;9.767153e+00;5.542906e+00;1.126953e+01;-4.367561e-01;4.731813e+00;5.227753e+00;5.970281e+00;7.364860e-01;1.193235e+00;2.257205e+00;-3.794327e+00
8;0.160000;-6.731322e+00;-1.082304e+00;2.587891e-02;3.993258e+00;-4.120698e+00;2.955130e+00;-5.471314e+00;-2.231194e+00;-4.311714e-01;6.374239e+00;-3.170409e-01;2.711634e+00;3.403034e+00;-1.130905e-01
9;0.180000;9.460001e-01;7.409430e-01;-3.614904e+00;-6.376604e+00;-1.004644e+01;1.777706e+00;-2.627830e+00;-4.491233e+00;-6.590534e+00;3.173442e+00;-1.087365e-01;5.342083e+00;3.631928e+00;2.203484e+00
10;0.200000;7.178181e+00;7.123394e-01;-6.947453e+00;-1.512910e+01;-4.977171e+00;2.406412e+00;-2.506146e+00;-6.628366e+00;-1.157270e+01;6.047960e+00;3.845823e+00;6.088621e+00;1.853354e+00;1.839462e+00
11;0.220000;8.662063e+00;-4.146259e+00;-5.905133e+00;-2.074544e+01;3.408141e+00;-1.984674e+00;-4.154964e+00;-1.114467e+01;-1.068733e+01;1.081520e+01;4.414629e+00;4.202563e+00;4.404099e-01;1.710304e+00
12;0.240000;6.016475e+00;-8.403469e+00;-5.664195e+00;-1.689988e+01;5.612028e+00;-5.619468e+00;-8.293212e+00;-1.146893e+01;-5.098212e+00;1.106405e+01;3.906767e+00;2.339204e+00;3.210670e+00;2.202408e+00
13;0.260000;4.971251e+00;-9.344740e+00;-1.652432e+00;-1.039025e+01;2.464382e+00;-8.455165e+00;-1.146168e+01;-8.185710e+00;-6.125150e-01;7.295940e+00;1.122190e+00;1.768152e+00;3.394385e+00;3.233162e+00
14;0.280000;2.953307e+00;-5.772599e+00;4.692326e-01;-4.320916e+00;-3.050265e+00;-7.930500e+00;-1.455553e+01;-6.366711e+00;2.940945e+00;1.698361e+00;1.167994e+00;4.065645e-01;2.533173e+00;3.870773e+00
15;0.300000;-2.754156e+00;1.633006e+00;2.661556e+00;-4.468285e+00;-4.013252e-01;-6.869576e+00;-1.296122e+01;-1.735852e+00;5.301819e+00;-6.371466e-01;2.852780e+00;-7.562239e-01;1.927652e+00;4.193123e+00
