frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;5.372642e+00;-1.212516e+01;-2.995888e+00;-8.013804e+00;1.760829e+00;4.858496e+00;-7.816669e+00;9.446272e+00;9.213211e+00;9.094158e+00;-7.947017e+00;-8.435682e+00;-4.311740e+00;6.186790e+00
1;0.020000;5.575451e+00;-1.227600e+01;-2.886391e+00;-7.771007e+00;2.853211e+00;2.419283e+00;-6.016558e+00;9.831680e+00;2.340730e+00;1.103954e+01;-1.188508e+01;-8.045908e+00;-4.199353e+00;5.699593e+00
2;0.040000;6.749034e+00;-1.108664e+01;-1.041060e+00;-6.620800e+00;2.579954e+00;2.589726e+00;-5.242927e+00;7.121736e+00;-4.472703e+00;1.168282e+01;-9.704570e+00;-1.073983e+01;-3.532177e+00;4.614571e+00
3;0.060000;8.191077e+00;-9.449862e+00;3.331283e+00;-5.127409e+00;-7.321978e-01;8.471709e+00;-5.558414e+00;2.731962e+00;-7.013078e+00;9.132498e+00;-4.763373e+00;-1.148886e+01;-2.441206e+00;2.590477e+00
4;0.080000;8.511397e+00;-7.498417e+00;8.140121e+00;-1.952974e+00;-6.926507e+00;1.430821e+01;-6.263731e+00;2.956457e-01;-6.526381e+00;5.567319e+00;8.349863e-02;-1.162988e+01;9.543874e-01;-2.013016e-01
5;0.100000;7.715354e+00;-4.030827e+00;9.186063e+00;1.945008e-01;-6.287373e+00;1.100335e+01;-5.639523e+00;-2.211690e+00;-5.707213e+00;6.126899e+00;3.525987e-02;-1.100460e+01;4.627249e+00;-2.722786e+00
6;0.120000;3.726676e+00;6.372663e-01;5.031820e+00;1.931549e+00;2.936889e+00;-1.034382e+00;3.993010e+00;-7.478232e+00;8.611555e-01;2.888517e+00;-5.335963e+00;-3.100897e+00;3.430929e+00;-5.167831e+00
7;0.140000;-1.292933e+00;-2.722322e+00;-3.478439e+00;4.544055e-02;9.999014e+00;-1.053286e+01;3.079077e+00;-2.439749e-01;1.123922e+01;-3.302220e+00;-2.838619e+00;1.636907e+00;2.431587e+00;-1.433846e+00
8;0.160000;9.242463e-01;-3.560060e+00;-5.219113e+00;-5.916954e+00;6.930044e+00;-8.350182e+00;-2.905507e+00;-3.926486e+00;9.176022e+00;-2.291224e+00;8.054041e-01;8.053817e-01;-2.874389e-01;4.076836e+00
9;0.180000;4.327240e+00;-3.482122e+00;-4.937777e+00;-1.064408e+01;5.390304e+00;-6.246424e-01;-5.606243e+00;-5.157090e+00;6.124148e+00;-1.443175e+00;3.079117e+00;8.198271e-01;-5.909892e-01;5.636253e+00
