frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;6.758476e+00;-4.605734e+00;-1.847287e+00;2.390821e+00;-6.968998e+00;-5.393575e+00;2.130753e+00;1.138235e+01;-1.215579e+01;-5.719852e-01;-1.851060e+01;-6.478648e-01;-1.510800e+01;1.726250e+00
1;0.020000;7.042541e+00;-3.225986e+00;-2.762817e+00;3.240318e+00;-9.006786e+00;-9.541555e+00;1.903234e+00;8.993631e+00;-8.770112e+00;-5.927996e+00;-1.652156e+01;1.562614e+00;-1.423546e+01;1.832069e+00
2;0.040000;6.161100e+00;1.987326e+00;-3.484848e+00;8.814964e+00;-8.284275e+00;-9.725527e+00;3.487492e-01;4.663477e+00;-8.211411e+00;-1.040125e+01;-1.386444e+01;9.406042e-01;-1.096785e+01;1.877449e+00
3;0.060000;3.833006e+00;6.455635e+00;-3.761709e+00;1.157516e+01;-5.786043e+00;-8.229580e+00;6.868668e-01;4.729970e+00;-6.239027e+00;-9.259738e+00;-1.274310e+01;-2.162176e+00;-1.041024e+01;9.111786e-01
4;0.080000;1.016488e+00;8.545139e+00;-3.666685e+00;1.192828e+01;-4.371445e+00;-4.842515e+00;2.544841e+00;6.288921e+00;-2.821631e+00;-5.901278e+00;-1.139204e+01;-3.334269e+00;-1.122923e+01;-1.486969e-02
5;0.100000;-1.452093e-01;1.006662e+01;-3.284074e+00;1.171204e+01;-4.539978e+00;-2.055592e+00;3.648279e+00;3.380204e+00;-5.715903e+00;-6.096269e+00;-1.009625e+01;-4.228405e+00;-1.010852e+01;1.112366e-02
6;0.120000;7.150049e-01;9.782019e+00;-9.105687e-01;9.031704e+00;-8.431763e+00;-8.887243e-02;5.686605e+00;-3.073747e+00;-6.634959e+00;-7.325426e+00;-1.539989e+01;-5.899179e+00;-6.503131e+00;1.048157e+00
7;0.140000;2.179528e+00;7.220359e+00;1.302878e+00;4.952127e+00;-1.068386e+01;1.309323e+00;5.384261e+00;-9.441095e+00;-5.889103e+00;-6.748107e+00;-1.911489e+01;-7.311181e+00;-2.831902e+00;1.473320e+00
8;0.160000;3.763893e+00;3.875031e+00;1.921427e+00;2.829891e+00;-8.104881e+00;2.902349e+00;2.009984e+00;-1.404373e+01;-4.929690e+00;-5.557733e+00;-2.012681e+01;-1.003595e+01;1.372494e-01;2.045975e-01
9;0.180000;5.752241e+00;2.406763e+00;1.631804e+00;6.841582e+00;-5.404148e+00;5.500334e+00;-1.771339e+00;-1.326858e+01;-5.014242e+00;-6.575199e+00;-2.010198e+01;-1.061682e+01;1.335437e+00;-2.027992e+00
10;0.200000;6.934437e+00;1.702159e+00;1.076535e+00;9.791007e+00;-5.212530e+00;5.340232e+00;-4.677543e+00;-1.304141e+01;-4.912484e+00;-1.050376e+01;-1.870641e+01;-9.865227e+00;-4.718807e-01;-3.459106e+00
11;0.220000;7.044333e+00;1.364881e+00;5.855293e-01;8.233191e+00;-4.412971e+00;3.940847e+00;-5.297581e+00;-1.561708e+01;-5.395774e+00;-1.345770e+01;-1.867900e+01;-1.140565e+01;-2.344478e+00;-3.932854e+00
12;0.240000;7.443408e+00;2.875263e+00;4.938486e-01;7.057212e+00;-8.947506e-01;3.619141e+00;-4.340923e+00;-1.495063e+01;-5.472633e+00;-1.390211e+01;-1.586815e+01;-1.173478e+01;-3.167579e+00;-4.268005e+00
13;0.260000;7.646753e+00;4.256970e+00;8.163290e-01;9.037396e+00;1.469934e+00;2.816403e+00;-2.469925e+00;-1.112650e+01;-7.556249e+00;-1.210443e+01;-1.242863e+01;-1.275101e+01;-2.406500e+00;-6.331490e+00
14;0.280000;4.137725e+00;7.878834e+00;2.452773e+00;8.776648e+00;7.518109e+00;-3.528881e+00;4.185113e+00;-1.131885e+01;-8.118688e+00;-1.048922e+01;-1.285812e+01;-1.223206e+01;-2.837214e+00;-7.394341e+00
15;0.300000;-4.631631e+00;1.036323e+01;5.257457e+00;5.102008e+00;1.265198e+01;-2.186325e+00;4.528994e+00;-1.054668e+01;-3.568576e+00;-1.201947e+01;-1.287542e+01;-1.191883e+01;-3.185014e+00;-3.926445e+00
16;0.320000;-7.955262e+00;9.205302e+00;5.664552e+00;5.786819e+00;1.375709e+01;-9.650435e-01;5.929681e+00;-8.525423e+00;-2.098720e+00;-1.018763e+01;-1.110656e+01;-1.107018e+01;-1.887187e+00;-1.527924e+00
17;0.340000;-5.961072e+00;9.737772e+00;4.897680e+00;9.476547e-01;8.085290e+00;-5.697367e+00;1.446066e-01;-9.811419e+00;-9.533701e-01;-5.350573e+00;-5.260032e+00;-4.550949e+00;7.338284e+00;-3.929138e-03
18;0.360000;-4.445037e+00;7.287312e+00;7.623792e+00;-8.726906e+00;1.033571e+00;-7.275133e-01;-4.782890e+00;-1.345189e+01;-1.560646e+00;-2.904273e+00;-4.284338e+00;-1.861153e+00;1.519010e+01;1.769035e+00
19;0.380000;-3.685910e+00;3.071912e+00;7.692437e+00;-1.544960e+01;-3.034294e+00;4.957018e+00;-9.766682e+00;-1.583186e+01;-4.761305e+00;-5.774220e-01;-3.279116e+00;3.810444e-01;2.030036e+01;2.987411e+00
20;0.400000;-2.171621e+00;-1.113354e+00;6.989127e+00;-1.457704e+01;-1.222750e+00;6.185587e+00;-1.349677e+01;-1.024784e+01;-3.747881e+00;2.934527e+00;-4.190381e+00;4.045830e+00;2.273690e+01;3.309250e+00
21;0.420000;-4.033289e-01;-5.205825e+00;6.691132e+00;-8.557791e+00;3.924344e+00;2.568460e+00;-1.214658e+01;-2.310098e+00;-3.998557e+00;8.489528e+00;-1.431112e-01;7.562757e+00;1.796654e+01;2.936607e+00
22;0.440000;1.226644e+00;-9.437437e+00;3.004159e+00;-2.300067e+00;3.547431e+00;2.399158e-01;-8.650503e+00;5.620508e-01;-4.888939e+00;1.215862e+01;5.647860e+00;7.416177e+00;1.292409e+01;2.610252e+00
23;0.460000;1.624364e+00;-1.337976e+01;1.087001e+00;-6.898422e-01;-1.812111e+00;4.606107e+00;-5.300797e+00;1.551717e+00;2.294247e+00;1.276952e+01;5.047792e+00;9.347696e+00;5.304382e+00;2.420486e+00
24;0.480000;1.579422e+00;-1.417266e+01;5.027008e-01;-1.927171e+00;-1.713678e+00;7.837212e+00;-4.595769e+00;4.715414e+00;8.629892e+00;1.521229e+01;6.423707e+00;6.269994e+00;-1.778791e+00;1.544128e+00
25;0.500000;1.516514e-01;-8.810661e+00;-3.836661e+00;-3.196383e+00;-1.075834e+00;5.034255e+00;-3.965508e+00;2.322909e+00;1.487968e+01;1.295444e+01;9.327875e+00;1.840325e+00;-4.967510e+00;6.026154e-01
26;0.520000;-2.070816e+00;-1.238096e+00;-9.518856e+00;-1.335296e+00;2.054414e+00;1.769419e+00;-3.427715e-01;7.795124e-01;1.521157e+01;9.598437e+00;1.023867e+01;6.111670e-02;-8.200904e+00;4.353638e-01
27;0.540000;-4.359097e+00;3.160892e+00;-1.016196e+01;2.138471e+00;4.449858e+00;1.583748e+00;3.605408e+00;-7.368469e-01;1.335587e+01;9.830164e+00;1.026817e+01;-1.928351e+00;-6.985291e+00;3.466034e-01
28;0.560000;-7.041585e+00;5.585868e+00;-8.146027e+00;3.167274e+00;6.493053e+00;1.101179e+00;6.791790e+00;-1.206668e+00;1.173734e+01;8.973553e+00;5.743058e+00;-4.160540e+00;-2.232097e+00;-2.410278e-01
29;0.580000;-7.879334e+00;3.830578e+00;-4.912149e+00;7.568207e-01;2.085507e+00;-2.369612e+00;1.278724e+01;5.144218e+00;9.709879e+00;9.509243e+00;1.065182e+01;-4.596964e+00;-1.031538e+01;7.711411e-01
30;0.600000;-7.321162e+00;-2.806314e+00;-1.084948e+00;-5.262278e+00;-4.997570e+00;-4.283216e+00;1.500699e+01;1.307920e+01;7.947307e+00;1.051046e+01;1.902452e+01;1.677838e+00;-1.913681e+01;2.604866e+00
31;0.620000;-5.677093e+00;-9.191352e+00;2.509315e+00;-8.974564e+00;-6.385094e+00;-5.101801e+00;1.241506e+01;1.772364e+01;4.192938e+00;1.200419e+01;2.217048e+01;7.271103e+00;-1.898559e+01;2.988876e+00
