frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-2.519201e+00;6.060295e+00;-8.321245e+00;-1.351957e+01;9.327839e+00;3.286350e-01;-1.424221e+01;-1.189258e+01;-1.181509e+01;1.299477e+00;1.033430e+01;-1.263172e+00;5.918024e+00;-2.827301e-01
1;0.020000;-4.803122e+00;8.767140e+00;-1.016464e+01;-6.759595e+00;3.705056e+00;-6.385986e+00;-1.339986e+01;-1.670991e+01;-8.169403e+00;8.260771e-01;7.313668e+00;-7.812654e+00;-7.017713e-01;6.548538e-01
2;0.040000;-5.576718e+00;1.166977e+01;-9.748304e+00;1.114522e+00;-3.704509e-01;-7.033537e+00;-8.586787e+00;-1.941964e+01;-4.097707e+00;8.928738e-01;3.839722e+00;-1.040966e+01;-3.293404e+00;-3.978195e-01
3;0.060000;-6.149569e+00;1.338646e+01;-6.525365e+00;5.961284e+00;-3.062497e+00;-2.863362e+00;-1.468578e+00;-1.723364e+01;-9.186697e-01;-2.961356e+00;2.240131e+00;-6.295007e+00;5.694628e-02;-2.187195e+00
4;0.080000;-5.578544e+00;1.080996e+01;-9.000397e+00;2.166645e+00;3.926222e-01;-6.567396e+00;-9.153993e+00;-1.036851e+01;4.443471e+00;-5.115560e+00;4.515386e-01;-5.999741e+00;5.237597e+00;-9.988174e-01
5;0.100000;-1.695580e+00;9.397364e+00;-6.328753e+00;-1.226264e+00;1.085203e+01;-1.970161e+00;-1.269401e+01;-8.531322e-01;1.159276e+01;7.392223e-01;4.618605e+00;-1.907039e+00;8.571739e+00;2.446007e+00
6;0.120000;2.622566e+00;6.659518e+00;-1.964153e+00;-4.856206e+00;1.712802e+01;4.278556e+00;-1.183923e+01;3.017794e+00;1.392863e+01;4.231204e+00;3.468648e+00;-2.284066e+00;7.730937e+00;3.882492e+00
7;0.140000;5.976427e+00;4.741087e+00;4.392781e-01;-7.576402e+00;1.895592e+01;8.536314e+00;-1.052595e+01;2.971348e+00;1.379276e+01;5.901767e+00;9.016399e-01;-1.721491e+00;5.212533e+00;2.507774e+00
8;0.160000;7.295975e+00;6.166186e+00;-5.426044e-01;-7.568435e+00;1.630067e+01;1.132783e+01;-7.598502e+00;-9.296794e-01;1.298894e+01;5.905795e+00;5.132573e-01;-2.374135e+00;2.891077e+00;-1.291718e+00
9;0.180000;8.686743e+00;8.848333e+00;-2.748970e+00;-4.348349e+00;1.239904e+01;9.618297e+00;-3.386611e+00;-2.925664e+00;1.008763e+01;4.556339e+00;4.754678e+00;-1.982952e+00;3.859004e+00;-6.509949e+00
10;0.200000;9.764195e+00;1.164457e+01;6.032009e-01;3.371880e+00;1.267176e+01;8.739847e+00;-2.679551e+00;-8.463900e-01;9.699495e+00;3.918877e+00;6.890060e+00;-1.598778e+00;7.631979e+00;-9.859718e+00
11;0.220000;9.362592e+00;8.124889e+00;7.246021e+00;6.989888e+00;5.473701e+00;4.671093e+00;-1.395860e+00;1.391544e+00;8.890880e+00;3.323782e+00;6.721139e+00;1.661650e+00;9.195793e+00;-8.059929e+00
12;0.240000;5.132016e+00;5.260365e-01;1.233074e+01;4.857705e+00;-3.885426e+00;-2.557058e-01;2.090184e+00;4.685256e+00;7.077771e+00;5.718517e+00;4.291893e+00;6.534792e+00;7.176674e+00;-2.795647e+00
13;0.260000;1.139030e+00;-4.090432e+00;1.334151e+01;-5.598850e-01;-7.546098e+00;-1.931087e+00;5.533813e+00;5.423533e+00;2.829578e+00;9.312057e+00;1.196018e+00;8.628146e+00;1.470755e+00;1.243340e+00
14;0.280000;1.903381e-01;-4.664416e+00;1.598956e+01;-2.287509e+00;-6.124676e+00;1.980513e+00;9.402901e+00;7.054379e+00;1.176462e+00;1.166603e+01;-1.859900e+00;7.212528e+00;-4.324478e+00;3.556610e+00
15;0.300000;1.105567e+00;-3.574295e+00;1.700452e+01;-1.971713e+00;-3.565104e+00;7.967633e+00;1.415069e+01;1.037929e+01;3.724135e+00;1.120148e+01;-2.731607e+00;3.628504e+00;-6.005753e+00;4.698654e+00
16;0.320000;2.047948e+00;-2.942757e+00;1.435431e+01;-3.778772e-01;-3.574686e+00;8.906457e+00;1.524903e+01;1.357900e+01;6.939944e+00;7.526016e+00;2.554283e-01;2.386511e+00;-3.200922e+00;4.745697e+00
17;0.340000;2.698134e+00;-3.865972e+00;9.707836e+00;1.261001e+00;-3.770103e+00;7.317954e+00;1.383603e+01;1.385417e+01;7.486854e+00;2.764977e+00;2.849203e+00;3.905721e+00;-1.484647e-01;3.471428e+00
18;0.360000;1.990118e+00;-7.198023e+00;3.202253e+00;-9.386063e-02;-4.354484e+00;6.240178e+00;8.476061e+00;1.167141e+01;1.873167e+00;-1.236596e+00;1.665684e+00;4.682760e+00;9.846449e-01;2.937073e+00
19;0.380000;-7.084541e-01;-1.212072e+01;-1.128520e+00;-1.111917e+00;-2.232275e+00;8.354747e+00;4.095478e+00;1.022743e+01;-4.374442e+00;5.177305e-01;-1.089746e+00;5.824821e+00;1.526895e-01;4.198288e+00
20;0.400000;-2.188115e+00;-1.505940e+01;-1.906484e+00;7.265120e-01;2.905881e-01;8.170183e+00;-1.288252e-01;6.267470e+00;-8.770555e+00;3.253435e+00;-1.158343e+00;1.007050e+01;1.478744e+00;4.768196e+00
21;0.420000;-2.503651e+00;-1.647050e+01;-1.081252e+00;4.172626e+00;2.170797e+00;6.362292e+00;-3.028901e+00;3.079108e+00;-8.438639e+00;5.274920e+00;-9.441004e-01;1.057615e+01;1.982660e-01;5.214897e+00
22;0.440000;-2.490527e+00;-1.746424e+01;-1.496649e+00;4.798018e+00;2.219906e+00;5.493674e+00;-9.846258e-01;1.293304e+00;-7.061070e+00;3.782579e+00;-1.817943e+00;8.232738e+00;-2.867552e+00;5.474464e+00
23;0.460000;-2.798282e+00;-1.675661e+01;-1.774518e+00;4.016951e+00;1.331556e+00;2.176561e+00;1.520471e+00;-2.816498e+00;-8.252373e+00;1.709092e+00;-3.916250e+00;8.230174e+00;-4.636011e+00;5.191589e+00
24;0.480000;-2.138803e+00;-1.402080e+01;-1.495308e+00;2.620882e+00;-5.074823e-01;3.911872e-01;4.929314e+00;-4.549480e+00;-8.020538e+00;1.454653e+00;-4.668673e+00;8.340981e+00;-4.639345e+00;4.179298e+00
25;0.500000;2.921734e-01;-1.023378e+01;-3.242340e-01;1.791134e-01;-3.292608e+00;-7.484558e-01;7.047081e+00;-4.218250e+00;-6.174476e+00;1.471586e+00;-2.710468e+00;7.536122e+00;-3.271225e+00;1.975594e+00
26;0.520000;1.407537e+00;-7.600710e+00;6.375375e-01;-6.705141e-01;-5.236043e+00;-3.351671e+00;4.647904e+00;-2.991158e+00;-6.895648e+00;-2.489768e+00;-4.320574e-02;4.914723e+00;-1.180177e+00;-5.860367e-01
27;0.540000;-1.436997e+00;-3.592758e+00;-1.661792e+00;1.943795e+00;-6.915007e+00;-6.446521e+00;4.640921e+00;-5.437232e+00;-5.744781e+00;-8.281570e+00;2.850266e+00;1.123763e-01;-1.884824e+00;-7.745743e-01
