frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-6.323691e+00;3.891837e+00;-8.661114e+00;8.408730e+00;5.963589e+00;-3.071188e+00;-3.409329e+00;-1.543081e+01;1.839618e+00;-8.053485e+00;-8.512909e+00;2.573828e+00;7.495712e+00;3.458443e+00
1;0.020000;-6.520467e+00;-4.174504e-01;-6.837646e+00;4.142730e+00;1.047049e+00;-2.113230e+00;-5.862672e+00;-1.194532e+01;-3.577180e-01;-7.404876e+00;-5.476613e+00;2.334759e+00;1.313010e+01;3.862976e+00
2;0.040000;-6.921081e+00;-3.071938e+00;-3.594302e+00;3.627412e-01;-4.879681e+00;1.226406e-01;-4.241174e+00;-5.762127e+00;-3.496356e+00;-7.716109e+00;-2.904832e-01;2.161937e+00;1.300768e+01;2.717308e+00
3;0.060000;-6.051236e+00;-3.543594e+00;5.133744e-01;-2.568584e+00;-1.042731e+01;6.677837e-01;3.224430e-01;2.666601e+00;-1.122169e+00;-4.298115e+00;3.751250e+00;4.526503e-01;5.104954e+00;3.866089e+00
4;0.080000;-4.948422e+00;-6.064631e+00;-2.882393e+00;-6.779685e+00;-1.458918e+01;-4.807867e+00;-4.925925e+00;4.222736e-01;-1.312182e+00;-2.520287e+00;1.624590e+00;-5.159019e+00;-2.686843e+00;4.779785e+00
5;0.100000;-5.032158e-01;-3.405314e+00;-2.548625e+00;-3.648557e+00;-8.116501e+00;-1.751959e+00;-3.560553e+00;1.602780e+00;1.065700e+00;2.950311e+00;2.302313e+00;-4.827687e+00;-4.813239e+00;5.876015e+00
6;0.120000;1.689030e+00;-2.431904e+00;-1.919348e+00;-1.961180e+00;-3.812227e+00;-1.915455e+00;-2.284063e+00;1.418688e+00;-8.976502e-01;3.348880e+00;3.419909e-01;-3.577782e+00;-7.295217e+00;5.241791e+00
7;0.140000;2.750515e+00;1.120257e-01;1.385395e+00;9.774163e-01;1.672787e+00;-5.526581e-01;8.062792e-01;3.809499e+00;3.582373e-01;4.945666e+00;-8.304858e-01;-8.435144e-01;-6.073017e+00;3.339157e+00
8;0.160000;4.359128e+00;3.053040e+00;3.704893e+00;3.301272e+00;6.088240e+00;1.136481e+00;4.403095e+00;6.290714e+00;3.146856e+00;5.537701e+00;-1.059501e+00;1.546532e+00;-6.032404e+00;-5.510712e-01
9;0.180000;6.973212e+00;5.068019e+00;4.571733e+00;1.346277e+00;8.450102e+00;2.897860e+00;7.832143e+00;6.630854e+00;2.288893e+00;4.047539e+00;5.087857e-01;4.327989e+00;-5.644296e+00;-6.089569e+00
10;0.200000;7.637911e+00;4.257578e+00;7.230658e+00;-1.244463e+00;1.031787e+01;4.417731e+00;7.281600e+00;5.984856e+00;4.964800e-01;3.859482e+00;2.906307e+00;1.998509e+00;-3.358129e+00;-1.128335e+01
11;0.220000;7.858334e+00;2.552328e+00;9.037373e+00;-2.336695e+00;8.285257e+00;4.969883e+00;3.638170e+00;4.311999e+00;-2.009707e+00;5.303295e+00;4.734752e+00;-9.882011e-01;-2.835305e+00;-1.521751e+01
