frameIndex;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc[13]
0;0.000000;-1.777844e+01;9.175067e+00;-1.220509e+01;1.807691e+01;1.464313e+00;1.073335e+01;1.416370e+01;-1.226741e+00;-3.089615e+00;-2.181292e+00;5.931759e-01;-7.489772e-01;-2.838821e+00;-2.929192e+00
1;0.020000;-1.848198e+01;1.055591e+01;-9.180079e+00;1.835291e+01;-1.061716e-01;1.025202e+01;1.361743e+01;-6.049871e-03;-2.632383e-01;2.812300e+00;5.855435e+00;4.576821e-01;-6.874018e-01;-3.324799e+00
2;0.040000;-1.837213e+01;1.214845e+01;-7.564599e+00;1.953832e+01;-1.268195e+00;7.869067e+00;1.328849e+01;3.273110e-01;3.649256e-01;2.757965e+00;5.290545e+00;2.848144e+00;2.654679e+00;-3.209846e+00
3;0.060000;-1.341578e+01;1.742359e+01;-6.699997e+00;1.577270e+01;-6.546730e+00;-3.578938e+00;3.742603e+00;-3.645181e+00;7.963765e-01;3.352358e+00;4.674354e+00;2.883742e+00;1.287672e+00;-5.143356e-01
4;0.080000;-5.654872e+00;1.926948e+01;-7.146895e+00;8.855275e+00;-5.417517e+00;-2.336946e+00;-4.370147e+00;-6.936387e+00;5.419167e+00;8.551871e+00;3.871117e+00;-2.938059e+00;9.924188e-01;3.663177e+00
5;0.100000;-2.062400e+00;1.187071e+01;-5.299633e+00;6.704330e-03;-7.337685e+00;-1.763716e+00;-1.476541e+01;-8.689224e+00;5.044951e+00;7.766377e+00;-2.370105e+00;-1.031639e+01;1.073811e+00;5.602859e+00
6;0.120000;1.917243e+00;2.711729e+00;7.286196e-01;-4.472504e+00;-3.408869e+00;8.682265e-01;-1.496581e+01;-4.193552e-01;5.509498e+00;1.226059e+01;-2.918191e+00;-1.112746e+01;3.331292e+00;6.068192e+00
7;0.140000;3.322569e+00;-4.939604e+00;1.680459e+00;-9.143461e+00;-2.340291e+00;-3.067317e-01;-1.426495e+01;2.549843e+00;2.582090e+00;1.172451e+01;-7.438574e+00;-1.202473e+01;-2.124648e-01;5.012032e+00
8;0.160000;4.572520e+00;-4.413876e+00;3.125693e+00;-6.170282e+00;-3.175435e-01;2.700047e+00;-1.099596e+01;6.377272e+00;3.629874e+00;1.157401e+01;-6.091948e+00;-1.000141e+01;1.168686e+00;3.703613e+00
9;0.180000;5.557690e+00;-7.664790e-01;4.313774e+00;-8.768234e-01;2.960325e+00;5.970312e+00;-7.863179e+00;7.881067e+00;4.813490e+00;9.704047e+00;-3.830962e+00;-7.673216e+00;4.179194e+00;1.056824e-01
